Most used words by  Samia: 
Number of songs scanned: 30

1. nothing - 28 uses.
2. love - 22 uses.
3. never - 19 uses.
4. take - 18 uses.
5. tell - 17 uses.
6. good - 16 uses.
7. anymore - 16 uses.
8. ashamed - 16 uses.
9. every - 15 uses.
10. much - 15 uses.
11. amount - 15 uses.
12. gotta - 13 uses.
13. theyre - 13 uses.
14. someone - 12 uses.
15. boys - 12 uses.
16. promise - 12 uses.
17. want - 11 uses.
18. before - 11 uses.
19. mouth - 11 uses.
20. important - 11 uses.
21. past - 11 uses.
22. here - 10 uses.
23. think - 10 uses.
24. through - 10 uses.
25. where - 10 uses.
26. friend - 10 uses.
27. keep - 10 uses.
28. gonna - 10 uses.
29. bad - 10 uses.
30. let - 9 uses.
31. sing - 9 uses.
32. song - 9 uses.
33. back - 9 uses.
34. sorry - 9 uses.
35. well - 9 uses.
36. big - 9 uses.
37. wanna - 9 uses.
38. dance - 9 uses.
39. around - 9 uses.
40. need - 9 uses.
41. hope - 9 uses.
42. josh - 9 uses.
43. news - 9 uses.
44. fight - 9 uses.
45. again - 8 uses.
46. over - 8 uses.
47. floor - 8 uses.
48. something - 8 uses.
49. already - 8 uses.
50. god - 8 uses.
51. night - 8 uses.
52. words - 8 uses.
53. long - 8 uses.
54. heal - 8 uses.
55. bundle - 8 uses.
56. hyacinths - 8 uses.
57. milk - 8 uses.
58. right - 7 uses.
59. myself - 7 uses.
60. still - 7 uses.
61. ever - 7 uses.
62. wanted - 7 uses.
63. both - 7 uses.
64. down - 7 uses.
65. give - 7 uses.
66. guess - 7 uses.
67. new - 7 uses.
68. pull - 7 uses.
69. morning - 7 uses.
70. id - 7 uses.
71. ask - 7 uses.
72. light - 6 uses.
73. dead - 6 uses.
74. life - 6 uses.
75. django - 6 uses.
76. another - 6 uses.
77. those - 6 uses.
78. end - 6 uses.
79. youd - 6 uses.
80. street - 6 uses.
81. better - 6 uses.
82. baby - 6 uses.
83. friends - 6 uses.
84. name - 6 uses.
85. waverly - 6 uses.
86. old - 6 uses.
87. party - 6 uses.
88. together - 6 uses.
89. sound - 6 uses.
90. maybe - 6 uses.
91. youll - 6 uses.
92. rich - 6 uses.
93. fall - 6 uses.
94. 21 - 6 uses.
95. huh - 6 uses.
96. limbo - 6 uses.
97. bitch - 6 uses.
98. quit - 6 uses.
99. going - 6 uses.
100. minnesota - 6 uses.
101. honeybun - 6 uses.
102. cry - 5 uses.
103. hand - 5 uses.
104. while - 5 uses.
105. last - 5 uses.
106. wrong - 5 uses.
107. thought - 5 uses.
108. show - 5 uses.
109. put - 5 uses.
110. wake - 5 uses.
111. somebody - 5 uses.
112. gave - 5 uses.
113. legs - 5 uses.
114. movies - 5 uses.
115. left - 5 uses.
116. teeth - 5 uses.
117. hey - 5 uses.
118. across - 5 uses.
119. hear - 5 uses.
120. crying - 5 uses.
121. shit - 5 uses.
122. might - 5 uses.
123. thinkin - 5 uses.
124. planned - 5 uses.
125. mama - 5 uses.
126. thing - 5 uses.
127. move - 5 uses.
128. til - 5 uses.
129. coffee - 5 uses.
130. happy - 4 uses.
131. always - 4 uses.
132. moment - 4 uses.
133. even - 4 uses.
134. enough - 4 uses.
135. feel - 4 uses.
136. done - 4 uses.
137. ass - 4 uses.
138. remember - 4 uses.
139. babe - 4 uses.
140. small - 4 uses.
141. open - 4 uses.
142. face - 4 uses.
143. yours - 4 uses.
144. birthday - 4 uses.
145. only - 4 uses.
146. boy - 4 uses.
147. moving - 4 uses.
148. drugs - 4 uses.
149. lost - 4 uses.
150. leave - 4 uses.
151. snake - 4 uses.
152. cold - 4 uses.
153. fingers - 4 uses.
154. welcome - 4 uses.
155. wouldnt - 4 uses.
156. saying - 4 uses.
157. side - 4 uses.
158. towards - 4 uses.
159. fire - 4 uses.
160. theres - 4 uses.
161. restaurant - 4 uses.
162. live - 4 uses.
163. try - 4 uses.
164. hands - 4 uses.
165. loves - 4 uses.
166. head - 4 uses.
167. high - 4 uses.
168. real - 4 uses.
169. little - 4 uses.
170. wait - 4 uses.
171. samia - 4 uses.
172. trick - 4 uses.
173. tired - 4 uses.
174. feet - 4 uses.
175. eyes - 4 uses.
176. whiskey - 4 uses.
177. wine - 4 uses.
178. else - 4 uses.
179. bug - 4 uses.
180. shakin - 4 uses.
181. wish - 3 uses.
182. watch - 3 uses.
183. sees - 3 uses.
184. getting - 3 uses.
185. easily - 3 uses.
186. matched - 3 uses.
187. climb - 3 uses.
188. skin - 3 uses.
189. touch - 3 uses.
190. lonely - 3 uses.
191. came - 3 uses.
192. year - 3 uses.
193. stop - 3 uses.
194. showing - 3 uses.
195. met - 3 uses.
196. grand - 3 uses.
197. awake - 3 uses.
198. paris - 3 uses.
199. forever - 3 uses.
200. lover - 3 uses.
201. heart - 3 uses.
202. arms - 3 uses.
203. village - 3 uses.
204. isnt - 3 uses.
205. write - 3 uses.
206. couldnt - 3 uses.
207. money - 3 uses.
208. air - 3 uses.
209. afraid - 3 uses.
210. until - 3 uses.
211. things - 3 uses.
212. scared - 3 uses.
213. gets - 3 uses.
214. needs - 3 uses.
215. blind - 3 uses.
216. searching - 3 uses.
217. sister - 3 uses.
218. full - 3 uses.
219. ones - 3 uses.
220. place - 3 uses.
221. hours - 3 uses.
222. making - 3 uses.
223. anything - 3 uses.
224. anyone - 3 uses.
225. really - 3 uses.
226. because - 3 uses.
227. home - 3 uses.
228. dollar - 3 uses.
229. after - 3 uses.
230. water - 3 uses.
231. mind - 3 uses.
232. turn - 3 uses.
233. ya - 3 uses.
234. fit - 3 uses.
235. bleeding - 3 uses.
236. longer - 3 uses.
237. dylan - 3 uses.
238. phil - 3 uses.
239. brian - 3 uses.
240. len - 3 uses.
241. playing - 3 uses.
242. wheel - 3 uses.
243. alive - 3 uses.
244. mad - 3 uses.
245. keeping - 3 uses.
246. catch - 3 uses.
247. fish - 2 uses.
248. sex - 2 uses.
249. such - 2 uses.
250. sir - 2 uses.
251. fat - 2 uses.
252. tonight - 2 uses.
253. reading - 2 uses.
254. feels - 2 uses.
255. whole - 2 uses.
256. dad - 2 uses.
257. dry - 2 uses.
258. lands - 2 uses.
259. stand - 2 uses.
260. knew - 2 uses.
261. songs - 2 uses.
262. comes - 2 uses.
263. went - 2 uses.
264. nook - 2 uses.
265. novel - 2 uses.
266. written - 2 uses.
267. cannot - 2 uses.
268. play - 2 uses.
269. tried - 2 uses.
270. proud - 2 uses.
271. sit - 2 uses.
272. trying - 2 uses.
273. room - 2 uses.
274. pond - 2 uses.
275. hold - 2 uses.
276. car - 2 uses.
277. swear - 2 uses.
278. door - 2 uses.
279. kitchen - 2 uses.
280. vellum - 2 uses.
281. between - 2 uses.
282. boat - 2 uses.
283. bought - 2 uses.
284. buy - 2 uses.
285. scream - 2 uses.
286. box - 2 uses.
287. everyone - 2 uses.
288. young - 2 uses.
289. youve - 2 uses.
290. also - 2 uses.
291. talks - 2 uses.
292. mirror - 2 uses.
293. should - 2 uses.
294. telling - 2 uses.
295. body - 2 uses.
296. antidote - 2 uses.
297. america - 2 uses.
298. talking - 2 uses.
299. adverse - 2 uses.
300. effects - 2 uses.
301. theyve - 2 uses.
302. knows - 2 uses.
303. veritable - 2 uses.
304. few - 2 uses.
305. meetings - 2 uses.
306. eve - 2 uses.
307. due - 2 uses.
308. negligence - 2 uses.
309. buried - 2 uses.
310. england - 2 uses.
311. beach - 2 uses.
312. grave - 2 uses.
313. reach - 2 uses.
314. rachel - 2 uses.
315. calling - 2 uses.
316. suggestion - 2 uses.
317. fundamentalist - 2 uses.
318. cult-style - 2 uses.
319. religion - 2 uses.
320. relieved - 2 uses.
321. away - 2 uses.
322. disclosure - 2 uses.
323. siding - 2 uses.
