Most used words by San Cisco: 
Number of songs scanned: 56

1. never - 84 uses.
2. feel - 66 uses.
3. let - 64 uses.
4. night - 64 uses.
5. try - 49 uses.
6. away - 48 uses.
7. love - 44 uses.
8. think - 40 uses.
9. only - 38 uses.
10. fire - 38 uses.
11. about - 38 uses.
12. down - 37 uses.
13. good - 35 uses.
14. need - 34 uses.
15. waiting - 34 uses.
16. things - 33 uses.
17. sun - 33 uses.
18. tell - 32 uses.
19. touch - 32 uses.
20. ever - 32 uses.
21. take - 31 uses.
22. ooh - 30 uses.
23. talk - 30 uses.
24. baby - 28 uses.
25. heart - 28 uses.
26. home - 28 uses.
27. better - 27 uses.
28. change - 27 uses.
29. mind - 26 uses.
30. hold - 24 uses.
31. again - 24 uses.
32. gone - 24 uses.
33. friends - 23 uses.
34. should - 23 uses.
35. right - 22 uses.
36. always - 22 uses.
37. around - 21 uses.
38. lost - 21 uses.
39. girl - 21 uses.
40. same - 20 uses.
41. came - 20 uses.
42. nothing - 20 uses.
43. freak - 20 uses.
44. alone - 20 uses.
45. much - 19 uses.
46. tonight - 19 uses.
47. cool - 19 uses.
48. back - 18 uses.
49. stay - 18 uses.
50. running - 18 uses.
51. found - 17 uses.
52. maybe - 17 uses.
53. through - 16 uses.
54. keep - 16 uses.
55. here - 16 uses.
56. last - 16 uses.
57. slo-mo - 16 uses.
58. fine - 15 uses.
59. guess - 15 uses.
60. going - 15 uses.
61. life - 15 uses.
62. slow - 15 uses.
63. between - 15 uses.
64. wrong - 15 uses.
65. lucky - 15 uses.
66. feeling - 15 uses.
67. together - 14 uses.
68. put - 14 uses.
69. fun - 14 uses.
70. far - 14 uses.
71. ahh - 14 uses.
72. breaking - 14 uses.
73. little - 13 uses.
74. playing - 13 uses.
75. boy - 13 uses.
76. something - 13 uses.
77. rise - 13 uses.
78. skin - 13 uses.
79. snow - 13 uses.
80. molly - 13 uses.
81. gotta - 12 uses.
82. break - 12 uses.
83. even - 12 uses.
84. light - 12 uses.
85. alright - 12 uses.
86. forever - 12 uses.
87. really - 11 uses.
88. youd - 11 uses.
89. every - 11 uses.
90. throw - 11 uses.
91. left - 11 uses.
92. give - 11 uses.
93. changed - 11 uses.
94. coming - 10 uses.
95. water - 10 uses.
96. move - 10 uses.
97. hard - 10 uses.
98. eyes - 10 uses.
99. over - 10 uses.
100. lets - 10 uses.
101. show - 10 uses.
102. leave - 10 uses.
103. loved - 10 uses.
104. thought - 10 uses.
105. hands - 10 uses.
106. jealousy - 10 uses.
107. mine - 10 uses.
108. missing - 10 uses.
109. dado - 10 uses.
110. kids - 10 uses.
111. name - 10 uses.
112. whats - 9 uses.
113. watch - 9 uses.
114. before - 9 uses.
115. saw - 9 uses.
116. ground - 9 uses.
117. close - 9 uses.
118. place - 9 uses.
119. knew - 9 uses.
120. forget - 9 uses.
121. best - 9 uses.
122. side - 9 uses.
123. used - 9 uses.
124. someone - 9 uses.
125. own - 9 uses.
126. count - 9 uses.
127. weve - 8 uses.
128. dreams - 8 uses.
129. world - 8 uses.
130. lying - 8 uses.
131. bit - 8 uses.
132. gave - 8 uses.
133. sparks - 8 uses.
134. electrify - 8 uses.
135. because - 8 uses.
136. late - 8 uses.
137. wash - 8 uses.
138. distance - 8 uses.
139. though - 8 uses.
140. wouldnt - 8 uses.
141. lie - 8 uses.
142. hurt - 8 uses.
143. drive - 8 uses.
144. pain - 8 uses.
145. line - 8 uses.
146. first - 8 uses.
147. oooh - 8 uses.
148. gets - 8 uses.
149. message - 8 uses.
150. else - 8 uses.
151. on-on-on - 8 uses.
152. on-on-on-on - 8 uses.
153. na - 8 uses.
154. super - 8 uses.
155. days - 7 uses.
156. god - 7 uses.
157. thoughts - 7 uses.
158. wait - 7 uses.
159. truth - 7 uses.
160. fall - 7 uses.
161. calling - 7 uses.
162. promised - 7 uses.
163. care - 7 uses.
164. went - 7 uses.
165. mean - 7 uses.
166. believe - 7 uses.
167. stole - 7 uses.
168. stop - 7 uses.
169. cut - 7 uses.
170. different - 7 uses.
171. lies - 7 uses.
172. aah - 7 uses.
173. ohh - 7 uses.
174. tight - 7 uses.
175. kind - 7 uses.
176. doo - 7 uses.
177. theyll - 6 uses.
178. crush - 6 uses.
179. ask - 6 uses.
180. havent - 6 uses.
181. round - 6 uses.
182. trying - 6 uses.
183. hand - 6 uses.
184. bad - 6 uses.
185. cos - 6 uses.
186. face - 6 uses.
187. enough - 6 uses.
188. lust - 6 uses.
189. honest - 6 uses.
190. great - 6 uses.
191. words - 6 uses.
192. met - 6 uses.
193. another - 6 uses.
194. doing - 6 uses.
195. looking - 6 uses.
196. blow - 6 uses.
197. shouldnt - 6 uses.
198. done - 6 uses.
199. once - 6 uses.
200. run - 6 uses.
201. known - 6 uses.
202. morning - 6 uses.
203. feels - 6 uses.
204. read - 6 uses.
205. jealousys - 6 uses.
206. rip - 6 uses.
207. yep - 6 uses.
208. dream - 6 uses.
209. calls - 6 uses.
210. comes - 6 uses.
211. catch - 6 uses.
212. reckless - 6 uses.
213. told - 6 uses.
214. makes - 6 uses.
215. wild - 6 uses.
216. new - 6 uses.
217. cmon - 6 uses.
218. remotely - 6 uses.
219. okay - 5 uses.
220. shine - 5 uses.
221. sit - 5 uses.
222. thinking - 5 uses.
223. anything - 5 uses.
224. probably - 5 uses.
225. few - 5 uses.
226. hate - 5 uses.
227. please - 5 uses.
228. ignite - 5 uses.
229. heat - 5 uses.
230. yourself - 5 uses.
231. losin - 5 uses.
232. trust - 5 uses.
233. sweet - 5 uses.
234. luck - 5 uses.
235. hurts - 5 uses.
236. flashbang - 5 uses.
237. wrote - 5 uses.
238. hear - 5 uses.
239. connect - 5 uses.
240. drift - 5 uses.
241. everyday - 5 uses.
242. leaving - 5 uses.
243. stars - 5 uses.
244. holding - 5 uses.
245. people - 5 uses.
246. hearts - 5 uses.
247. shout - 5 uses.
248. lied - 5 uses.
249. movie - 5 uses.
250. watching - 5 uses.
251. tied - 5 uses.
252. fade - 5 uses.
253. hey - 5 uses.
254. losing - 5 uses.
255. loving - 5 uses.
256. while - 5 uses.
257. minute - 5 uses.
258. does - 5 uses.
259. lavender - 5 uses.
260. easy - 5 uses.
261. spend - 5 uses.
262. space - 5 uses.
263. anybody - 5 uses.
264. dododo - 5 uses.
265. work - 5 uses.
266. self-destructing - 5 uses.
267. telephone - 5 uses.
268. lately - 4 uses.
269. fred - 4 uses.
270. knows - 4 uses.
271. fly - 4 uses.
272. long - 4 uses.
273. head - 4 uses.
274. scared - 4 uses.
275. starting - 4 uses.
276. bend - 4 uses.
277. felt - 4 uses.
278. sound - 4 uses.
279. blame - 4 uses.
280. hell - 4 uses.
281. eventually - 4 uses.
282. wish - 4 uses.
283. air - 4 uses.
284. picking - 4 uses.
285. putting - 4 uses.
286. already - 4 uses.
287. end - 4 uses.
288. tessellate - 4 uses.
289. forgive - 4 uses.
290. next - 4 uses.
291. wanting - 4 uses.
292. isabella - 4 uses.
293. wanted - 4 uses.
294. fight - 4 uses.
295. turn - 4 uses.
296. behind - 4 uses.
297. under - 4 uses.
298. floor - 4 uses.
299. doesnt - 4 uses.
300. metaphor - 4 uses.
301. shore - 4 uses.
302. pick - 4 uses.
303. eye - 4 uses.
304. black - 4 uses.
305. high - 4 uses.
306. 2 - 4 uses.
307. till - 4 uses.
308. everything - 4 uses.
309. moment - 4 uses.
310. nightmare - 4 uses.
311. scene - 4 uses.
312. broken - 4 uses.
313. gun - 4 uses.
314. thing - 4 uses.
315. dark - 4 uses.
316. control - 4 uses.
317. play - 4 uses.
318. getting - 4 uses.
319. true - 4 uses.
320. crazy - 4 uses.
321. kissing - 4 uses.
322. tick-tock - 4 uses.
323. sent - 4 uses.
324. replied - 4 uses.
325. hour - 4 uses.
326. revert - 4 uses.
327. recover - 4 uses.
328. hatred - 4 uses.
329. dooo - 4 uses.
330. grow - 4 uses.
331. called - 4 uses.
332. town - 4 uses.
333. unfair - 4 uses.
334. magic - 4 uses.
335. lock - 4 uses.
336. screens - 4 uses.
337. oooooooo-oooooo-oooo-oooo-ooooh - 4 uses.
338. having - 3 uses.
339. matter - 3 uses.
340. room - 3 uses.
341. miss - 3 uses.
342. anymore - 3 uses.
343. common - 3 uses.
344. misconception - 3 uses.
345. breakfast - 3 uses.
346. astaires - 3 uses.
347. bed - 3 uses.
348. dodge - 3 uses.
349. flaws - 3 uses.
350. design - 3 uses.
351. might - 3 uses.
352. connected - 3 uses.
353. harder - 3 uses.
354. affected - 3 uses.
355. on- - 3 uses.
