Most used words by Shakey Graves: 
Number of songs scanned: 73

1. never - 80 uses.
2. good - 55 uses.
3. love - 51 uses.
4. life - 51 uses.
5. ooh - 41 uses.
6. always - 36 uses.
7. let - 36 uses.
8. nothing - 34 uses.
9. old - 34 uses.
10. days - 32 uses.
11. back - 31 uses.
12. wait - 30 uses.
13. here - 30 uses.
14. home - 29 uses.
15. take - 28 uses.
16. baby - 28 uses.
17. better - 28 uses.
18. down - 27 uses.
19. little - 26 uses.
20. gone - 25 uses.
21. around - 25 uses.
22. neighbor - 25 uses.
23. think - 24 uses.
24. away - 23 uses.
25. tell - 23 uses.
26. right - 23 uses.
27. world - 22 uses.
28. night - 22 uses.
29. only - 22 uses.
30. knock - 21 uses.
31. used - 20 uses.
32. stay - 20 uses.
33. god - 20 uses.
34. lost - 20 uses.
35. money - 19 uses.
36. eyes - 19 uses.
37. heart - 19 uses.
38. give - 19 uses.
39. forever - 19 uses.
40. sweet - 18 uses.
41. keep - 18 uses.
42. son - 18 uses.
43. fall - 17 uses.
44. sit - 17 uses.
45. again - 17 uses.
46. alive - 17 uses.
47. every - 16 uses.
48. hope - 16 uses.
49. moon - 16 uses.
50. through - 16 uses.
51. thing - 16 uses.
52. girl - 16 uses.
53. goes - 16 uses.
54. run - 16 uses.
55. even - 15 uses.
56. found - 15 uses.
57. burn - 15 uses.
58. sleep - 15 uses.
59. taste - 15 uses.
60. long - 15 uses.
61. worth - 15 uses.
62. says - 15 uses.
63. something - 15 uses.
64. new - 14 uses.
65. big - 14 uses.
66. seems - 14 uses.
67. fun - 14 uses.
68. listener - 14 uses.
69. bed - 14 uses.
70. star - 14 uses.
71. after - 14 uses.
72. road - 14 uses.
73. hungry - 14 uses.
74. please - 13 uses.
75. getting - 13 uses.
76. alone - 13 uses.
77. fire - 13 uses.
78. bit - 13 uses.
79. another - 13 uses.
80. while - 13 uses.
81. yes - 13 uses.
82. knows - 13 uses.
83. under - 13 uses.
84. lonely - 13 uses.
85. must - 13 uses.
86. lord - 13 uses.
87. young - 13 uses.
88. lock - 13 uses.
89. both - 13 uses.
90. friends - 12 uses.
91. tomorrow - 12 uses.
92. lets - 12 uses.
93. put - 12 uses.
94. try - 12 uses.
95. hey - 12 uses.
96. wake - 12 uses.
97. such - 12 uses.
98. everything - 12 uses.
99. family - 12 uses.
100. without - 12 uses.
101. curse - 12 uses.
102. dream - 12 uses.
103. coming - 12 uses.
104. enough - 12 uses.
105. once - 12 uses.
106. live - 12 uses.
107. remember - 12 uses.
108. value - 12 uses.
109. far - 11 uses.
110. skin - 11 uses.
111. maybe - 11 uses.
112. die - 11 uses.
113. much - 11 uses.
114. lot - 11 uses.
115. near - 11 uses.
116. kids - 11 uses.
117. wander - 11 uses.
118. friend - 11 uses.
119. excuses - 10 uses.
120. feel - 10 uses.
121. surely - 10 uses.
122. forget - 10 uses.
123. worst - 10 uses.
124. sun - 10 uses.
125. late - 10 uses.
126. woo - 10 uses.
127. hoo - 10 uses.
128. face - 10 uses.
129. came - 10 uses.
130. same - 10 uses.
131. city - 10 uses.
132. might - 10 uses.
133. name - 10 uses.
134. keeps - 10 uses.
135. wish - 10 uses.
136. mother - 10 uses.
137. worry - 9 uses.
138. feet - 9 uses.
139. boy - 9 uses.
140. head - 9 uses.
141. whole - 9 uses.
142. hard - 9 uses.
143. really - 9 uses.
144. bad - 9 uses.
145. things - 9 uses.
146. heard - 9 uses.
147. mine - 9 uses.
148. easy - 9 uses.
149. door - 9 uses.
150. loves - 9 uses.
151. nobody - 9 uses.
152. turn - 9 uses.
153. sure - 9 uses.
154. mind - 9 uses.
155. bored - 9 uses.
156. hello - 9 uses.
157. others - 9 uses.
158. poison - 9 uses.
159. till - 9 uses.
160. cursing - 9 uses.
161. seeing - 9 uses.
162. whats - 9 uses.
163. waste - 9 uses.
164. about - 8 uses.
165. black - 8 uses.
166. dear - 8 uses.
167. wear - 8 uses.
168. grow - 8 uses.
169. tree - 8 uses.
170. thought - 8 uses.
171. until - 8 uses.
172. clothes - 8 uses.
173. looking - 8 uses.
174. til - 8 uses.
175. hand - 8 uses.
176. light - 8 uses.
177. youd - 8 uses.
178. ever - 8 uses.
179. blue - 8 uses.
180. dollar - 8 uses.
181. past - 8 uses.
