Most used words by Silverstein: 
Number of songs scanned: 152

1. never - 275 uses.
2. down - 208 uses.
3. away - 180 uses.
4. back - 165 uses.
5. again - 125 uses.
6. let - 121 uses.
7. take - 119 uses.
8. here - 117 uses.
9. feel - 105 uses.
10. through - 92 uses.
11. over - 88 uses.
12. face - 80 uses.
13. heart - 79 uses.
14. everything - 77 uses.
15. stay - 76 uses.
16. forget - 75 uses.
17. myself - 70 uses.
18. believe - 69 uses.
19. stop - 61 uses.
20. leave - 61 uses.
21. left - 60 uses.
22. always - 59 uses.
23. eyes - 59 uses.
24. same - 58 uses.
25. every - 58 uses.
26. love - 57 uses.
27. run - 57 uses.
28. only - 57 uses.
29. long - 55 uses.
30. night - 54 uses.
31. change - 52 uses.
32. head - 51 uses.
33. keep - 51 uses.
34. place - 50 uses.
35. another - 50 uses.
36. inside - 49 uses.
37. mind - 49 uses.
38. life - 49 uses.
39. thought - 47 uses.
40. tell - 47 uses.
41. ever - 47 uses.
42. start - 47 uses.
43. need - 46 uses.
44. last - 46 uses.
45. right - 45 uses.
46. lost - 44 uses.
47. yourself - 44 uses.
48. think - 43 uses.
49. gone - 43 uses.
50. until - 42 uses.
51. good - 42 uses.
52. give - 41 uses.
53. alone - 41 uses.
54. fall - 41 uses.
55. broken - 40 uses.
56. end - 40 uses.
57. nothing - 40 uses.
58. dead - 39 uses.
59. things - 39 uses.
60. lie - 39 uses.
61. something - 38 uses.
62. used - 38 uses.
63. without - 38 uses.
64. home - 37 uses.
65. try - 37 uses.
66. around - 37 uses.
67. much - 37 uses.
68. wish - 36 uses.
69. die - 35 uses.
70. world - 34 uses.
71. about - 34 uses.
72. cold - 33 uses.
73. before - 33 uses.
74. break - 33 uses.
75. close - 33 uses.
76. running - 33 uses.
77. tonight - 33 uses.
78. own - 32 uses.
79. hear - 32 uses.
80. wake - 32 uses.
81. even - 31 uses.
82. pain - 31 uses.
83. late - 31 uses.
84. ground - 31 uses.
85. stand - 30 uses.
86. sleep - 30 uses.
87. line - 30 uses.
88. watch - 29 uses.
89. help - 29 uses.
90. falling - 29 uses.
91. behind - 29 uses.
92. cut - 29 uses.
93. burn - 29 uses.
94. walk - 29 uses.
95. lets - 29 uses.
96. wrong - 29 uses.
97. light - 28 uses.
98. soul - 28 uses.
99. hate - 28 uses.
100. name - 28 uses.
101. times - 28 uses.
102. calling - 28 uses.
103. lies - 27 uses.
104. true - 27 uses.
105. put - 27 uses.
106. dreams - 27 uses.
107. please - 27 uses.
108. live - 26 uses.
109. wanted - 26 uses.
110. tried - 26 uses.
111. scared - 25 uses.
112. fight - 25 uses.
113. forever - 25 uses.
114. everyone - 25 uses.
115. someone - 25 uses.
116. better - 25 uses.
117. bad - 25 uses.
118. ready - 25 uses.
119. maybe - 24 uses.
120. thing - 24 uses.
121. follow - 24 uses.
122. words - 24 uses.
123. first - 24 uses.
124. save - 24 uses.
125. fire - 24 uses.
126. turn - 24 uses.
127. hearts - 24 uses.
128. feels - 24 uses.
129. hands - 23 uses.
130. smile - 23 uses.
131. trust - 23 uses.
132. holding - 23 uses.
133. wait - 23 uses.
134. sound - 23 uses.
135. days - 23 uses.
136. throw - 23 uses.
137. sun - 22 uses.
138. feeling - 22 uses.
139. whats - 22 uses.
140. perfect - 22 uses.
141. taking - 22 uses.
142. explain - 22 uses.
143. waiting - 22 uses.
144. should - 21 uses.
145. lose - 21 uses.
146. seen - 21 uses.
147. past - 21 uses.
148. breathe - 21 uses.
149. giving - 21 uses.
150. fine - 21 uses.
151. pretend - 21 uses.
152. lying - 21 uses.
153. couldnt - 20 uses.
154. trying - 20 uses.
155. hard - 20 uses.
156. changed - 20 uses.
157. done - 20 uses.
158. control - 20 uses.
159. came - 20 uses.
160. knees - 20 uses.
161. found - 20 uses.
162. truth - 20 uses.
163. dark - 20 uses.
164. knew - 20 uses.
165. years - 19 uses.
166. anything - 19 uses.
167. everyday - 19 uses.
168. ones - 19 uses.
169. felt - 19 uses.
170. while - 18 uses.
171. letting - 18 uses.
172. set - 18 uses.
173. safe - 18 uses.
174. remember - 18 uses.
175. going - 18 uses.
176. infinite - 18 uses.
177. baby - 18 uses.
178. somebody - 18 uses.
179. both - 17 uses.
180. side - 17 uses.
181. wind - 17 uses.
182. being - 17 uses.
183. coming - 17 uses.
184. took - 17 uses.
185. chance - 17 uses.
186. enough - 17 uses.
187. blood - 17 uses.
188. drowning - 16 uses.
189. whoa - 16 uses.
190. play - 16 uses.
191. feelings - 16 uses.
192. fast - 16 uses.
193. told - 16 uses.
194. youd - 16 uses.
195. deep - 16 uses.
196. little - 16 uses.
197. care - 16 uses.
198. street - 16 uses.
199. isnt - 16 uses.
200. other - 16 uses.
201. else - 16 uses.
202. game - 16 uses.
203. union - 16 uses.
204. demons - 16 uses.
205. short - 16 uses.
206. looking - 16 uses.
207. everywhere - 15 uses.
208. killing - 15 uses.
209. fake - 15 uses.
210. makes - 15 uses.
211. sense - 15 uses.
212. weve - 15 uses.
213. songs - 15 uses.
214. tomorrow - 15 uses.
215. voice - 15 uses.
216. shot - 15 uses.
217. drown - 15 uses.
218. hope - 15 uses.
219. bring - 15 uses.
220. hide - 15 uses.
221. body - 15 uses.
222. goodbye - 15 uses.
223. apart - 15 uses.
224. screaming - 15 uses.
225. toast - 15 uses.
226. ghost - 14 uses.
227. slowly - 14 uses.
228. moment - 14 uses.
229. sorrow - 14 uses.
230. takes - 14 uses.
231. move - 14 uses.
232. people - 14 uses.
233. together - 14 uses.
234. taken - 14 uses.
235. silence - 14 uses.
236. best - 14 uses.
237. dying - 14 uses.
238. burning - 14 uses.
239. kill - 14 uses.
240. tired - 14 uses.
241. sea - 14 uses.
242. darkness - 14 uses.
243. new - 14 uses.
244. promise - 14 uses.
245. thousand - 14 uses.
246. rest - 14 uses.
247. chasing - 14 uses.
248. wasnt - 13 uses.
249. win - 13 uses.
250. minds - 13 uses.
251. different - 13 uses.
252. dream - 13 uses.
253. hold - 13 uses.
254. lay - 13 uses.
255. city - 13 uses.
256. lights - 13 uses.
257. under - 13 uses.
258. slow - 13 uses.
259. house - 13 uses.
260. sick - 13 uses.
261. skin - 13 uses.
262. really - 13 uses.
263. meet - 13 uses.
264. listening - 13 uses.
265. happen - 13 uses.
266. hey - 13 uses.
267. disaster - 13 uses.
268. mug - 13 uses.
