Most used words by Sincere Engineer: 
Number of songs scanned: 23

1. saw - 32 uses.
2. wanna - 29 uses.
3. coming - 25 uses.
4. shoulda - 24 uses.
5. used - 24 uses.
6. keep - 21 uses.
7. down - 21 uses.
8. away - 21 uses.
9. feel - 20 uses.
10. much - 18 uses.
11. catch - 18 uses.
12. trying - 17 uses.
13. love - 17 uses.
14. gonna - 15 uses.
15. need - 14 uses.
16. whole - 13 uses.
17. back - 12 uses.
18. never - 12 uses.
19. still - 12 uses.
20. things - 11 uses.
21. again - 10 uses.
22. counting - 10 uses.
23. dumb - 10 uses.
24. once - 10 uses.
25. swim - 10 uses.
26. let - 9 uses.
27. face - 9 uses.
28. going - 9 uses.
29. losing - 9 uses.
30. fucking - 9 uses.
31. carry - 9 uses.
32. far - 9 uses.
33. supposed - 9 uses.
34. hey - 9 uses.
35. year - 9 uses.
36. yell - 9 uses.
37. think - 8 uses.
38. dying - 8 uses.
39. watch - 8 uses.
40. seems - 8 uses.
41. goddamn - 8 uses.
42. should - 8 uses.
43. another - 8 uses.
44. cmon - 8 uses.
45. run - 8 uses.
46. nowhere - 8 uses.
47. want - 7 uses.
48. myself - 7 uses.
49. remember - 7 uses.
50. reach - 7 uses.
51. head - 7 uses.
52. around - 7 uses.
53. nah - 7 uses.
54. spend - 7 uses.
55. making - 7 uses.
56. care - 7 uses.
57. anything - 7 uses.
58. nights - 7 uses.
59. lot - 7 uses.
60. fall - 6 uses.
61. asleep - 6 uses.
62. those - 6 uses.
63. maybe - 6 uses.
64. last - 6 uses.
65. give - 6 uses.
66. honest - 6 uses.
67. dead - 6 uses.
68. bathroom - 6 uses.
69. bed - 6 uses.
70. life - 6 uses.
71. leave - 6 uses.
72. play - 6 uses.
73. sorry - 6 uses.
74. shouda - 6 uses.
75. bad - 5 uses.
76. night - 5 uses.
77. street - 5 uses.
78. yelling - 5 uses.
79. mind - 5 uses.
80. left - 5 uses.
81. thought - 5 uses.
82. few - 5 uses.
83. before - 5 uses.
84. running - 5 uses.
85. fast - 5 uses.
86. something - 5 uses.
87. always - 5 uses.
88. feeling - 5 uses.
89. lake - 5 uses.
90. try - 5 uses.
91. ghost - 5 uses.
92. nothing - 5 uses.
93. empty - 5 uses.
94. ever - 5 uses.
95. everything - 5 uses.
96. stop - 5 uses.
97. hurt - 5 uses.
98. home - 5 uses.
99. please - 5 uses.
100. tell - 5 uses.
101. sleep - 4 uses.
102. tv - 4 uses.
103. getting - 4 uses.
104. where - 4 uses.
105. lonely - 4 uses.
106. staring - 4 uses.
107. close - 4 uses.
108. cold - 4 uses.
109. hours - 4 uses.
110. being - 4 uses.
111. finish - 4 uses.
112. cuz - 4 uses.
113. nice - 4 uses.
114. succeed - 4 uses.
115. cheat - 4 uses.
116. drink - 4 uses.
117. today - 4 uses.
118. lie - 4 uses.
119. broken - 4 uses.
120. smile - 4 uses.
121. mouth - 4 uses.
122. bleeding - 4 uses.
123. screw - 4 uses.
124. friends - 4 uses.
125. long - 4 uses.
126. sleeping - 4 uses.
127. clouds - 4 uses.
128. roll - 4 uses.
129. hard - 4 uses.
130. turn - 4 uses.
131. sinking - 4 uses.
132. jump - 4 uses.
133. michigan - 4 uses.
134. miss - 4 uses.
135. shattering - 4 uses.
136. bye - 4 uses.
137. doing - 4 uses.
138. pretending - 4 uses.
139. nothings - 4 uses.
140. wrong - 4 uses.
141. pass - 4 uses.
142. recluse - 4 uses.
143. tonight - 3 uses.
144. ones - 3 uses.
145. hear - 3 uses.
146. only - 3 uses.
147. kid - 3 uses.
148. heart - 3 uses.
149. company - 3 uses.
150. sun - 3 uses.
151. stupid - 3 uses.
152. through - 3 uses.
153. win - 3 uses.
154. ends - 3 uses.
155. minutes - 3 uses.
156. yea - 3 uses.
157. knew - 3 uses.
158. eyes - 3 uses.
159. good - 3 uses.
160. here - 3 uses.
161. late - 3 uses.
162. drunken - 3 uses.
163. forehead - 3 uses.
164. floor - 3 uses.
165. usually - 3 uses.
166. fuck - 3 uses.
167. sick - 3 uses.
168. distant - 3 uses.
169. lights - 3 uses.
170. sea - 3 uses.
171. swimming - 3 uses.
