Most used words by Sleeping At Last: 
Number of songs scanned: 169

1. love - 182 uses.
2. every - 129 uses.
3. only - 122 uses.
4. feel - 96 uses.
5. let - 93 uses.
6. life - 85 uses.
7. light - 83 uses.
8. world - 82 uses.
9. eyes - 81 uses.
10. heart - 80 uses.
11. down - 80 uses.
12. enough - 72 uses.
13. through - 72 uses.
14. never - 71 uses.
15. here - 70 uses.
16. little - 68 uses.
17. god - 61 uses.
18. weve - 57 uses.
19. home - 52 uses.
20. words - 51 uses.
21. before - 51 uses.
22. always - 49 uses.
23. back - 48 uses.
24. everything - 47 uses.
25. give - 47 uses.
26. without - 46 uses.
27. hold - 45 uses.
28. need - 43 uses.
29. christmas - 43 uses.
30. tell - 41 uses.
31. hands - 41 uses.
32. though - 41 uses.
33. breathe - 41 uses.
34. something - 40 uses.
35. til - 39 uses.
36. away - 39 uses.
37. try - 38 uses.
38. again - 38 uses.
39. ever - 38 uses.
40. night - 38 uses.
41. place - 38 uses.
42. nothing - 37 uses.
43. maybe - 37 uses.
44. even - 37 uses.
45. inside - 36 uses.
46. long - 36 uses.
47. once - 35 uses.
48. show - 35 uses.
49. fall - 35 uses.
50. right - 34 uses.
51. take - 34 uses.
52. over - 34 uses.
53. new - 33 uses.
54. much - 33 uses.
55. sound - 32 uses.
56. things - 32 uses.
57. breath - 31 uses.
58. broken - 31 uses.
59. reach - 31 uses.
60. keep - 31 uses.
61. please - 31 uses.
62. pull - 31 uses.
63. thing - 31 uses.
64. good - 31 uses.
65. after - 29 uses.
66. perfect - 29 uses.
67. set - 28 uses.
68. beautiful - 28 uses.
69. beat - 28 uses.
70. truth - 27 uses.
71. change - 27 uses.
72. safe - 27 uses.
73. apart - 26 uses.
74. behind - 26 uses.
75. better - 26 uses.
76. deep - 26 uses.
77. between - 26 uses.
78. faith - 26 uses.
79. left - 25 uses.
80. strong - 25 uses.
81. any - 25 uses.
82. promise - 25 uses.
83. dance - 25 uses.
84. best - 24 uses.
85. open - 24 uses.
86. own - 24 uses.
87. makes - 24 uses.
88. ready - 24 uses.
89. until - 24 uses.
90. mind - 24 uses.
91. hurry - 24 uses.
92. small - 24 uses.
93. does - 24 uses.
94. truths - 24 uses.
95. glass - 23 uses.
96. break - 23 uses.
97. matter - 23 uses.
98. lost - 23 uses.
99. mine - 23 uses.
100. true - 23 uses.
101. hope - 23 uses.
102. ground - 22 uses.
103. same - 22 uses.
104. born - 22 uses.
105. waiting - 22 uses.
106. far - 22 uses.
107. dust - 22 uses.
108. past - 22 uses.
109. hearts - 22 uses.
110. put - 22 uses.
111. earth - 22 uses.
112. wait - 22 uses.
113. around - 21 uses.
114. lets - 21 uses.
115. believe - 21 uses.
116. while - 21 uses.
117. together - 21 uses.
118. tonight - 21 uses.
119. year - 21 uses.
