Most used words by Sleigh Bells: 
Number of songs scanned: 67

1. down - 110 uses.
2. ah - 80 uses.
3. never - 68 uses.
4. away - 62 uses.
5. here - 59 uses.
6. die - 46 uses.
7. heart - 45 uses.
8. gotta - 42 uses.
9. twenty - 40 uses.
10. love - 39 uses.
11. run - 39 uses.
12. around - 39 uses.
13. stand - 35 uses.
14. going - 34 uses.
15. bomb - 32 uses.
16. take - 32 uses.
17. hummingbird - 32 uses.
18. sleep - 31 uses.
19. today - 31 uses.
20. life - 31 uses.
21. let - 29 uses.
22. only - 29 uses.
23. friend - 28 uses.
24. better - 27 uses.
25. right - 27 uses.
26. loyal - 27 uses.
27. about - 26 uses.
28. gone - 26 uses.
29. best - 26 uses.
30. hell - 25 uses.
31. need - 25 uses.
32. back - 25 uses.
33. dark - 24 uses.
34. rosary - 24 uses.
35. please - 23 uses.
36. might - 23 uses.
37. baby - 22 uses.
38. break - 22 uses.
39. eyes - 21 uses.
40. crying - 21 uses.
41. listen - 21 uses.
42. red - 21 uses.
43. girl - 21 uses.
44. lost - 21 uses.
45. beware - 21 uses.
46. days - 20 uses.
47. minnie - 20 uses.
48. sorry - 20 uses.
49. maybe - 20 uses.
50. really - 20 uses.
51. enough - 20 uses.
52. night - 20 uses.
53. feel - 20 uses.
54. three - 20 uses.
55. thing - 20 uses.
56. before - 20 uses.
57. road - 20 uses.
58. push - 19 uses.
59. comes - 19 uses.
60. shit - 19 uses.
61. think - 19 uses.
62. new - 18 uses.
63. again - 18 uses.
64. tell - 18 uses.
65. end - 18 uses.
66. crush - 18 uses.
67. straight - 18 uses.
68. runnin - 18 uses.
69. mind - 17 uses.
70. six - 17 uses.
71. stare - 17 uses.
72. believe - 17 uses.
73. show - 16 uses.
74. lay - 16 uses.
75. count - 16 uses.
76. dream - 16 uses.
77. sun - 16 uses.
78. yes - 16 uses.
79. ring - 16 uses.
80. taken - 16 uses.
81. oooh - 16 uses.
82. coma - 16 uses.
83. put - 15 uses.
84. rock - 15 uses.
85. over - 15 uses.
86. nothing - 15 uses.
87. hang - 15 uses.
88. whats - 15 uses.
89. ever - 15 uses.
90. goes - 15 uses.
91. yourself - 15 uses.
92. ticket - 15 uses.
93. blood - 15 uses.
94. roll - 14 uses.
95. line - 14 uses.
96. kids - 14 uses.
97. good - 14 uses.
98. should - 14 uses.
99. real - 14 uses.
100. alive - 14 uses.
101. try - 14 uses.
102. anymore - 14 uses.
103. win - 14 uses.
104. little - 14 uses.
105. kid - 14 uses.
106. young - 14 uses.
107. pray - 14 uses.
108. ah-ah - 14 uses.
109. hardly - 14 uses.
110. sing - 13 uses.
111. other - 13 uses.
112. head - 13 uses.
113. street - 13 uses.
114. takes - 13 uses.
115. pain - 13 uses.
116. afraid - 13 uses.
117. always - 13 uses.
118. war - 13 uses.
119. door - 13 uses.
120. legends - 13 uses.
121. ripper - 12 uses.
122. wrong - 12 uses.
123. everything - 12 uses.
124. used - 12 uses.
125. pines - 12 uses.
126. keep - 12 uses.
127. goodbye - 12 uses.
128. even - 12 uses.
129. world - 12 uses.
130. strip - 12 uses.
131. pulling - 12 uses.
132. moon - 12 uses.
133. mean - 12 uses.
134. wake - 12 uses.
135. acre - 12 uses.
136. rose - 12 uses.
137. click - 12 uses.
138. true - 11 uses.
139. every - 11 uses.
140. while - 11 uses.
141. same - 11 uses.
142. because - 11 uses.
143. through - 11 uses.
144. sad - 11 uses.
145. tips - 11 uses.
146. tonight - 11 uses.
147. thanks - 11 uses.
148. ahead - 11 uses.
149. cool - 11 uses.
150. killing - 11 uses.
151. inside - 11 uses.
152. hey - 10 uses.
153. blue - 10 uses.
154. came - 10 uses.
155. lies - 10 uses.
156. alone - 10 uses.
157. nobody - 10 uses.
158. cares - 10 uses.
159. ground - 10 uses.
160. live - 10 uses.
161. hear - 10 uses.
162. far - 10 uses.
163. fire - 10 uses.
164. mine - 10 uses.
165. exit - 10 uses.
166. hand - 10 uses.
167. old - 10 uses.
168. much - 9 uses.
169. remember - 9 uses.
170. knows - 9 uses.
171. light - 9 uses.
172. cut - 9 uses.
173. stop - 9 uses.
174. talk - 9 uses.
175. punch - 9 uses.
176. trouble - 9 uses.
177. blow - 9 uses.
178. concrete - 9 uses.
179. toes - 9 uses.
180. teeth - 9 uses.
181. set - 9 uses.
182. clean - 9 uses.
183. screaming - 9 uses.
184. boy - 8 uses.
185. heavens - 8 uses.
186. okay - 8 uses.
187. face - 8 uses.
188. cold - 8 uses.
189. redemption - 8 uses.
190. truth - 8 uses.
191. turn - 8 uses.
192. above - 8 uses.
193. feeling - 8 uses.
194. dirt - 8 uses.
195. pretty - 8 uses.
196. terrifying - 8 uses.
197. american - 8 uses.
198. feet - 8 uses.
199. high - 8 uses.
200. till - 8 uses.
201. ripping - 8 uses.
202. god - 8 uses.
203. took - 8 uses.
204. knock - 8 uses.
205. ride - 8 uses.
206. flags - 8 uses.
207. flag - 8 uses.
208. bitter - 8 uses.
209. rival - 8 uses.
210. survival - 8 uses.
211. believing - 8 uses.
212. awake - 8 uses.
213. ears - 8 uses.
214. legitimate - 8 uses.
215. slash - 8 uses.
216. heavy - 7 uses.
217. deal - 7 uses.
218. knees - 7 uses.
219. hearts - 7 uses.
220. middle - 7 uses.
221. lie - 7 uses.
222. wind - 7 uses.
223. gets - 7 uses.
224. hope - 7 uses.
225. hard - 7 uses.
226. hair - 7 uses.
227. classic - 7 uses.
228. kill - 7 uses.
229. knife - 7 uses.
230. breathe - 7 uses.
231. twice - 7 uses.
232. legend - 7 uses.
233. yours - 7 uses.
234. fight - 7 uses.
235. close - 7 uses.
236. sometimes - 7 uses.
237. stars - 7 uses.
238. front - 7 uses.
239. else - 7 uses.
240. sky - 7 uses.
241. rip - 7 uses.
242. between - 7 uses.
243. pick - 7 uses.
244. dynamite - 7 uses.
245. dying - 7 uses.
246. metal - 6 uses.
247. heaven - 6 uses.
248. fall - 6 uses.
249. shred - 6 uses.
250. guitar - 6 uses.
251. proud - 6 uses.
252. fear - 6 uses.
253. big - 6 uses.
254. black - 6 uses.
255. soul - 6 uses.
256. desperate - 6 uses.
257. something - 6 uses.
258. jump - 6 uses.
259. kicks - 6 uses.
260. fun - 6 uses.
261. coming - 6 uses.
262. shine - 6 uses.
263. shiver - 6 uses.
264. whole - 6 uses.
265. bring - 6 uses.
266. free - 6 uses.
267. very - 6 uses.
268. ready - 6 uses.
269. saw - 6 uses.
270. check - 6 uses.
271. whatever - 6 uses.
272. saints - 6 uses.
273. getting - 6 uses.
274. together - 6 uses.
275. bad - 6 uses.
276. telling - 6 uses.
277. alright - 6 uses.
278. boys - 6 uses.
279. moving - 6 uses.
280. apart - 6 uses.
281. lightning - 6 uses.
282. dreaming - 6 uses.
283. dead-end - 6 uses.
284. running - 6 uses.
285. breath - 6 uses.
286. bombs - 6 uses.
287. instinct - 6 uses.
288. flesh - 6 uses.
289. holding - 6 uses.
290. anyone - 6 uses.
291. gained - 6 uses.
292. sake - 6 uses.
293. firetrucks - 6 uses.
294. ending - 6 uses.
295. such - 6 uses.
296. saddle - 6 uses.
297. phone - 6 uses.
298. trends - 6 uses.
299. born - 6 uses.
300. lose - 6 uses.
301. meant - 6 uses.
302. hyper - 6 uses.
303. drummer - 5 uses.
304. band - 5 uses.
305. march - 5 uses.
306. heat - 5 uses.
307. fucking - 5 uses.
308. grave - 5 uses.
309. any - 5 uses.
310. heads - 5 uses.
311. become - 5 uses.
312. name - 5 uses.
313. morning - 5 uses.
314. words - 5 uses.
315. thought - 5 uses.
316. somewhere - 5 uses.
317. start - 5 uses.
318. friends - 5 uses.
319. tear - 5 uses.
320. fuck - 5 uses.
321. another - 5 uses.
322. girls - 5 uses.
323. grass - 5 uses.
324. tough - 5 uses.
325. open - 5 uses.
326. silver - 5 uses.
327. compare - 5 uses.
328. king - 5 uses.
329. lifetime - 5 uses.
330. era - 5 uses.
331. behind - 5 uses.
332. arent - 5 uses.
333. cavity - 5 uses.
334. throw - 5 uses.
335. stairs - 5 uses.
336. doesnt - 5 uses.
337. give - 5 uses.
338. tiger - 5 uses.
339. deep - 4 uses.
340. streets - 4 uses.
341. panic - 4 uses.
342. pennies - 4 uses.
343. gunslinger - 4 uses.
344. undertaker - 4 uses.
345. heartbreaker - 4 uses.
346. eraser - 4 uses.
347. faith - 4 uses.
348. long - 4 uses.
349. o-oh - 4 uses.
350. brave - 4 uses.
351. went - 4 uses.
352. scream - 4 uses.
353. wall - 4 uses.
354. drink - 4 uses.
355. laughing - 4 uses.
356. flame - 4 uses.
357. walk - 4 uses.
358. last - 4 uses.
359. favorite - 4 uses.
360. reprieve - 4 uses.
361. hideous - 4 uses.
362. dare - 4 uses.
363. crossed - 4 uses.
364. lives - 4 uses.
365. shade - 4 uses.
366. wait - 4 uses.
367. test - 4 uses.
368. lowest - 4 uses.
369. someone - 4 uses.
370. bleeding - 4 uses.
371. leave - 4 uses.
372. wonder - 4 uses.
373. care - 4 uses.
374. tried - 4 uses.
375. harder - 4 uses.
376. comeback - 4 uses.
377. gear - 4 uses.
378. cheer - 4 uses.
379. under - 4 uses.
380. tennessee - 4 uses.
381. fucked - 4 uses.
382. crushed - 4 uses.
383. banging - 4 uses.
384. drum - 4 uses.
385. ice - 4 uses.
386. mickey - 4 uses.
387. mantles - 4 uses.
388. stepped - 4 uses.
389. started - 4 uses.
390. hole - 4 uses.
391. champagne - 4 uses.
392. forever - 4 uses.
393. wrapped - 4 uses.
394. sixteen - 4 uses.
395. beneath - 4 uses.
396. quick - 4 uses.
397. bright - 4 uses.
398. lover - 4 uses.
399. dads - 4 uses.
400. mothers - 4 uses.
401. burned - 4 uses.
402. speed - 4 uses.
403. touch - 4 uses.
404. mostly - 4 uses.
405. field - 4 uses.
406. home - 4 uses.
407. torn - 4 uses.
408. moments - 4 uses.
409. happened - 4 uses.
410. imagined - 4 uses.
411. floor - 4 uses.
412. argue - 4 uses.
413. fumes - 4 uses.
414. empty - 4 uses.
415. says - 4 uses.
416. those - 4 uses.
