Most used words by Soccer Mommy: 
Number of songs scanned: 54

1. love - 65 uses.
2. back - 38 uses.
3. feel - 34 uses.
4. feeling - 34 uses.
5. eyes - 34 uses.
6. always - 34 uses.
7. only - 33 uses.
8. heart - 32 uses.
9. around - 32 uses.
10. think - 31 uses.
11. let - 31 uses.
12. ever - 29 uses.
13. never - 26 uses.
14. down - 26 uses.
15. alone - 25 uses.
16. ooh - 24 uses.
17. baby - 24 uses.
18. falling - 23 uses.
19. feed - 22 uses.
20. wanted - 21 uses.
21. mind - 20 uses.
22. wish - 19 uses.
23. everything - 19 uses.
24. through - 18 uses.
25. inside - 18 uses.
26. crazy - 18 uses.
27. try - 18 uses.
28. take - 16 uses.
29. girl - 15 uses.
30. home - 15 uses.
31. skin - 15 uses.
32. night - 15 uses.
33. else - 15 uses.
34. quit - 15 uses.
35. taunting - 15 uses.
36. little - 14 uses.
37. face - 14 uses.
38. about - 14 uses.
39. need - 14 uses.
40. round - 14 uses.
41. maybe - 13 uses.
42. left - 13 uses.
43. someone - 13 uses.
44. keep - 13 uses.
45. leave - 13 uses.
46. yours - 13 uses.
47. cold - 13 uses.
48. give - 13 uses.
49. bc - 13 uses.
50. tell - 13 uses.
51. whats - 13 uses.
52. felt - 12 uses.
53. break - 12 uses.
54. kiss - 12 uses.
55. before - 12 uses.
56. while - 12 uses.
57. yet - 12 uses.
58. open - 12 uses.
59. even - 12 uses.
60. something - 12 uses.
61. grown - 12 uses.
62. touch - 12 uses.
63. blue - 11 uses.
64. room - 11 uses.
65. wants - 11 uses.
66. turn - 11 uses.
67. fine - 11 uses.
68. thought - 11 uses.
69. own - 11 uses.
70. away - 11 uses.
71. fire - 11 uses.
72. sweet - 11 uses.
73. waiting - 11 uses.
74. darling - 11 uses.
75. summer - 10 uses.
76. thinking - 10 uses.
77. choose - 10 uses.
78. place - 10 uses.
79. same - 10 uses.
80. stone - 10 uses.
81. hard - 10 uses.
82. apart - 10 uses.
83. last - 10 uses.
84. blood - 9 uses.
85. high - 9 uses.
86. behind - 9 uses.
87. makes - 9 uses.
88. really - 9 uses.
89. things - 9 uses.
90. living - 9 uses.
91. real - 9 uses.
92. car - 9 uses.
93. looks - 9 uses.
94. lips - 9 uses.
95. over - 9 uses.
96. sleep - 8 uses.
97. guess - 8 uses.
98. enough - 8 uses.
99. told - 8 uses.
100. dreams - 8 uses.
101. thing - 8 uses.
102. days - 8 uses.
103. talk - 8 uses.
104. spaces - 8 uses.
105. knows - 8 uses.
