Most used words by Spanish Love Songs: 
Number of songs scanned: 42

1. down - 43 uses.
2. never - 36 uses.
3. back - 35 uses.
4. love - 34 uses.
5. feel - 33 uses.
6. think - 31 uses.
7. home - 31 uses.
8. always - 29 uses.
9. forever - 27 uses.
10. right - 25 uses.
11. away - 24 uses.
12. take - 23 uses.
13. bleak - 23 uses.
14. again - 22 uses.
15. myself - 22 uses.
16. life - 21 uses.
17. nothing - 21 uses.
18. better - 21 uses.
19. about - 21 uses.
20. maybe - 21 uses.
21. leave - 21 uses.
22. only - 21 uses.
23. die - 20 uses.
24. ever - 19 uses.
25. room - 18 uses.
26. years - 18 uses.
27. everything - 18 uses.
28. alone - 18 uses.
29. same - 18 uses.
30. every - 18 uses.
31. shit - 17 uses.
32. need - 16 uses.
33. another - 16 uses.
34. even - 16 uses.
35. because - 16 uses.
36. end - 16 uses.
37. gets - 16 uses.
38. days - 16 uses.
39. dead - 15 uses.
40. bed - 15 uses.
41. keep - 15 uses.
42. fucking - 15 uses.
43. head - 15 uses.
44. whats - 15 uses.
45. world - 15 uses.
46. waiting - 14 uses.
47. here - 14 uses.
48. anymore - 14 uses.
49. happy - 14 uses.
50. okay - 14 uses.
51. hate - 14 uses.
52. things - 14 uses.
53. without - 14 uses.
54. mind - 14 uses.
55. last - 13 uses.
56. friends - 13 uses.
57. sleep - 13 uses.
58. try - 13 uses.
59. left - 13 uses.
60. looking - 13 uses.
61. doesnt - 13 uses.
62. year - 12 uses.
63. wake - 12 uses.
64. through - 12 uses.
65. much - 12 uses.
66. trying - 12 uses.
67. hope - 12 uses.
68. other - 12 uses.
69. let - 12 uses.
70. until - 12 uses.
71. says - 12 uses.
72. harder - 11 uses.
73. over - 11 uses.
74. might - 11 uses.
75. bright - 11 uses.
76. change - 11 uses.
77. family - 11 uses.
78. tired - 11 uses.
79. watch - 11 uses.
80. any - 11 uses.
81. should - 11 uses.
82. sick - 11 uses.
83. name - 11 uses.
84. enough - 10 uses.
85. new - 10 uses.
86. everyone - 10 uses.
87. house - 10 uses.
88. after - 10 uses.
89. before - 10 uses.
90. living - 10 uses.
91. least - 10 uses.
92. inside - 10 uses.
93. heart - 10 uses.
94. place - 10 uses.
95. meet - 10 uses.
96. something - 9 uses.
97. thinking - 9 uses.
98. please - 9 uses.
99. reason - 9 uses.
100. lower - 9 uses.
