Most used words by Spose: 
Number of songs scanned: 176

1. never - 299 uses.
2. shit - 280 uses.
3. back - 260 uses.
4. down - 241 uses.
5. keep - 217 uses.
6. right - 185 uses.
7. here - 180 uses.
8. need - 175 uses.
9. give - 174 uses.
10. em - 174 uses.
11. fuck - 172 uses.
12. spose - 168 uses.
13. put - 167 uses.
14. money - 160 uses.
15. life - 159 uses.
16. let - 155 uses.
17. maine - 155 uses.
18. even - 143 uses.
19. every - 142 uses.
20. good - 142 uses.
21. gotta - 138 uses.
22. feel - 134 uses.
23. better - 134 uses.
24. take - 133 uses.
25. think - 124 uses.
26. people - 123 uses.
27. about - 115 uses.
28. hot - 110 uses.
29. work - 110 uses.
30. big - 106 uses.
31. rap - 105 uses.
32. since - 100 uses.
33. through - 98 uses.
34. used - 98 uses.
35. might - 95 uses.
36. night - 95 uses.
37. only - 94 uses.
38. told - 94 uses.
39. around - 91 uses.
40. while - 91 uses.
41. run - 90 uses.
42. getting - 89 uses.
43. lie - 89 uses.
44. high - 88 uses.
45. dope - 84 uses.
46. kids - 84 uses.
47. old - 84 uses.
48. till - 83 uses.
49. same - 82 uses.
50. hey - 82 uses.
51. tryna - 81 uses.
52. feeling - 81 uses.
53. awesome - 80 uses.
54. home - 80 uses.
55. little - 80 uses.
56. really - 80 uses.
57. stop - 79 uses.
58. though - 79 uses.
59. hard - 78 uses.
60. tell - 78 uses.
61. over - 76 uses.
62. last - 76 uses.
63. game - 76 uses.
64. new - 74 uses.
65. face - 74 uses.
66. before - 73 uses.
67. damn - 73 uses.
68. hit - 73 uses.
69. weed - 73 uses.
70. away - 73 uses.
71. broke - 71 uses.
72. name - 71 uses.
73. ever - 70 uses.
74. wells - 69 uses.
75. thought - 68 uses.
76. always - 68 uses.
77. another - 67 uses.
78. dude - 67 uses.
79. pretty - 67 uses.
80. hate - 66 uses.
81. baby - 66 uses.
82. info - 66 uses.
83. own - 65 uses.
84. because - 65 uses.
85. show - 64 uses.
86. first - 63 uses.
87. again - 63 uses.
88. song - 62 uses.
89. mom - 61 uses.
90. should - 61 uses.
91. house - 61 uses.
92. going - 60 uses.
93. turn - 60 uses.
94. thing - 59 uses.
95. bro - 58 uses.
96. bitch - 58 uses.
97. saw - 58 uses.
98. came - 58 uses.
99. beat - 57 uses.
100. long - 57 uses.
101. dudes - 57 uses.
102. looking - 57 uses.
103. everybody - 57 uses.
104. much - 56 uses.
105. doing - 56 uses.
106. til - 56 uses.
107.  - 56 uses.
108. wouldnt - 56 uses.
109. hands - 55 uses.
110. play - 55 uses.
111. went - 55 uses.
112. lost - 55 uses.
113. next - 55 uses.
114. world - 54 uses.
115. heard - 54 uses.
116. without - 54 uses.
117. smoke - 53 uses.
118. bad - 52 uses.
119. top - 52 uses.
120. lets - 52 uses.
121. fucking - 52 uses.
122. alright - 52 uses.
123. cam - 51 uses.
124. dank - 51 uses.
125. girl - 51 uses.
126. mic - 50 uses.
127. try - 50 uses.
128. thatd - 50 uses.
129. things - 50 uses.
130. buy - 49 uses.
131. trying - 49 uses.
132. whats - 49 uses.
133. love - 49 uses.
134. nobody - 49 uses.
135. plus - 49 uses.
136. days - 48 uses.
137. spizzy - 48 uses.
138. god - 47 uses.
139. white - 47 uses.
140. rhymes - 47 uses.
141. bring - 47 uses.
142. mad - 47 uses.
143. uh - 47 uses.
144. yall - 47 uses.
145. higher - 47 uses.
146. bucks - 47 uses.
147. whole - 46 uses.
148. pay - 46 uses.
149. die - 46 uses.
150. other - 46 uses.
151. gone - 46 uses.
152. hundred - 46 uses.
153. spit - 46 uses.
154. best - 46 uses.
155. bout - 46 uses.
156. took - 46 uses.
157. cold - 45 uses.
158. after - 45 uses.
159. paid - 45 uses.
160. kid - 45 uses.
161. making - 45 uses.
162. guy - 45 uses.
163. mean - 45 uses.
164. talk - 45 uses.
165. ayup - 45 uses.
166. change - 45 uses.
167. maybe - 45 uses.
168. stay - 45 uses.
169. leave - 44 uses.
170. until - 44 uses.
171. wish - 44 uses.
172. done - 44 uses.
173. years - 44 uses.
174. something - 44 uses.
175. different - 44 uses.
176. cash - 44 uses.
177. real - 43 uses.
178. guess - 42 uses.
179. those - 42 uses.
180. started - 42 uses.
181. yo - 42 uses.
182. lot - 42 uses.
183. hope - 41 uses.
184. drive - 41 uses.
185. bill - 41 uses.
186. live - 41 uses.
187. watch - 41 uses.
188. listen - 41 uses.
189. probably - 40 uses.
190. free - 40 uses.
191. mind - 40 uses.
192. ima - 40 uses.
193. left - 40 uses.
194. must - 40 uses.
195. john - 39 uses.
196. bank - 39 uses.
197. wrong - 39 uses.
198. smoked - 39 uses.
199. coming - 39 uses.
200. ass - 39 uses.
201. girls - 39 uses.
202. hold - 38 uses.
203. couldnt - 38 uses.
204. state - 38 uses.
205. turned - 38 uses.
206. black - 38 uses.
207. jump - 38 uses.
208. write - 38 uses.
209. myself - 38 uses.
210. party - 38 uses.
211. phone - 37 uses.
212. car - 37 uses.
213. enough - 37 uses.
214. sound - 36 uses.
215. friends - 36 uses.
216. hell - 36 uses.
217. help - 36 uses.
218. songs - 35 uses.
219. wasnt - 35 uses.
220. three - 35 uses.
221. school - 35 uses.
222. quite - 35 uses.
223. seen - 35 uses.
224. place - 35 uses.
225. guys - 34 uses.
226. job - 34 uses.
227. trees - 34 uses.
228. five - 34 uses.
229. goes - 34 uses.
230. knew - 34 uses.
231. shame - 34 uses.
232. dreams - 33 uses.
233. doesnt - 33 uses.
234. quit - 33 uses.
235. inside - 33 uses.
236. front - 33 uses.
237. check - 33 uses.
238. whip - 33 uses.
239. madden - 33 uses.
240. light - 33 uses.
241. king - 33 uses.
242. mirror - 33 uses.
243. jaguars - 33 uses.
244. kill - 32 uses.
245. working - 32 uses.
246. rock - 32 uses.
247. drink - 32 uses.
248. outside - 32 uses.
249. thousand - 32 uses.
250. hear - 32 uses.
251. tonight - 32 uses.
252. rapper - 31 uses.
253. smoking - 31 uses.
254. four - 31 uses.
255. side - 31 uses.
256. body - 31 uses.
257. year - 31 uses.
258. seven - 31 uses.
259. week - 31 uses.
260. great - 31 uses.
261. door - 31 uses.
262. record - 31 uses.
263. throw - 30 uses.
264. hand - 30 uses.
265. p - 30 uses.
266. playing - 30 uses.
267. full - 30 uses.
268. sun - 30 uses.
269. cool - 30 uses.
270. wall - 30 uses.
271. believe - 30 uses.
272. ooh - 30 uses.
273. line - 30 uses.
274. lose - 30 uses.
275. start - 29 uses.
276. bars - 29 uses.
277. quick - 29 uses.
278. tried - 29 uses.
279. dark - 29 uses.
280. drugs - 29 uses.
281. nah - 29 uses.
282. couple - 29 uses.
283. sorry - 29 uses.
284. rappers - 29 uses.
285. end - 29 uses.
286. rich - 29 uses.
287. later - 28 uses.
288. words - 28 uses.
289. album - 28 uses.
290. drop - 28 uses.
291. ones - 28 uses.
292. nothing - 28 uses.
293. ask - 28 uses.
294. wrote - 28 uses.
295. isnt - 28 uses.
296. once - 28 uses.
297. radio - 28 uses.
298. being - 28 uses.
299. past - 28 uses.
300. most - 28 uses.
301. groves - 28 uses.
302. rather - 28 uses.
303. town - 27 uses.
304. shut - 27 uses.
305. true - 27 uses.
306. fall - 27 uses.
307. track - 27 uses.
308. under - 27 uses.
309. dad - 27 uses.
310. 2 - 27 uses.
311. head - 27 uses.
