Most used words by State Champs: 
Number of songs scanned: 62

1. again - 87 uses.
2. never - 80 uses.
3. down - 78 uses.
4. head - 72 uses.
5. back - 68 uses.
6. let - 66 uses.
7. think - 65 uses.
8. away - 65 uses.
9. feel - 58 uses.
10. stay - 56 uses.
11. gone - 54 uses.
12. something - 50 uses.
13. only - 49 uses.
14. where - 48 uses.
15. nothing - 48 uses.
16. whats - 47 uses.
17. thought - 45 uses.
18. take - 45 uses.
19. enough - 45 uses.
20. right - 40 uses.
21. life - 39 uses.
22. tell - 39 uses.
23. love - 38 uses.
24. left - 36 uses.
25. around - 36 uses.
26. here - 36 uses.
27. before - 36 uses.
28. everything - 35 uses.
29. place - 32 uses.
30. told - 30 uses.
31. believe - 30 uses.
32. myself - 30 uses.
33. wouldnt - 29 uses.
34. inside - 29 uses.
35. hope - 29 uses.
36. knew - 29 uses.
37. through - 28 uses.
38. need - 28 uses.
39. ever - 27 uses.
40. night - 27 uses.
41. over - 27 uses.
42. days - 26 uses.
43. maybe - 25 uses.
44. dead - 25 uses.
45. tonight - 24 uses.
46. always - 24 uses.
47. fall - 24 uses.
48. wrong - 24 uses.
49. things - 23 uses.
50. because - 23 uses.
51. goes - 22 uses.
52. wait - 22 uses.
53. alone - 22 uses.
54. comes - 21 uses.
55. own - 21 uses.
56. better - 21 uses.
57. care - 21 uses.
58. show - 21 uses.
59. gotta - 20 uses.
60. every - 20 uses.
61. break - 20 uses.
62. hard - 20 uses.
63. weve - 20 uses.
64. waiting - 20 uses.
65. looking - 20 uses.
66. worth - 20 uses.
67. another - 20 uses.
68. world - 20 uses.
69. leave - 20 uses.
70. dream - 19 uses.
71. mind - 19 uses.
72. face - 19 uses.
73. mean - 19 uses.
74. same - 19 uses.
75. running - 19 uses.
76. coming - 18 uses.
77. sound - 18 uses.
78. seem - 17 uses.
79. eyes - 17 uses.
80. trying - 17 uses.
81. after - 17 uses.
82. sense - 17 uses.
83. couldnt - 17 uses.
84. keep - 17 uses.
85. criminal - 17 uses.
86. change - 16 uses.
87. thinking - 16 uses.
88. much - 16 uses.
89. lets - 16 uses.
90. living - 16 uses.
91. try - 16 uses.
92. making - 16 uses.
93. best - 16 uses.
94. heart - 16 uses.
95. oh-oh-oh - 16 uses.
96. hold - 16 uses.
97. home - 15 uses.
98. long - 15 uses.
99. while - 15 uses.
100. play - 15 uses.
101. crying - 15 uses.
102. anything - 15 uses.
103. line - 15 uses.
104. ground - 15 uses.
105. really - 15 uses.
106. year - 14 uses.
107. live - 14 uses.
108. without - 14 uses.
109. used - 14 uses.
110. easy - 14 uses.
111. anymore - 14 uses.
112. true - 14 uses.
113. last - 14 uses.
114. stand - 14 uses.
115. wasnt - 14 uses.
116. getting - 14 uses.
117. sometimes - 14 uses.
118. different - 14 uses.
119. wanted - 14 uses.
120. bound - 14 uses.
121. past - 13 uses.
122. came - 13 uses.
123. sorry - 13 uses.
124. straight - 13 uses.
125. talk - 13 uses.
126. wish - 13 uses.
127. ends - 13 uses.
128. heres - 13 uses.
129. doesnt - 12 uses.
130. end - 12 uses.
131. alright - 12 uses.
132. feeling - 12 uses.
133. second - 12 uses.
134. remember - 12 uses.
135. name - 12 uses.
136. pretend - 12 uses.
137. breathe - 12 uses.
138. sleep - 12 uses.
