Most used words by Streetlight Manifesto: 
Number of songs scanned: 56

1. never - 148 uses.
2. down - 109 uses.
3. going - 80 uses.
4. wrong - 64 uses.
5. end - 63 uses.
6. everything - 62 uses.
7. right - 60 uses.
8. nothing - 59 uses.
9. back - 59 uses.
10. whoa - 54 uses.
11. because - 53 uses.
12. think - 50 uses.
13. ever - 47 uses.
14. hey - 47 uses.
15. away - 44 uses.
16. take - 43 uses.
17. things - 41 uses.
18. care - 41 uses.
19. life - 41 uses.
20. again - 39 uses.
21. need - 39 uses.
22. understand - 38 uses.
23. night - 36 uses.
24. everyone - 34 uses.
25. every - 33 uses.
26. tell - 33 uses.
27. goes - 32 uses.
28. long - 31 uses.
29. something - 31 uses.
30. alone - 30 uses.
31. always - 30 uses.
32. na - 30 uses.
33. believe - 29 uses.
34. stop - 29 uses.
35. give - 29 uses.
36. anyone - 29 uses.
37. about - 28 uses.
38. try - 28 uses.
39. really - 27 uses.
40. here - 27 uses.
41. days - 27 uses.
42. even - 27 uses.
43. only - 26 uses.
44. before - 25 uses.
45. keep - 24 uses.
46. love - 24 uses.
47. hear - 24 uses.
48. fall - 23 uses.
49. song - 23 uses.
50. might - 23 uses.
51. die - 23 uses.
52. left - 22 uses.
53. theyll - 22 uses.
54. knew - 22 uses.
55. worry - 22 uses.
56. through - 21 uses.
57. stand - 21 uses.
58. head - 21 uses.
59. watch - 21 uses.
60. mind - 20 uses.
61. hell - 20 uses.
62. little - 20 uses.
63. let - 20 uses.
64. another - 20 uses.
65. own - 19 uses.
66. around - 19 uses.
67. friends - 19 uses.
68. save - 19 uses.
69. world - 19 uses.
70. hand - 19 uses.
71. fine - 19 uses.
72. went - 19 uses.
73. nobody - 19 uses.
74. gave - 19 uses.
75. everybodys - 18 uses.
76. leave - 18 uses.
77. better - 18 uses.
78. meant - 18 uses.
79. girl - 18 uses.
80. told - 18 uses.
81. broke - 18 uses.
82. single - 17 uses.
83. gone - 17 uses.
84. feel - 17 uses.
85. god - 17 uses.
86. forever - 17 uses.
87. anything - 17 uses.
88. last - 17 uses.
89. years - 17 uses.
90. bad - 16 uses.
91. best - 16 uses.
92. yourself - 16 uses.
93. live - 16 uses.
94. sad - 16 uses.
95. looking - 16 uses.
96. inside - 16 uses.
97. took - 16 uses.
98. lot - 16 uses.
99. record - 16 uses.
100. kristina - 16 uses.
101. laughing - 15 uses.
102. feet - 15 uses.
103. friend - 15 uses.
104. someone - 15 uses.
105. else - 15 uses.
106. hold - 15 uses.
107. seem - 15 uses.
108. three - 15 uses.
109. once - 15 uses.
110. says - 15 uses.
111. came - 15 uses.
112. someday - 15 uses.
113. mercy - 15 uses.
114. hope - 14 uses.
115. much - 14 uses.
116. matter - 14 uses.
117. wanted - 14 uses.
118. singing - 14 uses.
119. lost - 14 uses.
120. thinking - 13 uses.
121. name - 13 uses.
122. wouldnt - 13 uses.
123. same - 13 uses.
124. until - 13 uses.
125. lose - 13 uses.
126. any - 13 uses.
127. punk - 13 uses.
128. rock - 13 uses.
129. quite - 12 uses.
130. heard - 12 uses.
131. sure - 12 uses.
132. sun - 12 uses.
133. fight - 12 uses.
134. wake - 12 uses.
135. done - 12 uses.
136. gun - 12 uses.
137. annie - 12 uses.
138. seems - 12 uses.
139. thought - 12 uses.
140. remember - 12 uses.
141. grave - 12 uses.
142. sometimes - 12 uses.
143. sick - 12 uses.
144. enough - 12 uses.
145. story - 12 uses.
146. planted - 12 uses.
147. roadside - 12 uses.
148. shit - 11 uses.
149. please - 11 uses.
150. forget - 11 uses.
151. dear - 11 uses.
152. pull - 11 uses.
153. home - 11 uses.
154. tired - 11 uses.
155. yes - 11 uses.
156. hard - 11 uses.
157. sin - 11 uses.
158. lie - 11 uses.
159. maybe - 11 uses.
160. trying - 11 uses.
161. crash - 11 uses.
162. ground - 10 uses.
163. thing - 10 uses.
164. good - 10 uses.
165. help - 10 uses.
166. eyes - 10 uses.
167. free - 10 uses.
168. roam - 10 uses.
169. those - 10 uses.
170. after - 10 uses.
171. rain - 10 uses.
172. run - 10 uses.
173. fear - 10 uses.
174. ways - 10 uses.
175. check - 10 uses.
176. bleeding - 10 uses.
