Most used words by Suede: 
Number of songs scanned: 170

1. love - 129 uses.
2. away - 120 uses.
3. life - 90 uses.
4. down - 77 uses.
5. take - 77 uses.
6. through - 76 uses.
7. give - 74 uses.
8. feel - 73 uses.
9. world - 70 uses.
10. eyes - 67 uses.
11. mind - 61 uses.
12. again - 54 uses.
13. everything - 53 uses.
14. gone - 52 uses.
15. never - 52 uses.
16. inside - 51 uses.
17. nothing - 49 uses.
18. sky - 49 uses.
19. people - 48 uses.
20. head - 45 uses.
21. every - 43 uses.
22. young - 41 uses.
23. falling - 41 uses.
24. girl - 41 uses.
25. watch - 40 uses.
26. here - 39 uses.
27. sound - 39 uses.
28. stay - 39 uses.
29. little - 38 uses.
30. need - 37 uses.
31. night - 37 uses.
32. much - 37 uses.
33. only - 36 uses.
34. ever - 34 uses.
35. car - 34 uses.
36. cos - 34 uses.
37. lonely - 34 uses.
38. alone - 34 uses.
39. let - 33 uses.
40. things - 32 uses.
41. streets - 31 uses.
42. ah - 31 uses.
43. boys - 30 uses.
44. rain - 30 uses.
45. run - 30 uses.
46. play - 29 uses.
47. light - 29 uses.
48. cheap - 29 uses.
49. over - 28 uses.
50. words - 28 uses.
51. under - 28 uses.
52. round - 28 uses.
53. tonight - 28 uses.
54. heart - 28 uses.
55. calling - 28 uses.
56. maybe - 27 uses.
57. around - 27 uses.
58. planes - 27 uses.
59. hands - 27 uses.
60. morning - 27 uses.
61. sun - 27 uses.
62. hard - 26 uses.
63. lights - 26 uses.
64. show - 26 uses.
65. kids - 25 uses.
66. right - 25 uses.
67. hand - 25 uses.
68. cold - 24 uses.
69. another - 24 uses.
70. side - 24 uses.
71. follow - 24 uses.
72. bit - 24 uses.
73. coming - 23 uses.
74. smile - 23 uses.
75. animal - 23 uses.
76. lets - 22 uses.
77. winter - 22 uses.
78. hear - 22 uses.
79. song - 22 uses.
80. city - 22 uses.
81. new - 22 uses.
82. fall - 22 uses.
83. sing - 22 uses.
84. birds - 22 uses.
85. back - 22 uses.
86. real - 22 uses.
87. sorrow - 22 uses.
88. together - 21 uses.
89. blue - 21 uses.
90. same - 21 uses.
91. wants - 21 uses.
92. street - 20 uses.
93. suburban - 20 uses.
94. making - 20 uses.
95. sometimes - 20 uses.
96. about - 20 uses.
97. beautiful - 20 uses.
98. ones - 20 uses.
99. future - 20 uses.
100. tell - 20 uses.
101. yes - 20 uses.
102. walks - 20 uses.
103. sadie - 20 uses.
104. coast - 20 uses.
105. moment - 19 uses.
106. chase - 19 uses.
107. dead - 19 uses.
108. name - 19 uses.
109. shaking - 19 uses.
110. town - 19 uses.
111. dream - 19 uses.
112. money - 19 uses.
113. skin - 19 uses.
114. live - 19 uses.
115. always - 19 uses.
116. easy - 19 uses.
117. falls - 19 uses.
118. tomorrow - 19 uses.
119. strangers - 19 uses.
120. says - 18 uses.
121. enough - 18 uses.
122. hit - 18 uses.
123. thought - 18 uses.
124. hey - 18 uses.
125. fight - 18 uses.
126. end - 17 uses.
127. home - 17 uses.
128. hold - 17 uses.
129. comes - 17 uses.
130. high - 17 uses.
131. feels - 17 uses.
132. scene - 17 uses.
133. touch - 17 uses.
