Most used words by Sufjan Stevens: 
Number of songs scanned: 258

1. love - 317 uses.
2. things - 175 uses.
3. life - 144 uses.
4. down - 135 uses.
5. christmas - 135 uses.
6. heart - 126 uses.
7. right - 124 uses.
8. much - 120 uses.
9. take - 109 uses.
10. run - 98 uses.
11. give - 96 uses.
12. feel - 90 uses.
13. tell - 89 uses.
14. put - 85 uses.
15. back - 84 uses.
16. light - 81 uses.
17. mind - 80 uses.
18. night - 79 uses.
19. only - 78 uses.
20. world - 78 uses.
21. boy - 78 uses.
22. need - 75 uses.
23. away - 74 uses.
24. lost - 69 uses.
25. lord - 69 uses.
26. god - 68 uses.
27. face - 68 uses.
28. calm - 67 uses.
29. little - 66 uses.
30. let - 63 uses.
31. people - 63 uses.
32. lot - 63 uses.
33. together - 63 uses.
34. pum - 63 uses.
35. dead - 62 uses.
36. yourself - 61 uses.
37. about - 61 uses.
38. everything - 61 uses.
39. nothing - 60 uses.
40. great - 59 uses.
41. hands - 58 uses.
42. head - 58 uses.
43. play - 58 uses.
44. long - 55 uses.
45. happy - 54 uses.
46. before - 53 uses.
47. through - 53 uses.
48. every - 53 uses.
49. better - 53 uses.
50. never - 52 uses.
51. myself - 50 uses.
52. peace - 49 uses.
53. came - 49 uses.
54. something - 49 uses.
55. place - 48 uses.
56. die - 47 uses.
57. friend - 47 uses.
58. raise - 47 uses.
59. last - 46 uses.
60. room - 46 uses.
61. again - 46 uses.
62. death - 45 uses.
63. bed - 43 uses.
64. once - 43 uses.
65. snow - 43 uses.
66. impossible - 42 uses.
67. shall - 41 uses.
68. best - 41 uses.
69. wait - 41 uses.
70. even - 40 uses.
71. star - 40 uses.
72. own - 40 uses.
73. hear - 40 uses.
74. believe - 39 uses.
75. show - 39 uses.
76. took - 39 uses.
77. saw - 38 uses.
78. sing - 38 uses.
79. son - 38 uses.
80. baby - 38 uses.
81. mistakes - 38 uses.
82. video - 37 uses.
83. spirit - 37 uses.
84. mess - 37 uses.
85. ho - 37 uses.
86. open - 36 uses.
87. left - 36 uses.
88. alone - 36 uses.
89. riding - 36 uses.
90. father - 36 uses.
91. kiss - 35 uses.
92. bring - 35 uses.
93. lets - 35 uses.
94. good - 35 uses.
95. far - 34 uses.
96. hold - 34 uses.
97. here - 34 uses.
98. home - 33 uses.
99. thing - 33 uses.
100. think - 33 uses.
101. mother - 33 uses.
102. grow - 33 uses.
103. jesus - 33 uses.
104. friends - 32 uses.
105. rejoice - 32 uses.
106. earth - 31 uses.
107. while - 31 uses.
108. care - 31 uses.
109. lonely - 31 uses.
110. song - 31 uses.
111. arms - 31 uses.
112. holy - 31 uses.
113. afraid - 31 uses.
114. around - 30 uses.
115. should - 30 uses.
116. gave - 30 uses.
117. king - 30 uses.
118. wasnt - 30 uses.
119. name - 30 uses.
120. delighted - 30 uses.
121. rest - 29 uses.
122. always - 29 uses.
123. mine - 29 uses.
124. eyes - 28 uses.
125. old - 28 uses.
126. near - 28 uses.
127. cannot - 28 uses.
128. tree - 27 uses.
129. child - 27 uses.
130. fire - 27 uses.
131. joy - 27 uses.
132. coming - 27 uses.
133. stand - 27 uses.
134. human - 26 uses.
135. inside - 26 uses.
136. thy - 26 uses.
137. floor - 26 uses.
138. found - 26 uses.
139. blood - 26 uses.
140. other - 25 uses.
141. comes - 25 uses.
142. ran - 25 uses.
143. future - 25 uses.
144. winter - 25 uses.
145. santas - 25 uses.
146. though - 24 uses.
147. follow - 24 uses.
148. america - 24 uses.
149. first - 24 uses.
150. over - 24 uses.
151. goodbye - 24 uses.
152. land - 24 uses.
153. wish - 24 uses.
154. ghost - 24 uses.
155. living - 23 uses.
156. keep - 23 uses.
157. share - 23 uses.
158. dance - 23 uses.
159. wrong - 23 uses.
160. cry - 23 uses.
161. new - 23 uses.
162. couldnt - 23 uses.
163. woman - 23 uses.
164. visions - 23 uses.
165. takes - 23 uses.
166. wouldnt - 23 uses.
167. super - 23 uses.
168. hand - 22 uses.
169. ever - 22 uses.
170. died - 22 uses.
171. sleep - 22 uses.
172. went - 22 uses.
173. must - 22 uses.
174. thought - 22 uses.
175. sign - 22 uses.
176. such - 22 uses.
177. called - 22 uses.
178. red - 22 uses.
179. yours - 21 uses.
180. sound - 21 uses.
181. door - 21 uses.
182. stay - 21 uses.
183. dreams - 21 uses.
184. born - 21 uses.
185. safe - 21 uses.
186. gloria - 21 uses.
187. sister - 21 uses.
188. s - 21 uses.
189. moon - 21 uses.
190. rum - 21 uses.
191. whats - 20 uses.
192. blessed - 20 uses.
193. santa - 20 uses.
194. watch - 20 uses.
195. house - 20 uses.
196. carry - 20 uses.
197. perfect - 20 uses.
198. water - 20 uses.
199. after - 20 uses.
200. end - 20 uses.
201. try - 20 uses.
202. game - 20 uses.
203. walk - 20 uses.
204. lions - 20 uses.
205. falls - 19 uses.
206. sky - 19 uses.
207. voice - 19 uses.
208. dark - 19 uses.
209. break - 19 uses.
210. clothes - 19 uses.
211. going - 19 uses.
212. really - 19 uses.
213. save - 19 uses.
214. gideon - 19 uses.
215. yes - 19 uses.
216. real - 19 uses.
217. talk - 19 uses.
218. read - 19 uses.
219. delight - 19 uses.
220. waiting - 19 uses.
221. arrive - 18 uses.
222. car - 18 uses.
223. black - 18 uses.
224. three - 18 uses.
225. write - 18 uses.
226. lake - 18 uses.
227. morning - 18 uses.
228. thee - 18 uses.
229. none - 18 uses.
230. change - 18 uses.
231. gone - 18 uses.
232. sun - 18 uses.
233. else - 18 uses.
234. dream - 18 uses.
235. pain - 18 uses.
236. pink - 18 uses.
237. beauty - 17 uses.
238. live - 17 uses.
239. window - 17 uses.
240. ground - 17 uses.
241. does - 17 uses.
242. upon - 17 uses.
243. glory - 17 uses.
244. meant - 17 uses.
245. fall - 17 uses.
246. o - 17 uses.
247. body - 17 uses.
248. christ - 17 uses.
249. wanted - 17 uses.
250. tired - 17 uses.
251. girl - 17 uses.
252. distracted - 17 uses.
253. mission - 16 uses.
254. shade - 16 uses.
255. until - 16 uses.
256. sweet - 16 uses.
257. within - 16 uses.
258. changed - 16 uses.
259. glorious - 16 uses.
260. side - 16 uses.
261. shadow - 16 uses.
262. pass - 16 uses.
263. kind - 16 uses.
264. ah - 16 uses.
265. grace - 16 uses.
266. shit - 16 uses.
267. space - 16 uses.
268. turn - 15 uses.
269. most - 15 uses.
270. seen - 15 uses.
271. kissed - 15 uses.
272. white - 15 uses.
273. above - 15 uses.
274. breath - 15 uses.
275. falling - 15 uses.
276. reason - 15 uses.
277. cloud - 15 uses.
278. bad - 15 uses.
279. praise - 15 uses.
280. city - 15 uses.
281. hair - 15 uses.
282. fault - 15 uses.
283. touch - 15 uses.
284. seven - 15 uses.
285. close - 15 uses.
286. pa - 15 uses.
287. ask - 14 uses.
288. bright - 14 uses.
289. apart - 14 uses.
290. idea - 14 uses.
291. walls - 14 uses.
292. lover - 14 uses.
293. running - 14 uses.
294. evil - 14 uses.
295. reach - 14 uses.
296. year - 14 uses.
297. gold - 14 uses.
298. soul - 14 uses.
299. eternal - 14 uses.
300. recreate - 14 uses.
301. age - 14 uses.
302. mothers - 14 uses.
303. heaven - 14 uses.
304. circle - 14 uses.
305. trouble - 14 uses.
306. gimme - 14 uses.
307. sugar - 14 uses.
308. brings - 13 uses.
309. sorry - 13 uses.
310. shoes - 13 uses.
311. claus - 13 uses.
312. leave - 13 uses.
313. top - 13 uses.
314. lamb - 13 uses.
315. high - 13 uses.
316. sleeping - 13 uses.
317. thou - 13 uses.
318. might - 13 uses.
319. thoughts - 13 uses.
320. told - 13 uses.
321. fell - 13 uses.
322. state - 13 uses.
323. counting - 13 uses.
324. spite - 13 uses.
325. loved - 13 uses.
326. dog - 13 uses.
327. ashamed - 13 uses.
328. hard - 13 uses.
329. sufjan - 13 uses.
330. enough - 13 uses.
331. arm - 13 uses.
332. kings - 13 uses.
333. dragon - 13 uses.
334. wine - 13 uses.
335. july - 13 uses.
336. slave - 13 uses.
337. caught - 13 uses.
338. offer - 12 uses.
339. worth - 12 uses.
340. runs - 12 uses.
341. sorrow - 12 uses.
342. drove - 12 uses.
343. river - 12 uses.
344. wonders - 12 uses.
345. shoulder - 12 uses.
346. known - 12 uses.
347. happen - 12 uses.
348. storm - 12 uses.
349. cut - 12 uses.
350. ride - 12 uses.
351. someone - 12 uses.
352. knows - 12 uses.
353. search - 12 uses.
354. mindset - 12 uses.
355. outside - 12 uses.
356. fear - 12 uses.
357. celebrate - 12 uses.
358. 2 - 12 uses.
359. writing - 12 uses.
360. hope - 12 uses.
361. horse - 12 uses.
362. given - 12 uses.
363. vision - 12 uses.
364. alcohol - 12 uses.
365. beat - 12 uses.
366. tear - 12 uses.
367. gives - 12 uses.
368. less - 12 uses.
369. very - 12 uses.
370. tried - 12 uses.
371. page - 12 uses.
372. same - 12 uses.
373. burn - 12 uses.
374. breast - 12 uses.
375. start - 12 uses.
376. fight - 12 uses.
377. wants - 12 uses.
378. helper - 12 uses.
379. rhythm - 12 uses.
380. frosty - 12 uses.
381. bye - 12 uses.
382. refuse - 11 uses.
383. strange - 11 uses.
384. without - 11 uses.
385. feet - 11 uses.
386. pleasure - 11 uses.
387. feeling - 11 uses.
388. brother - 11 uses.
389. ordinary - 11 uses.
390. forget - 11 uses.
391. illinois - 11 uses.
392. trembling - 11 uses.
393. men - 11 uses.
394. felt - 11 uses.
395. bought - 11 uses.
396. lights - 11 uses.
397. anyway - 11 uses.
398. knife - 11 uses.
399. stone - 11 uses.
400. work - 11 uses.
401. path - 11 uses.
402. covered - 11 uses.
403. drink - 11 uses.
404. move - 11 uses.
405. deep - 11 uses.
406. stop - 11 uses.
407. anything - 11 uses.
408. walked - 11 uses.
409. prayer - 11 uses.
410. plan - 11 uses.
411. forgot - 10 uses.
412. touched - 10 uses.
413. difference - 10 uses.
414. says - 10 uses.
415. full - 10 uses.
416. holding - 10 uses.
417. trust - 10 uses.
418. fantasy - 10 uses.
419. gifts - 10 uses.
420. pretend - 10 uses.
421. bit - 10 uses.
422. disguises - 10 uses.
423. town - 10 uses.
424. doing - 10 uses.
425. late - 10 uses.
426. young - 10 uses.
427. lay - 10 uses.
428. rock - 10 uses.
429. turned - 10 uses.
430. rise - 10 uses.
431. sight - 10 uses.
432. eye - 10 uses.
433. beside - 10 uses.
434. crying - 10 uses.
435. since - 10 uses.
436. hate - 10 uses.
437. grave - 10 uses.
438. ring - 10 uses.
439. woke - 10 uses.
440. sleigh - 10 uses.
441. flew - 10 uses.
