Most used words by Surfer Blood: 
Number of songs scanned: 59

1. youve - 55 uses.
2. away - 42 uses.
3. never - 42 uses.
4. let - 35 uses.
5. think - 34 uses.
6. explain - 33 uses.
7. love - 33 uses.
8. take - 31 uses.
9. least - 31 uses.
10. world - 30 uses.
11. only - 28 uses.
12. back - 28 uses.
13. matter - 28 uses.
14. days - 27 uses.
15. need - 26 uses.
16. gotta - 26 uses.
17. mind - 24 uses.
18. well - 24 uses.
19. taking - 23 uses.
20. where - 23 uses.
21. down - 23 uses.
22. care - 22 uses.
23. right - 22 uses.
24. through - 22 uses.
25. theres - 21 uses.
26. over - 20 uses.
27. around - 20 uses.
28. again - 20 uses.
29. easy - 19 uses.
30. want - 19 uses.
31. tell - 18 uses.
32. old - 18 uses.
33. ooh - 18 uses.
34. open - 17 uses.
35. heart - 17 uses.
36. apart - 17 uses.
37. here - 17 uses.
38. eddy - 16 uses.
39. without - 16 uses.
40. wrong - 16 uses.
41. things - 16 uses.
42. everything - 16 uses.
43. end - 16 uses.
44. still - 16 uses.
45. youll - 15 uses.
46. place - 15 uses.
47. before - 15 uses.
48. knew - 15 uses.
49. nothing - 15 uses.
50. reach - 15 uses.
51. every - 14 uses.
52. gonna - 14 uses.
53. hear - 14 uses.
54. night - 14 uses.
55. better - 14 uses.
56. both - 14 uses.
57. found - 13 uses.
58. tonight - 13 uses.
59. home - 13 uses.
60. leave - 13 uses.
61. ah - 13 uses.
62. bugs - 13 uses.
63. even - 12 uses.
64. turn - 12 uses.
65. new - 12 uses.
66. rest - 12 uses.
67. looking - 12 uses.
68. wait - 12 uses.
69. swim - 12 uses.
70. true - 12 uses.
71. guitar - 12 uses.
72. wants - 11 uses.
73. something - 11 uses.
74. should - 11 uses.
75. breath - 11 uses.
76. fall - 11 uses.
77. thats - 11 uses.
78. together - 11 uses.
79. frozen - 11 uses.
80. ready - 10 uses.
81. thought - 10 uses.
82. own - 10 uses.
83. uh - 10 uses.
84. weve - 10 uses.
85. believe - 10 uses.
86. words - 10 uses.
87. sorry - 10 uses.
88. uneasy - 10 uses.
89. rider - 10 uses.
90. same - 10 uses.
91. behind - 10 uses.
92. armory - 10 uses.
93. feels - 9 uses.
94. always - 9 uses.
95. asleep - 9 uses.
96. hold - 9 uses.
97. couldnt - 9 uses.
98. far - 9 uses.
99. eyes - 9 uses.
100. today - 9 uses.
101. youd - 9 uses.
102. left - 9 uses.
103. already - 9 uses.
104. another - 9 uses.
105. waiting - 9 uses.
106. friends - 9 uses.
107. ohhh - 9 uses.
108. georgia - 9 uses.
109. sometimes - 8 uses.
110. line - 8 uses.
111. baby - 8 uses.
112. burn - 8 uses.
113. long - 8 uses.
114. dream - 8 uses.
115. lot - 8 uses.
116. feel - 8 uses.
117. morning - 8 uses.
118. getting - 8 uses.
119. earth - 8 uses.
120. id - 8 uses.
121. stay - 8 uses.
122. years - 8 uses.
123. please - 8 uses.
124. anymore - 8 uses.
125. try - 8 uses.
126. bring - 8 uses.
127. while - 8 uses.
128. miranda - 8 uses.
129. space - 8 uses.
130. else - 8 uses.
131. summer - 8 uses.
132. someone - 8 uses.
133. done - 8 uses.
134. yes - 8 uses.
135. karen - 8 uses.
136. cry - 8 uses.
137. running - 7 uses.
138. fine - 7 uses.
139. fade - 7 uses.
140. sure - 7 uses.
141. sour - 7 uses.
142. ever - 7 uses.
143. grow - 7 uses.
144. life - 7 uses.
145. any - 7 uses.
146. myself - 7 uses.
147. full - 7 uses.
148. inside - 7 uses.
149. sun - 7 uses.
150. seems - 7 uses.
151. after - 7 uses.
152. sick - 7 uses.
153. wanna - 7 uses.
154. along - 7 uses.
