Most used words by  T-Pain: 
Number of songs scanned: 234

1. baby - 602 uses.
2. girl - 543 uses.
3. shit - 471 uses.
4. bitch - 457 uses.
5. down - 423 uses.
6. back - 412 uses.
7. wanna - 362 uses.
8. want - 357 uses.
9. let - 357 uses.
10. ooh - 332 uses.
11. take - 330 uses.
12. put - 321 uses.
13. fuck - 315 uses.
14. love - 304 uses.
15. nigga - 289 uses.
16. ya - 287 uses.
17. niggas - 285 uses.
18. gon - 268 uses.
19. here - 260 uses.
20. right - 237 uses.
21. tell - 227 uses.
22. gotta - 225 uses.
23. money - 225 uses.
24. keep - 221 uses.
25. need - 218 uses.
26. think - 206 uses.
27. bout - 195 uses.
28. shawty - 185 uses.
29. hit - 177 uses.
30. lets - 176 uses.
31. never - 172 uses.
32. gonna - 172 uses.
33. show - 164 uses.
34. good - 164 uses.
35. night - 160 uses.
36. feel - 158 uses.
37. give - 157 uses.
38. stop - 154 uses.
39. i’m - 153 uses.
40. even - 150 uses.
41. ass - 145 uses.
42. booty - 143 uses.
43. hey - 137 uses.
44. em - 135 uses.
45. better - 132 uses.
46. imma - 131 uses.
47. over - 130 uses.
48. work - 129 uses.
49. going - 128 uses.
50. ima - 127 uses.
51. club - 122 uses.
52. where - 121 uses.
53. it’s - 120 uses.
54. damn - 119 uses.
55. real - 118 uses.
56. u - 118 uses.
57. yo - 117 uses.
58. thing - 117 uses.
59. doing - 116 uses.
60. around - 116 uses.
61. talk - 111 uses.
62. might - 109 uses.
63. turn - 108 uses.
64. gone - 104 uses.
65. lil - 103 uses.
66. woah - 102 uses.
67. eh - 101 uses.
68. really - 99 uses.
69. everybody - 99 uses.
70. leave - 98 uses.
71. boy - 97 uses.
72. through - 95 uses.
73. walk - 94 uses.
74. bitches - 92 uses.
75. done - 92 uses.
76. fucking - 91 uses.
77. life - 91 uses.
78. pull - 91 uses.
79. don’t - 90 uses.
80. long - 88 uses.
81. tryna - 88 uses.
82. still - 87 uses.
83. something - 87 uses.
84. dance - 87 uses.
85. pussy - 85 uses.
86. bad - 85 uses.
87. oooh - 85 uses.
88. head - 85 uses.
89. studio - 84 uses.
90. new - 83 uses.
91. dick - 79 uses.
92. looking - 79 uses.
93. much - 78 uses.
94. everything - 77 uses.
95. t-pain - 77 uses.
96. nothing - 77 uses.
97. god - 76 uses.
98. drink - 76 uses.
99. whole - 74 uses.
100. home - 74 uses.
101. party - 74 uses.
102. came - 73 uses.
103. working - 73 uses.
104. every - 73 uses.
105. believe - 72 uses.
106. told - 71 uses.
107. same - 71 uses.
108. song - 71 uses.
109. whoa - 71 uses.
110. uh - 70 uses.
111. big - 70 uses.
112. dog - 70 uses.
113. ride - 69 uses.
114. tonight - 68 uses.
115. - - 67 uses.
116. ah - 67 uses.
117. yea - 67 uses.
118. whats - 66 uses.
119. round - 65 uses.
120. ever - 65 uses.
121. hear - 65 uses.
122. rock - 64 uses.
123. getting - 62 uses.
124. house - 61 uses.
125. before - 61 uses.
126. break - 60 uses.
127. ain’t - 60 uses.
128. top - 59 uses.
129. only - 59 uses.
130. roll - 59 uses.
131. breathe - 59 uses.
132. lot - 59 uses.
133. face - 58 uses.
134. 2 - 58 uses.
135. wrong - 58 uses.
136. hard - 58 uses.
137. mind - 57 uses.
138. listen - 57 uses.
139. world - 57 uses.
140. fall - 57 uses.
141. play - 57 uses.
142. hands - 56 uses.
143. again - 56 uses.
144. two - 56 uses.
145. pain - 55 uses.
146. snap - 55 uses.
147. drop - 54 uses.
148. rich - 54 uses.
149. move - 54 uses.
150. bed - 54 uses.
151. doin - 54 uses.
152. ohh - 54 uses.
153. floor - 54 uses.
154. away - 54 uses.
155. best - 54 uses.
156. hoes - 53 uses.
157. slow - 53 uses.
158. hold - 53 uses.
159. should - 53 uses.
160. mama - 53 uses.
161. stay - 52 uses.
162. shirt - 52 uses.
163. yall - 52 uses.
164. stripper - 52 uses.
165. mean - 51 uses.
166. bang - 51 uses.
167. gettin - 51 uses.
168. na - 51 uses.
169. cuz - 51 uses.
170. try - 50 uses.
171. wait - 50 uses.
172. while - 50 uses.
173. straight - 50 uses.
174. though - 50 uses.
175. pop - 50 uses.
176. already - 49 uses.
177. babe - 49 uses.
178. nothin’ - 49 uses.
179. trash - 49 uses.
180. twerking - 49 uses.
181. hair - 48 uses.
182. hate - 48 uses.
183. fly - 48 uses.
184. body - 48 uses.
185. high - 48 uses.
186. tryin - 48 uses.
187. fuckin - 48 uses.
188.  - 47 uses.
