Most used words by Taking Back Sunday: 
Number of songs scanned: 102

1. never - 178 uses.
2. back - 138 uses.
3. about - 93 uses.
4. down - 90 uses.
5. take - 86 uses.
6. nothing - 82 uses.
7. feel - 79 uses.
8. ever - 70 uses.
9. everything - 68 uses.
10. through - 67 uses.
11. think - 66 uses.
12. love - 65 uses.
13. long - 64 uses.
14. should - 64 uses.
15. tell - 61 uses.
16. something - 61 uses.
17. best - 58 uses.
18. keep - 58 uses.
19. again - 57 uses.
20. only - 55 uses.
21. every - 55 uses.
22. let - 52 uses.
23. around - 52 uses.
24. before - 51 uses.
25. home - 51 uses.
26. always - 51 uses.
27. chance - 51 uses.
28. night - 51 uses.
29. bad - 50 uses.
30. give - 49 uses.
31. away - 47 uses.
32. better - 47 uses.
33. coming - 46 uses.
34. good - 45 uses.
35. need - 45 uses.
36. safe - 42 uses.
37. hear - 42 uses.
38. going - 41 uses.
39. here - 41 uses.
40. over - 41 uses.
41. right - 40 uses.
42. alone - 40 uses.
43. enough - 39 uses.
44. friends - 38 uses.
45. anything - 38 uses.
46. wanted - 38 uses.
47. straight - 37 uses.
48. ready - 36 uses.
49. eyes - 36 uses.
50. forget - 36 uses.
51. feeling - 36 uses.
52. things - 35 uses.
53. myself - 35 uses.
54. thing - 35 uses.
55. live - 34 uses.
56. talk - 34 uses.
57. swing - 34 uses.
58. couldnt - 33 uses.
59. same - 33 uses.
60. running - 32 uses.
61. close - 32 uses.
62. baby - 32 uses.
63. took - 30 uses.
64. leave - 30 uses.
65. mean - 30 uses.
66. takes - 30 uses.
67. felt - 30 uses.
68. leaving - 29 uses.
69. anymore - 29 uses.
70. sure - 28 uses.
71. much - 28 uses.
72. sleep - 28 uses.
73. sick - 28 uses.
74. work - 28 uses.
75. doubt - 28 uses.
76. lonely - 28 uses.
77. temper - 28 uses.
78. cut - 27 uses.
79. place - 27 uses.
80. hate - 27 uses.
81. until - 27 uses.
82. whats - 27 uses.
83. please - 27 uses.
84. worst - 27 uses.
85. done - 26 uses.
86. looking - 26 uses.
87. water - 26 uses.
88. gone - 26 uses.
89. care - 26 uses.
90. body - 26 uses.
91. liar - 26 uses.
92. lets - 26 uses.
93. holy - 26 uses.
94. jenny - 25 uses.
95. name - 25 uses.
96. waiting - 25 uses.
97. remember - 25 uses.
98. without - 25 uses.
99. trying - 25 uses.
100. hands - 25 uses.
101. came - 25 uses.
102. little - 25 uses.
103. does - 25 uses.
104. nobody - 24 uses.
105. old - 24 uses.
106. maybe - 24 uses.
107. hope - 24 uses.
108. alright - 24 uses.
109. prove - 24 uses.
110. minute - 24 uses.
111. even - 23 uses.
112. head - 23 uses.
113. yourself - 23 uses.
114. play - 23 uses.
115. sorry - 23 uses.
116. lying - 23 uses.
117. believe - 23 uses.
118. lost - 23 uses.
119. window - 23 uses.
120. sink - 23 uses.
121. used - 22 uses.
122. yes - 22 uses.
123. hey - 22 uses.
124. life - 22 uses.
125. quite - 22 uses.
126. reach - 22 uses.
127. another - 22 uses.
128. knew - 21 uses.
129. those - 21 uses.
130. mind - 21 uses.
131. try - 21 uses.
132. stood - 21 uses.
133. means - 21 uses.
134. days - 21 uses.
135. song - 21 uses.
136. keeping - 21 uses.
137. act - 21 uses.
138. open - 20 uses.
139. held - 20 uses.
140. heart - 19 uses.
141. boy - 19 uses.
142. broken - 19 uses.
143. truth - 19 uses.
144. stop - 19 uses.
145. thought - 19 uses.
146. far - 19 uses.
147. stand - 19 uses.
148. tonight - 19 uses.
149. anywhere - 19 uses.
150. times - 18 uses.
151. left - 18 uses.
152. youd - 18 uses.
153. waited - 18 uses.
154. money - 18 uses.
155. whole - 17 uses.
156. lie - 17 uses.
157. happy - 17 uses.
158. late - 17 uses.
159. told - 17 uses.
160. since - 17 uses.
161. seeing - 17 uses.
162. tight - 17 uses.
163. writing - 17 uses.
164. record - 16 uses.
165. put - 16 uses.
166. matter - 16 uses.
167. last - 16 uses.
168. faith - 16 uses.
169. against - 16 uses.
170. anyone - 16 uses.
171. hold - 16 uses.
172. tired - 16 uses.
173. other - 16 uses.
174. less - 16 uses.
175. arms - 16 uses.
176. promise - 16 uses.
177. shame - 16 uses.
178. hit - 15 uses.
179. wait - 15 uses.
180. living - 15 uses.
181. already - 15 uses.
182. skin - 15 uses.
183. slow - 15 uses.
184. hell - 15 uses.
185. god - 15 uses.
186. face - 15 uses.
187. door - 15 uses.
188. scene - 15 uses.
189. gotta - 15 uses.
190. rest - 15 uses.
191. watch - 15 uses.
192. being - 14 uses.
193. house - 14 uses.
194. sense - 14 uses.
195. tongue - 14 uses.
196. floor - 14 uses.
197. miss - 14 uses.
198. new - 14 uses.
199. point - 14 uses.
200. settle - 14 uses.
201. says - 14 uses.
202. kept - 14 uses.
203. moving - 14 uses.
204. wants - 14 uses.
205. bit - 14 uses.
206. ask - 14 uses.
207. fall - 14 uses.
208. miserable - 14 uses.
209. really - 14 uses.
210. hand - 14 uses.
211. hard - 14 uses.
212. havent - 14 uses.
213. arrow - 14 uses.
214. dear - 14 uses.
