Most used words by Tame Impala: 
Number of songs scanned: 71

1. let - 93 uses.
2. life - 76 uses.
3. never - 64 uses.
4. love - 51 uses.
5. long - 48 uses.
6. tell - 48 uses.
7. mind - 47 uses.
8. closer - 45 uses.
9. feel - 44 uses.
10. about - 44 uses.
11. need - 42 uses.
12. only - 40 uses.
13. live - 39 uses.
14. here - 38 uses.
15. something - 38 uses.
16. think - 36 uses.
17. really - 33 uses.
18. back - 33 uses.
19. try - 33 uses.
20. little - 32 uses.
21. right - 30 uses.
22. might - 30 uses.
23. far - 30 uses.
24. over - 29 uses.
25. again - 29 uses.
26. through - 27 uses.
27. happen - 27 uses.
28. close - 26 uses.
29. waiting - 26 uses.
30. enough - 26 uses.
31. known - 26 uses.
32. around - 25 uses.
33. ever - 25 uses.
34. end - 25 uses.
35. nothing - 24 uses.
36. believe - 24 uses.
37. babies - 24 uses.
38. remember - 23 uses.
39. every - 23 uses.
40. baby - 23 uses.
41. take - 23 uses.
42. getting - 23 uses.
43. much - 22 uses.
44. before - 22 uses.
45. real - 22 uses.
46. should - 21 uses.
47. hard - 21 uses.
48. thinking - 21 uses.
49. hope - 21 uses.
50. loved - 21 uses.
51. down - 20 uses.
52. face - 20 uses.
53. ahhh-ahhh - 20 uses.
54. gone - 20 uses.
55. trying - 19 uses.
56. always - 19 uses.
57. feels - 19 uses.
58. year - 19 uses.
59. left - 18 uses.
60. late - 18 uses.
61. til - 18 uses.
62. while - 18 uses.
63. else - 17 uses.
64. true - 17 uses.
65. care - 17 uses.
66. must - 17 uses.
67. better - 17 uses.
68. talk - 17 uses.
69. keep - 17 uses.
70. wouldnt - 16 uses.
71. stop - 16 uses.
72. good - 16 uses.
73. things - 16 uses.
74. past - 16 uses.
75. any - 16 uses.
76. ah - 16 uses.
77. next - 16 uses.
78. someone - 15 uses.
79. done - 15 uses.
80. bout - 15 uses.
81. comes - 15 uses.
82. thought - 14 uses.
83. breathe - 14 uses.
84. ahh - 14 uses.
85. saw - 14 uses.
86. coming - 14 uses.
87. heart - 14 uses.
88. trust - 14 uses.
89. sober - 14 uses.
90. world - 13 uses.
