Most used words by Taylor Swift: 
Number of songs scanned: 306

1. love - 541 uses.
2. never - 522 uses.
3. back - 429 uses.
4. baby - 425 uses.
5. down - 341 uses.
6. think - 280 uses.
7. here - 249 uses.
8. right - 223 uses.
9. night - 221 uses.
10. tell - 216 uses.
11. take - 215 uses.
12. about - 214 uses.
13. ever - 206 uses.
14. feel - 183 uses.
15. around - 179 uses.
16. away - 176 uses.
17. everything - 174 uses.
18. eyes - 171 uses.
19. little - 162 uses.
20. every - 157 uses.
21. let - 156 uses.
22. always - 156 uses.
23. girl - 155 uses.
24. ooh - 148 uses.
25. only - 145 uses.
26. need - 144 uses.
27. stay - 144 uses.
28. through - 142 uses.
29. good - 142 uses.
30. home - 142 uses.
31. things - 141 uses.
32. heart - 139 uses.
33. knew - 136 uses.
34. bad - 136 uses.
35. nothing - 135 uses.
36. better - 131 uses.
37. keep - 128 uses.
38. something - 124 uses.
39. long - 123 uses.
40. again - 121 uses.
41. life - 120 uses.
42. forever - 119 uses.
43. thing - 119 uses.
44. last - 118 uses.
45. hey - 114 uses.
46. name - 114 uses.
47. new - 114 uses.
48. first - 113 uses.
49. thought - 112 uses.
50. face - 111 uses.
51. trouble - 109 uses.
52. remember - 108 uses.
53. wish - 108 uses.
54. fall - 105 uses.
55. leave - 104 uses.
56. even - 97 uses.
57. best - 97 uses.
58. run - 97 uses.
59. mind - 96 uses.
60. world - 96 uses.
61. smile - 94 uses.
62. really - 93 uses.
63. break - 92 uses.
64. talk - 91 uses.
65. waiting - 90 uses.
66. should - 89 uses.
67. alone - 88 uses.
68. mine - 85 uses.
69. gone - 85 uses.
70. walk - 84 uses.
71. lights - 83 uses.
72. rain - 83 uses.
73. shake - 83 uses.
74. hope - 82 uses.
75. yet - 82 uses.
76. before - 81 uses.
77. wrong - 81 uses.
78. beautiful - 80 uses.
79. oh-oh - 80 uses.
80. red - 79 uses.
81. sorry - 78 uses.
82. hold - 76 uses.
83. hand - 76 uses.
84. friends - 76 uses.
85. dreams - 74 uses.
86. put - 74 uses.
87. light - 74 uses.
88. looking - 73 uses.
89. over - 73 uses.
90. head - 72 uses.
91. old - 72 uses.
92. car - 71 uses.
93. crazy - 71 uses.
94. door - 71 uses.
95. left - 70 uses.
96. town - 70 uses.
97. lost - 70 uses.
98. give - 70 uses.
99. mean - 69 uses.
100. side - 69 uses.
101. feeling - 67 uses.
102. gave - 67 uses.
103. dancing - 67 uses.
104. wanted - 67 uses.
105. saw - 67 uses.
106. guess - 67 uses.
107. ah - 67 uses.
108. much - 66 uses.
109. coming - 65 uses.
110. once - 64 uses.
111. blue - 64 uses.
112. another - 64 uses.
113. same - 63 uses.
114. today - 63 uses.
115. enough - 62 uses.
116. standing - 62 uses.
117. boy - 62 uses.
118. hands - 61 uses.
119. young - 61 uses.
120. isnt - 61 uses.
121. knows - 61 uses.
122. tonight - 61 uses.
123. used - 61 uses.
124. people - 60 uses.
125. loved - 60 uses.
126. mad - 60 uses.
127. wait - 59 uses.
128. drive - 59 uses.
129. other - 59 uses.
130. watch - 59 uses.
131. help - 58 uses.
132. hard - 58 uses.
133. change - 58 uses.
134. hear - 58 uses.
135. those - 57 uses.
136. took - 57 uses.
137. phone - 57 uses.
138. room - 57 uses.
139. trying - 56 uses.
140. dark - 56 uses.
141. late - 56 uses.
142. kiss - 56 uses.
143. miss - 56 uses.
144. live - 55 uses.
145. everybody - 55 uses.
146. til - 54 uses.
147. end - 54 uses.
148. anything - 54 uses.
149. getting - 54 uses.
150. dress - 54 uses.
151. without - 54 uses.
152. perfect - 53 uses.
153. song - 53 uses.
154. turn - 53 uses.
155. eh - 53 uses.
156. nice - 52 uses.
157. forget - 52 uses.
158. please - 52 uses.
159. place - 52 uses.
160. hate - 52 uses.
161. big - 52 uses.
162. found - 51 uses.
163. living - 51 uses.
164. fight - 51 uses.
165. maybe - 51 uses.
166. ha - 51 uses.
167. ground - 50 uses.
168. honey - 50 uses.
169. might - 50 uses.
170. whole - 50 uses.
171. myself - 50 uses.
172. thinking - 50 uses.
173. lose - 50 uses.
174. whoa - 50 uses.
175. dream - 49 uses.
176. seen - 49 uses.
177. believe - 49 uses.
178. rains - 49 uses.
179. together - 49 uses.
180. play - 48 uses.
181. met - 48 uses.
182. save - 48 uses.
183. feet - 47 uses.
184. show - 47 uses.
185. close - 47 uses.
186. else - 47 uses.
187. sweet - 47 uses.
188. uh - 47 uses.
189. fly - 47 uses.
190. na - 47 uses.
191. clear - 46 uses.
192. window - 46 uses.
193. goes - 46 uses.
194. must - 46 uses.
195. try - 45 uses.
196. meet - 45 uses.
197. came - 45 uses.
198. yes - 45 uses.
199. going - 45 uses.
200. open - 45 uses.
201. stop - 45 uses.
202. wasnt - 45 uses.
203. next - 45 uses.
204. along - 44 uses.
205. true - 44 uses.
206. front - 44 uses.
