Most used words by The Band Camino: 
Number of songs scanned: 39

1. about - 51 uses.
2. think - 50 uses.
3. keep - 48 uses.
4. never - 44 uses.
5. feel - 40 uses.
6. need - 40 uses.
7. right - 39 uses.
8. always - 38 uses.
9. mind - 34 uses.
10. something - 32 uses.
11. else - 32 uses.
12. change - 30 uses.
13. tell - 29 uses.
14. over - 29 uses.
15. hate - 28 uses.
16. love - 28 uses.
17. guess - 28 uses.
18. hush - 28 uses.
19. ya - 28 uses.
20. only - 27 uses.
21. myself - 27 uses.
22. give - 26 uses.
23. feels - 26 uses.
24. things - 26 uses.
25. waiting - 26 uses.
26. home - 25 uses.
27. really - 25 uses.
28. away - 24 uses.
29. head - 23 uses.
30. everybody - 22 uses.
31. thought - 22 uses.
32. back - 22 uses.
33. everything - 22 uses.
34. looking - 21 uses.
35. wish - 20 uses.
36. again - 20 uses.
37. maybe - 20 uses.
38. another - 20 uses.
39. alone - 19 uses.
40. song - 19 uses.
41. phase - 19 uses.
42. told - 18 uses.
43. let - 18 uses.
44. heart - 18 uses.
45. left - 18 uses.
46. good - 18 uses.
47. friends - 17 uses.
48. stop - 17 uses.
49. fall - 17 uses.
50. running - 17 uses.
51. better - 16 uses.
52. ooh-ooh-ooh - 16 uses.
53. wouldnt - 16 uses.
54. every - 16 uses.
55. fine - 16 uses.
56. even - 15 uses.
57. through - 15 uses.
58. without - 15 uses.
59. hope - 15 uses.
60. take - 14 uses.
61. knew - 14 uses.
62. much - 14 uses.
63. tonight - 14 uses.
64. sometimes - 14 uses.
65. heaven - 14 uses.
66. learned - 14 uses.
67. doesnt - 13 uses.
68. here - 13 uses.
69. anymore - 13 uses.
70. eyes - 13 uses.
71. being - 13 uses.
72. alright - 13 uses.
73. less - 13 uses.
74. choose - 13 uses.
75. damned - 12 uses.
76. somebody - 12 uses.
77. hold - 12 uses.
78. hurts - 12 uses.
79. place - 12 uses.
80. down - 12 uses.
81. wasting - 12 uses.
82. break - 12 uses.
83. yourself - 12 uses.
84. wait - 12 uses.
85. should - 12 uses.
86. sorry - 11 uses.
87. any - 11 uses.
88. someone - 11 uses.
89. done - 11 uses.
90. ever - 11 uses.
91. between - 11 uses.
92. hide - 11 uses.
93. help - 11 uses.
94. couldnt - 11 uses.
95. waitin - 10 uses.
96. stuck - 10 uses.
97. mine - 10 uses.
98. lost - 10 uses.
99. night - 10 uses.
100. real - 10 uses.
101. drunk - 10 uses.
102. okay - 10 uses.
103. falling - 10 uses.
104. telling - 10 uses.
105. after - 10 uses.
106. lie - 9 uses.
107. live - 9 uses.
108. blame - 9 uses.
109. god - 9 uses.
110. used - 9 uses.
111. thinking - 9 uses.
112. cus - 9 uses.
113. feelings - 9 uses.
114. wanted - 9 uses.
115. try - 9 uses.
116. thinks - 9 uses.
117. honest - 9 uses.
118. says - 9 uses.
119. cigarette - 9 uses.
120. collateral - 9 uses.
121. damage - 9 uses.
122. anyway - 8 uses.
123. happens - 8 uses.
124. though - 8 uses.
125. gotta - 8 uses.
126. gone - 8 uses.
127. baby - 8 uses.
128. black - 8 uses.
129. blue - 8 uses.
130. fell - 8 uses.
131. felt - 8 uses.
132. makes - 8 uses.
133. wrong - 8 uses.
134. hearts - 8 uses.
135. scared - 8 uses.
136. far - 8 uses.
137. crying - 8 uses.
138. same - 8 uses.
139. dead - 8 uses.
140. shit - 8 uses.
141. other - 8 uses.
142. nobody - 8 uses.
143. missed - 8 uses.
144. calls - 8 uses.
145. youd - 8 uses.
146. sick - 7 uses.
147. stay - 7 uses.
148. future - 7 uses.
149. both - 7 uses.
150. since - 7 uses.
151. saw - 7 uses.
152. body - 7 uses.
153. called - 7 uses.
154. met - 7 uses.
155. around - 7 uses.
156. til - 7 uses.
157. somehow - 7 uses.
158. everyone - 7 uses.
159. inside - 7 uses.
160. getting - 7 uses.
161. bad - 7 uses.
162. hands - 7 uses.
163. berenstein - 7 uses.
164. while - 7 uses.
165. trying - 7 uses.
166. doing - 7 uses.
167. read - 7 uses.
168. free - 7 uses.
169. thing - 7 uses.
170. start - 7 uses.
171. might - 7 uses.
172. piece - 7 uses.
173. name - 7 uses.
174. spend - 7 uses.
175. manage - 7 uses.
176. ten - 7 uses.
177. last - 7 uses.
178. white - 7 uses.
179. believe - 7 uses.
180. seem - 6 uses.
181. feeling - 6 uses.
182. long - 6 uses.
183. saying - 6 uses.
184. dies - 6 uses.
185. whats - 6 uses.
186. talk - 6 uses.
187. finally - 6 uses.
188. skin - 6 uses.
189. farsighted - 6 uses.
190. cool - 6 uses.
191. human - 6 uses.
192. noses - 6 uses.
193. smell - 6 uses.
194. roses - 6 uses.
195. knows - 6 uses.
196. act - 6 uses.
197. mom - 6 uses.
198. enough - 6 uses.
199. least - 6 uses.
200. fault - 6 uses.
201. coming - 6 uses.
202. turn - 6 uses.
203. funny - 6 uses.
204. supposed - 6 uses.
205. stand - 6 uses.
206. world - 6 uses.
207. nothing - 6 uses.
208. charge - 6 uses.
209. gave - 6 uses.
210. oh-oh - 6 uses.
211. took - 5 uses.
212. hear - 5 uses.
213. woke - 5 uses.
214. tired - 5 uses.
215. holds - 5 uses.
216. cold - 5 uses.
217. along - 5 uses.
218. wishin - 5 uses.
219. found - 5 uses.
220. before - 5 uses.
221. sense - 5 uses.
222. miss - 5 uses.
223. middle - 5 uses.
224. sad - 5 uses.
225. waste - 5 uses.
226. does - 5 uses.
227. caught - 5 uses.
228. touch - 5 uses.
229. car - 5 uses.
230. dream - 5 uses.
231. die - 5 uses.
232. universe - 5 uses.
233. nights - 5 uses.
234. goes - 5 uses.
235. pretend - 5 uses.
236. seems - 5 uses.
237. weve - 5 uses.
238. isnt - 5 uses.
239. days - 5 uses.
240. phone - 5 uses.
241. anything - 5 uses.
242. wonder - 5 uses.
243. new - 5 uses.
244. wide - 5 uses.
245. bedroom - 5 uses.
246. bloodshot - 5 uses.
247. see-through - 5 uses.
248. bet - 5 uses.
249. second - 4 uses.
250. times - 4 uses.
251. track - 4 uses.
252. care - 4 uses.
253. knowing - 4 uses.
254. wasnt - 4 uses.
255. door - 4 uses.
256. wasted - 4 uses.
257. anyone - 4 uses.
258. fuck - 4 uses.
259. face - 4 uses.
260. close - 4 uses.
261. outside - 4 uses.
262. mirror - 4 uses.
263. sleep - 4 uses.
264. lately - 4 uses.
265. boy - 4 uses.
266. spinning - 4 uses.
267. backwards - 4 uses.
268. mad - 4 uses.
269. matter - 4 uses.
270. room - 4 uses.
271. nothin - 4 uses.
272. parallel - 4 uses.
273. grow - 4 uses.
274. fights - 4 uses.
275. realized - 4 uses.
276. tried - 4 uses.
277. lose - 4 uses.
278. kick - 4 uses.
279. lonely - 4 uses.
280. came - 4 uses.
281. changed - 4 uses.
282. secrets - 4 uses.
283. little - 4 uses.
284. goodbye - 4 uses.
285. underneath - 4 uses.
286. sleeping - 4 uses.
287. giving - 4 uses.
288. picture - 4 uses.
289. everybodys - 4 uses.
290. drinking - 4 uses.
291. first - 4 uses.
292. gets - 4 uses.
293. put - 4 uses.
294. lookin - 4 uses.
295. whole - 4 uses.
296. drove - 4 uses.
297. california - 4 uses.
298. tv - 4 uses.
299. haunted - 4 uses.
300. rivalry - 4 uses.
301. fight - 4 uses.
302. win - 3 uses.
303. choke - 3 uses.
304. forever - 3 uses.
305. singing - 3 uses.
306. abstract - 3 uses.
307. soon - 3 uses.
308. wantin - 3 uses.
309. contact - 3 uses.
310. jeans - 3 uses.
311. daphne - 3 uses.
312. shut - 3 uses.
313. seeing - 3 uses.
314. fool - 3 uses.
315. words - 3 uses.
316. line - 3 uses.
317. yup - 3 uses.
318. wearing - 3 uses.
319. voice - 3 uses.
320. circle - 3 uses.
321. burning - 3 uses.
322. fucking - 3 uses.
323. living - 3 uses.
324. eye - 3 uses.
325. anybody - 3 uses.
326. asks - 3 uses.
327. show - 3 uses.
328. infinitely - 3 uses.
329. relatively - 3 uses.
330. swear - 3 uses.
331. 3am - 3 uses.
332. four - 3 uses.
333. drinks - 3 uses.
334. lot - 3 uses.
335. girls - 3 uses.
336. year - 3 uses.
337. thoughts - 3 uses.
338. started - 3 uses.
339. taking - 3 uses.
340. places - 3 uses.
341. putting - 3 uses.
342. asphalt - 3 uses.
343. talking - 3 uses.
344. drown - 3 uses.
345. saving - 3 uses.
346. laugh - 3 uses.
347. lying - 3 uses.
348. young - 3 uses.
349. school - 3 uses.
350. life - 3 uses.
351. tryin - 3 uses.
352. hard - 3 uses.
353. wondering - 3 uses.
354. side - 3 uses.
355. pushing - 3 uses.
356. space - 3 uses.
357. dying - 3 uses.
358. acts - 3 uses.
359. figured - 3 uses.
360. twice - 3 uses.
361. sure - 3 uses.
362. clue - 3 uses.
363. keys - 3 uses.
364. depressed - 3 uses.
365. different - 3 uses.
366. seventeen - 3 uses.
367. innocent - 3 uses.
368. kid - 3 uses.
369. memphis - 3 uses.
370. remember - 3 uses.
371. bed - 3 uses.
372. front - 3 uses.
373. superglue - 3 uses.
374. fucked - 3 uses.
375. virtual - 3 uses.
376. mentalitys - 3 uses.
377. connection - 3 uses.
378. backdoor - 3 uses.
379. scroll - 3 uses.
380. tough - 3 uses.
381. luck - 3 uses.
382. temporary - 3 uses.
383. silence - 3 uses.
384. lied - 3 uses.
385. drowning - 3 uses.
