Most used words by The Black Keys: 
Number of songs scanned: 134

1. love - 138 uses.
2. baby - 84 uses.
3. down - 80 uses.
4. girl - 60 uses.
5. never - 57 uses.
6. back - 57 uses.
7. let - 57 uses.
8. hey - 50 uses.
9. need - 48 uses.
10. run - 48 uses.
11. mind - 48 uses.
12. babe - 48 uses.
13. oo-whoa - 48 uses.
14. thing - 47 uses.
15. hold - 46 uses.
16. right - 43 uses.
17. darlin - 41 uses.
18. here - 40 uses.
19. heart - 39 uses.
20. take - 37 uses.
21. alone - 37 uses.
22. long - 36 uses.
23. door - 36 uses.
24. nah - 36 uses.
25. mine - 34 uses.
26. keep - 33 uses.
27. leave - 32 uses.
28. away - 31 uses.
29. gone - 31 uses.
30. soul - 30 uses.
31. again - 30 uses.
32. gotta - 30 uses.
33. around - 29 uses.
34. eyes - 28 uses.
35. feel - 28 uses.
36. break - 28 uses.
37. fun - 26 uses.
38. same - 26 uses.
39. give - 26 uses.
40. night - 26 uses.
41. lies - 26 uses.
42. nobody - 26 uses.
43. every - 25 uses.
44. low - 25 uses.
45. times - 25 uses.
46. stop - 25 uses.
47. boy - 24 uses.
48. little - 24 uses.
49. waiting - 24 uses.
50. fever - 24 uses.
51. hi-oh - 24 uses.
52. walk - 23 uses.
53. wrong - 23 uses.
54. old - 23 uses.
55. over - 23 uses.
56. about - 23 uses.
57. tell - 23 uses.
58. only - 22 uses.
59. lonely - 22 uses.
60. light - 22 uses.
61. always - 22 uses.
62. through - 21 uses.
63. alright - 21 uses.
64. home - 21 uses.
65. travel - 21 uses.
66. going - 20 uses.
67. days - 20 uses.
68. heavy - 20 uses.
69. darling - 20 uses.
70. high - 20 uses.
71. before - 19 uses.
72. think - 19 uses.
73. change - 18 uses.
74. evil - 18 uses.
75. show - 18 uses.
76. oh-oh - 18 uses.
77. matter - 18 uses.
78. try - 18 uses.
79. under - 17 uses.
80. used - 17 uses.
81. fire - 17 uses.
82. those - 17 uses.
83. callin - 17 uses.
84. hear - 17 uses.
85. yourself - 17 uses.
86. dream - 17 uses.
87. name - 16 uses.
