Most used words by The Flatliners: 
Number of songs scanned: 96

1. never - 84 uses.
2. down - 81 uses.
3. life - 70 uses.
4. hey - 67 uses.
5. let - 58 uses.
6. again - 55 uses.
7. feel - 54 uses.
8. things - 53 uses.
9. head - 43 uses.
10. hands - 43 uses.
11. words - 43 uses.
12. away - 43 uses.
13. over - 42 uses.
14. world - 42 uses.
15. eyes - 42 uses.
16. back - 41 uses.
17. everything - 41 uses.
18. only - 40 uses.
19. keep - 39 uses.
20. face - 39 uses.
21. think - 38 uses.
22. take - 37 uses.
23. through - 37 uses.
24. heart - 36 uses.
25. blood - 34 uses.
26. cry - 34 uses.
27. end - 33 uses.
28. fucking - 33 uses.
29. every - 33 uses.
30. remember - 30 uses.
31. right - 30 uses.
32. here - 29 uses.
33. those - 29 uses.
34. home - 29 uses.
35. cold - 28 uses.
36. about - 28 uses.
37. around - 28 uses.
38. weve - 28 uses.
39. live - 28 uses.
40. breath - 28 uses.
41. stay - 28 uses.
42. wake - 27 uses.
43. always - 27 uses.
44. skin - 26 uses.
45. believe - 26 uses.
46. watch - 25 uses.
47. breathe - 25 uses.
48. something - 25 uses.
49. burn - 25 uses.
50. bleed - 25 uses.
51. coming - 24 uses.
52. hold - 24 uses.
53. dead - 24 uses.
54. left - 23 uses.
55. till - 23 uses.
56. break - 23 uses.
57. broken - 23 uses.
58. living - 22 uses.
59. tell - 22 uses.
60. today - 22 uses.
61. until - 22 uses.
62. cut - 22 uses.
63. wait - 22 uses.
64. days - 22 uses.
65. friends - 22 uses.
66. place - 21 uses.
67. die - 21 uses.
68. before - 21 uses.
69. turn - 21 uses.
70. high - 20 uses.
71. fall - 20 uses.
72. try - 20 uses.
73. running - 20 uses.
74. ground - 20 uses.
75. while - 20 uses.
76. goes - 20 uses.
77. nothing - 19 uses.
78. stop - 19 uses.
79. love - 19 uses.
80. yourself - 19 uses.
81. bones - 19 uses.
82. long - 19 uses.
83. own - 19 uses.
84. hope - 18 uses.
85. once - 18 uses.
86. asleep - 18 uses.
87. good - 18 uses.
88. drown - 18 uses.
89. tired - 18 uses.
90. start - 18 uses.
91. sleep - 17 uses.
92. because - 17 uses.
93. sit - 17 uses.
94. teeth - 17 uses.
95. smile - 17 uses.
96. enough - 17 uses.
97. open - 17 uses.
98. even - 17 uses.
99. waiting - 17 uses.
100. alone - 17 uses.
101. old - 16 uses.
102. anything - 16 uses.
103. change - 16 uses.
104. much - 16 uses.
105. getting - 16 uses.
106. night - 16 uses.
107. killing - 16 uses.
108. sing - 16 uses.
109. hit - 16 uses.
110. shit - 16 uses.
111. dream - 16 uses.
112. same - 15 uses.
113. lungs - 15 uses.
114. gone - 15 uses.
115. another - 15 uses.
116. mind - 15 uses.
117. gotta - 15 uses.
118. black - 15 uses.
119. last - 15 uses.
120. ahead - 14 uses.
121. told - 14 uses.
122. without - 14 uses.
123. need - 14 uses.
124. mess - 14 uses.
125. pain - 14 uses.
126. yet - 14 uses.
127. lost - 14 uses.
128. sound - 14 uses.
129. run - 14 uses.
130. hell - 14 uses.
131. trouble - 14 uses.
132. become - 14 uses.
133. doesnt - 14 uses.
134. mouth - 14 uses.
135. full - 14 uses.
136. people - 14 uses.
137. throat - 14 uses.
138. seems - 13 uses.
139. might - 13 uses.
140. hand - 13 uses.
141. better - 13 uses.
142. smoke - 13 uses.
143. far - 13 uses.
144. falling - 13 uses.
145. ever - 13 uses.
146. friend - 13 uses.
147. turning - 13 uses.
148. grown - 13 uses.
149. rain - 13 uses.
150. mean - 13 uses.
151. missing - 13 uses.
152. knew - 13 uses.
153. pull - 13 uses.
154. fade - 13 uses.
155. gets - 13 uses.
156. thing - 13 uses.
157. trying - 12 uses.
158. found - 12 uses.
159. times - 12 uses.
160. laugh - 12 uses.
161. dying - 12 uses.
162. lets - 12 uses.
163. best - 12 uses.
164. fists - 12 uses.
165. hear - 12 uses.
166. floor - 12 uses.
167. dress - 11 uses.
168. thought - 11 uses.
169. fight - 11 uses.
170. line - 11 uses.
171. war - 11 uses.
172. whats - 11 uses.
173. after - 11 uses.
174. ones - 11 uses.
175. forget - 11 uses.
176. wide - 11 uses.
177. listen - 11 uses.
178. awake - 11 uses.
179. hearts - 11 uses.
180. morning - 11 uses.
181. breathing - 11 uses.
182. tear - 11 uses.
183. streets - 11 uses.
184. town - 11 uses.
185. feeling - 11 uses.
186. theyll - 11 uses.
187. em - 11 uses.
188. close - 11 uses.
189. waste - 11 uses.
190. havent - 11 uses.
191. flames - 11 uses.
192. forever - 11 uses.
193. brain - 11 uses.
194. train - 11 uses.
195. slow - 10 uses.
196. late - 10 uses.
197. point - 10 uses.
198. truth - 10 uses.
199. room - 10 uses.
200. fire - 10 uses.
201. caught - 10 uses.
202. learned - 10 uses.
203. walls - 10 uses.
204. burning - 10 uses.
205. walk - 10 uses.
206. sun - 10 uses.
207. stories - 10 uses.
208. spent - 10 uses.
209. leave - 10 uses.
210. fingers - 10 uses.
211. year - 10 uses.
212. being - 10 uses.
213. afraid - 10 uses.
214. knees - 10 uses.
215. finally - 10 uses.
216. youd - 10 uses.
217. along - 10 uses.
218. real - 10 uses.
219. someone - 10 uses.
220. thinking - 10 uses.
221. whoa - 10 uses.
222. mistakes - 10 uses.
223. story - 10 uses.
224. memory - 10 uses.
225. forgotten - 10 uses.
226. quality - 10 uses.
227. television - 10 uses.
228. name - 9 uses.
229. lies - 9 uses.
230. goodbye - 9 uses.
231. whole - 9 uses.
232. mine - 9 uses.
233. faces - 9 uses.
234. feet - 9 uses.
235. flesh - 9 uses.
236. ears - 9 uses.
237. free - 9 uses.
238. men - 9 uses.
239. done - 9 uses.
240. behind - 9 uses.
241. show - 9 uses.
242. decade - 9 uses.
243. feelings - 9 uses.
244. outta - 9 uses.
245. everyone - 9 uses.
246. shut - 9 uses.
247. lie - 9 uses.
248. really - 9 uses.
249. give - 9 uses.
250. century - 9 uses.
251. freight - 9 uses.
252. picking - 9 uses.
253. set - 9 uses.
254. nervous - 8 uses.
255. ghost - 8 uses.
256. wed - 8 uses.
257. attack - 8 uses.
258. bullshit - 8 uses.
259. dry - 8 uses.
260. looking - 8 uses.
261. ashes - 8 uses.
262. death - 8 uses.
263. strong - 8 uses.
264. bring - 8 uses.
265. letting - 8 uses.
266. wrong - 8 uses.
267. beating - 8 uses.
268. worth - 8 uses.
269. clean - 8 uses.
270. between - 8 uses.
271. known - 8 uses.
272. maybe - 8 uses.
273. inside - 8 uses.
274. heard - 8 uses.
275. fuck - 8 uses.
276. ringing - 8 uses.
277. damn - 8 uses.
278. different - 8 uses.
279. choke - 8 uses.
280. next - 8 uses.
281. straight - 8 uses.
282. sew - 8 uses.
283. else - 8 uses.
284. useless - 8 uses.
285. tonight - 8 uses.
286. lose - 8 uses.
287. harder - 8 uses.
288. singing - 8 uses.
289. little - 8 uses.
290. making - 8 uses.
291. new - 8 uses.
292. lights - 8 uses.
293. chameleon - 7 uses.
294. feels - 7 uses.
295. tied - 7 uses.
296. front - 7 uses.
297. door - 7 uses.
298. game - 7 uses.
299. regret - 7 uses.
300. going - 7 uses.
301. nowhere - 7 uses.
302. tears - 7 uses.
303. water - 7 uses.
304. drowning - 7 uses.
305. smell - 7 uses.
306. other - 7 uses.
307. hate - 7 uses.
308. catch - 7 uses.
309. growing - 7 uses.
310. deep - 7 uses.
311. happy - 7 uses.
312. help - 7 uses.
313. bleeding - 7 uses.
314. seen - 7 uses.
315. count - 7 uses.
316. blue - 7 uses.
317. anyway - 7 uses.
318. chest - 7 uses.
319. wouldnt - 7 uses.
320. corner - 7 uses.
321. tv - 7 uses.
322. does - 7 uses.
323. sitting - 7 uses.
324. til - 7 uses.
325. lives - 7 uses.
326. knows - 7 uses.
327. makes - 7 uses.
328. tires - 7 uses.
329. scratch - 7 uses.
330. wave - 7 uses.
331. leaving - 7 uses.
332. everyday - 7 uses.
333. okay - 7 uses.
334. gotten - 7 uses.
335. light - 6 uses.
336. promise - 6 uses.
337. begin - 6 uses.
338. ear - 6 uses.
339. sky - 6 uses.
340. motherfucker - 6 uses.
341. clear - 6 uses.
342. years - 6 uses.
343. thin - 6 uses.
344. happened - 6 uses.
345. perfect - 6 uses.
346. earth - 6 uses.
347. concrete - 6 uses.
348. meant - 6 uses.
349. dig - 6 uses.
350. knife - 6 uses.
351. excuse - 6 uses.
352. repeat - 6 uses.
353. half - 6 uses.
354. loud - 6 uses.
355. air - 6 uses.
356. single - 6 uses.
357. under - 6 uses.
358. sober - 6 uses.
359. cleanse - 6 uses.
