Most used words by  The Front Bottoms: 
Number of songs scanned: 112

1. never - 140 uses.
2. feel - 129 uses.
3. love - 123 uses.
4. think - 109 uses.
5. things - 104 uses.
6. wanna - 95 uses.
7. need - 89 uses.
8. gonna - 85 uses.
9. burn - 84 uses.
10. down - 81 uses.
11. only - 77 uses.
12. right - 72 uses.
13. good - 71 uses.
14. take - 68 uses.
15. every - 68 uses.
16. life - 66 uses.
17. probably - 63 uses.
18. bad - 63 uses.
19. hard - 63 uses.
20. still - 58 uses.
21. even - 58 uses.
22. should - 57 uses.
23. back - 57 uses.
24. keep - 56 uses.
25. thing - 55 uses.
26. want - 55 uses.
27. through - 55 uses.
28. around - 54 uses.
29. nothing - 53 uses.
30. baby - 52 uses.
31. because - 51 uses.
32. myself - 49 uses.
33. leave - 49 uses.
34. let - 49 uses.
35. try - 49 uses.
36. here - 49 uses.
37. tell - 48 uses.
38. felt - 47 uses.
39. else - 46 uses.
40. fine - 46 uses.
41. friends - 45 uses.
42. believe - 45 uses.
43. before - 45 uses.
44. matter - 44 uses.
45. where - 44 uses.
46. night - 42 uses.
47. ever - 41 uses.
48. much - 41 uses.
49. says - 41 uses.
50. last - 40 uses.
51. head - 40 uses.
52. over - 39 uses.
53. room - 39 uses.
54. jerk - 38 uses.
55. cool - 38 uses.
56. happy - 37 uses.
57. someone - 37 uses.
58. gotta - 36 uses.
59. eyes - 36 uses.
60. both - 36 uses.
61. stop - 34 uses.
62. inside - 34 uses.
63. better - 34 uses.
64. sure - 33 uses.
65. sleep - 33 uses.
66. getting - 33 uses.
67. everyone - 32 uses.
68. everything - 32 uses.
69. stay - 32 uses.
70. something - 31 uses.
71. away - 31 uses.
72. sometimes - 31 uses.
73. la - 31 uses.
74. phone - 30 uses.
75. same - 30 uses.
76. living - 30 uses.
77. help - 29 uses.
78. going - 29 uses.
79. talking - 29 uses.
80. tie - 29 uses.
81. again - 28 uses.
82. learn - 28 uses.
83. maybe - 28 uses.
84. high - 28 uses.
85. miles - 28 uses.
86. talk - 28 uses.
87. harvard - 28 uses.
88. thought - 27 uses.
89. little - 27 uses.
90. mind - 27 uses.
91. okay - 27 uses.
92. gone - 27 uses.
93. anything - 26 uses.
94. home - 26 uses.
95. forever - 26 uses.
96. lie - 26 uses.
97. fell - 26 uses.
98. theyre - 26 uses.
99. mean - 25 uses.
100. used - 25 uses.
101. tonight - 25 uses.
102. done - 25 uses.
103. move - 25 uses.
104. wear - 25 uses.
105. couple - 25 uses.
106. asleep - 25 uses.
107. far - 25 uses.
108. likes - 25 uses.
109. summer - 24 uses.
110. left - 24 uses.
111. own - 24 uses.
112. give - 24 uses.
113. scared - 24 uses.
114. real - 24 uses.
115. hands - 24 uses.
116. hate - 24 uses.
117. truth - 24 uses.
118. possible - 24 uses.
119. trying - 23 uses.
120. words - 23 uses.
121. alive - 23 uses.
122. long - 23 uses.
123. sad - 23 uses.
124. i’m - 23 uses.
125. put - 22 uses.
126. care - 22 uses.
127. money - 22 uses.
128. doesnt - 22 uses.
129. hear - 22 uses.
130. watch - 22 uses.
131. sorry - 22 uses.
132. start - 22 uses.
133. alright - 22 uses.
134. fall - 22 uses.
135. wants - 22 uses.
136. it’s - 22 uses.
137. hold - 21 uses.
138. cut - 21 uses.
139. hair - 21 uses.
140. reason - 21 uses.
141. fake - 21 uses.
142. work - 21 uses.
143. skin - 21 uses.
144. until - 21 uses.
145. any - 21 uses.
146. alone - 21 uses.
147. fight - 20 uses.
148. while - 20 uses.
149. ask - 20 uses.
150. light - 20 uses.
151. next - 20 uses.
152. cold - 20 uses.
153. face - 20 uses.
154. questions - 20 uses.
155. hell - 20 uses.
156. explain - 20 uses.
157. emotional - 20 uses.
158. wish - 19 uses.
159. understand - 19 uses.
160. please - 19 uses.
161. forget - 19 uses.
162. boy - 19 uses.
163. show - 19 uses.
164. answers - 19 uses.
165. new - 19 uses.
166. knees - 19 uses.
167. seem - 19 uses.
168. question - 19 uses.
169. young - 18 uses.
170. house - 18 uses.
171. very - 18 uses.
172. nights - 18 uses.
173. lonely - 18 uses.
174. person - 18 uses.
175. swimming - 18 uses.
176. miss - 18 uses.
177. magic - 18 uses.
178. point - 18 uses.
179. guess - 17 uses.
180. another - 17 uses.
181. behind - 17 uses.
182. shut - 17 uses.
183. floor - 17 uses.
184. pain - 17 uses.
185. enough - 17 uses.
186. plan - 17 uses.
187. wrong - 17 uses.
188. car - 17 uses.
189. open - 17 uses.
190. lost - 17 uses.
191. whatever - 17 uses.
192. numb - 17 uses.
193. started - 17 uses.
194. half - 17 uses.
195. girlfriend - 17 uses.
196. woah - 17 uses.
197. play - 16 uses.
198. older - 16 uses.
199. best - 16 uses.
200. realize - 16 uses.
201. world - 16 uses.
202. ride - 16 uses.
203. sleeping - 16 uses.
204. cry - 16 uses.
205. mouth - 16 uses.
206. blend - 16 uses.
207. pretty - 16 uses.
208. rest - 16 uses.
209. die - 16 uses.
210. true - 16 uses.
211. god - 16 uses.
212. blowing - 16 uses.
213. choose - 16 uses.
214. anyone - 15 uses.
215. friend - 15 uses.
216. feeling - 15 uses.
217. hurt - 15 uses.
218. big - 15 uses.
219. taking - 15 uses.
220. coming - 15 uses.
221. those - 15 uses.
222. reasons - 15 uses.
223. yes - 15 uses.
224. figure - 15 uses.
225. cannot - 15 uses.
226. heart - 15 uses.
227. laugh - 15 uses.
228. seat - 15 uses.
229. sit - 15 uses.
230. sound - 15 uses.
231. convenient - 15 uses.
232. sweet - 15 uses.
233. acting - 15 uses.
234. walls - 15 uses.
235. camouflage - 15 uses.
236. front - 15 uses.
237. dishonest - 15 uses.
238. remember - 14 uses.
239. thinking - 14 uses.
240. knows - 14 uses.
241. comes - 14 uses.
242. hey - 14 uses.
243. sing - 14 uses.
244. looking - 14 uses.
245. crash - 14 uses.
246. knew - 14 uses.
247. bed - 14 uses.
248. together - 14 uses.
249. ocean - 14 uses.
250. morning - 14 uses.
251. beach - 14 uses.
252. live - 14 uses.
253. since - 14 uses.
254. boyfriend - 14 uses.
255. whats - 14 uses.
256. being - 14 uses.
257. though - 14 uses.
258. anymore - 14 uses.
259. body - 14 uses.
260. voodoo - 14 uses.
261. clean - 14 uses.
262. middle - 14 uses.
263. ago - 14 uses.
264. funny - 13 uses.
265. close - 13 uses.
266. fucking - 13 uses.
267. times - 13 uses.
268. makes - 13 uses.
269. soap - 13 uses.
270. clothes - 13 uses.
271. supposed - 13 uses.
272. drive - 13 uses.
273. always - 13 uses.
274. fuck - 13 uses.
275. air - 13 uses.
276. bet - 13 uses.
277. sense - 13 uses.
278. loves - 13 uses.
279. peace - 13 uses.
280. finger - 13 uses.
281. water - 12 uses.
282. days - 12 uses.
283. walk - 12 uses.
284. backyard - 12 uses.
285. concrete - 12 uses.
286. dead - 12 uses.
287. yet - 12 uses.
288. teeth - 12 uses.
289. might - 12 uses.
290. fingers - 12 uses.
291. past - 12 uses.
292. found - 12 uses.
293. wanted - 12 uses.
294. means - 12 uses.
295. ready - 12 uses.
296. guy - 12 uses.
297. most - 12 uses.
298. loud - 12 uses.
299. sign - 12 uses.
300. such - 12 uses.
301. dying - 12 uses.
302. party - 12 uses.
303. wake - 12 uses.
304. bend - 12 uses.
305. delusional - 12 uses.
306. parents - 11 uses.
307. old - 11 uses.
308. everybody - 11 uses.
309. went - 11 uses.
310. space - 11 uses.
311. place - 11 uses.
312. crying - 11 uses.
313. washing - 11 uses.
314. fast - 11 uses.
315. side - 11 uses.
316. free - 11 uses.
317. different - 11 uses.
318. shouldnt - 11 uses.
319. today - 11 uses.
320. hope - 11 uses.
321. lets - 11 uses.
322. years - 11 uses.
323. tried - 11 uses.
324. lies - 11 uses.
325. havent - 11 uses.
326. montgomery - 11 uses.
327. till - 11 uses.
328. walking - 11 uses.
329. goddamn - 11 uses.
330. cough - 11 uses.
331. thin - 11 uses.
332. stoned - 11 uses.
333. fairbanks - 11 uses.
334. alaska - 11 uses.
335. whole - 10 uses.
336. ground - 10 uses.
337. met - 10 uses.
338. worst - 10 uses.
339. easy - 10 uses.
340. feels - 10 uses.
341. strong - 10 uses.
342. act - 10 uses.
343. til - 10 uses.
344. yourself - 10 uses.
345. hand - 10 uses.
346. sees - 10 uses.
347. saying - 10 uses.
348. blues - 10 uses.
349. deep - 10 uses.
350. meant - 10 uses.
351. harder - 10 uses.
352. bit - 10 uses.
353. ones - 10 uses.
354. break - 10 uses.
355. gave - 10 uses.
356. weve - 10 uses.
357. once - 10 uses.
358. worth - 10 uses.
359. family - 10 uses.
360. single - 10 uses.
361. wouldnt - 10 uses.
362. youd - 10 uses.
363. changed - 10 uses.
364. nobody - 10 uses.
365. along - 10 uses.
366. black - 10 uses.
367. couch - 10 uses.
368. doing - 9 uses.
369. buy - 9 uses.
370. pictures - 9 uses.
371. door - 9 uses.
372. really - 9 uses.
373. between - 9 uses.
374. already - 9 uses.
375. standing - 9 uses.
376. came - 9 uses.
377. shake - 9 uses.
378. blame - 9 uses.
379. basement - 9 uses.
380. goes - 9 uses.
381. without - 9 uses.
382. wall - 9 uses.
383. great - 9 uses.
384. feet - 9 uses.
385. dancing - 9 uses.
386. few - 9 uses.
387. begin - 9 uses.
388. pretend - 9 uses.
389. waiting - 9 uses.
390. name - 9 uses.
391. stand - 9 uses.
392. calm - 9 uses.
393. problem - 9 uses.
394. hour - 9 uses.
395. victims - 9 uses.
396. meet - 9 uses.
397. shame - 9 uses.
398. admit - 9 uses.
399. truly - 9 uses.
