Most used words by The Ghost of Paul Revere: 
Number of songs scanned: 34

1. hey - 43 uses.
2. love - 40 uses.
3. drown - 27 uses.
4. home - 25 uses.
5. heart - 24 uses.
6. always - 22 uses.
7. going - 22 uses.
8. down - 22 uses.
9. show - 21 uses.
10. tell - 20 uses.
11. back - 19 uses.
12. days - 19 uses.
13. let - 16 uses.
14. alone - 16 uses.
15. coming - 15 uses.
16. wild - 15 uses.
17. nothin - 15 uses.
18. north - 15 uses.
19. wanted - 15 uses.
20. told - 14 uses.
21. feel - 14 uses.
22. again - 14 uses.
23. take - 14 uses.
24. give - 13 uses.
25. never - 13 uses.
26. sing - 13 uses.
27. thing - 13 uses.
28. loneliness - 13 uses.
29. cold - 12 uses.
30. bones - 12 uses.
31. better - 12 uses.
32. end - 12 uses.
33. kind - 11 uses.
34. without - 11 uses.
35. little - 11 uses.
36. need - 11 uses.
37. child - 11 uses.
38. night - 10 uses.
39. stop - 10 uses.
40. chair - 10 uses.
41. keep - 10 uses.
42. lover - 10 uses.
43. maria - 10 uses.
44. about - 10 uses.
45. here - 9 uses.
46. leaves - 9 uses.
47. left - 9 uses.
48. nothing - 9 uses.
49. last - 9 uses.
50. yourself - 9 uses.
51. growing - 9 uses.
52. life - 9 uses.
53. living - 9 uses.
54. diving - 9 uses.
55. bell - 9 uses.
56. through - 8 uses.
57. convenience - 8 uses.
58. grass - 8 uses.
59. friend - 8 uses.
60. apart - 8 uses.
61. sit - 8 uses.
62. grandpas - 8 uses.
63. next - 8 uses.
64. away - 8 uses.
65. scream - 8 uses.
66. known - 8 uses.
67. sound - 8 uses.
68. over - 8 uses.
69. friends - 8 uses.
70. onward - 8 uses.
71. dirigo - 8 uses.
72. everything - 8 uses.
73. good - 8 uses.
74. losing - 8 uses.
75. welcome - 8 uses.
76. somebody - 8 uses.
77. gave - 7 uses.
78. yours - 7 uses.
79. door - 7 uses.
80. stone - 7 uses.
81. girl - 7 uses.
82. year - 7 uses.
83. gone - 7 uses.
84. mountain - 7 uses.
85. own - 7 uses.
86. only - 7 uses.
87. livin - 7 uses.
88. far - 7 uses.
89. land - 7 uses.
90. whiskey - 7 uses.
91. pain - 7 uses.
92. loud - 7 uses.
93. because - 7 uses.
94. learned - 7 uses.
95. angry - 6 uses.
96. right - 6 uses.
97. song - 6 uses.
98. lay - 6 uses.
99. until - 6 uses.
100. hold - 6 uses.
101. hell - 6 uses.
102. found - 6 uses.
103. lost - 6 uses.
104. fire - 6 uses.
105. bird - 6 uses.
106. maybe - 6 uses.
107. floor - 6 uses.
108. ship - 6 uses.
109. mine - 6 uses.
110. blood - 6 uses.
111. hollow - 6 uses.
112. tremble - 6 uses.
113. shake - 6 uses.
114. cry - 6 uses.
115. birdie - 6 uses.
116. around - 6 uses.
117. wishing - 6 uses.
118. river - 6 uses.
119. upward - 6 uses.
120. mercy - 6 uses.
121. great - 6 uses.
122. white - 6 uses.
123. sorry - 5 uses.
124. greener - 5 uses.
125. miles - 5 uses.
126. old - 5 uses.
127. house - 5 uses.
128. water - 5 uses.
129. hand - 5 uses.
130. cuz - 5 uses.
131. words - 5 uses.
132. dead - 5 uses.
133. hair - 5 uses.
134. after - 5 uses.
135. burn - 5 uses.
136. enough - 5 uses.
137. bathroom - 5 uses.
138. head - 5 uses.
139. hunger - 5 uses.
140. boy - 5 uses.
141. sky - 5 uses.
142. yes - 5 uses.
143. before - 5 uses.
144. together - 5 uses.
145. easy - 5 uses.
146. waking - 5 uses.
147. spirit - 5 uses.
148. bottom - 5 uses.
149. past - 5 uses.
150. doesnt - 4 uses.
151. done - 4 uses.
152. wrong - 4 uses.
153. years - 4 uses.
154. leave - 4 uses.
155. stood - 4 uses.
156. light - 4 uses.
157. though - 4 uses.
158. live - 4 uses.
159. loving - 4 uses.
160. arms - 4 uses.
161. aching - 4 uses.
162. run - 4 uses.
163. hands - 4 uses.
164. much - 4 uses.
165. turned - 4 uses.
166. sea - 4 uses.
167. singing - 4 uses.
168. saw - 4 uses.
169. does - 4 uses.
170. honey - 4 uses.
171. best - 4 uses.
172. line - 4 uses.
173. waiting - 4 uses.
174. willows - 4 uses.
175. autumn - 4 uses.
176. deep - 4 uses.
177. sun - 4 uses.
178. hiding - 4 uses.
179. taste - 4 uses.
180. crowd - 4 uses.
181. inside - 4 uses.
182. gotta - 4 uses.
183. somethin - 4 uses.
184. tryin - 4 uses.
185. ghostland - 4 uses.
186. sweet - 4 uses.
187. eight - 4 uses.
188. figure - 4 uses.
189. awake - 4 uses.
190. closing - 4 uses.
191. anymore - 4 uses.
192. dream - 4 uses.
193. seems - 4 uses.
194. roads - 4 uses.
195. capture - 4 uses.
196. tie - 4 uses.
197. lake - 4 uses.
198. shame - 4 uses.
199. ever - 4 uses.
200. fool - 4 uses.
201. sinking - 4 uses.
202. cigarette - 4 uses.
203. pains - 4 uses.
204. woaaah - 4 uses.
205. lonely - 3 uses.
206. low - 3 uses.
207. tear - 3 uses.
208. walls - 3 uses.
209. bring - 3 uses.
210. fate - 3 uses.
211. walked - 3 uses.
212. darling - 3 uses.
213. tree - 3 uses.
214. came - 3 uses.
215. yesterday - 3 uses.
216. table - 3 uses.
217. even - 3 uses.
218. caught - 3 uses.
219. beside - 3 uses.
220. tall - 3 uses.
221. while - 3 uses.
222. annabelle - 3 uses.
223. believe - 3 uses.
224. valley - 3 uses.
225. another - 3 uses.
226. grow - 3 uses.
227. mirror - 3 uses.
228. name - 3 uses.
229. morning - 3 uses.
230. almost - 3 uses.
231. reason - 3 uses.
232. fine - 3 uses.
233. wolves - 3 uses.
234. moon - 3 uses.
235. outside - 3 uses.
236. high - 3 uses.
237. remember - 3 uses.
238. drive - 3 uses.
239. god - 3 uses.
240. side - 3 uses.
241. answer - 3 uses.
242. think - 3 uses.
243. carry - 3 uses.
244. chained - 3 uses.
245. lord - 3 uses.
246. comes - 3 uses.
