Most used words by The Glorious Sons: 
Number of songs scanned: 51

1. love - 79 uses.
2. down - 66 uses.
3. never - 57 uses.
4. baby - 51 uses.
5. thing - 47 uses.
6. nothing - 45 uses.
7. away - 44 uses.
8. let - 44 uses.
9. heart - 40 uses.
10. everything - 39 uses.
11. need - 36 uses.
12. run - 35 uses.
13. eyes - 33 uses.
14. little - 33 uses.
15. good - 32 uses.
16. last - 32 uses.
17. daylight - 32 uses.
18. better - 31 uses.
19. lights - 31 uses.
20. put - 29 uses.
21. think - 29 uses.
22. night - 29 uses.
23. kill - 29 uses.
24. town - 28 uses.
25. side - 27 uses.
26. lets - 27 uses.
27. feel - 26 uses.
28. blood - 26 uses.
29. things - 24 uses.
30. here - 24 uses.
31. give - 24 uses.
32. dies - 24 uses.
33. back - 23 uses.
34. leave - 23 uses.
35. bring - 23 uses.
36. white - 23 uses.
37. left - 22 uses.
38. again - 22 uses.
39. noise - 22 uses.
40. easy - 21 uses.
41. heavy - 21 uses.
42. take - 20 uses.
43. coming - 20 uses.
44. gets - 20 uses.
45. running - 19 uses.
46. burn - 19 uses.
47. around - 19 uses.
48. tell - 19 uses.
49. damn - 18 uses.
50. anything - 18 uses.
51. took - 17 uses.
52. wake - 17 uses.
53. lonely - 17 uses.
54. hold - 17 uses.
55. much - 17 uses.
56. ya - 17 uses.
57. places - 17 uses.
58. josie - 17 uses.
59. young - 16 uses.
60. about - 16 uses.
61. ruby - 16 uses.
62. light - 15 uses.
63. car - 15 uses.
64. head - 15 uses.
65. old - 15 uses.
66. money - 15 uses.
67. something - 15 uses.
68. tonight - 15 uses.
69. tired - 15 uses.
70. fire - 15 uses.
71. right - 15 uses.
72. shut - 15 uses.
73. keep - 14 uses.
74. times - 14 uses.
75. only - 14 uses.
76. myself - 14 uses.
77. hide - 14 uses.
78. hey - 14 uses.
79. under - 14 uses.
80. bet - 14 uses.
81. babe - 14 uses.
82. darker - 14 uses.
83. sinner - 14 uses.
84. gotta - 13 uses.
85. men - 13 uses.
86. every - 13 uses.
87. god - 13 uses.
88. home - 13 uses.
89. mind - 13 uses.
90. through - 13 uses.
91. happy - 13 uses.
92. soul - 13 uses.
93. feels - 13 uses.
94. break - 13 uses.
95. girl - 12 uses.
96. remember - 12 uses.
97. sick - 12 uses.
98. bed - 12 uses.
99. war - 12 uses.
100. other - 12 uses.
101. dying - 12 uses.
102. line - 12 uses.
103. wild - 12 uses.
104. lean - 12 uses.
105. yours - 12 uses.
106. – - 12 uses.
107. alright - 11 uses.
108. friends - 11 uses.
109. understand - 11 uses.
110. wanted - 11 uses.
111. rock - 11 uses.
112. roller - 11 uses.
113. bad - 11 uses.
114. needed - 11 uses.
115. reason - 11 uses.
116. gone - 11 uses.
117. poor - 11 uses.
118. lost - 11 uses.
119. woke - 11 uses.
120. scared - 11 uses.
121. gun - 11 uses.
122. wrong - 11 uses.
123. summer - 11 uses.
124. kick - 11 uses.
125. killed - 11 uses.
126. ours - 11 uses.
127. far - 10 uses.
128. over - 10 uses.
129. apart - 10 uses.
130. hear - 10 uses.
131. pretty - 10 uses.
132. sometimes - 10 uses.
133. ground - 10 uses.
134. lie - 10 uses.
135. king - 10 uses.
136. end - 10 uses.
137. build - 10 uses.
138. mama - 10 uses.
139. ooh - 10 uses.
140. life - 10 uses.
141. steady - 10 uses.
142. river - 10 uses.
143. okay - 10 uses.
144. fast - 10 uses.
145. toast - 10 uses.
146. dead - 9 uses.
147. miss - 9 uses.
148. high - 9 uses.
149. join - 9 uses.
150. believe - 9 uses.
151. fuck - 9 uses.
152. plan - 9 uses.
153. tried - 9 uses.
154. death - 9 uses.
155. live - 9 uses.
156. rest - 9 uses.
157. heaven - 9 uses.
158. job - 9 uses.
159. hole - 9 uses.
160. midnight - 9 uses.
161. gave - 9 uses.
162. bloody - 9 uses.
163. dream - 9 uses.
164. burning - 9 uses.
165. bought - 9 uses.
166. hard - 8 uses.
167. dark - 8 uses.
168. name - 8 uses.
169. heard - 8 uses.
170. world - 8 uses.
171. waiting - 8 uses.
172. being - 8 uses.
173. hands - 8 uses.
174. friend - 8 uses.
175. stop - 8 uses.
176. body - 8 uses.
177. door - 8 uses.
178. always - 8 uses.
179. darling - 8 uses.
180. help - 8 uses.
181. turned - 8 uses.
182. broken - 8 uses.
183. place - 8 uses.
184. couldnt - 8 uses.
185. alone - 8 uses.
186. wait - 8 uses.
187. losing - 8 uses.
188. care - 8 uses.
189. knowin - 8 uses.
190. weve - 8 uses.
191. learned - 8 uses.
192. wicked - 8 uses.
193. sawed-off - 8 uses.
194. shotgun - 8 uses.
195. comes - 7 uses.
196. starts - 7 uses.
197. longer - 7 uses.
198. wasnt - 7 uses.
199. dirty - 7 uses.
200. show - 7 uses.
201. work - 7 uses.
202. face - 7 uses.
203. looking - 7 uses.
204. union - 7 uses.
205. change - 7 uses.
206. trust - 7 uses.
207. crazy - 7 uses.
208. somewhere - 7 uses.
209. sleep - 7 uses.
210. lover - 7 uses.
211. till - 7 uses.
212. cold - 7 uses.
213. feeling - 7 uses.
214. devils - 7 uses.
215. full - 7 uses.
216. rain - 7 uses.
217. prepared - 7 uses.
218. contender - 7 uses.
219. enough - 7 uses.
220. graceless - 7 uses.
221. spent - 7 uses.
222. used - 7 uses.
223. sky - 7 uses.
224. spirit - 7 uses.
225. key - 7 uses.
226. rides - 7 uses.
227. closely - 7 uses.
228. seen - 7 uses.
229. destroy - 7 uses.
230. void - 7 uses.
231. sent - 7 uses.
232. born - 6 uses.
233. felt - 6 uses.
234. forgot - 6 uses.
235. lead - 6 uses.
236. east - 6 uses.
237. house - 6 uses.
238. throw - 6 uses.
239. cigarettes - 6 uses.
240. water - 6 uses.
241. before - 6 uses.
242. cut - 6 uses.
243. says - 6 uses.
244. pain - 6 uses.
245. ever - 6 uses.
246. edge - 6 uses.
247. went - 6 uses.
248. kind - 6 uses.
249. die - 6 uses.
250. hearts - 6 uses.
251. own - 6 uses.
252. clothes - 6 uses.
253. above - 6 uses.
254. ragged - 6 uses.
255. mother - 6 uses.
256. kid - 6 uses.
257. hair - 6 uses.
258. everyone - 6 uses.
259. tasteful - 6 uses.
260. closer - 6 uses.
261. shit - 6 uses.
262. pills - 6 uses.
263. raining - 6 uses.
264. stay - 6 uses.
265. kingdom - 6 uses.
266. taxman - 6 uses.
267. hooked - 6 uses.
268. oxycodone - 6 uses.
269. black - 5 uses.
270. thunder - 5 uses.
271. older - 5 uses.
272. between - 5 uses.
273. play - 5 uses.
274. amigo - 5 uses.
275. hand - 5 uses.
276. loved - 5 uses.
277. talk - 5 uses.
278. until - 5 uses.
279. piece - 5 uses.
280. going - 5 uses.
281. roll - 5 uses.
282. saw - 5 uses.
283. moved - 5 uses.
284. stuck - 5 uses.
285. started - 5 uses.
286. years - 5 uses.
287. same - 5 uses.
288. beneath - 5 uses.
289. city - 5 uses.
290. rip - 5 uses.
291. daddy - 5 uses.
292. doesnt - 5 uses.
293. feet - 5 uses.
294. does - 5 uses.
295. fear - 5 uses.
296. brother - 5 uses.
297. ready - 5 uses.
298. comin - 5 uses.
299. sure - 5 uses.
300. less - 5 uses.
301. cigarette - 5 uses.
302. breaking - 5 uses.
303. hate - 5 uses.
304. church - 5 uses.
305. really - 5 uses.
306. needs - 5 uses.
307. true - 5 uses.
308. trouble - 5 uses.
309. havent - 5 uses.
310. mine - 5 uses.
311. ride - 5 uses.
312. tv - 5 uses.
313. happen - 5 uses.
314. pink - 5 uses.
315. motel - 5 uses.
316. turn - 5 uses.
317. killing - 5 uses.
318. close - 5 uses.
319. met - 5 uses.
320. godless - 5 uses.
321. caroline - 5 uses.
322. mad - 4 uses.
323. mothers - 4 uses.
