Most used words by The Greeting Committee: 
Number of songs scanned: 39

1. love - 56 uses.
2. never - 49 uses.
3. baby - 38 uses.
4. back - 35 uses.
5. god - 32 uses.
6. head - 28 uses.
7. end - 27 uses.
8. coming - 26 uses.
9. down - 25 uses.
10. always - 24 uses.
11. thing - 23 uses.
12. days - 22 uses.
13. need - 22 uses.
14. feel - 22 uses.
15. leave - 21 uses.
16. waiting - 21 uses.
17. only - 19 uses.
18. whats - 19 uses.
19. better - 19 uses.
20. ever - 18 uses.
21. right - 18 uses.
22. swear - 18 uses.
23. let - 18 uses.
24. again - 18 uses.
25. inside - 18 uses.
26. cry - 18 uses.
27. mean - 17 uses.
28. another - 16 uses.
29. mind - 15 uses.
30. wrapped - 15 uses.
31. together - 15 uses.
32. give - 14 uses.
33. think - 14 uses.
34. kind - 14 uses.
35. left - 14 uses.
36. here - 14 uses.
37. even - 13 uses.
38. life - 13 uses.
39. worry - 13 uses.
40. ooh - 13 uses.
41. through - 12 uses.
42. beginning - 12 uses.
43. middle - 12 uses.
44. without - 12 uses.
45. afraid - 12 uses.
46. pull - 12 uses.
47. maybe - 12 uses.
48. alright - 11 uses.
49. sounded - 11 uses.
50. around - 11 uses.
51. everything - 11 uses.
52. myself - 11 uses.
53. guess - 11 uses.
54. couldnt - 10 uses.
55. count - 10 uses.
56. every - 10 uses.
57. put - 10 uses.
58. running - 10 uses.
59. lose - 10 uses.
60. something - 10 uses.
61. gotta - 10 uses.
62. long - 10 uses.
63. thank - 10 uses.
64. making - 9 uses.
65. over - 9 uses.
66. whole - 9 uses.
67. fall - 9 uses.
68. keep - 9 uses.
69. hate - 9 uses.
70. fight - 9 uses.
71. arms - 9 uses.
72. until - 9 uses.
73. heart - 9 uses.
74. ways - 9 uses.
75. roll - 9 uses.
76. changing - 9 uses.
77. world - 8 uses.
78. lost - 8 uses.
79. hands - 8 uses.
80. room - 8 uses.
81. nothing - 8 uses.
82. work - 8 uses.
83. says - 8 uses.
84. apart - 7 uses.
85. home - 7 uses.
86. funny - 7 uses.
87. losing - 7 uses.
88. good - 7 uses.
89. yours - 7 uses.
90. morning - 7 uses.
91. hard - 7 uses.
92. years - 7 uses.
93. under - 7 uses.
94. away - 7 uses.
95. kid - 7 uses.
96. needed - 7 uses.
97. must - 7 uses.
98. giving - 7 uses.
99. till - 7 uses.
100. anything - 7 uses.
101. show - 7 uses.
102. gun - 7 uses.
103. sings - 7 uses.
104. second - 7 uses.
105. tomorrow - 7 uses.
106. run - 7 uses.
107. before - 7 uses.
108. true - 7 uses.
109. wait - 7 uses.
110. someone - 6 uses.
111. holding - 6 uses.
112. mine - 6 uses.
113. later - 6 uses.
114. ten - 6 uses.
115. much - 6 uses.
116. stand - 6 uses.
117. thoughts - 6 uses.
118. watching - 6 uses.
119. floor - 6 uses.
120. thought - 6 uses.
121. words - 6 uses.
122. okay - 6 uses.
123. meant - 6 uses.
124. own - 6 uses.
125. young - 6 uses.
126. skin - 6 uses.
127. falling - 6 uses.
128. seventeen - 6 uses.
129. shake - 6 uses.
130. side - 5 uses.
131. mess - 5 uses.
132. somebody - 5 uses.
133. deserve - 5 uses.
134. promises - 5 uses.
135. bed - 5 uses.
136. watch - 5 uses.
137. stop - 5 uses.
138. getting - 5 uses.
139. take - 5 uses.
140. chance - 5 uses.
141. calling - 5 uses.
142. rest - 5 uses.
143. tied - 5 uses.
144. looking - 5 uses.
145. quite - 5 uses.
146. best - 5 uses.
147. found - 5 uses.
148. kill - 5 uses.
149. hey - 5 uses.
150. pushed - 5 uses.
151. gods - 5 uses.
152. sake - 5 uses.
153. talk - 5 uses.
154. heres - 5 uses.
155. song - 5 uses.
156. money - 5 uses.
157. loved - 5 uses.
158. drag - 5 uses.
159. thatd - 5 uses.
160. goes - 5 uses.
161. saying - 5 uses.
162. police - 5 uses.
163. knows - 4 uses.
164. rip - 4 uses.
165. making- - 4 uses.
166. sleep - 4 uses.
167. wouldnt - 4 uses.
168. happen - 4 uses.
169. little - 4 uses.
170. really - 4 uses.
171. name - 4 uses.
172. pissed - 4 uses.
173. turn - 4 uses.
174. hold - 4 uses.
175. happy - 4 uses.
176. alive - 4 uses.
177. yourself - 4 uses.
178. havent - 4 uses.
179. since - 4 uses.
180. basement - 4 uses.
181. hang - 4 uses.
182. sinking - 4 uses.
183. lying - 4 uses.
184. settle - 4 uses.
185. boy - 4 uses.
186. feeling - 4 uses.
187. nice - 4 uses.
188. babys - 4 uses.
189. sounds - 4 uses.
190. leaving - 4 uses.
191. tell - 4 uses.
192. hurry - 4 uses.
193. evermore - 4 uses.
194. bad - 4 uses.
195. ripping - 4 uses.
196. please - 4 uses.
197. set - 4 uses.
198. break - 4 uses.
199. used - 4 uses.
200. fell - 4 uses.
201. scared - 4 uses.
202. might - 4 uses.
