Most used words by The Hold Steady: 
Number of songs scanned: 109

1. around - 104 uses.
2. back - 100 uses.
3. down - 98 uses.
4. about - 97 uses.
5. pretty - 96 uses.
6. little - 85 uses.
7. love - 83 uses.
8. never - 80 uses.
9. night - 75 uses.
10. came - 72 uses.
11. kids - 67 uses.
12. always - 64 uses.
13. guys - 60 uses.
14. girls - 60 uses.
15. tell - 60 uses.
16. think - 59 uses.
17. right - 59 uses.
18. went - 59 uses.
19. through - 58 uses.
20. other - 58 uses.
21. good - 56 uses.
22. much - 56 uses.
23. let - 56 uses.
24. nights - 55 uses.
25. city - 54 uses.
26. really - 53 uses.
27. friends - 53 uses.
28. people - 51 uses.
29. something - 51 uses.
30. first - 51 uses.
31. theyre - 50 uses.
32. feel - 50 uses.
33. saw - 49 uses.
34. trying - 47 uses.
35. kind - 47 uses.
36. going - 46 uses.
37. getting - 45 uses.
38. things - 45 uses.
39. every - 45 uses.
40. last - 44 uses.
41. sure - 43 uses.
42. high - 43 uses.
43. only - 43 uses.
44. party - 43 uses.
45. heaven - 42 uses.
46. girl - 40 uses.
47. eyes - 40 uses.
48. take - 40 uses.
49. even - 39 uses.
50. again - 39 uses.
51. new - 38 uses.
52. boys - 38 uses.
53. coming - 37 uses.
54. guess - 37 uses.
55. gotta - 37 uses.
56. where - 36 uses.
57. over - 35 uses.
58. living - 35 uses.
59. seem - 35 uses.
60. hard - 34 uses.
61. put - 34 uses.
62. try - 33 uses.
63. used - 32 uses.
64. guy - 32 uses.
65. whole - 31 uses.
66. thing - 31 uses.
67. gets - 31 uses.
68. away - 31 uses.
69. started - 30 uses.
70. place - 30 uses.
71. stay - 30 uses.
72. before - 30 uses.
73. whoa-oh-oh-oh - 30 uses.
74. blood - 29 uses.
75. mostly - 29 uses.
76. together - 29 uses.
77. almost - 29 uses.
78. walk - 29 uses.
79. looked - 28 uses.
80. while - 28 uses.
81. probably - 28 uses.
82. sweet - 28 uses.
83. light - 27 uses.
84. those - 27 uses.
85. might - 27 uses.
86. once - 27 uses.
87. another - 26 uses.
88. drink - 26 uses.
89. wasnt - 26 uses.
90. felt - 26 uses.
91. band - 26 uses.
92. says - 25 uses.
93. friend - 25 uses.
94. kid - 25 uses.
95. theyll - 25 uses.
96. big - 25 uses.
97. kiss - 25 uses.
98. lets - 25 uses.
99. sick - 24 uses.
100. half - 24 uses.
101. summer - 24 uses.
102. heard - 24 uses.
103. keep - 24 uses.
104. bit - 24 uses.
105. tonight - 24 uses.
106. hot - 24 uses.
107. white - 24 uses.
108. such - 23 uses.
109. baby - 23 uses.
110. wants - 23 uses.
111. remember - 23 uses.
112. hey - 23 uses.
113. here - 23 uses.
114. soft - 23 uses.
115. st - 22 uses.
116. end - 22 uses.
117. should - 22 uses.
118. home - 21 uses.
119. met - 21 uses.
120. scene - 21 uses.
121. someone - 21 uses.
122. thought - 21 uses.
123. tired - 21 uses.
124. roll - 20 uses.
125. cool - 20 uses.
126. looks - 20 uses.
127. hoodrat - 20 uses.
128. born - 20 uses.
129. american - 20 uses.
130. music - 20 uses.
131. making - 20 uses.
132. car - 20 uses.
133. hands - 20 uses.
134. start - 19 uses.
135. seemed - 19 uses.
136. hold - 19 uses.
137. makes - 19 uses.
138. best - 19 uses.
139. spent - 19 uses.
140. bar - 19 uses.
141. feels - 19 uses.
142. corner - 18 uses.
143. different - 18 uses.
144. couldnt - 18 uses.
145. deep - 18 uses.
146. better - 18 uses.
147. sorry - 18 uses.
148. hope - 18 uses.
149. wait - 18 uses.
150. parties - 18 uses.
151. most - 18 uses.
152. knew - 18 uses.
153. wonderful - 18 uses.
154. everything - 18 uses.
155. single - 18 uses.
156. left - 17 uses.
157. same - 17 uses.
158. dead - 17 uses.
159. lord - 16 uses.
160. rock - 16 uses.
161. seems - 16 uses.
162. shows - 16 uses.
163. young - 16 uses.
164. tried - 16 uses.
165. scared - 16 uses.
166. any - 16 uses.
167. couple - 16 uses.
168. positive - 16 uses.
169. songs - 16 uses.
170. kitchen - 16 uses.
171. cross - 16 uses.
172. lost - 16 uses.
173. weve - 15 uses.
174. called - 15 uses.
175. head - 15 uses.
176. stuff - 15 uses.
177. dream - 15 uses.
178. nothing - 15 uses.
179. cigarettes - 15 uses.
180. funny - 15 uses.
181. dreams - 15 uses.
182. gone - 15 uses.
183. old - 15 uses.
184. heavy - 15 uses.
185. smoke - 15 uses.
186. ask - 15 uses.
187. die - 15 uses.
188. looking - 15 uses.
189. meet - 15 uses.
190. holly - 15 uses.
191. sometimes - 15 uses.
192. supposed - 15 uses.
193. dance - 15 uses.
194. wine - 15 uses.
195. business - 15 uses.
196. work - 15 uses.
197. play - 15 uses.
198. bed - 14 uses.
199. kinda - 14 uses.
200. show - 14 uses.
201. after - 14 uses.
202. jesus - 14 uses.
203. died - 14 uses.
204. stuck - 14 uses.
205. true - 14 uses.
206. anything - 14 uses.
207. took - 14 uses.
208. isnt - 14 uses.
209. truth - 14 uses.
210. song - 14 uses.
211. lot - 14 uses.
212. woke - 14 uses.
213. finally - 14 uses.
214. charlemagne - 14 uses.
215. against - 14 uses.
216. already - 14 uses.
217. thru - 14 uses.
218. enough - 13 uses.
219. calling - 13 uses.
220. hell - 13 uses.
221. goes - 13 uses.
222. wanted - 13 uses.
223. life - 13 uses.
224. house - 13 uses.
225. arms - 13 uses.
226. middle - 13 uses.
227. second - 13 uses.
228. until - 13 uses.
229. deal - 13 uses.
230. bars - 13 uses.
231. words - 13 uses.
232. talking - 13 uses.
233. nice - 13 uses.
234. talk - 13 uses.
235. believe - 13 uses.
236. werent - 13 uses.
237. hit - 13 uses.
238. ones - 13 uses.
239. memphis - 13 uses.
