Most used words by The Hotelier: 
Number of songs scanned: 38

1. felt - 29 uses.
2. light - 27 uses.
3. never - 25 uses.
4. down - 24 uses.
5. away - 24 uses.
6. feel - 22 uses.
7. through - 21 uses.
8. thing - 21 uses.
9. while - 20 uses.
10. remember - 20 uses.
11. alone - 19 uses.
12. life - 18 uses.
13. same - 18 uses.
14. let - 17 uses.
15. keep - 16 uses.
16. back - 16 uses.
17. because - 16 uses.
18. inside - 16 uses.
19. heart - 15 uses.
20. new - 15 uses.
21. here - 14 uses.
22. around - 14 uses.
23. stay - 14 uses.
24. something - 13 uses.
25. coming - 13 uses.
26. couldnt - 13 uses.
27. face - 13 uses.
28. home - 13 uses.
29. hold - 13 uses.
30. nothing - 13 uses.
31. every - 13 uses.
32. hope - 13 uses.
33. feels - 13 uses.
34. until - 12 uses.
35. only - 12 uses.
36. better - 12 uses.
37. eyes - 12 uses.
38. world - 12 uses.
39. head - 11 uses.
40. self - 11 uses.
41. weve - 11 uses.
42. ask - 11 uses.
43. start - 11 uses.
44. old - 11 uses.
45. everything - 11 uses.
46. break - 11 uses.
47. love - 11 uses.
48. burning - 11 uses.
49. things - 11 uses.
50. again - 10 uses.
51. body - 10 uses.
52. feeling - 10 uses.
53. night - 10 uses.
54. always - 10 uses.
55. hands - 10 uses.
56. sun - 10 uses.
57. mind - 9 uses.
58. left - 9 uses.
59. sing - 9 uses.
60. days - 9 uses.
61. hear - 9 uses.
62. cold - 9 uses.
63. take - 9 uses.
64. cut - 9 uses.
65. freezing - 9 uses.
66. apart - 9 uses.
67. own - 9 uses.
68. wish - 9 uses.
69. tell - 9 uses.
70. undone - 9 uses.
71. open - 8 uses.
72. years - 8 uses.
73. friends - 8 uses.
74. guess - 8 uses.
75. walls - 8 uses.
76. hand - 8 uses.
77. long - 8 uses.
78. thought - 8 uses.
79. free - 8 uses.
80. broken - 8 uses.
81. move - 8 uses.
82. lost - 7 uses.
83. right - 7 uses.
84. show - 7 uses.
85. turn - 7 uses.
86. should - 7 uses.
87. myself - 7 uses.
88. skin - 7 uses.
89. past - 7 uses.
90. against - 7 uses.
91. those - 7 uses.
92. set - 7 uses.
93. taught - 7 uses.
94. little - 7 uses.
95. both - 7 uses.
96. lets - 7 uses.
97. lay - 7 uses.
98. over - 7 uses.
99. called - 7 uses.
100. yourself - 7 uses.
101. try - 7 uses.
102. forget - 7 uses.
103. white - 7 uses.
104. about - 7 uses.
105. along - 7 uses.
106. people - 6 uses.
107. another - 6 uses.
108. beautiful - 6 uses.
109. fucking - 6 uses.
110. loved - 6 uses.
111. live - 6 uses.
112. first - 6 uses.
113. work - 6 uses.
114. under - 6 uses.
115. close - 6 uses.
116. comfort - 6 uses.
117. best - 6 uses.
118. hearts - 6 uses.
119. ground - 6 uses.
120. yet - 6 uses.
121. lines - 6 uses.
122. wake - 6 uses.
123. enough - 6 uses.
124. choked - 6 uses.
125. rest - 6 uses.
126. fall - 6 uses.
127. room - 6 uses.
128. floor - 6 uses.
129. believe - 6 uses.
130. tried - 6 uses.
131. rustling - 6 uses.
132. fix - 6 uses.
133. dead - 5 uses.
134. walk - 5 uses.
135. being - 5 uses.
136. weight - 5 uses.
137. lives - 5 uses.
138. wrong - 5 uses.
139. knew - 5 uses.
140. making - 5 uses.
141. good - 5 uses.
142. youd - 5 uses.
143. need - 5 uses.
144. ways - 5 uses.
145. found - 5 uses.
146. snow - 5 uses.
147. buried - 5 uses.
148. together - 5 uses.
149. forever - 5 uses.
150. nights - 5 uses.
151. tearing - 5 uses.
152. mend - 5 uses.
153. okay - 5 uses.
154. before - 5 uses.
155. trust - 5 uses.
156. side - 5 uses.
157. fell - 5 uses.
158. lifes - 5 uses.
159. grow - 5 uses.
160. stone - 5 uses.
161. end - 5 uses.
162. rain - 5 uses.
163. ever - 5 uses.
164. living - 5 uses.
165. carry - 5 uses.
166. without - 5 uses.
167. drag - 5 uses.
168. pictures - 5 uses.
169. safe - 5 uses.
170. change - 5 uses.
171. teeth - 5 uses.
172. touch - 5 uses.
173. held - 5 uses.
174. alive - 5 uses.
175. sit - 5 uses.
176. keeps - 5 uses.
177. goes - 5 uses.
178. moon - 5 uses.
179. wants - 5 uses.
180. birds - 4 uses.
181. seem - 4 uses.
182. sure - 4 uses.
183. name - 4 uses.
184. following - 4 uses.
185. share - 4 uses.
186. news - 4 uses.
187. space - 4 uses.
188. saying - 4 uses.
189. took - 4 uses.
190. fingers - 4 uses.
191. family - 4 uses.
192. memory - 4 uses.
193. asked - 4 uses.
194. makes - 4 uses.
195. sky - 4 uses.
196. tonight - 4 uses.
197. house - 4 uses.
198. anything - 4 uses.
199. machines - 4 uses.
200. kept - 4 uses.
201. known - 4 uses.
202. hopes - 4 uses.
203. pieces - 4 uses.
204. wounds - 4 uses.
205. future - 4 uses.
206. deep - 4 uses.
207. true - 4 uses.
208. bit - 4 uses.
209. today - 4 uses.
210. single - 4 uses.
211. leave - 4 uses.
212. wasnt - 4 uses.
213. sound - 4 uses.
214. breath - 4 uses.
215. burn - 4 uses.
216. think - 4 uses.
217. beating - 4 uses.
218. born - 4 uses.
219. came - 4 uses.
220. play - 4 uses.
221. few - 4 uses.
