Most used words by The Japanese House: 
Number of songs scanned: 33

1. something - 43 uses.
2. good - 33 uses.
3. same - 29 uses.
4. keep - 27 uses.
5. right - 26 uses.
6. change - 26 uses.
7. love - 24 uses.
8. myself - 21 uses.
9. things - 21 uses.
10. back - 19 uses.
11. feel - 17 uses.
12. only - 17 uses.
13. nothing - 16 uses.
14. again - 16 uses.
15. over - 16 uses.
16. head - 16 uses.
17. maybe - 14 uses.
18. always - 14 uses.
19. away - 14 uses.
20. through - 14 uses.
21. saw - 14 uses.
22. about - 14 uses.
23. someone - 13 uses.
24. watching - 13 uses.
25. feeling - 13 uses.
26. take - 13 uses.
27. feels - 12 uses.
28. tell - 12 uses.
29. everybody - 12 uses.
30. mind - 12 uses.
31. leon - 12 uses.
32. put - 11 uses.
33. reason - 11 uses.
34. face - 11 uses.
35. think - 11 uses.
36. such - 11 uses.
37. enough - 11 uses.
38. let - 11 uses.
39. down - 10 uses.
40. anybody - 10 uses.
41. knew - 10 uses.
42. isnt - 10 uses.
43. changing - 10 uses.
44. guess - 10 uses.
45. going - 10 uses.
46. floating - 10 uses.
47. hold - 10 uses.
48. breath - 10 uses.
49. light - 9 uses.
50. window - 9 uses.
51. old - 9 uses.
52. heart - 9 uses.
53. thing - 9 uses.
54. much - 9 uses.
55. alone - 9 uses.
56. goes - 9 uses.
57. girl - 8 uses.
58. far - 8 uses.
59. every - 8 uses.
60. wonder - 8 uses.
61. never - 8 uses.
62. thought - 8 uses.
63. water - 8 uses.
64. within - 8 uses.
65. film - 8 uses.
66. different - 7 uses.
67. tried - 7 uses.
68. world - 7 uses.
69. til - 7 uses.
70. found - 7 uses.
71. direction - 7 uses.
72. caught - 7 uses.
73. hard - 7 uses.
74. doesnt - 7 uses.
75. clean - 7 uses.
76. space - 7 uses.
77. wrong - 7 uses.
78. stop - 7 uses.
79. anymore - 7 uses.
80. around - 7 uses.
81. slow - 7 uses.
82. eyes - 7 uses.
83. awake - 7 uses.
84. somebody - 7 uses.
85. yourself - 7 uses.
86. gave - 6 uses.
87. funny - 6 uses.
88. own - 6 uses.
89. took - 6 uses.
90. gone - 6 uses.
91. heard - 6 uses.
92. kept - 6 uses.
93. makes - 6 uses.
94. ooooh - 6 uses.
95. skin - 6 uses.
96. end - 6 uses.
97. happen - 6 uses.
98. matter - 6 uses.
99. left - 6 uses.
100. babe - 6 uses.
101. thunder - 6 uses.
102. body - 6 uses.
103. looking - 6 uses.
104. else - 6 uses.
105. try - 6 uses.
106. god - 6 uses.
107. dream - 6 uses.
108. havent - 6 uses.
109. came - 6 uses.
110. switch - 6 uses.
111. lookin - 6 uses.
112. happening - 6 uses.
113. tide - 6 uses.
114. hit - 6 uses.
115. another - 6 uses.
116. ooh - 6 uses.
117. sense - 5 uses.
118. wouldnt - 5 uses.
119. kind - 5 uses.
120. between - 5 uses.
121. past - 5 uses.
122. turned - 5 uses.
123. wasnt - 5 uses.
124. seemed - 5 uses.
125. happy - 5 uses.
126. looked - 5 uses.
127. before - 5 uses.
128. under - 5 uses.
129. believe - 5 uses.
130. mean - 5 uses.
131. hates - 5 uses.
132. cool - 5 uses.
133. movements - 5 uses.
134. thin - 5 uses.
135. even - 5 uses.
136. closed - 5 uses.
137. last - 5 uses.
138. wishin - 5 uses.
139. loves - 5 uses.
140. repressing - 5 uses.
141. lilo - 5 uses.
142. living - 4 uses.
143. live - 4 uses.
144. fix - 4 uses.
145. faces - 4 uses.
146. reflection - 4 uses.
147. follow - 4 uses.
148. give - 4 uses.
149. baby - 4 uses.
150. while - 4 uses.
151. stay - 4 uses.
152. waiting - 4 uses.
153. being - 4 uses.
154. lost - 4 uses.
155. arms - 4 uses.
156. really - 4 uses.
157. scene - 4 uses.
158. leave - 4 uses.
159. start - 4 uses.
160. couldnt - 4 uses.
161. coming - 4 uses.
162. trying - 4 uses.
163. blue - 4 uses.
164. figure - 4 uses.
165. gaze - 4 uses.
166. stayed - 4 uses.
167. might - 4 uses.
168. watch - 4 uses.
169. invest - 4 uses.
170. worth - 4 uses.
171. investing - 4 uses.
172. grips - 4 uses.
173. easy - 4 uses.
174. breaking - 4 uses.
175. line - 4 uses.
176. fight - 4 uses.
177. count - 4 uses.
178. nine - 4 uses.
179. hate - 4 uses.
180. write - 4 uses.
181. mine - 3 uses.
182. alright - 3 uses.
183. work - 3 uses.
184. dead - 3 uses.
185. running - 3 uses.
186. gotta - 3 uses.
187. changed - 3 uses.
188. fucked - 3 uses.
189. doing - 3 uses.
190. spending - 3 uses.
191. seconds - 3 uses.
192. losing - 3 uses.
193. anything - 3 uses.
194. standing - 3 uses.
195. hands - 3 uses.
196. mother - 3 uses.
197. speak - 3 uses.
198. new - 3 uses.
199. life - 3 uses.
200. care - 3 uses.
201. wait - 3 uses.
202. rain - 3 uses.
203. youd - 3 uses.
204. upon - 3 uses.
205. home - 3 uses.
206. instead - 3 uses.
207. though - 3 uses.
208. searching - 3 uses.
209. cry - 3 uses.
210. starting - 3 uses.
211. fuck - 3 uses.
212. step - 3 uses.
213. pay - 3 uses.
214. angry - 3 uses.
215. together - 3 uses.
216. problems - 3 uses.
217. doll - 3 uses.
218. willingly - 3 uses.
219. sharing - 3 uses.
220. talk - 3 uses.
221. fine - 3 uses.
222. progression - 3 uses.
223. turning - 3 uses.
224. understand - 3 uses.
225. flying - 3 uses.
226. crazed - 3 uses.
