Most used words by The Jungle Giants: 
Number of songs scanned: 46

1. love - 123 uses.
2. baby - 65 uses.
3. something - 52 uses.
4. feel - 48 uses.
5. girl - 41 uses.
6. let - 38 uses.
7. never - 37 uses.
8. down - 37 uses.
9. nothing - 35 uses.
10. take - 35 uses.
11. need - 34 uses.
12. right - 34 uses.
13. back - 32 uses.
14. alright - 31 uses.
15. only - 31 uses.
16. away - 31 uses.
17. night - 31 uses.
18. wrong - 31 uses.
19. really - 30 uses.
20. lovers - 27 uses.
21. mind - 27 uses.
22. hey - 27 uses.
23. together - 26 uses.
24. about - 25 uses.
25. think - 24 uses.
26. ooo - 24 uses.
27. lose - 24 uses.
28. alone - 23 uses.
29. start - 23 uses.
30. must - 22 uses.
31. here - 21 uses.
32. eyes - 21 uses.
33. needs - 21 uses.
34. maybe - 20 uses.
35. else - 20 uses.
36. pick - 20 uses.
37. little - 19 uses.
38. tell - 19 uses.
39. stay - 19 uses.
40. every - 18 uses.
41. used - 18 uses.
42. even - 17 uses.
43. heart - 17 uses.
44. good - 16 uses.
45. always - 16 uses.
46. signs - 16 uses.
47. waiting - 16 uses.
48. while - 15 uses.
49. heartless - 15 uses.
50. babe - 14 uses.
51. sending - 13 uses.
52. through - 13 uses.
53. anything - 13 uses.
54. people - 13 uses.
55. another - 13 uses.
56. hear - 13 uses.
57. long - 13 uses.
58. kind - 13 uses.
59. ever - 12 uses.
60. round - 12 uses.
61. apart - 12 uses.
62. life - 12 uses.
63. cool - 12 uses.
64. ran - 12 uses.
65. sign - 11 uses.
66. around - 11 uses.
67. again - 11 uses.
68. reasons - 11 uses.
69. mean - 11 uses.
70. dream - 11 uses.
71. shared - 10 uses.
72. live - 10 uses.
73. everything - 10 uses.
74. tomorrow - 10 uses.
75. anywhere - 10 uses.
76. move - 10 uses.
77. phone - 10 uses.
78. treat - 10 uses.
79. give - 9 uses.
80. lie - 9 uses.
81. lonely - 9 uses.
82. okay - 9 uses.
83. please - 9 uses.
84. guess - 9 uses.
85. picking - 9 uses.
86. bad - 9 uses.
87. home - 9 uses.
88. hearts - 9 uses.
89. pair - 9 uses.
90. care - 9 uses.
91. wake - 9 uses.
92. last - 8 uses.
93. work - 8 uses.
94. wouldnt - 8 uses.
95. shake - 8 uses.
96. any - 8 uses.
97. either - 8 uses.
98. boy - 8 uses.
99. kooky - 8 uses.
100. pull - 8 uses.
101. over - 7 uses.
102. place - 7 uses.
103. head - 7 uses.
104. car - 7 uses.
105. sit - 7 uses.
106. coz - 7 uses.
107. goes - 7 uses.
108. anyway - 7 uses.
109. help - 7 uses.
110. charge - 7 uses.
111. till - 7 uses.
112. bout - 7 uses.
113. hands - 7 uses.
114. unh-uh-unh-uh-unh-uh - 7 uses.
115. making - 6 uses.
116. moves - 6 uses.
117. left - 6 uses.
118. somehow - 6 uses.
