Most used words by The Killers: 
Number of songs scanned: 126

1. down - 155 uses.
2. back - 111 uses.
3. let - 103 uses.
4. never - 87 uses.
5. away - 86 uses.
6. night - 84 uses.
7. here - 83 uses.
8. mind - 79 uses.
9. eyes - 78 uses.
10. take - 76 uses.
11. love - 76 uses.
12. give - 74 uses.
13. run - 73 uses.
14. through - 66 uses.
15. heart - 66 uses.
16. baby - 64 uses.
17. about - 60 uses.
18. free - 60 uses.
19. feel - 60 uses.
20. need - 57 uses.
21. around - 56 uses.
22. keep - 55 uses.
23. going - 54 uses.
24. life - 54 uses.
25. right - 51 uses.
26. place - 50 uses.
27. world - 50 uses.
28. while - 48 uses.
29. hold - 48 uses.
30. tonight - 47 uses.
31. land - 47 uses.
32. another - 45 uses.
33. home - 45 uses.
34. light - 44 uses.
35. girl - 44 uses.
36. help - 44 uses.
37. over - 43 uses.
38. again - 42 uses.
39. stay - 42 uses.
40. little - 41 uses.
41. everything - 41 uses.
42. hey - 40 uses.
43. tell - 40 uses.
44. town - 39 uses.
45. sun - 39 uses.
46. long - 39 uses.
47. good - 39 uses.
48. boy - 39 uses.
49. every - 39 uses.
50. christmas - 39 uses.
51. better - 39 uses.
52. only - 39 uses.
53. head - 38 uses.
54. felt - 38 uses.
55. sometimes - 37 uses.
56. hard - 37 uses.
57. nothing - 36 uses.
58. white - 35 uses.
59. something - 35 uses.
60. name - 35 uses.
61. kind - 34 uses.
62. alright - 34 uses.
63. put - 34 uses.
64. people - 34 uses.
65. looking - 33 uses.
66. always - 33 uses.
67. break - 32 uses.
68. dreams - 32 uses.
69. forget - 32 uses.
70. fire - 31 uses.
71. soul - 31 uses.
72. knew - 31 uses.
73. stand - 31 uses.
74. dream - 31 uses.
75. think - 30 uses.
76. live - 30 uses.
77. move - 30 uses.
78. maybe - 30 uses.
79. hear - 30 uses.
80. last - 29 uses.
81. before - 29 uses.
82. close - 29 uses.
83. saw - 28 uses.
84. kiss - 28 uses.
85. thing - 28 uses.
