Most used words by The Maine: 
Number of songs scanned: 135

1. down - 169 uses.
2. love - 146 uses.
3. feel - 136 uses.
4. never - 126 uses.
5. take - 117 uses.
6. give - 113 uses.
7. let - 108 uses.
8. away - 107 uses.
9. baby - 94 uses.
10. back - 93 uses.
11. tell - 87 uses.
12. everything - 81 uses.
13. night - 79 uses.
14. home - 77 uses.
15. again - 77 uses.
16. only - 77 uses.
17. high - 76 uses.
18. things - 74 uses.
19. over - 74 uses.
20. ever - 70 uses.
21. right - 69 uses.
22. little - 67 uses.
23. alone - 66 uses.
24. need - 65 uses.
25. every - 65 uses.
26. think - 64 uses.
27. tonight - 63 uses.
28. around - 62 uses.
29. whoa - 62 uses.
30. head - 60 uses.
31. heart - 59 uses.
32. here - 58 uses.
33. really - 58 uses.
34. thinking - 57 uses.
35. left - 57 uses.
36. without - 57 uses.
37. thing - 55 uses.
38. world - 52 uses.
39. friends - 52 uses.
40. felt - 52 uses.
41. inside - 50 uses.
42. please - 50 uses.
43. sugar - 50 uses.
44. waiting - 48 uses.
45. lost - 48 uses.
46. follow - 48 uses.
47. nothing - 47 uses.
48. something - 46 uses.
49. words - 45 uses.
50. same - 45 uses.
51. good - 44 uses.
52. pretty - 44 uses.
53. stay - 43 uses.
54. end - 43 uses.
55. because - 42 uses.
56. about - 40 uses.
57. keep - 40 uses.
58. eyes - 40 uses.
59. put - 40 uses.
60. fire - 38 uses.
61. forget - 37 uses.
62. young - 37 uses.
63. through - 36 uses.
64. days - 36 uses.
65. try - 35 uses.
66. girls - 35 uses.
67. break - 35 uses.
68. talk - 35 uses.
69. stop - 35 uses.
70. last - 34 uses.
71. broken - 34 uses.
72. real - 33 uses.
73. before - 32 uses.
74. getting - 32 uses.
75. shake - 32 uses.
76. lets - 32 uses.
77. fall - 32 uses.
78. sweet - 32 uses.
79. place - 31 uses.
80. song - 31 uses.
81. face - 30 uses.
82. coming - 30 uses.
83. sun - 30 uses.
84. someone - 30 uses.
85. free - 30 uses.
86. better - 30 uses.
87. listen - 30 uses.
88. watermelon - 30 uses.
89. blood - 30 uses.
90. feeling - 29 uses.
91. walk - 29 uses.
92. girl - 29 uses.
93. mind - 29 uses.
94. best - 29 uses.
95. taste - 29 uses.
96. lips - 29 uses.
97. always - 28 uses.
98. looking - 28 uses.
99. christmas - 27 uses.
100. whats - 27 uses.
101. alright - 27 uses.
102. much - 27 uses.
103. remember - 27 uses.
104. boys - 27 uses.
105. old - 26 uses.
106. enough - 26 uses.
107. forever - 26 uses.
108. came - 26 uses.
109. weve - 26 uses.
110. going - 26 uses.
111. close - 25 uses.
112. live - 25 uses.
113. another - 25 uses.
114. after - 25 uses.
115. should - 25 uses.
116. sing - 24 uses.
117. living - 24 uses.
118. life - 24 uses.
119. run - 24 uses.
120. believe - 24 uses.
121. trying - 24 uses.
122. change - 24 uses.
123. next - 24 uses.
124. long - 23 uses.
125. new - 23 uses.
126. move - 23 uses.
127. found - 23 uses.
128. kiss - 23 uses.
129. anything - 23 uses.
130. bad - 23 uses.
131. thought - 23 uses.
132. wait - 23 uses.
133. hide - 23 uses.
134. pretender - 23 uses.
135. told - 22 uses.
136. beautiful - 22 uses.
137. hand - 21 uses.
138. sure - 21 uses.
139. cry - 21 uses.
140. even - 21 uses.
141. feels - 21 uses.
142. summer - 21 uses.
143. sound - 21 uses.
144. sorry - 21 uses.
145. alive - 20 uses.
146. play - 20 uses.
147. hair - 20 uses.
148. sad - 20 uses.
149. lonely - 20 uses.
150. first - 20 uses.
151. tears - 20 uses.
152. dirty - 20 uses.
153. touch - 20 uses.
154. used - 20 uses.
155. lose - 20 uses.
156. wish - 20 uses.
157. woah - 20 uses.
158. winter - 20 uses.
159. american - 20 uses.
160. fuel - 19 uses.
161. fun - 19 uses.
162. start - 19 uses.
163. bye - 19 uses.
164. fine - 19 uses.
165. hands - 19 uses.
166. already - 19 uses.
167. sky - 19 uses.
168. pour - 19 uses.
169. bring - 19 uses.
170. em - 19 uses.
171. fade - 19 uses.
172. numb - 18 uses.
173. together - 18 uses.
174. while - 18 uses.
175. name - 18 uses.
176. god - 18 uses.
177. does - 18 uses.
178. leave - 18 uses.
179. light - 18 uses.
180. ask - 18 uses.
181. set - 17 uses.
182. brain - 17 uses.
183. ones - 17 uses.
184. far - 17 uses.
185. knew - 17 uses.
186. road - 17 uses.
187. miles - 17 uses.
188. exactly - 17 uses.
189. red - 17 uses.
190. gotta - 16 uses.
191. anymore - 16 uses.
192. help - 16 uses.
193. mine - 16 uses.
194. lights - 16 uses.
195. black - 16 uses.
196. child - 16 uses.
197. yourself - 16 uses.
198. along - 16 uses.
199. gave - 16 uses.
200. save - 16 uses.
201. apart - 16 uses.
202. those - 16 uses.
203. isnt - 16 uses.
204. ours - 16 uses.
205. grow - 16 uses.
206. searching - 16 uses.
207. late - 16 uses.
208. broke - 16 uses.
209. bleed - 16 uses.
210. letting - 16 uses.
211. done - 15 uses.
212. gone - 15 uses.
213. pack - 15 uses.
214. true - 15 uses.
215. hell - 15 uses.
216. show - 15 uses.
217. breath - 15 uses.
218. moment - 15 uses.
219. town - 15 uses.
220. anywhere - 15 uses.
221. growing - 15 uses.
222. sometimes - 15 uses.
223. lie - 15 uses.
224. hello - 15 uses.
225. sticky - 15 uses.
226. die - 14 uses.
227. wrong - 14 uses.
228. hope - 14 uses.
229. crazy - 14 uses.
230. leaving - 14 uses.
231. tomorrow - 14 uses.
232. under - 14 uses.
233. bittersweet - 14 uses.
234. hate - 14 uses.
235. whatever - 14 uses.
236. people - 14 uses.
237. yet - 14 uses.
238. kids - 14 uses.
239. makes - 14 uses.
240. singing - 14 uses.
241. verge - 14 uses.
242. breaking - 14 uses.
243. care - 14 uses.
244. cold - 14 uses.
245. turn - 14 uses.
246. outside - 14 uses.
247. ho - 14 uses.
248. smokes - 14 uses.
249. breathe - 13 uses.
250. must - 13 uses.
251. bed - 13 uses.
252. today - 13 uses.
253. goodbye - 13 uses.
254. feelings - 13 uses.
255. maybe - 13 uses.
256. everyone - 13 uses.
257. death - 13 uses.
258. dressed - 13 uses.
259. dance - 13 uses.
260. hurt - 13 uses.
261. drive - 13 uses.
262. line - 13 uses.
263. though - 13 uses.
264. own - 13 uses.
265. voice - 13 uses.
266. says - 13 uses.
267. swear - 13 uses.
268. tongue - 13 uses.
269. feet - 13 uses.
270. figure - 13 uses.
271. trip - 13 uses.
272. surrender - 13 uses.
