Most used words by The Mountain Goats: 
Number of songs scanned: 494

1. down - 502 uses.
2. through - 227 uses.
3. here - 211 uses.
4. let - 208 uses.
5. where - 205 uses.
6. saw - 181 uses.
7. la - 149 uses.
8. going - 142 uses.
9. love - 141 uses.
10. coming - 138 uses.
11. high - 138 uses.
12. away - 138 uses.
13. night - 134 uses.
14. came - 133 uses.
15. back - 133 uses.
16. long - 133 uses.
17. new - 122 uses.
18. never - 119 uses.
19. old - 119 uses.
20. feel - 118 uses.
21. water - 118 uses.
22. sun - 116 uses.
23. eyes - 108 uses.
24. around - 107 uses.
25. things - 106 uses.
26. sky - 106 uses.
27. good - 105 uses.
28. take - 103 uses.
29. right - 103 uses.
30. over - 102 uses.
31. again - 98 uses.
32. light - 98 uses.
33. air - 97 uses.
34. people - 97 uses.
35. head - 94 uses.
36. hear - 92 uses.
37. face - 91 uses.
38. remember - 91 uses.
39. try - 91 uses.
40. keep - 89 uses.
41. last - 87 uses.
42. every - 87 uses.
43. little - 86 uses.
44. world - 85 uses.
45. wind - 84 uses.
46. tell - 82 uses.
47. home - 80 uses.
48. thing - 79 uses.
49. something - 77 uses.
50. cold - 75 uses.
51. gone - 74 uses.
52. dark - 73 uses.
53. blood - 71 uses.
54. hard - 71 uses.
55. real - 71 uses.
56. hold - 70 uses.
57. place - 69 uses.
58. hand - 68 uses.
59. felt - 66 uses.
60. life - 66 uses.
61. room - 66 uses.
62. god - 64 uses.
63. think - 64 uses.
64. heard - 60 uses.
65. went - 60 uses.
66. house - 60 uses.
67. before - 59 uses.
68. town - 59 uses.
69. friends - 58 uses.
70. only - 57 uses.
71. stand - 56 uses.
72. mind - 56 uses.
73. rain - 56 uses.
74. black - 56 uses.
75. full - 55 uses.
76. left - 55 uses.
77. leave - 55 uses.
78. window - 55 uses.
79. trying - 54 uses.
80. behind - 54 uses.
81. years - 54 uses.
82. ever - 54 uses.
83. comes - 53 uses.
84. hands - 53 uses.
85. door - 53 uses.
86. young - 53 uses.
87. stay - 53 uses.
88. sweet - 53 uses.
89. red - 52 uses.
90. today - 51 uses.
91. put - 51 uses.
92. hope - 50 uses.
93. done - 50 uses.
94. used - 50 uses.
95. hey - 48 uses.
96. bright - 48 uses.
97. big - 48 uses.
98. against - 48 uses.
99. moon - 48 uses.
100. clear - 48 uses.
101. morning - 48 uses.
102. white - 48 uses.
103. give - 47 uses.
104. open - 47 uses.
105. outside - 47 uses.
106. waiting - 47 uses.
107. knew - 46 uses.
108. much - 46 uses.
109. days - 46 uses.
110. better - 46 uses.
111. everything - 45 uses.
112. nothing - 45 uses.
113. any - 45 uses.
114. above - 45 uses.
115. floor - 44 uses.
116. whole - 44 uses.
117. summer - 44 uses.
118. stars - 43 uses.
119. fire - 43 uses.
120. warm - 43 uses.
121. nice - 43 uses.
122. hair - 43 uses.
123. myself - 43 uses.
124. dead - 43 uses.
125. radio - 43 uses.
126. looking - 42 uses.
127. couldnt - 42 uses.
128. inside - 42 uses.
129. always - 42 uses.
130. burn - 42 uses.
131. set - 42 uses.
132. live - 42 uses.
133. skin - 41 uses.
134. mouth - 41 uses.
135. ground - 41 uses.
136. once - 41 uses.
137. save - 41 uses.
138. even - 40 uses.
139. die - 40 uses.
140. own - 40 uses.
141. across - 40 uses.
142. blue - 39 uses.
143. name - 39 uses.
144. until - 39 uses.
145. while - 39 uses.
146. brought - 38 uses.
147. really - 38 uses.
148. run - 38 uses.
149. dreams - 37 uses.
150. maybe - 37 uses.
151. tonight - 37 uses.
152. kill - 37 uses.
153. year - 37 uses.
154. break - 37 uses.
155. street - 37 uses.
156. rise - 37 uses.
157. turn - 36 uses.
158. most - 36 uses.
159. took - 36 uses.
160. wait - 36 uses.
161. dream - 36 uses.
162. someone - 35 uses.
163. heart - 35 uses.
164. half - 35 uses.
165. sing - 35 uses.
166. bad - 35 uses.
167. tongue - 35 uses.
168. earth - 35 uses.
169. those - 34 uses.
170. sometimes - 34 uses.
171. alive - 34 uses.
172. sleep - 34 uses.
173. walk - 34 uses.
174. free - 34 uses.
175. looked - 33 uses.
176. hot - 33 uses.
177. because - 33 uses.
178. tree - 33 uses.
179. without - 33 uses.
180. great - 33 uses.
181. heat - 32 uses.
182. car - 32 uses.
183. ride - 32 uses.
184. past - 32 uses.
185. trees - 32 uses.
186. toward - 32 uses.
187. west - 32 uses.
188. youd - 31 uses.
189. beneath - 31 uses.
190. three - 31 uses.
191. song - 31 uses.
192. mean - 31 uses.
193. front - 31 uses.
194. arms - 31 uses.
195. gets - 31 uses.
196. best - 31 uses.
197. headed - 31 uses.
198. cool - 31 uses.
199. bring - 31 uses.
200. thought - 30 uses.
201. theyre - 30 uses.
202. alone - 30 uses.
203. true - 30 uses.
204. road - 30 uses.
205. sure - 30 uses.
206. watch - 30 uses.
207. deep - 30 uses.
208. lost - 30 uses.
209. till - 30 uses.
210. first - 29 uses.
211. voice - 29 uses.
212. body - 29 uses.
213. standing - 29 uses.
214. ready - 29 uses.
215. wear - 29 uses.
216. grow - 29 uses.
217. though - 29 uses.
218. goes - 29 uses.
219. everybody - 29 uses.
220. highway - 29 uses.
221. almost - 29 uses.
222. end - 28 uses.
223. windows - 28 uses.
224. anything - 28 uses.
225. play - 28 uses.
226. feet - 28 uses.
227. after - 28 uses.
228. along - 28 uses.
229. whats - 28 uses.
230. eye - 28 uses.
231. mine - 28 uses.
232. far - 28 uses.
233. city - 27 uses.
234. burning - 27 uses.
235. shadows - 27 uses.
236. snow - 27 uses.
237. turned - 27 uses.
238. clean - 27 uses.
239. breathe - 27 uses.
240. ocean - 27 uses.
241. both - 27 uses.
242. ones - 26 uses.
