Most used words by The National: 
Number of songs scanned: 136

1. love - 174 uses.
2. think - 113 uses.
3. everything - 100 uses.
4. around - 96 uses.
5. keep - 92 uses.
6. down - 88 uses.
7. back - 87 uses.
8. never - 85 uses.
9. over - 81 uses.
10. here - 78 uses.
11. away - 77 uses.
12. take - 76 uses.
13. nothing - 69 uses.
14. little - 67 uses.
15. stay - 67 uses.
16. about - 67 uses.
17. leave - 64 uses.
18. head - 63 uses.
19. right - 61 uses.
20. better - 61 uses.
21. alone - 55 uses.
22. tell - 53 uses.
23. eyes - 52 uses.
24. doo - 52 uses.
25. walk - 50 uses.
26. through - 50 uses.
27. only - 49 uses.
28. let - 47 uses.
29. try - 46 uses.
30. turn - 45 uses.
31. again - 45 uses.
32. need - 44 uses.
33. upstairs - 44 uses.
34. white - 44 uses.
35. inside - 43 uses.
36. should - 43 uses.
37. every - 41 uses.
38. put - 41 uses.
39. yourself - 41 uses.
40. arms - 41 uses.
41. pretty - 41 uses.
42. home - 40 uses.
43. die - 40 uses.
44. years - 39 uses.
45. baby - 38 uses.
46. wait - 38 uses.
47. light - 37 uses.
48. mind - 35 uses.
49. ever - 35 uses.
50. saw - 35 uses.
51. walking - 35 uses.
52. water - 34 uses.
53. new - 34 uses.
54. run - 34 uses.
55. heart - 33 uses.
56. always - 33 uses.
57. under - 32 uses.
58. another - 32 uses.
59. easy - 32 uses.
60. looking - 32 uses.
61. really - 32 uses.
62. everybody - 32 uses.
63. city - 31 uses.
64. believe - 31 uses.
65. night - 31 uses.
66. cry - 30 uses.
67. coming - 30 uses.
68. else - 30 uses.
69. break - 30 uses.
70. quiet - 30 uses.
71. gone - 30 uses.
72. far - 29 uses.
73. anymore - 29 uses.
74. something - 29 uses.
75. feel - 29 uses.
76. minds - 29 uses.
77. nobody - 28 uses.
78. while - 28 uses.
79. other - 28 uses.
80. sorry - 28 uses.
81. sky - 27 uses.
82. any - 27 uses.
83. thought - 27 uses.
84. went - 27 uses.
85. air - 26 uses.
86. world - 26 uses.
87. girls - 26 uses.
88. anything - 26 uses.
89. lights - 26 uses.
90. river - 26 uses.
91. everyone - 26 uses.
92. takes - 26 uses.
93. tonight - 25 uses.
94. give - 25 uses.
95. thing - 25 uses.
96. stand - 24 uses.
97. live - 24 uses.
98. red - 24 uses.
99. girl - 24 uses.
100. young - 24 uses.
101. left - 24 uses.
102. behind - 24 uses.
103. terrible - 24 uses.
104. fall - 23 uses.
105. before - 23 uses.
106. blue - 23 uses.
107. going - 23 uses.
108. feeling - 23 uses.
109. today - 23 uses.
110. own - 22 uses.
111. somebody - 22 uses.
112. afraid - 22 uses.
113. ones - 22 uses.
114. em - 22 uses.
115. much - 22 uses.
116. wall - 22 uses.
117. must - 22 uses.
118. sound - 22 uses.
119. lit - 22 uses.
120. boy - 22 uses.
121. wish - 21 uses.
122. good - 21 uses.
123. thinking - 21 uses.
124. falling - 21 uses.
125. wear - 21 uses.
126. room - 21 uses.
127. hey - 21 uses.
128. wouldnt - 21 uses.
129. standing - 21 uses.
130. apart - 21 uses.
131. fuck - 21 uses.
132. god - 21 uses.
133. ada - 21 uses.
134. money - 20 uses.
135. place - 20 uses.
136. long - 20 uses.
137. car - 20 uses.
138. things - 20 uses.
139. whatever - 20 uses.
140. black - 20 uses.
141. best - 19 uses.
142. string - 19 uses.
143. late - 19 uses.
144. getting - 19 uses.
145. anybody - 19 uses.
146. ghost - 19 uses.
147. somewhere - 19 uses.
148. life - 19 uses.
149. doesnt - 18 uses.
150. common - 18 uses.
151. same - 18 uses.
152. weird - 18 uses.
153. losing - 18 uses.
154. beautiful - 18 uses.
155. lay - 18 uses.
156. remember - 18 uses.
157. watch - 18 uses.
158. without - 18 uses.
159. blood - 18 uses.
160. teddy - 18 uses.
161. ribbons - 18 uses.
162. hands - 17 uses.
163. lost - 17 uses.
164. trouble - 17 uses.
165. lonely - 17 uses.
166. wanted - 17 uses.
167. hand - 17 uses.
168. sleep - 17 uses.
169. ask - 17 uses.
170. ocean - 17 uses.
171. rain - 17 uses.
172. hear - 17 uses.
173. together - 17 uses.
174. bad - 17 uses.
175. company - 17 uses.
176. listen - 17 uses.
177. waiting - 16 uses.
178. awake - 16 uses.
179. feet - 16 uses.
180. used - 16 uses.
181. dead - 16 uses.
182. even - 16 uses.
183. house - 16 uses.
184. sun - 16 uses.
185. bed - 16 uses.
186. outside - 16 uses.
187. wasnt - 16 uses.
188. makes - 16 uses.
189. york - 16 uses.
190. wine - 16 uses.
191. friends - 16 uses.
192. idle - 16 uses.
193. isnt - 15 uses.
194. table - 15 uses.
195. drink - 15 uses.
196. dreams - 15 uses.
197. middle - 15 uses.
198. ahead - 15 uses.
199. does - 15 uses.
200. thrilling - 15 uses.
201. claire - 15 uses.
202. tall - 15 uses.
203. start - 15 uses.
204. door - 14 uses.
205. until - 14 uses.
206. forever - 14 uses.
207. hold - 14 uses.
208. name - 14 uses.
209. knows - 14 uses.
210. miss - 14 uses.
211. kind - 14 uses.
212. blame - 14 uses.
213. half - 14 uses.
214. throw - 14 uses.
215. kiss - 14 uses.
216. silver - 14 uses.
217. talk - 14 uses.
218. tired - 14 uses.
219. clothes - 14 uses.
220. sleeping - 14 uses.
221. hang - 14 uses.
222. mine - 14 uses.
223. myself - 13 uses.
224. explain - 13 uses.
225. very - 13 uses.
226. living - 13 uses.
227. alright - 13 uses.
228. wife - 13 uses.
229. high - 13 uses.
230. being - 13 uses.
231. people - 13 uses.
232. last - 13 uses.
233. worry - 13 uses.
234. slow - 13 uses.
235. couldnt - 13 uses.
236. play - 13 uses.
237. bring - 13 uses.
238. leaving - 13 uses.
239. great - 13 uses.
240. trying - 13 uses.
241. memories - 13 uses.
242. brain - 13 uses.
243. fill - 13 uses.
244. someone - 12 uses.
245. days - 12 uses.
246. above - 12 uses.
247. help - 12 uses.
248. cover - 12 uses.
249. summer - 12 uses.
250. sugar - 12 uses.
251. lead - 12 uses.
252. famous - 12 uses.
253. tie - 12 uses.
254. wake - 12 uses.
255. rolling - 12 uses.
256. genius - 12 uses.
257. lose - 12 uses.
258. dying - 12 uses.
259. holiday - 12 uses.
260. different - 12 uses.
261. show - 12 uses.
262. arm - 12 uses.
263. hair - 12 uses.
264. end - 12 uses.
265. glass - 12 uses.
266. heirs - 12 uses.
267. glimmering - 12 uses.
268. astronauts - 12 uses.
269. bye - 12 uses.
270. jenny - 12 uses.
271. spiders - 12 uses.
272. after - 11 uses.
273. heroes - 11 uses.
274. save - 11 uses.
275. hate - 11 uses.
276. theyll - 11 uses.
277. hard - 11 uses.
278. blank - 11 uses.
279. send - 11 uses.
280. child - 11 uses.
281. sea - 11 uses.
282. fast - 11 uses.
283. big - 11 uses.
284. coat - 11 uses.
285. happy - 11 uses.
286. led - 11 uses.
287. born - 11 uses.
288. surprise - 11 uses.
289. anyone - 11 uses.
290. mouth - 11 uses.
291. gotta - 11 uses.
292. side - 11 uses.
293. rest - 11 uses.
294. loves - 11 uses.
295. learning - 11 uses.
296. asking - 11 uses.
297. saint - 11 uses.
298. dreamed - 11 uses.
299. 29 - 11 uses.
300. demons - 11 uses.
301. mr - 11 uses.
302. november - 11 uses.
303. lot - 10 uses.
304. million - 10 uses.
305. ourselves - 10 uses.
306. asleep - 10 uses.
307. anywhere - 10 uses.
308. laugh - 10 uses.
309. tried - 10 uses.
310. street - 10 uses.
311. open - 10 uses.
312. fell - 10 uses.
313. settle - 10 uses.
314. fight - 10 uses.
315. fire - 10 uses.
316. hope - 10 uses.
317. youd - 10 uses.
318. sometimes - 10 uses.
319. close - 10 uses.
320. cut - 10 uses.
321. weve - 10 uses.
322. watching - 10 uses.
323. american - 10 uses.
324. lover - 10 uses.
325. wrong - 10 uses.
326. safe - 10 uses.
327. worlds - 10 uses.
328. flowers - 10 uses.
329. karen - 10 uses.
330. nest - 10 uses.
331. party - 10 uses.
332. touch - 10 uses.
333. missed - 10 uses.
334. / - 10 uses.
335. smaller - 10 uses.
336. cannot - 10 uses.
337. versus - 10 uses.
338. waste - 10 uses.
339. dull - 10 uses.
340. wicked - 10 uses.
341. ordinary - 10 uses.
342. ruined - 10 uses.
343. loose - 9 uses.
344. skin - 9 uses.
345. friend - 9 uses.
346. shoulders - 9 uses.
347. lets - 9 uses.
348. chair - 9 uses.
349. slate - 9 uses.
350. cape - 9 uses.
351. please - 9 uses.
352. sort - 9 uses.
353. voice - 9 uses.
354. lucky - 9 uses.
355. cool - 9 uses.
356. anyway - 9 uses.
357. warm - 9 uses.
358. between - 9 uses.
359. forget - 9 uses.
360. comes - 9 uses.
361. driver - 9 uses.
362. darling - 9 uses.
363. brainy - 9 uses.
364. carried - 9 uses.
365. fault - 9 uses.
366. fix - 9 uses.
367. goodbye - 9 uses.
368. missing - 9 uses.
369. means - 9 uses.
370. sister - 9 uses.
371. owe - 9 uses.
372. dumbstruck - 9 uses.
373. resolute - 9 uses.
374. fireproof - 8 uses.
375. ground - 8 uses.
376. pull - 8 uses.
377. cake - 8 uses.
378. shell - 8 uses.
379. carry - 8 uses.
380. violet - 8 uses.
381. cities - 8 uses.
382. flew - 8 uses.
383. rains - 8 uses.
384. heaven - 8 uses.
385. flame - 8 uses.
386. hurt - 8 uses.
387. soul - 8 uses.
388. turning - 8 uses.
389. rushing - 8 uses.
390. those - 8 uses.
391. mistake - 8 uses.
392. shirt - 8 uses.
393. ticker - 8 uses.
394. tape - 8 uses.
395. runaway - 8 uses.
396. undone - 8 uses.
397. minute - 8 uses.
398. pain - 8 uses.
