Most used words by The Preatures: 
Number of songs scanned: 27

1. dark - 43 uses.
2. deep - 40 uses.
3. baby - 39 uses.
4. yanada - 36 uses.
5. eyes - 30 uses.
6. night - 30 uses.
7. young - 30 uses.
8. again - 27 uses.
9. tonight - 26 uses.
10. take - 22 uses.
11. whatever - 22 uses.
12. looking - 21 uses.
13. mind - 21 uses.
14. back - 20 uses.
15. give - 20 uses.
16. love - 20 uses.
17. something - 20 uses.
18. keep - 18 uses.
19. gumada - 18 uses.
20. feel - 18 uses.
21. running - 18 uses.
22. babe - 18 uses.
23. every - 18 uses.
24. down - 17 uses.
25. blue - 17 uses.
26. girl - 17 uses.
27. myself - 16 uses.
28. ooh - 15 uses.
29. nothing - 13 uses.
30. only - 13 uses.
31. magick - 13 uses.
32. open - 12 uses.
33. makes - 12 uses.
34. here - 12 uses.
35. another - 12 uses.
36. runaway - 12 uses.
37. mess - 12 uses.
38. uh - 11 uses.
39. little - 11 uses.
40. mine - 11 uses.
41. ordinary - 11 uses.
42. leave - 11 uses.
43. yourself - 10 uses.
44. face - 10 uses.
45. ever - 10 uses.
46. planet - 10 uses.
47. talking - 10 uses.
48. cruel - 10 uses.
49. people - 9 uses.
50. underwater - 9 uses.
51. wa - 9 uses.
52. nura - 9 uses.
53. coming - 9 uses.
54. better - 9 uses.
55. believe - 9 uses.
56. ah - 9 uses.
57. cherry - 9 uses.
58. understand - 9 uses.
59. live - 9 uses.
60. new - 9 uses.
61. sweet - 8 uses.
62. walking - 8 uses.
63. high - 8 uses.
64. need - 8 uses.
65. put - 8 uses.
66. keeps - 8 uses.
67. play - 8 uses.
68. place - 8 uses.
69. business - 8 uses.
70. inside - 8 uses.
71. buy - 8 uses.
72. own - 8 uses.
73. somebodys - 8 uses.
74. water - 7 uses.
75. under - 7 uses.
76. sleep - 7 uses.
77. modern - 7 uses.
78. away - 7 uses.
79. never - 7 uses.
80. first - 7 uses.
81. waiting - 7 uses.
82. wait - 7 uses.
83. late - 7 uses.
84. mean - 7 uses.
85. yes - 7 uses.
86. after - 7 uses.
87. falling - 7 uses.
88. wake - 7 uses.
89. let - 7 uses.
90. eye - 7 uses.
91. alone - 7 uses.
92. tell - 6 uses.
93. think - 6 uses.
94. yanada-marri - 6 uses.
95. nula - 6 uses.
96. burra-wa - 6 uses.
97. walama - 6 uses.
98. yanama-la - 6 uses.
99. ngurra-wa - 6 uses.
100. even - 6 uses.
101. while - 6 uses.
102. started - 6 uses.
103. shit - 6 uses.
104. beat - 6 uses.
105. walk - 6 uses.
106. good - 6 uses.
107. wish - 6 uses.
108. stuck - 6 uses.
109. head - 5 uses.
110. standing - 5 uses.
111. fear - 5 uses.
112. hold - 5 uses.
113. brace - 5 uses.
114. through - 5 uses.
115. dancing - 5 uses.
116. heart - 5 uses.
117. staring - 5 uses.
118. space - 5 uses.
119. seat - 5 uses.
120. right - 5 uses.
121. guess - 5 uses.
122. old - 5 uses.
123. black - 5 uses.
124. ripe - 5 uses.
125. lets - 5 uses.
126. light - 5 uses.
127. card - 5 uses.
128. behind - 5 uses.
129. maybe - 5 uses.
130. threat - 5 uses.
131. power - 5 uses.
132. fan - 5 uses.
133. free - 5 uses.
134. somebody - 5 uses.
135. moment - 4 uses.
136. much - 4 uses.
137. gotta - 4 uses.
138. river - 4 uses.
139. dream - 4 uses.
140. living - 4 uses.
141. pretend - 4 uses.
142. gets - 4 uses.
143. nobody - 4 uses.
144. breaking - 4 uses.
145. seen - 4 uses.
146. boys - 4 uses.
147. alright - 4 uses.
148. reason - 4 uses.
149. anyone - 4 uses.
150. whats - 4 uses.
151. question - 4 uses.
152. life - 4 uses.
153. heavy - 4 uses.
154. waves - 4 uses.
155. streets - 4 uses.
156. shh - 4 uses.
157. shout - 4 uses.
158. real - 4 uses.
159. planned - 4 uses.
160. gives - 4 uses.
161. happiness - 4 uses.
162. else - 4 uses.
163. left - 4 uses.
164. always - 4 uses.
165. shore - 4 uses.
166. changes - 4 uses.
167. um - 4 uses.
168. rock - 4 uses.
169. roll - 4 uses.
170. fight - 4 uses.
171. melody - 4 uses.
172. machine - 4 uses.
173. break - 4 uses.
174. holding - 4 uses.
175. che - 4 uses.
