Most used words by  The Presidents of the USA: 
Number of songs scanned: 123

1. love - 170 uses.
2. little - 120 uses.
3. na - 92 uses.
4. back - 85 uses.
5. down - 79 uses.
6. gone - 77 uses.
7. sun - 69 uses.
8. good - 68 uses.
9. girl - 55 uses.
10. never - 52 uses.
11. poke - 50 uses.
12. head - 48 uses.
13. kitty - 48 uses.
14. lump - 48 uses.
15. oo - 48 uses.
16. here - 47 uses.
17. hell - 47 uses.
18. home - 45 uses.
19. destroy - 45 uses.
20. lets - 44 uses.
21. about - 43 uses.
22. last - 43 uses.
23. through - 43 uses.
24.  - 43 uses.
25. old - 41 uses.
26. poor - 38 uses.
27. gotta - 38 uses.
28. feel - 37 uses.
29. life - 36 uses.
30. fire - 36 uses.
31. let - 36 uses.
32. night - 35 uses.
33. long - 35 uses.
34. those - 35 uses.
35. big - 35 uses.
36. zero - 34 uses.
37. ooh - 34 uses.
38. everybody - 34 uses.
39. baby - 33 uses.
40. ever - 32 uses.
41. star - 32 uses.
42. take - 31 uses.
43. friction - 31 uses.
44. dead - 31 uses.
45. fly - 31 uses.
46. away - 31 uses.
47. jacket - 30 uses.
48. much - 29 uses.
49. tiny - 29 uses.
50. huh - 29 uses.
51. porch - 28 uses.
52. jennifers - 28 uses.
53. touch - 27 uses.
54. new - 27 uses.
55. mind - 27 uses.
56. deep - 27 uses.
57. peaches - 27 uses.
58. confusion - 27 uses.
59. happy - 26 uses.
60. christmas - 26 uses.
61. truckstop - 25 uses.
62. over - 25 uses.
63. doing - 25 uses.
64. high - 25 uses.
65. monkey - 25 uses.
66. world - 24 uses.
67. outside - 24 uses.
68. cleveland - 24 uses.
69. rocks - 24 uses.
70. uh - 24 uses.
71. everywhere - 24 uses.
72. think - 23 uses.
73. body - 23 uses.
74. right - 23 uses.
75. eyes - 23 uses.
76. shout - 23 uses.
77. bug - 23 uses.
78. tiki - 22 uses.
79. moon - 22 uses.
80. stay - 22 uses.
81. put - 21 uses.
82. hey - 21 uses.
83. river - 21 uses.
84. inside - 21 uses.
85. rock - 21 uses.
86. explosions - 21 uses.
87. slow - 21 uses.
88. took - 21 uses.
89. god - 20 uses.
90. apart - 20 uses.
91. heart - 20 uses.
92. spider - 20 uses.
93. farm - 20 uses.
94. cry - 20 uses.
95. foot - 20 uses.
96. froggie - 20 uses.
97. french - 20 uses.
