Most used words by The Regrettes: 
Number of songs scanned: 42

1. love - 85 uses.
2. think - 83 uses.
3. hey - 61 uses.
4. feel - 46 uses.
5. oh-oh - 43 uses.
6. little - 41 uses.
7. stay - 40 uses.
8. need - 35 uses.
9. here - 33 uses.
10. before - 32 uses.
11. away - 32 uses.
12. never - 29 uses.
13. stop - 28 uses.
14. girls - 28 uses.
15. through - 27 uses.
16. pumpkin - 27 uses.
17. back - 26 uses.
18. things - 26 uses.
19. wish - 26 uses.
20. down - 26 uses.
21. tomorrow - 26 uses.
22. chance - 26 uses.
23. really - 25 uses.
24. baby - 25 uses.
25. boy - 25 uses.
26. head - 24 uses.
27. sometimes - 24 uses.
28. let - 23 uses.
29. take - 22 uses.
30. only - 22 uses.
31. miss - 22 uses.
32. lets - 21 uses.
33. might - 21 uses.
34. eyes - 20 uses.
35. much - 20 uses.
36. tell - 20 uses.
37. cry - 19 uses.
38. coming - 19 uses.
39. because - 18 uses.
40. something - 18 uses.
41. good - 18 uses.
42. live - 18 uses.
43. til - 18 uses.
44. helpless - 18 uses.
45. girl - 17 uses.
46. help - 17 uses.
47. save - 17 uses.
48. long - 17 uses.
49. must - 17 uses.
50. poor - 17 uses.
51. seem - 16 uses.
52. better - 16 uses.
53. run - 16 uses.
54. keep - 16 uses.
55. guess - 16 uses.
56. bum - 16 uses.
57. wanted - 15 uses.
58. voice - 15 uses.
59. about - 15 uses.
60. world - 15 uses.
61. going - 14 uses.
62. best - 14 uses.
63. every - 14 uses.
64. hear - 14 uses.
65. night - 14 uses.
66. hot - 14 uses.
67. gotta - 14 uses.
68. even - 14 uses.
69. light - 13 uses.
70. yourself - 13 uses.
71. heard - 13 uses.
72. name - 12 uses.
73. happen - 12 uses.
74. control - 12 uses.
75. fire - 12 uses.
76. crazy - 11 uses.
77. should - 11 uses.
78. sun - 11 uses.
79. turn - 11 uses.
80. okay - 11 uses.
81. another - 11 uses.
82. thinking - 10 uses.
83. door - 10 uses.
84. cool - 10 uses.
85. start - 10 uses.
86. looking - 10 uses.
87. hold - 10 uses.
88. sorry - 10 uses.
89. mine - 10 uses.
90. around - 10 uses.
91. fall - 10 uses.
92. em - 10 uses.
93. play - 10 uses.
94. die - 10 uses.
95. please - 10 uses.
96. give - 10 uses.
97. nothin - 10 uses.
98. having - 10 uses.
99. lot - 9 uses.
100. both - 9 uses.
101. friend - 9 uses.
102. lots - 9 uses.
103. hard - 9 uses.
104. maybe - 9 uses.
105. today - 9 uses.
106. catch - 9 uses.
107. face - 9 uses.
108. red - 9 uses.
109. always - 8 uses.
110. right - 8 uses.
111. pretty - 8 uses.
112. scared - 8 uses.
113. woah - 8 uses.
114. same - 8 uses.
115. forget - 8 uses.
116. true - 8 uses.
117. anything - 8 uses.
118. lydia - 8 uses.
119. fine - 8 uses.
120. slip - 8 uses.
121. ago - 8 uses.
122. hit - 8 uses.
123. fault - 8 uses.
124. try - 8 uses.
125. goodbye - 8 uses.
126. ooh - 8 uses.
127. teenager - 8 uses.
128. inside - 8 uses.
129. oh-oh-oh-oh - 8 uses.
130. ooo - 8 uses.
131. shit - 8 uses.
132. those - 8 uses.
133. na-na-na-na-na - 8 uses.
134. feels - 7 uses.
135. over - 7 uses.
136. knees - 7 uses.
137. making - 7 uses.
138. dance - 7 uses.
139. walk - 7 uses.
140. song - 7 uses.
141. favorite - 7 uses.
142. old - 7 uses.
143. month - 7 uses.
144. ow - 7 uses.
145. put - 7 uses.
146. stuff - 7 uses.
147. told - 7 uses.
148. leave - 7 uses.
149. perfect - 7 uses.
150. full - 7 uses.
151. breath - 7 uses.
152. mom - 7 uses.
153. jump - 7 uses.
154. big - 7 uses.
155. count - 7 uses.
156. drownin - 7 uses.
157. such - 7 uses.
158. talkin - 7 uses.
159. desire - 7 uses.
160. liar - 7 uses.
161. pain - 7 uses.
162. feet - 6 uses.
163. saying - 6 uses.
164. knew - 6 uses.
165. hers - 6 uses.
166. fake - 6 uses.
167. forever - 6 uses.
168. unfaithful - 6 uses.
169. stray - 6 uses.
170. hands - 6 uses.
171. nothing - 6 uses.
172. thought - 6 uses.
173. after - 6 uses.
174. understand - 6 uses.
175. million - 6 uses.
176. thing - 6 uses.
177. fight - 6 uses.
178. sleep - 6 uses.
179. along - 6 uses.
180. someone - 6 uses.
181. alone - 6 uses.
182. myself - 6 uses.
183. feeling - 6 uses.
184. hope - 6 uses.
185. clouds - 6 uses.
186. real - 6 uses.
187. tough - 6 uses.
188. heart - 6 uses.
189. looked - 6 uses.
190. ask - 6 uses.
191. nobody - 6 uses.
192. dare - 6 uses.
193. child - 6 uses.
194. brings - 6 uses.
195. doesnt - 6 uses.
196. gets - 6 uses.
197. lose - 6 uses.
198. funny - 6 uses.
199. whatever - 6 uses.
200. pop - 6 uses.
201. juice - 6 uses.
202. box - 6 uses.
203. marshmallow - 6 uses.
204. touch - 5 uses.
205. nice - 5 uses.
206. clear - 5 uses.
207. scream - 5 uses.
208. wouldnt - 5 uses.
209. trees - 5 uses.
210. getting - 5 uses.
211. toes - 5 uses.
212. people - 5 uses.
213. trying - 5 uses.
214. break - 5 uses.
215. learn - 5 uses.
216. picture - 5 uses.
217. write - 5 uses.
218. lie - 5 uses.
219. does - 5 uses.
220. wake - 5 uses.
221. pulling - 5 uses.
222. above - 5 uses.
223. act - 5 uses.
224. left - 5 uses.
225. sister - 5 uses.
226. close - 5 uses.
227. kiss - 5 uses.
228. shot - 5 uses.
229. bitch - 5 uses.
230. lonely - 5 uses.
231. probably - 5 uses.
232. blue - 5 uses.
233. skys - 5 uses.
234. limit - 5 uses.
235. room - 5 uses.
236. chick - 5 uses.
237. book - 5 uses.
238. else - 5 uses.
239. dead - 5 uses.
240. wrong - 5 uses.
241. round - 5 uses.
242. winter - 5 uses.
243. knock - 4 uses.
244. friends - 4 uses.
245. fun - 4 uses.
246. hello - 4 uses.
247. arent - 4 uses.
248. change - 4 uses.
249. words - 4 uses.
250. couldnt - 4 uses.
251. shouldnt - 4 uses.
252. thoughts - 4 uses.
253. starts - 4 uses.
254. flip - 4 uses.
255. fear - 4 uses.
256. brain - 4 uses.
257. streaming - 4 uses.
258. last - 4 uses.
259. dress - 4 uses.
260. hand - 4 uses.
261. cut - 4 uses.
262. open - 4 uses.
263. sing - 4 uses.
264. next - 4 uses.
265. color - 4 uses.
266. draw - 4 uses.
267. lines - 4 uses.
268. kinda - 4 uses.
269. snow - 4 uses.
270. minnette - 4 uses.
271. enjoy - 4 uses.
272. read - 4 uses.
273. movies - 4 uses.
274. new - 4 uses.
275. breathe - 4 uses.
276. first - 4 uses.
277. easy - 4 uses.
278. loud - 4 uses.
279. listen - 4 uses.
280. ever - 4 uses.
281. bad - 4 uses.
282. fool - 4 uses.
283. blame - 4 uses.
284. stronger - 4 uses.
285. everything - 4 uses.
286. sick - 4 uses.
287. wherever - 4 uses.
288. talking - 4 uses.
289. hair - 4 uses.
290. life - 4 uses.
291. outta - 4 uses.
292. show - 4 uses.
293. hate - 4 uses.
294. stains - 4 uses.
295. place - 4 uses.
296. bones - 4 uses.
297. ahead - 4 uses.
298. stars - 4 uses.
299. gone - 4 uses.
300. beating - 4 uses.
301. means - 4 uses.
302. though - 4 uses.
303. green - 4 uses.
304. kill - 4 uses.
305. stupid - 4 uses.
306. letter - 4 uses.
307. mind - 4 uses.
308. decision - 4 uses.
309. hadnt - 4 uses.
310. position - 4 uses.
311. cold - 4 uses.
312. boys - 4 uses.
313. everybody - 4 uses.
314. yet - 4 uses.
315. heads - 4 uses.
316. hundred - 4 uses.
317. sky - 4 uses.
318. fuck - 4 uses.
319. huh - 4 uses.
320. a-ha-ha-ha - 4 uses.
321. float - 4 uses.
322. snowball - 4 uses.
323. ground - 3 uses.
