Most used words by The Strokes: 
Number of songs scanned: 80

1. down - 83 uses.
2. never - 75 uses.
3. take - 70 uses.
4. wait - 64 uses.
5. side - 62 uses.
6. right - 54 uses.
7. tell - 50 uses.
8. let - 42 uses.
9. hey - 40 uses.
10. life - 39 uses.
11. long - 39 uses.
12. give - 39 uses.
13. end - 37 uses.
14. here - 36 uses.
15. fun - 36 uses.
16. think - 35 uses.
17. baby - 35 uses.
18. hard - 33 uses.
19. nothing - 33 uses.
20. standing - 33 uses.
21. night - 32 uses.
22. alone - 32 uses.
23. back - 32 uses.
24. new - 30 uses.
25. world - 30 uses.
26. please - 30 uses.
27. other - 30 uses.
28. love - 29 uses.
29. try - 29 uses.
30. yes - 28 uses.
31. understand - 28 uses.
32. something - 28 uses.
33. waiting - 28 uses.
34. over - 28 uses.
35. friends - 27 uses.
36. always - 26 uses.
37. ask - 26 uses.
38. wrong - 26 uses.
39. left - 26 uses.
40. things - 25 uses.
41. gone - 25 uses.
42. stay - 25 uses.
43. away - 25 uses.
44. leave - 24 uses.
45. city - 24 uses.
46. stop - 23 uses.
47. feel - 23 uses.
48. about - 22 uses.
49. trying - 22 uses.
50. cold - 22 uses.
51. door - 21 uses.
52. turn - 20 uses.
53. show - 20 uses.
54. eyes - 20 uses.
55. around - 19 uses.
56. lie - 19 uses.
57. sun - 19 uses.
58. change - 18 uses.
59. friend - 18 uses.
60. mind - 18 uses.
61. falling - 18 uses.
62. needed - 18 uses.
63. care - 17 uses.
64. decisions - 17 uses.
65. little - 17 uses.
66. again - 17 uses.
67. alright - 17 uses.
68. place - 17 uses.
69. easy - 17 uses.
70. heart - 17 uses.
71. hope - 16 uses.
72. need - 16 uses.
73. forget - 16 uses.
74. sleep - 16 uses.
75. run - 16 uses.
76. while - 15 uses.
77. hear - 15 uses.
78. even - 15 uses.
79. anybody - 15 uses.
80. same - 15 uses.
81. living - 15 uses.
82. bad - 15 uses.
83. watch - 14 uses.
84. fast - 14 uses.
85. wanted - 14 uses.
86. good - 14 uses.
87. much - 14 uses.
88. everyone - 14 uses.
89. last - 14 uses.
90. together - 14 uses.
91. different - 14 uses.
92. fight - 14 uses.
93. light - 14 uses.
94. fear - 14 uses.
95. really - 13 uses.
96. old - 13 uses.
97. says - 13 uses.
98. break - 13 uses.
99. maybe - 13 uses.
100. best - 13 uses.
101. thinking - 13 uses.
102. tonight - 13 uses.
103. without - 13 uses.
104. york - 13 uses.
105. only - 12 uses.
106. face - 12 uses.
107. pretend - 12 uses.
108. people - 12 uses.
109. whats - 12 uses.
110. ya - 12 uses.
111. believe - 12 uses.
112. help - 12 uses.
113. once - 12 uses.
114. must - 12 uses.
115. cops - 12 uses.
116. wish - 11 uses.
117. everybody - 11 uses.
118. talk - 11 uses.
119. fall - 11 uses.
120. work - 11 uses.
121. anyone - 11 uses.
122. enough - 11 uses.
123. waste - 11 uses.
124. control - 11 uses.
125. someone - 11 uses.
126. lies - 11 uses.
127. belong - 11 uses.
128. empty - 11 uses.
129. anymore - 11 uses.
130. sometimes - 11 uses.
131. leaving - 11 uses.
132. makin - 11 uses.
133. yet - 10 uses.
134. goes - 10 uses.
135. ever - 10 uses.
136. men - 10 uses.
137. ones - 10 uses.
138. song - 10 uses.
139. anything - 10 uses.
140. hide - 10 uses.
141. darling - 10 uses.
142. through - 10 uses.
143. tried - 10 uses.
144. staying - 10 uses.
145. better - 10 uses.
146. shut - 10 uses.
147. sure - 10 uses.
148. town - 10 uses.
149. guess - 10 uses.
150. along - 10 uses.
151. someday - 10 uses.
152. unchain - 10 uses.
153. play - 9 uses.
154. every - 9 uses.
155. days - 9 uses.
156. okay - 9 uses.
157. steal - 9 uses.
158. listen - 9 uses.
159. went - 9 uses.
160. hold - 9 uses.
161. tired - 9 uses.
162. act - 9 uses.
163.  - 9 uses.
164. game - 9 uses.
165. questions - 9 uses.
166. gotta - 9 uses.
167. problem - 9 uses.
168. asleep - 9 uses.
169. lonely - 9 uses.
170. sad - 9 uses.
171. yourself - 9 uses.
172. whether - 9 uses.
173. hawaii - 9 uses.
174. saw - 8 uses.
175. worry - 8 uses.
176. first - 8 uses.
177. second - 8 uses.
178. times - 8 uses.
179. fault - 8 uses.
180. em - 8 uses.
181. next - 8 uses.
182. generation - 8 uses.
183. knows - 8 uses.
184. sit - 8 uses.
185. another - 8 uses.
186. money - 8 uses.
187. those - 8 uses.
188. strange - 8 uses.
189. body - 8 uses.
190. turns - 8 uses.
191. nice - 8 uses.
192. told - 8 uses.
193. girls - 8 uses.
194. hate - 8 uses.
195. remember - 8 uses.
196. phone - 8 uses.
197. miss - 8 uses.
198. girl - 8 uses.
199. story - 8 uses.
200. oooh - 8 uses.
201. dead - 8 uses.
202. floor - 8 uses.
203. livin - 8 uses.
204. summer - 8 uses.
205. waited - 8 uses.
206. killing - 8 uses.
207. lets - 8 uses.
208. name - 8 uses.
209. live - 8 uses.
210. lost - 8 uses.
211. highway - 8 uses.
212. taken - 8 uses.
213. eye - 8 uses.
214. coming - 8 uses.
215. bright - 8 uses.
216. dream - 7 uses.
217. theyll - 7 uses.
218. tomorrow - 7 uses.
219. scared - 7 uses.
220. making - 7 uses.
221. thing - 7 uses.
222. luck - 7 uses.
223. sense - 7 uses.
224. mine - 7 uses.
225. street - 7 uses.
226. jealous - 7 uses.
227. truth - 7 uses.
228. after - 7 uses.
229. everything - 7 uses.
230. found - 7 uses.
231. train - 7 uses.
232. true - 7 uses.
233. head - 7 uses.
234. mean - 7 uses.
235. late - 7 uses.
236. gun - 7 uses.
237. free - 7 uses.
238. looking - 7 uses.
239. might - 7 uses.
240. such - 7 uses.
241. judge - 7 uses.
242. done - 7 uses.
243. ocean - 7 uses.
244. evening - 7 uses.
245. ways - 7 uses.
246. ooh - 7 uses.
247. shit - 6 uses.
248. fine - 6 uses.
249. today - 6 uses.
250. heard - 6 uses.
251. loud - 6 uses.
252. daughters - 6 uses.
253. tv - 6 uses.
254. beginning - 6 uses.
255. room - 6 uses.
256. running - 6 uses.
257. sister - 6 uses.
258. fuck - 6 uses.
259. yesterday - 6 uses.
260. yours - 6 uses.
261. somehow - 6 uses.
262. any - 6 uses.
263. young - 6 uses.
264. putting - 6 uses.
265. voice - 6 uses.
266. rise - 6 uses.
267. tryin - 6 uses.
268. born - 6 uses.
269. felt - 6 uses.
270. nights - 6 uses.
271. myself - 6 uses.
272. drink - 6 uses.
273. before - 6 uses.
274. sing - 6 uses.
275. great - 6 uses.
276. gets - 6 uses.
277. sorry - 6 uses.
278. does - 6 uses.
279. else - 6 uses.
280. hungry - 6 uses.
281. wall - 6 uses.
282. sound - 6 uses.
283. lives - 6 uses.
284. calm - 6 uses.
285. happen - 6 uses.
286. inside - 6 uses.
287. flying - 6 uses.
288. high - 6 uses.
289. keep - 6 uses.
290. three - 6 uses.
291. reasons - 6 uses.
292. home - 6 uses.
293. chance - 6 uses.
294. others - 6 uses.
295. feeling - 6 uses.
296. -oh - 6 uses.
297. telling - 6 uses.
298. darkened - 6 uses.
299. dreams - 6 uses.
300. safe - 6 uses.
301. ha - 6 uses.
302. aw - 6 uses.
303. wa - 6 uses.
304. ii - 6 uses.
305. words - 5 uses.
306. party - 5 uses.
307. wear - 5 uses.
308. whole - 5 uses.
309. because - 5 uses.
310. drop - 5 uses.
311. thanks - 5 uses.
312. thought - 5 uses.
313. years - 5 uses.
314. though - 5 uses.
315. seem - 5 uses.
316. less - 5 uses.
317. spent - 5 uses.
318. innocence - 5 uses.
319. harder - 5 uses.
320. learned - 5 uses.
321. figure - 5 uses.
322. between - 5 uses.
323. under - 5 uses.
324. girlfriends - 5 uses.
325. far - 5 uses.
326. walking - 5 uses.
327. came - 5 uses.
328. seems - 5 uses.
329. makes - 5 uses.
330. kill - 5 uses.
331. cannot - 5 uses.
332. decide - 5 uses.
333. house - 5 uses.
334. boy - 5 uses.
335. wasnt - 5 uses.
336. top - 5 uses.
337. morning - 5 uses.
338. slow - 5 uses.
339. going - 5 uses.
340. longer - 5 uses.
341. fire - 5 uses.
342. hand - 5 uses.
343. hands - 5 uses.
344. war - 5 uses.
345. comes - 5 uses.
346. round - 5 uses.
347. big - 5 uses.
348. dressed - 5 uses.
349. isnt - 5 uses.
350. advice - 5 uses.
351. blood - 5 uses.
352. having - 5 uses.
353. field - 5 uses.
354. put - 5 uses.
355. beats - 5 uses.
356. cage - 5 uses.
357. pretty - 5 uses.
358. rest - 5 uses.
359. wake - 5 uses.
360. chase - 5 uses.
361. fool - 5 uses.
362. bout - 5 uses.
363. smart - 5 uses.
364. case - 4 uses.
365. ten - 4 uses.
366. pass - 4 uses.
367. wasting - 4 uses.
368. damn - 4 uses.
369. crowd - 4 uses.
370. shortcuts - 4 uses.
371. saved - 4 uses.
372. momma - 4 uses.
373. manners - 4 uses.
374. nothin - 4 uses.
375. ordered - 4 uses.
376. mistakes - 4 uses.
377. asking - 4 uses.
378. perfect - 4 uses.
379. water - 4 uses.
380. almost - 4 uses.
381. midnight - 4 uses.
382. radio - 4 uses.
383. youd - 4 uses.
384. took - 4 uses.
385. ground - 4 uses.
386. laughing - 4 uses.
387. win - 4 uses.
388. wants - 4 uses.
389. quite - 4 uses.
390. happy - 4 uses.
391. nobodys - 4 uses.
392. being - 4 uses.
393. term - 4 uses.
394. short - 4 uses.
395. honest - 4 uses.
396. obsessed - 4 uses.
397. remind - 4 uses.
398. explain - 4 uses.
399. sitting - 4 uses.
400. dear - 4 uses.
401. afraid - 4 uses.
402. hiding - 4 uses.
403. blame - 4 uses.
404. sell - 4 uses.
405. past - 4 uses.
406. playing - 4 uses.
407. notice - 4 uses.
408. shoulder - 4 uses.
409. pick - 4 uses.
410. pain - 4 uses.
411. job - 4 uses.
412. unafraid - 4 uses.
413. noticed - 4 uses.
414. boys - 4 uses.
415. tough - 4 uses.
416. minds - 4 uses.
417. listening - 4 uses.
418. everybodys - 4 uses.
419. happened - 4 uses.
420. horse - 4 uses.
421. action - 4 uses.
422. die - 4 uses.
423. nobody - 4 uses.
424. dance - 4 uses.
425. honey - 4 uses.
426. runway - 4 uses.
427. somewhere - 4 uses.
428. lot - 4 uses.
429. steps - 4 uses.
430. read - 4 uses.
431. god - 4 uses.
432. write - 4 uses.
433. ago - 4 uses.
434. g-g-g-g-g-g-go - 4 uses.
435. rolling - 4 uses.
436. catch - 4 uses.
437. seen - 4 uses.
438. harm - 4 uses.
439. stand - 4 uses.
440. forgotten - 4 uses.
441. important - 4 uses.
442. ohhhhhh - 4 uses.
443. remedy - 4 uses.
444. shot - 3 uses.
445. five - 3 uses.
446. seven - 3 uses.
447. line - 3 uses.
448. ear - 3 uses.
449. plans - 3 uses.
450. necessary - 3 uses.
451. hurts - 3 uses.
452. deeper - 3 uses.
453. loved - 3 uses.
454. trench - 3 uses.
455. coat - 3 uses.
456. freak - 3 uses.
457. record - 3 uses.
458. test - 3 uses.
459. choice - 3 uses.
460. elses - 3 uses.
461. violent - 3 uses.
462. crime - 3 uses.
463. usa - 3 uses.
464. disguise - 3 uses.
465. mountain - 3 uses.
466. climb - 3 uses.
467. silence - 3 uses.
468. trust - 3 uses.
469. surprise - 3 uses.
470. realize - 3 uses.
471. 1 - 3 uses.
472. breeze - 3 uses.
473. sidewalk - 3 uses.
474. wide - 3 uses.
475. tree - 3 uses.
476. brothers - 3 uses.
477. lied - 3 uses.
478. apartment - 3 uses.
479. theyd - 3 uses.
480. children - 3 uses.
481. disagree - 3 uses.
482. should - 3 uses.
483. child - 3 uses.
484. couldnt - 3 uses.
485. babe - 3 uses.
486. movie - 3 uses.
487. kinda - 3 uses.
488. angry - 3 uses.
489. sayin - 3 uses.
490. saying - 3 uses.
491. dreaming - 3 uses.
492. road - 3 uses.
493. taking - 3 uses.
494. hair - 3 uses.
495. wednesday - 3 uses.
496. asshole - 3 uses.
497. pull - 3 uses.
498. own - 3 uses.
499. broken - 3 uses.
500. plain - 3 uses.
501. somebody - 3 uses.
502. pray - 3 uses.
503. reach - 3 uses.
504. walkin - 3 uses.
505. bed - 3 uses.
506. point - 3 uses.
507. thoughts - 3 uses.
508. trouble - 3 uses.
509. choose - 3 uses.
510. adversary - 3 uses.
511. singing - 3 uses.
512. lying - 3 uses.
513. gave - 3 uses.
514. ah - 3 uses.
515. changed - 3 uses.
516. survive - 3 uses.
517. view - 3 uses.
518. loves - 3 uses.
519. drifting - 3 uses.
520. watched - 3 uses.
521. stayed - 3 uses.
522. fox - 3 uses.
523. sheep - 3 uses.
524. banks - 3 uses.
525. racing - 3 uses.
526. awake - 3 uses.
527. keeping - 3 uses.
528. walk - 3 uses.
529. outside - 3 uses.
530. guy - 3 uses.
531. 9 - 3 uses.
532. 6 - 3 uses.
533. seventeen - 3 uses.
534. friday - 3 uses.
535. folks - 3 uses.
536. pretending - 3 uses.
537. leavin - 3 uses.
538. fears - 3 uses.
539. visions - 3 uses.
540. complete - 3 uses.
541. red - 3 uses.
542. lawyer - 3 uses.
543. dark - 3 uses.
544. close - 3 uses.
545. innocent - 3 uses.
546. forest - 3 uses.
547. hell - 3 uses.
548. closed - 3 uses.
549. till - 3 uses.
550. bet - 3 uses.
551. feels - 3 uses.
552. cos - 3 uses.
553. favorite - 3 uses.
554. ooooooh - 3 uses.
555. modern - 3 uses.
556. 7 - 3 uses.
557. music - 3 uses.
558. mess - 3 uses.
559. apart - 3 uses.
560. promises - 3 uses.
561. shy - 3 uses.
562. feelings - 3 uses.
563. office - 3 uses.
564. argue - 3 uses.
565. real - 2 uses.
566. inviting - 2 uses.
567. jokes - 2 uses.
568. shouldnt - 2 uses.
569. falls - 2 uses.
570. american - 2 uses.
571. nine - 2 uses.
572. changes - 2 uses.
573. count - 2 uses.
574. spending - 2 uses.
575. taught - 2 uses.
576. ends - 2 uses.
577. message - 2 uses.
578. upset - 2 uses.
579. circles - 2 uses.
580. giving - 2 uses.
581. hostile - 2 uses.
582. air - 2 uses.
583. actually - 2 uses.
584. looks - 2 uses.
585. eighties - 2 uses.
586. boring - 2 uses.
587. bands - 2 uses.
588. dancing - 2 uses.
589. worked - 2 uses.
590. weekdays - 2 uses.
591. drive - 2 uses.
592. problems - 2 uses.
593. secrets - 2 uses.
594. works - 2 uses.
595. misbehave - 2 uses.
596. slave - 2 uses.
597. patience - 2 uses.
598. selling - 2 uses.
599. jacket - 2 uses.
600. letter - 2 uses.
601. feet - 2 uses.
602. grey - 2 uses.
603. shade - 2 uses.
604. arent - 2 uses.
605. stoned - 2 uses.
606. beyond - 2 uses.
607. strangers - 2 uses.
608. lights - 2 uses.
609. closer - 2 uses.
610. swear - 2 uses.
611. dollars - 2 uses.
612. tries - 2 uses.
613. happiness - 2 uses.
614. desire - 2 uses.
615. reward - 2 uses.
616. joy - 2 uses.
617. cousins - 2 uses.
618. takes - 2 uses.
619. means - 2 uses.
620. ideas - 2 uses.
621. raised - 2 uses.
622. carolina - 2 uses.
623. bus - 2 uses.
624. zoo - 2 uses.
625. shake - 2 uses.
626. everythings - 2 uses.
627. behind - 2 uses.
628. enemies - 2 uses.
629. pissed - 2 uses.
630. ignore - 2 uses.
631. uncles - 2 uses.
632. prisoner - 2 uses.
633. throat - 2 uses.
634. cut - 2 uses.
635. enemy - 2 uses.
636. talks - 2 uses.
637. answers - 2 uses.
638. background - 2 uses.
639. getting - 2 uses.
640. fab - 2 uses.
641. climbing - 2 uses.
642. return - 2 uses.
643. recompense - 2 uses.
644. complain - 2 uses.
645. confused - 2 uses.
646. elevator - 2 uses.
647. impressed - 2 uses.
648. insist - 2 uses.
649. changing - 2 uses.
650. lanes - 2 uses.
651. ran - 2 uses.
652. drowning - 2 uses.
653. 80s - 2 uses.
654. reviled - 2 uses.
655. system - 2 uses.
656. front - 2 uses.
657. my— - 2 uses.
658. fighting - 2 uses.
659. coast - 2 uses.
660. shows - 2 uses.
661. sick - 2 uses.
662. loaded - 2 uses.
663. kind - 2 uses.
664. drives - 2 uses.
665. lotus - 2 uses.
666. sliding - 2 uses.
667. welcome - 2 uses.
668. ready - 2 uses.
669. very - 2 uses.
670. til - 2 uses.
671. warn - 2 uses.
672. silently - 2 uses.
673. bein - 2 uses.
674. denial - 2 uses.
675. instead - 2 uses.
676. block - 2 uses.
677. shore - 2 uses.
678. fifteen - 2 uses.
679. minutes - 2 uses.
680. miles - 2 uses.
681. grandsons - 2 uses.
682. spaceships - 2 uses.
683. plan - 2 uses.
684. million - 2 uses.
685. dog - 2 uses.
686. settle - 2 uses.
687. trigger - 2 uses.
688. either - 2 uses.
689. turned - 2 uses.
690. billion - 2 uses.
691. banging - 2 uses.
692. chest - 2 uses.
693. permanent - 2 uses.
694. unreal - 2 uses.
695. themselves - 2 uses.
696. hours - 2 uses.
697. chances - 2 uses.
698. sees - 2 uses.
699. define - 2 uses.
700. school - 2 uses.
701. start - 2 uses.
702. weve - 2 uses.
703. uptown - 2 uses.
704. pajamas - 2 uses.
705. sideways - 2 uses.
706. toys - 2 uses.
707. secret - 2 uses.
708. relaxed - 2 uses.
709. forward - 2 uses.
710. underground - 2 uses.
711. whys - 2 uses.
712. prisoners - 2 uses.
713. wisdom - 2 uses.
714. lived - 2 uses.
715. built - 2 uses.
716. mamas - 2 uses.
717. aside - 2 uses.
718. looked - 2 uses.
719. prime - 2 uses.
720. sentimental - 2 uses.
721. rejecting - 2 uses.
722. offers - 2 uses.
723. wave - 2 uses.
724. goodbye - 2 uses.
725. lady - 2 uses.
726. upon - 2 uses.
727. cheat - 2 uses.
728. fucking - 2 uses.
729. stuck - 2 uses.
730. shining - 2 uses.
731. week - 2 uses.
732. drunk - 2 uses.
733. older - 2 uses.
734. 40s - 2 uses.
735. wed - 2 uses.
736. hill - 2 uses.
737. begin - 2 uses.
738. simply - 2 uses.
739. never-ending - 2 uses.
740. a-v-a - 2 uses.
741. hadnt - 2 uses.
742. clearer - 2 uses.
743. overseas - 2 uses.
744. varieties - 2 uses.
745. armed - 2 uses.
746. setting - 2 uses.
747. alarms - 2 uses.
748. least - 2 uses.
749. anywhere - 2 uses.
750. page - 2 uses.
751. surreal - 2 uses.
752. trapped - 2 uses.
753. sake - 2 uses.
754. entire - 2 uses.
755. sky - 2 uses.
756. limit - 2 uses.
757. hurt - 2 uses.
758. smile - 2 uses.
759. pleased - 2 uses.
760. half - 2 uses.
761. arms - 2 uses.
