Most used words by The Wallows: 
Number of songs scanned: 38

1. tell - 57 uses.
2. again - 54 uses.
3. need - 50 uses.
4. think - 47 uses.
5. right - 46 uses.
6. wait - 46 uses.
7. feel - 44 uses.
8. okay - 39 uses.
9. help - 39 uses.
10. love - 33 uses.
11. about - 33 uses.
12. try - 32 uses.
13. should - 29 uses.
14. through - 28 uses.
15. never - 26 uses.
16. back - 26 uses.
17. whats - 25 uses.
18. down - 25 uses.
19. mind - 24 uses.
20. people - 23 uses.
21. only - 23 uses.
22. hear - 23 uses.
23. take - 22 uses.
24. friends - 21 uses.
25. let - 21 uses.
26. away - 21 uses.
27. pulling - 20 uses.
28. talk - 20 uses.
29. head - 20 uses.
30. feeling - 19 uses.
31. maybe - 18 uses.
32. little - 18 uses.
33. woah - 18 uses.
34. explain - 17 uses.
35. anymore - 17 uses.
36. care - 17 uses.
37. night - 17 uses.
38. give - 16 uses.
39. fine - 16 uses.
40. alright - 16 uses.
41. here - 16 uses.
42. hollywood - 16 uses.
43. wanted - 15 uses.
44. same - 14 uses.
45. mother - 14 uses.
46. something - 13 uses.
47. eyes - 13 uses.
48. turn - 13 uses.
49. before - 12 uses.
50. things - 12 uses.
51. gone - 12 uses.
52. words - 12 uses.
53. nothing - 12 uses.
54. times - 12 uses.
55. door - 12 uses.
56. better - 12 uses.
57. scrawny - 12 uses.
58. fucker - 12 uses.
59. cool - 12 uses.
60. hairstyle - 12 uses.
61. myself - 11 uses.
62. though - 11 uses.
63. gets - 11 uses.
64. every - 11 uses.
65. always - 11 uses.
66. fall - 11 uses.
67. happens - 11 uses.
68. someone - 10 uses.
69. listen - 10 uses.
70. different - 10 uses.
71. ahead - 10 uses.
72. alone - 10 uses.
73. stay - 10 uses.
74. over - 10 uses.
75. end - 10 uses.
76. girl - 9 uses.
77. thing - 9 uses.
78. relate - 9 uses.
79. hard - 9 uses.
80. lights - 9 uses.
81. lose - 9 uses.
82. around - 9 uses.
83. wrong - 9 uses.
84. change - 9 uses.
85. light - 9 uses.
86. new - 9 uses.
87. ever - 9 uses.
88. heart - 9 uses.
89. keep - 8 uses.
90. lost - 8 uses.
91. lie - 8 uses.
92. darling - 8 uses.
93. watch - 8 uses.
94. feels - 8 uses.
95. side - 8 uses.
96. left - 8 uses.
97. nobody - 7 uses.
98. closer - 7 uses.
99. good - 7 uses.
100. couldnt - 7 uses.
101. really - 7 uses.
102. understand - 7 uses.
103. hey - 7 uses.
104. getting - 7 uses.
105. close - 7 uses.
106. bed - 7 uses.
107. high - 7 uses.
108. run - 7 uses.
109. isnt - 7 uses.
110. sun - 7 uses.
111. world - 7 uses.
112. real - 7 uses.
113. truth - 7 uses.
114. long - 7 uses.
115. wish - 7 uses.
116. knew - 7 uses.
117. tryna - 7 uses.
118. days - 7 uses.
119. started - 7 uses.
120. trust - 6 uses.
121. lets - 6 uses.
122. goodnight - 6 uses.
123. shit - 6 uses.
124. pretty - 6 uses.
125. holdin - 6 uses.
126. inside - 6 uses.
127. done - 6 uses.
128. remember - 6 uses.
129. start - 6 uses.
130. another - 6 uses.
131. told - 6 uses.
132. thought - 6 uses.
133. trying - 6 uses.
134. mine - 6 uses.
135. waiting - 6 uses.
136. wasting - 6 uses.
137. taking - 6 uses.
138. voice - 6 uses.
139. uncomfortable - 6 uses.
140. knocking - 6 uses.
141. crime - 6 uses.
142. fun - 6 uses.
143. song - 6 uses.
144. 1980s - 6 uses.
145. horror - 6 uses.
146. film - 6 uses.
147. probably - 6 uses.
148. loving - 6 uses.
149. sidelines - 6 uses.
150. speak - 5 uses.
151. name - 5 uses.
152. tonight - 5 uses.
153. difference - 5 uses.
154. cry - 5 uses.
155. death - 5 uses.
156. doesnt - 5 uses.
157. matter - 5 uses.
158. sit - 5 uses.
159. anybody - 5 uses.
160. work - 5 uses.
161. cold - 5 uses.
162. tried - 5 uses.
163. without - 5 uses.
164. place - 5 uses.
165. best - 5 uses.
166. years - 5 uses.
167. breathe - 5 uses.
168. while - 5 uses.
169. room - 5 uses.
170. coming - 5 uses.
171. spend - 5 uses.
172. sure - 5 uses.
173. wishing - 5 uses.
174. last - 5 uses.
175. apart - 5 uses.
176. stuck - 5 uses.
177. waste - 5 uses.
178. cut - 5 uses.
179. freak - 5 uses.
180. weekend - 5 uses.
181. turned - 4 uses.
182. pick - 4 uses.
183. remind - 4 uses.
184. smile - 4 uses.
185. simple - 4 uses.
186. seen - 4 uses.
187. yours - 4 uses.
188. grow - 4 uses.
189. most - 4 uses.
190. even - 4 uses.
191. dark - 4 uses.
192. friend - 4 uses.
193. low - 4 uses.
194. full - 4 uses.
195. please - 4 uses.
196. forget - 4 uses.
197. thinkin - 4 uses.
198. home - 4 uses.
199. memory - 4 uses.
200. scream - 4 uses.
201. hope - 4 uses.
202. hate - 4 uses.
203. stage - 4 uses.
204. empty - 4 uses.
205. space - 4 uses.
206. pool - 4 uses.
207. moments - 4 uses.
208. given - 4 uses.
209. does - 4 uses.
210. fuck - 4 uses.
211. sing - 4 uses.
212. ground - 4 uses.
213. problem - 4 uses.
214. living - 4 uses.
215. wide - 4 uses.
216. mean - 4 uses.
217. play - 4 uses.
218. together - 4 uses.
219. enough - 4 uses.
220. fading - 4 uses.
221. fast - 4 uses.
222. worlds - 4 uses.
223. whyd - 4 uses.
224. awake - 4 uses.
225. stand - 4 uses.
226. guess - 4 uses.
227. half - 4 uses.
228. attack - 4 uses.
229. breath - 4 uses.
230. somebody - 4 uses.
231. piece - 4 uses.
232. summers - 4 uses.
233. starting - 4 uses.
234. quarterbacks - 4 uses.
235. running - 4 uses.
236. straight - 4 uses.
237. language - 4 uses.
238. dig - 3 uses.
239. dug - 3 uses.
240. places - 3 uses.
241. looking - 3 uses.
242. sight - 3 uses.
243. anyone - 3 uses.
244. til - 3 uses.
245. read - 3 uses.
246. wouldnt - 3 uses.
247. life - 3 uses.
248. much - 3 uses.
249. break - 3 uses.
250. instead - 3 uses.
251. gotta - 3 uses.
252. else - 3 uses.
253. outside - 3 uses.
254. house - 3 uses.
255. under - 3 uses.
256. hit - 3 uses.
257. screamin - 3 uses.
258. nowhere - 3 uses.
259. fallin - 3 uses.
260. bound - 3 uses.
261. ok - 3 uses.
262. loud - 3 uses.
263. lonely - 3 uses.
264. pictures - 3 uses.
265. answer - 3 uses.
266. pretend - 3 uses.
267. old - 3 uses.
268. regret - 3 uses.
269. goes - 3 uses.
270. feelin - 3 uses.
271. fame - 3 uses.
272. grave - 3 uses.
273. films - 3 uses.
