Most used words by The War On Drugs: 
Number of songs scanned: 45

1. down - 77 uses.
2. through - 72 uses.
3. love - 54 uses.
4. back - 54 uses.
5. need - 46 uses.
6. here - 39 uses.
7. away - 36 uses.
8. babe - 34 uses.
9. own - 31 uses.
10. feel - 30 uses.
11. mind - 30 uses.
12. never - 29 uses.
13. take - 28 uses.
14. keep - 28 uses.
15. again - 27 uses.
16. let - 26 uses.
17. moving - 25 uses.
18. right - 25 uses.
19. light - 25 uses.
20. coming - 25 uses.
21. night - 24 uses.
22. darkness - 24 uses.
23. new - 24 uses.
24. lost - 22 uses.
25. hold - 22 uses.
26. everything - 21 uses.
27. eyes - 21 uses.
28. wind - 20 uses.
29. long - 20 uses.
30. rain - 20 uses.
31. alone - 17 uses.
32. feeling - 17 uses.
33. running - 17 uses.
34. side - 17 uses.
35. nothing - 17 uses.
36. over - 17 uses.
37. change - 16 uses.
38. heart - 16 uses.
39. wait - 16 uses.
40. show - 16 uses.
41. run - 15 uses.
42. hard - 15 uses.
43. hear - 15 uses.
44. dark - 15 uses.
45. home - 15 uses.
46. dream - 14 uses.
47. line - 14 uses.
48. past - 14 uses.
49. looking - 14 uses.
50. ride - 14 uses.
51. only - 14 uses.
52. life - 13 uses.
53. gets - 13 uses.
54. walking - 13 uses.
55. tell - 13 uses.
56. about - 13 uses.
57. little - 13 uses.
58. place - 13 uses.
59. every - 13 uses.
60. around - 13 uses.
61. living - 13 uses.
62. inside - 13 uses.
63. baby - 12 uses.
64. pain - 12 uses.
65. once - 12 uses.
66. hand - 12 uses.
67. turn - 12 uses.
68. riding - 12 uses.
69. before - 12 uses.
70. always - 12 uses.
71. break - 12 uses.
72. under - 12 uses.
73. old - 11 uses.
74. same - 11 uses.
75. road - 11 uses.
76. cold - 11 uses.
77. morning - 11 uses.
78. anymore - 11 uses.
79. leave - 11 uses.
80. took - 10 uses.
81. give - 10 uses.
82. floor - 10 uses.
83. try - 9 uses.
84. control - 9 uses.
85. strong - 9 uses.
86. losing - 9 uses.
87. sometimes - 9 uses.
88. sky - 9 uses.
89. something - 9 uses.
90. other - 9 uses.
91. gone - 9 uses.
92. should - 9 uses.
93. went - 9 uses.
94. sea - 9 uses.
95. stop - 9 uses.
96. lookin - 9 uses.
97. victim - 9 uses.
98. desire - 9 uses.
99. lay - 8 uses.
100. going - 8 uses.
101. between - 8 uses.
102. against - 8 uses.
103. sound - 8 uses.
104. free - 8 uses.
105. friend - 8 uses.
106. world - 8 uses.
107. maybe - 8 uses.
108. trying - 8 uses.
109. yourself - 8 uses.
110. trouble - 8 uses.
111. honey - 8 uses.
112. days - 7 uses.
113. pull - 7 uses.
114. holding - 7 uses.
115. hiding - 7 uses.
116. blow - 7 uses.
117. room - 7 uses.
118. saw - 7 uses.
119. river - 7 uses.
120. turns - 7 uses.
121. train - 7 uses.
122. understand - 7 uses.
123. seen - 7 uses.
124. alive - 7 uses.
125. lying - 7 uses.
126. close - 7 uses.
127. comin - 7 uses.
128. another - 7 uses.
129. arms - 7 uses.
130. learn - 7 uses.
131. waiting - 7 uses.
132. sun - 7 uses.
133. tree - 7 uses.
134. mine - 7 uses.
135. mmh - 7 uses.
136. best - 7 uses.
137. tried - 7 uses.
138. born - 6 uses.
139. much - 6 uses.
140. far - 6 uses.
141. dead - 6 uses.
142. think - 6 uses.
143. street - 6 uses.
144. found - 6 uses.
145. last - 6 uses.
146. myself - 6 uses.
147. changing - 6 uses.
148. water - 6 uses.
149. remember - 6 uses.
150. real - 6 uses.
151. taking - 6 uses.
152. turning - 6 uses.
153. lose - 6 uses.
154. faith - 6 uses.
155. dish - 6 uses.
156. coast - 6 uses.
157. somewhere - 6 uses.
158. burning - 6 uses.
159. youd - 6 uses.
160. northeast - 6 uses.
161. head - 6 uses.
162. even - 6 uses.
163. without - 6 uses.
164. diamonds - 6 uses.
165. fire - 6 uses.
166. doorway - 6 uses.
167. thing - 6 uses.
168. believe - 6 uses.
169. move - 6 uses.
170. across - 6 uses.
171. thought - 6 uses.
172. rising - 6 uses.
173. catch - 6 uses.
174. watch - 5 uses.
175. fade - 5 uses.
176. behind - 5 uses.
177. apart - 5 uses.
178. till - 5 uses.
179. moment - 5 uses.
180. black - 5 uses.
181. moon - 5 uses.
182. wake - 5 uses.
183. suffering - 5 uses.
184. walk - 5 uses.
185. things - 5 uses.
186. high - 5 uses.
187. touch - 5 uses.
188. taken - 5 uses.
189. bus - 5 uses.
190. came - 5 uses.
191. field - 5 uses.
192. shining - 5 uses.
193. live - 5 uses.
194. until - 5 uses.
195. hanging - 5 uses.
196. wanted - 5 uses.
197. ocean - 5 uses.
198. hide - 5 uses.
199. rolling - 5 uses.
200. memory - 5 uses.
201. awake - 5 uses.
202. door - 5 uses.
203. breaking - 5 uses.
204. ooh - 5 uses.
205. really - 5 uses.
206. knees - 5 uses.
207. soul - 5 uses.
208. key - 5 uses.
209. pressure - 5 uses.
210. shadow - 5 uses.
211. hurt - 5 uses.
212. worse - 5 uses.
213. urgency - 5 uses.
214. loves - 5 uses.
215. stay - 5 uses.
216. harbor - 5 uses.
217. follow - 4 uses.
218. tired - 4 uses.
219. skin - 4 uses.
220. window - 4 uses.
221. lets - 4 uses.
222. fear - 4 uses.
223. talking - 4 uses.
224. roads - 4 uses.
225. start - 4 uses.
226. grand - 4 uses.
227. parade - 4 uses.
228. livin - 4 uses.
229. chasing - 4 uses.
230. changes - 4 uses.
231. above - 4 uses.
232. set - 4 uses.
233. lead - 4 uses.
234. steel - 4 uses.
235. midnight - 4 uses.
236. range - 4 uses.
237. needle - 4 uses.
238. eye - 4 uses.
239. push - 4 uses.
240. ground - 4 uses.
241. easy - 4 uses.
242. left - 4 uses.
243. alright - 4 uses.
244. machine - 4 uses.
245. common - 4 uses.
246. hands - 4 uses.
247. outside - 4 uses.
248. storm - 4 uses.
249. shake - 4 uses.
250. beating - 4 uses.
251. die - 4 uses.
252. air - 4 uses.
253. friends - 4 uses.
254. moves - 4 uses.
255. front - 4 uses.
256. path - 4 uses.
257. overhead - 4 uses.
258. resist - 4 uses.
259. disconnected - 4 uses.
260. starving - 4 uses.
261. woo - 4 uses.
262. open - 4 uses.
263. heat - 4 uses.
264. lonely - 4 uses.
265. surrounded - 4 uses.
266. wasted - 4 uses.
267. ring - 4 uses.
268. mad - 4 uses.
269. random - 4 uses.
270. abandoned - 4 uses.
271. accidentally - 4 uses.
272. martyr - 4 uses.
273. harder - 4 uses.
274. after - 4 uses.
275. threw - 4 uses.
276. today - 4 uses.
277. barrel - 4 uses.
278. laughter - 4 uses.
279. whole - 3 uses.
280. fathers - 3 uses.
281. shadows - 3 uses.
282. rings - 3 uses.
283. lights - 3 uses.
284. god - 3 uses.
285. starting - 3 uses.
286. surround - 3 uses.
287. anything - 3 uses.
288. sure - 3 uses.
289. hesitate - 3 uses.
290. name - 3 uses.
291. done - 3 uses.
292. damn - 3 uses.
293. grasp - 3 uses.
294. making - 3 uses.
295. distance - 3 uses.
296. upon - 3 uses.
297. thinking - 3 uses.
298. falling - 3 uses.
299. silence - 3 uses.
300. because - 3 uses.
301. jet - 3 uses.
302. plane - 3 uses.
303. pissed - 3 uses.
304. rum-soaked - 3 uses.
305. shoes - 3 uses.
306. turned - 3 uses.
307. while - 3 uses.
308. slow - 3 uses.
309. tonight - 3 uses.
310. jack - 3 uses.
311. tone - 3 uses.
312. talk - 3 uses.
313. rattling - 3 uses.
314. end - 3 uses.
315. red - 3 uses.
316. em - 3 uses.
317. stone - 3 uses.
318. fast - 3 uses.
319. ends - 3 uses.
320. onto - 3 uses.
321. gray - 3 uses.
322. occasional - 3 uses.
323. raining - 3 uses.
324. beaten - 3 uses.
325. weak - 3 uses.
326. lie - 3 uses.
327. knocked - 3 uses.
328. anyway - 3 uses.
329. struggling - 3 uses.
330. pushing - 3 uses.
331. kicking - 3 uses.
332. game - 3 uses.
333. bit - 3 uses.
334. streets - 3 uses.
335. grow - 3 uses.
336. wild - 3 uses.
337. true - 3 uses.
338. although - 3 uses.
339. rollin - 3 uses.
340. truth - 3 uses.
341. view - 3 uses.
342. everywhere - 3 uses.
343. sliding - 3 uses.
344. hope - 3 uses.
345. kind - 3 uses.
346. survive - 3 uses.
347. body - 3 uses.
348. song - 3 uses.
349. escape - 3 uses.
350. returning - 3 uses.
351. wave - 3 uses.
352. comes - 3 uses.
353. reach - 3 uses.
354. dreaming - 3 uses.
355. redefine - 3 uses.
356. standing - 3 uses.
357. cannot - 3 uses.
358. cross - 3 uses.
359. bridge - 3 uses.
360. stranded - 3 uses.
361. pouring - 3 uses.
362. late - 3 uses.
363. wrong - 3 uses.
364. both - 3 uses.
365. glove - 3 uses.
366. cut - 3 uses.
367. pieces - 3 uses.
368. places - 3 uses.
369. laying - 3 uses.
370. good - 3 uses.
371. wings - 3 uses.
372. pick - 3 uses.
373. wonderin - 3 uses.
374. sweet - 3 uses.
375. bottom - 3 uses.
376. highways - 3 uses.
377. together - 3 uses.
378. feet - 3 uses.
379. whore - 3 uses.
380. sleeping - 3 uses.
381. freeway - 3 uses.
382. debris - 3 uses.
383. yard - 2 uses.
384. working - 2 uses.
385. gold - 2 uses.
386. leaving - 2 uses.
387. moments - 2 uses.
388. rest - 2 uses.
389. along - 2 uses.
390. belong - 2 uses.
391. watched - 2 uses.
392. changed - 2 uses.
393. theyll - 2 uses.
394. haze - 2 uses.
395. care - 2 uses.
396. callin - 2 uses.
397. disappearing - 2 uses.
398. ways - 2 uses.
399. cared - 2 uses.
400. playing - 2 uses.
401. drifting - 2 uses.
402. reverse - 2 uses.
403. beach - 2 uses.
404. ghost - 2 uses.
