Most used words by Tigers Jaw: 
Number of songs scanned: 81

1. away - 42 uses.
2. feel - 38 uses.
3. alone - 37 uses.
4. eyes - 36 uses.
5. let - 32 uses.
6. hard - 31 uses.
7. down - 28 uses.
8. home - 27 uses.
9. never - 26 uses.
10. everything - 25 uses.
11. about - 25 uses.
12. myself - 25 uses.
13. friends - 24 uses.
14. mind - 23 uses.
15. always - 23 uses.
16. love - 22 uses.
17. again - 21 uses.
18. things - 21 uses.
19. tell - 21 uses.
20. wanted - 20 uses.
21. living - 20 uses.
22. nothing - 19 uses.
23. head - 18 uses.
24. place - 18 uses.
25. same - 18 uses.
26. life - 18 uses.
27. apart - 18 uses.
28. right - 18 uses.
29. back - 17 uses.
30. new - 17 uses.
31. ever - 17 uses.
32. every - 16 uses.
33. anymore - 16 uses.
34. forever - 16 uses.
35. something - 16 uses.
36. only - 16 uses.
37. through - 15 uses.
38. coming - 15 uses.
39. enough - 15 uses.
40. skin - 15 uses.
41. room - 14 uses.
42. night - 14 uses.
43. take - 14 uses.
44. over - 14 uses.
45. think - 14 uses.
46. live - 14 uses.
47. turn - 14 uses.
48. found - 13 uses.
49. face - 13 uses.
50. better - 13 uses.
51. feeling - 13 uses.
52. light - 13 uses.
53. wait - 13 uses.
54. here - 13 uses.
55. ask - 13 uses.
56. wish - 13 uses.
57. lies - 13 uses.
58. survive - 13 uses.
59. burn - 13 uses.
60. неё - 13 uses.
61. slow - 12 uses.
62. another - 12 uses.
63. saw - 12 uses.
64. body - 12 uses.
65. breathing - 12 uses.
66. happiest - 12 uses.
67. couldnt - 11 uses.
68. stop - 11 uses.
69. left - 11 uses.
70. pain - 11 uses.
71. going - 11 uses.
72. slowly - 11 uses.
73. line - 11 uses.
74. started - 11 uses.
75. thought - 11 uses.
76. much - 11 uses.
77. я - 11 uses.
78. getting - 10 uses.
79. move - 10 uses.
80. afraid - 10 uses.
81. dull - 10 uses.
82. does - 10 uses.
83. wrong - 10 uses.
84. last - 10 uses.
85. before - 10 uses.
86. voice - 10 uses.
87. remember - 10 uses.
88. whats - 10 uses.
89. hands - 10 uses.
90. around - 10 uses.
91. на - 10 uses.
92. put - 10 uses.
93. sense - 9 uses.
94. shut - 9 uses.
95. talk - 9 uses.
96. sun - 9 uses.
97. leave - 9 uses.
98. ones - 9 uses.
99. under - 9 uses.
100. should - 9 uses.
101. doing - 9 uses.
102. fine - 9 uses.
103. maybe - 9 uses.
104. try - 9 uses.
105. fire - 9 uses.
106. even - 9 uses.
107. change - 8 uses.
108. stay - 8 uses.
109. days - 8 uses.
110. window - 8 uses.
111. name - 8 uses.
112. plan - 8 uses.
113. any - 8 uses.
114. start - 8 uses.
115. awake - 8 uses.
116. sleep - 8 uses.
117. die - 8 uses.
118. looking - 8 uses.
119. believe - 8 uses.
120. bored - 8 uses.
121. anything - 8 uses.
122. lie - 8 uses.
123. fall - 8 uses.
124. yourself - 8 uses.
125. spend - 8 uses.
126. felt - 8 uses.
127. letting - 8 uses.
128. mirror - 8 uses.
129. baby - 8 uses.
130. и - 8 uses.
131. ground - 8 uses.
132. first - 8 uses.
133. expected - 8 uses.
134. world - 7 uses.
135. own - 7 uses.
136. give - 7 uses.
137. words - 7 uses.
138. heart - 7 uses.
139. young - 7 uses.
140. lost - 7 uses.
141. count - 7 uses.
142. medicine - 7 uses.
143. need - 7 uses.
144. seen - 7 uses.
145. straight - 7 uses.
146. trust - 7 uses.
147. hear - 7 uses.
148. language - 7 uses.
149. until - 7 uses.
150. other - 7 uses.
151. run - 7 uses.
152. worst - 7 uses.
153. candle - 7 uses.
154. together - 7 uses.
155. write - 7 uses.
156. чёрный - 7 uses.
157. rolls - 7 uses.
158. royce - 7 uses.
159. мной - 7 uses.
160. всё - 7 uses.
161. сделал - 7 uses.
162. новый - 7 uses.
163. у - 7 uses.
164. есть - 7 uses.
165. парень - 7 uses.
166. но - 7 uses.
167. по - 7 uses.
168. ходу - 7 uses.
169. он - 7 uses.
170. mean - 7 uses.
171. gun - 7 uses.
172. handle - 7 uses.
173. keep - 6 uses.
174. care - 6 uses.
175. glow - 6 uses.
176. lot - 6 uses.
177. view - 6 uses.
178. cannot - 6 uses.
179. cold - 6 uses.
180. burned - 6 uses.
181. truth - 6 uses.
182. wide - 6 uses.
183. thing - 6 uses.
184. old - 6 uses.
185. hold - 6 uses.
186. vision - 6 uses.
187. best - 6 uses.
188. alright - 6 uses.
189. good - 6 uses.
190. told - 6 uses.
191. calling - 6 uses.
192. four - 6 uses.
193. memory - 6 uses.
194. bad - 6 uses.
195. strong - 6 uses.
196. hours - 6 uses.
197. wishing - 6 uses.
198. used - 6 uses.
199. waste - 6 uses.
200. miss - 6 uses.
201. running - 6 uses.
202. confidence - 6 uses.
203. caught - 6 uses.
204. while - 6 uses.
205. забираю - 6 uses.
206. джекпот - 6 uses.
207. со - 6 uses.
208. mama - 6 uses.
209. потрачу - 6 uses.
210. заберу - 6 uses.
211. топ - 6 uses.
212. лох - 6 uses.
213. wind - 6 uses.
214. morning - 6 uses.
215. oh-oh-oh-whoa - 6 uses.
216. oh-oh-oh - 6 uses.
217. escape - 6 uses.
218. nervous - 6 uses.
219. car - 5 uses.
220. blood - 5 uses.
221. close - 5 uses.
222. drive - 5 uses.
223. went - 5 uses.
224. fault - 5 uses.
225. thinking - 5 uses.
226. havent - 5 uses.
227. wasnt - 5 uses.
228. reason - 5 uses.
229. wondering - 5 uses.
230. everyone - 5 uses.
231. free - 5 uses.
232. hate - 5 uses.
233. work - 5 uses.
234. growing - 5 uses.
235. muscle - 5 uses.
236. really - 5 uses.
237. mouth - 5 uses.
238. hiding - 5 uses.
239. swear - 5 uses.
240. permanent - 5 uses.
241. ride - 5 uses.
242. show - 5 uses.
243. whole - 5 uses.
244. lines - 5 uses.
245. standing - 5 uses.
246. walk - 5 uses.
247. names - 5 uses.
248. art - 5 uses.
249. play - 5 uses.
250. pick - 5 uses.
251. distance - 5 uses.
252. falling - 5 uses.
253. takes - 5 uses.
254. bullet - 5 uses.
255. scared - 5 uses.
256. kids - 5 uses.
257. sunlight - 5 uses.
258. warning - 5 uses.
259. feels - 5 uses.
260. favorite - 5 uses.
261. cruel - 4 uses.
262. walls - 4 uses.
263. spin - 4 uses.
264. goes - 4 uses.
265. honest - 4 uses.
266. late - 4 uses.
267. boring - 4 uses.
268. easier - 4 uses.
269. crystal - 4 uses.
270. stone - 4 uses.
271. holding - 4 uses.
272. faith - 4 uses.
273. sick - 4 uses.
274. real - 4 uses.
275. past - 4 uses.
276. air - 4 uses.
277. heaven - 4 uses.
278. flood - 4 uses.
279. fast - 4 uses.
280. writing - 4 uses.
281. healing - 4 uses.
282. commit - 4 uses.
283. pass - 4 uses.
284. telling - 4 uses.
285. tells - 4 uses.
286. dream - 4 uses.
287. remind - 4 uses.
288. kept - 4 uses.
289. leading - 4 uses.
290. anyway - 4 uses.
291. begin - 4 uses.
292. weighing - 4 uses.
293. alive - 4 uses.
294. learned - 4 uses.
295. worth - 4 uses.
296. seem - 4 uses.
297. fight - 4 uses.
298. else - 4 uses.
299. makes - 4 uses.
300. touch - 4 uses.
301. because - 4 uses.
302. lying - 4 uses.
303. summer - 4 uses.
304. both - 4 uses.
305. hide - 4 uses.
306. drowning - 4 uses.
307. anxious - 4 uses.
308. broke - 4 uses.
309. floor - 4 uses.
310. buried - 4 uses.
311. gone - 4 uses.
312. listened - 4 uses.
313. follows - 4 uses.
314. wherever - 4 uses.
315. forget - 4 uses.
316. stopping - 4 uses.
317. leaving - 4 uses.
318. water - 4 uses.
319. — - 4 uses.
320. деньги - 4 uses.
321. break - 4 uses.
322. black - 4 uses.
323. restless - 4 uses.
324. once - 4 uses.
325. feet - 4 uses.
326. talking - 4 uses.
327. everybody - 4 uses.
328. fun - 4 uses.
329. watched - 4 uses.
330. weild - 4 uses.
331. question - 4 uses.
332. fix - 4 uses.
333. target - 4 uses.
334. fade - 4 uses.
335. crowded - 4 uses.
336. replace - 4 uses.
337. danielson - 4 uses.
338. pulse - 4 uses.
339. read - 4 uses.
340. charmer - 4 uses.
341. cool - 3 uses.
342. bed - 3 uses.
343. very - 3 uses.
344. drop - 3 uses.
345. bombs - 3 uses.
346. understand - 3 uses.
347. sympathy - 3 uses.
348. college - 3 uses.
349. chest - 3 uses.
350. legs - 3 uses.
351. realized - 3 uses.
352. friend - 3 uses.
353. across - 3 uses.
354. fell - 3 uses.
355. lights - 3 uses.
356. granted - 3 uses.
357. inside - 3 uses.
358. sure - 3 uses.
359. rhythm - 3 uses.
360. stand - 3 uses.
361. pulling - 3 uses.
362. moment - 3 uses.
363. rain - 3 uses.
