Most used words by Tiny Moving Parts: 
Number of songs scanned: 68

1. never - 94 uses.
2. feel - 60 uses.
3. need - 59 uses.
4. love - 50 uses.
5. back - 48 uses.
6. let - 47 uses.
7. down - 44 uses.
8. nothing - 43 uses.
9. keep - 39 uses.
10. myself - 38 uses.
11. lets - 37 uses.
12. again - 37 uses.
13. everything - 35 uses.
14. think - 35 uses.
15. please - 34 uses.
16. try - 33 uses.
17. inside - 33 uses.
18. ever - 32 uses.
19. away - 32 uses.
20. life - 32 uses.
21. tell - 32 uses.
22. heart - 31 uses.
23. head - 30 uses.
24. enough - 28 uses.
25. hope - 27 uses.
26. always - 27 uses.
27. lost - 27 uses.
28. every - 26 uses.
29. something - 25 uses.
30. left - 24 uses.
31. sick - 23 uses.
32. about - 23 uses.
33. around - 23 uses.
34. much - 22 uses.
35. wish - 22 uses.
36. breathe - 22 uses.
37. eyes - 21 uses.
38. lungs - 21 uses.
39. little - 21 uses.
40. anything - 21 uses.
41. because - 20 uses.
42. listen - 20 uses.
43. best - 20 uses.
44. thought - 20 uses.
45. take - 20 uses.
46. skin - 20 uses.
47. miss - 19 uses.
48. through - 19 uses.
49. until - 18 uses.
50. worth - 18 uses.
51. stay - 18 uses.
52. forever - 18 uses.
53. night - 18 uses.
54. pull - 18 uses.
55. turn - 17 uses.
56. whats - 17 uses.
57. alone - 17 uses.
58. far - 17 uses.
59. hard - 17 uses.
60. brain - 17 uses.
61. maybe - 17 uses.
62. god - 16 uses.
63. words - 16 uses.
64. swear - 16 uses.
65. help - 16 uses.
66. place - 15 uses.
67. only - 15 uses.
68. strong - 15 uses.
69. someday - 15 uses.
70. beautiful - 14 uses.
71. another - 14 uses.
72. open - 14 uses.
73. sleep - 14 uses.
74. clouds - 14 uses.
75. warm - 14 uses.
76. water - 14 uses.
77. hold - 14 uses.
78. shake - 14 uses.
79. tonight - 13 uses.
80. hand - 13 uses.
81. used - 13 uses.
82. change - 13 uses.
83. leave - 13 uses.
84. before - 13 uses.
85. good - 13 uses.
86. everyone - 12 uses.
87. here - 12 uses.
88. trying - 12 uses.
89. while - 12 uses.
90. better - 12 uses.
91. seems - 12 uses.
92. deep - 12 uses.
93. okay - 12 uses.
94. yet - 12 uses.
95. tried - 12 uses.
96. gotta - 12 uses.
97. things - 12 uses.
98. run - 12 uses.
99. high - 11 uses.
100. move - 11 uses.
101. knew - 11 uses.
102. home - 11 uses.
103. first - 11 uses.
104. forget - 11 uses.
105. someone - 11 uses.
106. touch - 11 uses.
107. ready - 11 uses.
108. exist - 11 uses.
109. bit - 11 uses.
110. understand - 11 uses.
111. morning - 11 uses.
112. focus - 11 uses.
113. years - 10 uses.
114. scared - 10 uses.
115. bring - 10 uses.
