Most used words by Turnover: 
Number of songs scanned: 57

1. feel - 54 uses.
2. down - 50 uses.
3. away - 45 uses.
4. think - 43 uses.
5. things - 36 uses.
6. take - 36 uses.
7. here - 35 uses.
8. eyes - 35 uses.
9. nothing - 35 uses.
10. far - 32 uses.
11. head - 31 uses.
12. never - 30 uses.
13. always - 29 uses.
14. ever - 28 uses.
15. home - 25 uses.
16. back - 25 uses.
17. night - 24 uses.
18. tonight - 24 uses.
19. over - 23 uses.
20. tell - 23 uses.
21. even - 22 uses.
22. alone - 22 uses.
23. try - 22 uses.
24. keep - 22 uses.
25. let - 22 uses.
26. feeling - 21 uses.
27. left - 21 uses.
28. place - 21 uses.
29. about - 20 uses.
30. days - 20 uses.
31. again - 20 uses.
32. inside - 20 uses.
33. love - 20 uses.
34. only - 20 uses.
35. something - 20 uses.
36. light - 20 uses.
37. until - 19 uses.
38. every - 19 uses.
39. hard - 18 uses.
40. fall - 18 uses.
41. while - 18 uses.
42. gone - 18 uses.
43. through - 18 uses.
44. remember - 17 uses.
45. face - 17 uses.
46. little - 17 uses.
47. really - 17 uses.
48. stay - 17 uses.
49. another - 16 uses.
50. thought - 16 uses.
51. tired - 16 uses.
52. feels - 16 uses.
53. need - 16 uses.
54. new - 16 uses.
55. awake - 16 uses.
56. most - 16 uses.
57. everything - 16 uses.
58. sun - 16 uses.
59. mind - 15 uses.
60. without - 15 uses.
61. around - 15 uses.
62. maybe - 15 uses.
63. because - 15 uses.
64. outside - 15 uses.
65. enough - 15 uses.
66. long - 15 uses.
67. forget - 14 uses.
68. different - 14 uses.
69. waiting - 14 uses.
70. came - 14 uses.
71. spent - 13 uses.
72. before - 13 uses.
73. same - 13 uses.
74. being - 13 uses.
75. dream - 13 uses.
76. last - 12 uses.
77. miss - 12 uses.
78. believe - 12 uses.
79. right - 12 uses.
80. hands - 12 uses.
81. making - 12 uses.
82. thinking - 12 uses.
83. feet - 12 uses.
84. between - 12 uses.
85. stuck - 12 uses.
86. thing - 12 uses.
87. hear - 11 uses.
88. other - 11 uses.
89. morning - 11 uses.
90. sleep - 11 uses.
91. told - 11 uses.
92. much - 11 uses.
93. tried - 11 uses.
94. wanted - 11 uses.
95. dark - 11 uses.
96. old - 11 uses.
97. everyone - 11 uses.
98. alive - 11 uses.
99. asleep - 10 uses.
100. trying - 10 uses.
101. words - 10 uses.
102. help - 10 uses.
103. felt - 10 uses.
104. chest - 10 uses.
105. wake - 10 uses.
106. first - 10 uses.
107. underneath - 10 uses.
108. yourself - 9 uses.
109. good - 9 uses.
110. close - 9 uses.
111. heart - 9 uses.
112. ask - 9 uses.
113. whats - 9 uses.
114. cold - 9 uses.
115. give - 9 uses.
116. sleeping - 8 uses.
117. waste - 8 uses.
118. floor - 8 uses.
119. anymore - 8 uses.
120. wish - 8 uses.
121. break - 8 uses.
122. shiver - 8 uses.
123. wait - 8 uses.
124. slow - 8 uses.
125. those - 8 uses.
126. gets - 8 uses.
