Most used words by Turnpike Troubadours: 
Number of songs scanned: 53

1. down - 85 uses.
2. back - 54 uses.
3. love - 50 uses.
4. never - 49 uses.
5. old - 45 uses.
6. night - 40 uses.
7. gone - 39 uses.
8. home - 37 uses.
9. last - 35 uses.
10. good - 35 uses.
11. lord - 34 uses.
12. here - 32 uses.
13. little - 32 uses.
14. long - 32 uses.
15. fall - 31 uses.
16. girl - 28 uses.
17. every - 28 uses.
18. give - 25 uses.
19. light - 24 uses.
20. hell - 24 uses.
21. ever - 24 uses.
22. through - 22 uses.
23. heart - 22 uses.
24. seen - 21 uses.
25. damn - 20 uses.
26. away - 20 uses.
27. doreen - 20 uses.
28. thing - 19 uses.
29. might - 19 uses.
30. alright - 19 uses.
31. about - 19 uses.
32. same - 18 uses.
33. whole - 18 uses.
34. around - 18 uses.
35. tell - 17 uses.
36. boy - 17 uses.
37. kind - 17 uses.
38. hard - 17 uses.
39. feeling - 17 uses.
40. remember - 17 uses.
41. something - 16 uses.
42. town - 16 uses.
43. drink - 16 uses.
44. pay - 16 uses.
45. right - 15 uses.
46. left - 15 uses.
47. before - 15 uses.
48. maybe - 15 uses.
49. morning - 15 uses.
50. half - 15 uses.
51. again - 15 uses.
52. try - 15 uses.
53. clean - 15 uses.
54. eyes - 14 uses.
55. round - 14 uses.
56. think - 14 uses.
57. between - 14 uses.
58. city - 14 uses.
59. better - 14 uses.
60. road - 14 uses.
61. keep - 14 uses.
62. fool - 14 uses.
63. take - 14 uses.
64. found - 14 uses.
65. going - 14 uses.
66. drive - 14 uses.
67. mind - 14 uses.
68. corner - 13 uses.
69. darlin - 13 uses.
70. bad - 13 uses.
71. song - 13 uses.
72. should - 13 uses.
73. while - 13 uses.
74. hand - 13 uses.
75. loved - 13 uses.
76. darling - 13 uses.
77. gotta - 13 uses.
78. life - 13 uses.
79. true - 13 uses.
80. friend - 13 uses.
81. turn - 13 uses.
82. lorrie - 13 uses.
83. leave - 12 uses.
84. falling - 12 uses.
85. dead - 12 uses.
86. waiting - 12 uses.
87. over - 12 uses.
88. play - 12 uses.
89. baby - 12 uses.
90. dream - 12 uses.
91. close - 12 uses.
92. times - 12 uses.
93. put - 12 uses.
94. summer - 12 uses.
95. rollin - 12 uses.
96. aw - 11 uses.
97. new - 11 uses.
98. wind - 11 uses.
99. roll - 11 uses.
100. sky - 11 uses.
101. pretty - 11 uses.
102. hold - 11 uses.
103. place - 11 uses.
104. feel - 11 uses.
105. guess - 11 uses.
106. cheap - 11 uses.
107. looked - 11 uses.
108. sun - 11 uses.
109. fine - 11 uses.
110. free - 11 uses.
111. thought - 11 uses.
112. river - 11 uses.
113. much - 11 uses.
114. went - 11 uses.
115. hit - 10 uses.
116. hands - 10 uses.
117. alone - 10 uses.
118. youd - 10 uses.
119. fight - 10 uses.
120. let - 10 uses.
121. honey - 10 uses.
122. quit - 10 uses.
123. ah - 10 uses.
124. big - 10 uses.
125. blue - 10 uses.
126. street - 10 uses.
127. money - 10 uses.
128. floor - 10 uses.
129. world - 10 uses.
130. nothing - 10 uses.
131. oklahoma - 10 uses.
132. hot - 10 uses.
133. anymore - 10 uses.
134. came - 10 uses.
135. rock - 10 uses.
136. burn - 10 uses.
137. whiskey - 9 uses.
138. bar - 9 uses.
139. things - 9 uses.
140. em - 9 uses.
141. taken - 9 uses.
142. bed - 9 uses.
143. ahead - 9 uses.
144. really - 9 uses.
145. even - 9 uses.
146. hear - 9 uses.
147. figure - 9 uses.
148. headed - 9 uses.
149. yea - 9 uses.
150. clue - 9 uses.
151. wish - 9 uses.
152. towns - 9 uses.
153. wrong - 9 uses.
154. looking - 9 uses.
155. best - 9 uses.
156. heavy - 9 uses.
157. momma - 9 uses.
158. bars - 9 uses.
159. wreck - 8 uses.
160. everything - 8 uses.
161. damned - 8 uses.
162. line - 8 uses.
163. thousand - 8 uses.
164. pick - 8 uses.
165. country - 8 uses.
166. wall - 8 uses.
167. always - 8 uses.
168. took - 8 uses.
169. dance - 8 uses.
170. july - 8 uses.
171. arms - 8 uses.
172. stars - 8 uses.
173. wine - 8 uses.
174. school - 8 uses.
175. knew - 8 uses.
176. cool - 8 uses.
177. learn - 8 uses.
178. tulsa - 8 uses.
179. devil - 8 uses.
180. born - 8 uses.
181. ground - 8 uses.
182. hed - 8 uses.
183. lose - 8 uses.
184. bet - 8 uses.
185. folks - 8 uses.
186. knows - 8 uses.
187. start - 8 uses.
188. bright - 8 uses.
189. kid - 7 uses.
190. buddy - 7 uses.
191. beer - 7 uses.
192. hey - 7 uses.
193. mine - 7 uses.
194. awful - 7 uses.
195. called - 7 uses.
196. dancing - 7 uses.
197. fourth - 7 uses.
198. seems - 7 uses.
199. red - 7 uses.
200. highway - 7 uses.
201. silver - 7 uses.
202. mama - 7 uses.
203. easy - 7 uses.
204. high - 7 uses.
205. stop - 7 uses.
206. god - 7 uses.
207. myself - 7 uses.
208. main - 7 uses.
209. moon - 7 uses.
210. workin - 7 uses.
211. till - 7 uses.
212. live - 7 uses.
213. stuck - 7 uses.
214. ride - 7 uses.
215. car - 7 uses.
216. known - 7 uses.
217. cut - 7 uses.
218. heaven - 7 uses.
219. end - 7 uses.
220. rent - 7 uses.
221. leaving - 7 uses.
222. another - 7 uses.
223. barely - 7 uses.
224. done - 7 uses.
225. face - 7 uses.
226. hair - 6 uses.
227. sit - 6 uses.
228. minute - 6 uses.
229. late - 6 uses.
230. note - 6 uses.
231. glad - 6 uses.
232. whats - 6 uses.
233. along - 6 uses.
234. quite - 6 uses.
235. until - 6 uses.
236. enough - 6 uses.
237. moonlight - 6 uses.
238. dawn - 6 uses.
239. land - 6 uses.
240. brand - 6 uses.
241. wear - 6 uses.
242. miss - 6 uses.
243. tried - 6 uses.
244. nothin - 6 uses.
245. coming - 6 uses.
246. spent - 6 uses.
247. cold - 6 uses.
248. easton - 6 uses.
249. soon - 6 uses.
250. looks - 6 uses.
251. lights - 6 uses.
252. songs - 6 uses.
253. livin - 6 uses.
254. standing - 6 uses.
255. lines - 6 uses.
256. heard - 6 uses.
257. doing - 6 uses.
258. bossier - 6 uses.
259. gave - 6 uses.
260. wild - 6 uses.
261. babe - 6 uses.
262. trouble - 6 uses.
263. rest - 6 uses.
264. saw - 6 uses.
265. living - 6 uses.
266. cryin - 6 uses.
267. lay - 6 uses.
268. illinois - 6 uses.
269. tow - 6 uses.
270. boat - 6 uses.
271. pickin - 6 uses.
272. barges - 6 uses.
273. buy - 6 uses.
274. days - 6 uses.
275. midnight - 6 uses.
276. warned - 6 uses.
277. walls - 6 uses.
278. jimmy - 6 uses.
279. anything - 6 uses.
280. county - 6 uses.
281. crawl - 6 uses.
282. running - 6 uses.
283. ringing - 6 uses.
284. n - 6 uses.
285. curse - 6 uses.
286. afford - 6 uses.
287. wheels - 6 uses.
288. show - 5 uses.
289. empty - 5 uses.
290. shaking - 5 uses.
291. stand - 5 uses.
292. eye - 5 uses.
293. star - 5 uses.
294. weather - 5 uses.
295. rain - 5 uses.
296. singing - 5 uses.
297. shadows - 5 uses.
298. ask - 5 uses.
299. broken - 5 uses.
300. change - 5 uses.
301. year - 5 uses.
302. 10 - 5 uses.
303. fast - 5 uses.
304. diamond - 5 uses.
305. hay - 5 uses.
306. bit - 5 uses.
307. spending - 5 uses.
308. thinking - 5 uses.
309. stone - 5 uses.
310. full - 5 uses.
311. kill - 5 uses.
312. til - 5 uses.
313. blues - 5 uses.
314. black - 5 uses.
315. three - 5 uses.
316. sleep - 5 uses.
317. family - 5 uses.
318. meant - 5 uses.
319. those - 5 uses.
320. lonely - 5 uses.
321. fiddle - 5 uses.
322. ya - 5 uses.
323. blow - 5 uses.
324. nobody - 5 uses.
