Most used words by Twenty One Pilots: 
Number of songs scanned: 94

1. take - 128 uses.
2. down - 110 uses.
3. let - 94 uses.
4. need - 89 uses.
5. away - 84 uses.
6. na - 69 uses.
7. tell - 68 uses.
8. never - 64 uses.
9. mind - 63 uses.
10. keep - 63 uses.
11. fall - 62 uses.
12. think - 60 uses.
13. back - 57 uses.
14. help - 57 uses.
15. good - 51 uses.
16. life - 50 uses.
17. better - 50 uses.
18. feel - 49 uses.
19. stay - 49 uses.
20. trying - 48 uses.
21. coconut - 48 uses.
22. believe - 47 uses.
23. bah - 47 uses.
24. run - 46 uses.
25. someone - 45 uses.
26. people - 45 uses.
27. here - 45 uses.
28. around - 45 uses.
29. save - 45 uses.
30. try - 43 uses.
31. hey - 42 uses.
32. vibe - 41 uses.
33. please - 40 uses.
34. leave - 40 uses.
35. water - 39 uses.
36. sing - 38 uses.
37. used - 37 uses.
38. through - 37 uses.
39. sleep - 36 uses.
40. pride - 36 uses.
41. ever - 35 uses.
42. face - 35 uses.
43. nah - 35 uses.
44. inside - 34 uses.
45. head - 34 uses.
46. beat - 34 uses.
47. only - 33 uses.
48. moment - 33 uses.
49. alright - 33 uses.
50. might - 33 uses.
51. much - 33 uses.
52. soul - 32 uses.
53. love - 32 uses.
54. eh - 32 uses.
55. should - 31 uses.
56. about - 30 uses.
57. eyes - 30 uses.
58. straight - 30 uses.
59. chemical - 30 uses.
60. going - 30 uses.
61. fire - 30 uses.
62. over - 29 uses.
63. hear - 29 uses.
64. else - 28 uses.
65. wish - 28 uses.
66. goodbye - 28 uses.
67. world - 28 uses.
68. high - 28 uses.
69. jumpsuit - 28 uses.
70. name - 27 uses.
71. alive - 27 uses.
72. song - 27 uses.
73. heart - 27 uses.
74. hands - 27 uses.
75. ooh - 27 uses.
76. night - 26 uses.
77. alone - 26 uses.
78. play - 26 uses.
79. boy - 26 uses.
80. live - 26 uses.
81. singing - 25 uses.
82. friends - 25 uses.
83. lean - 25 uses.
84. cheetah - 25 uses.
85. something - 24 uses.
86. taking - 24 uses.
87. heard - 24 uses.
