Most used words by Tyler Childers: 
Number of songs scanned: 59

1. down - 62 uses.
2. lord - 55 uses.
3. back - 47 uses.
4. good - 42 uses.
5. through - 40 uses.
6. home - 40 uses.
7. take - 36 uses.
8. keep - 35 uses.
9. hard - 33 uses.
10. away - 30 uses.
11. alone - 29 uses.
12. love - 28 uses.
13. hold - 28 uses.
14. about - 28 uses.
15. around - 26 uses.
16. tell - 26 uses.
17. cold - 26 uses.
18. honey - 26 uses.
19. road - 25 uses.
20. town - 24 uses.
21. little - 24 uses.
22. house - 24 uses.
23. need - 23 uses.
24. here - 23 uses.
25. girl - 23 uses.
26. feel - 22 uses.
27. room - 22 uses.
28. every - 22 uses.
29. long - 22 uses.
30. pray - 21 uses.
31. leave - 21 uses.
32. right - 21 uses.
33. never - 20 uses.
34. while - 19 uses.
35. night - 19 uses.
36. baby - 19 uses.
37. let - 19 uses.
38. before - 19 uses.
39. fire - 19 uses.
40. give - 19 uses.
41. sing - 18 uses.
42. over - 18 uses.
43. ya - 18 uses.
44. think - 17 uses.
45. thing - 17 uses.
46. damn - 17 uses.
47. song - 17 uses.
48. walk - 17 uses.
49. hope - 17 uses.
50. hell - 16 uses.
51. til - 16 uses.
52. till - 16 uses.
53. high - 16 uses.
54. money - 16 uses.
55. stay - 15 uses.
56. always - 15 uses.
57. mind - 15 uses.
58. mighty - 15 uses.
59. run - 15 uses.
60. country - 14 uses.
61. bring - 14 uses.
62. days - 14 uses.
63. boy - 14 uses.
64. tryin - 14 uses.
65. ever - 14 uses.
66. much - 14 uses.
67. comes - 14 uses.
68. god - 14 uses.
69. name - 13 uses.
70. same - 13 uses.
71. trying - 13 uses.
72. wind - 13 uses.
73. remember - 13 uses.
74. river - 13 uses.
75. boys - 13 uses.
76. mine - 13 uses.
77. water - 13 uses.
78. ground - 13 uses.
79. nothin - 13 uses.
80. eyes - 12 uses.
81. help - 12 uses.
82. world - 12 uses.
83. heart - 12 uses.
84. things - 12 uses.
85. close - 12 uses.
86. took - 12 uses.
87. line - 12 uses.
88. again - 11 uses.
89. knew - 11 uses.
