Most used words by Underoath: 
Number of songs scanned: 96

1. never - 136 uses.
2. down - 94 uses.
3. here - 67 uses.
4. feel - 65 uses.
5. eyes - 65 uses.
6. love - 64 uses.
7. life - 64 uses.
8. away - 64 uses.
9. back - 62 uses.
10. god - 55 uses.
11. give - 49 uses.
12. inside - 46 uses.
13. again - 46 uses.
14. tonight - 44 uses.
15. alone - 44 uses.
16. take - 43 uses.
17. nothing - 41 uses.
18. let - 40 uses.
19. heart - 40 uses.
20. face - 38 uses.
21. wake - 37 uses.
22. sleep - 36 uses.
23. over - 36 uses.
24. left - 35 uses.
25. through - 33 uses.
26. lost - 33 uses.
27. end - 33 uses.
28. thought - 31 uses.
29. world - 31 uses.
30. dreaming - 31 uses.
31. only - 30 uses.
32. myself - 30 uses.
33. right - 30 uses.
34. night - 30 uses.
35. head - 29 uses.
36. wrong - 29 uses.
37. alive - 29 uses.
38. hell - 28 uses.
39. yourself - 28 uses.
40. swear - 28 uses.
41. every - 28 uses.
42. around - 28 uses.
43. okay - 28 uses.
44. last - 27 uses.
45. believe - 27 uses.
46. home - 27 uses.
47. before - 26 uses.
48. watch - 26 uses.
49. hands - 26 uses.
50. think - 25 uses.
51. help - 24 uses.
52. hand - 24 uses.
53. place - 24 uses.
54. hold - 24 uses.
55. walk - 24 uses.
56. drowning - 24 uses.
57. reason - 23 uses.
58. fall - 23 uses.
59. lights - 22 uses.
60. open - 22 uses.
61. enough - 22 uses.
62. hate - 22 uses.
63. fear - 22 uses.
64. something - 22 uses.
65. words - 21 uses.
66. keep - 21 uses.
67. hope - 21 uses.
68. turn - 21 uses.
69. ever - 21 uses.
70. long - 21 uses.
71. lord - 20 uses.
72. thing - 20 uses.
73. hear - 20 uses.
74. gave - 20 uses.
75. breath - 19 uses.
76. taste - 19 uses.
77. christ - 19 uses.
78. stand - 19 uses.
79. mind - 18 uses.
80. scared - 18 uses.
81. own - 18 uses.
82. maybe - 18 uses.
83. past - 18 uses.
84. body - 17 uses.
85. please - 17 uses.
86. safe - 17 uses.
87. free - 17 uses.
88. new - 17 uses.
89. cut - 17 uses.
90. death - 16 uses.
91. change - 16 uses.
92. breathe - 16 uses.
93. run - 16 uses.
94. wanted - 16 uses.
95. real - 16 uses.
96. late - 16 uses.
97. dead - 16 uses.
98. because - 16 uses.
99. gone - 16 uses.
100. living - 16 uses.
101. done - 16 uses.
102. high - 16 uses.
103. shut - 16 uses.
104. people - 15 uses.
105. always - 15 uses.
106. hey - 15 uses.
107. close - 15 uses.
108. coming - 15 uses.
109. white - 15 uses.
110. light - 15 uses.
111. someone - 14 uses.
112. show - 14 uses.
113. everything - 14 uses.
114. might - 14 uses.
115. put - 14 uses.
116. turned - 14 uses.
117. should - 14 uses.
118. tell - 14 uses.
119. wait - 14 uses.
120. afraid - 14 uses.
121. turning - 14 uses.
122. speak - 14 uses.
123. once - 14 uses.
124. together - 14 uses.
125. middle - 14 uses.
126. burn - 13 uses.
127. whole - 13 uses.
128. good - 13 uses.
129. anymore - 13 uses.
130. chance - 13 uses.
131. dreams - 13 uses.
132. sun - 13 uses.
133. side - 13 uses.
134. apart - 13 uses.
135. pray - 13 uses.
136. things - 13 uses.
137. hard - 13 uses.
138. both - 13 uses.
139. lets - 13 uses.
140. even - 12 uses.
