Most used words by Violent Soho: 
Number of songs scanned: 50

1. take - 60 uses.
2. again - 56 uses.
3. love - 47 uses.
4. eyes - 47 uses.
5. never - 42 uses.
6. away - 39 uses.
7. down - 37 uses.
8. let - 37 uses.
9. alright - 34 uses.
10. fur - 34 uses.
11. feel - 33 uses.
12. high - 33 uses.
13. waiting - 32 uses.
14. here - 29 uses.
15. head - 27 uses.
16. fall - 27 uses.
17. right - 27 uses.
18. sound - 26 uses.
19. god - 24 uses.
20. pick - 24 uses.
21. alone - 23 uses.
22. through - 23 uses.
23. save - 22 uses.
24. night - 21 uses.
25. generation - 21 uses.
26. fucking - 20 uses.
27. wave - 20 uses.
28. easy - 20 uses.
29. world - 19 uses.
30. screaming - 19 uses.
31. tell - 19 uses.
32. need - 18 uses.
33. leave - 17 uses.
34. while - 16 uses.
35. cmon - 16 uses.
36. life - 16 uses.
37. heat - 16 uses.
38. nothing - 16 uses.
39. every - 16 uses.
40. mind - 16 uses.
41. wish - 16 uses.
42. ever - 15 uses.
43. fuck - 15 uses.
44. only - 15 uses.
45. give - 15 uses.
46. heavy - 15 uses.
47. lets - 15 uses.
48. back - 14 uses.
49. control - 14 uses.
50. falling - 14 uses.
51. heart - 14 uses.
52. answer - 14 uses.
53. everything - 14 uses.
54. stop - 14 uses.
55. breathe - 13 uses.
56. care - 13 uses.
57. always - 13 uses.
58. makes - 13 uses.
59. house - 13 uses.
60. start - 13 uses.
61. teenage - 13 uses.
62. riot - 13 uses.
63. stay - 12 uses.
64. theyll - 12 uses.
65. around - 12 uses.
66. happy - 12 uses.
67. cut - 12 uses.
68. own - 12 uses.
69. even - 12 uses.
70. simple - 12 uses.
71. neighbour - 12 uses.
72. honey - 12 uses.
73. son - 12 uses.
74. king - 12 uses.
75. apart - 12 uses.
76. inside - 11 uses.
77. outside - 11 uses.
78. run - 11 uses.
79. home - 11 uses.
80. jesus - 11 uses.
81. staring - 11 uses.
82. fire - 11 uses.
83. slow - 11 uses.
84. end - 11 uses.
85. friend - 11 uses.
86. leads - 11 uses.
87. same - 10 uses.
88. gone - 10 uses.
89. line - 10 uses.
90. understand - 10 uses.
91. free - 10 uses.
92. keep - 10 uses.
93. leaving - 10 uses.
94. soul - 10 uses.
95. feels - 10 uses.
96. next - 10 uses.
97. hate - 9 uses.
98. burn - 9 uses.
99. kept - 9 uses.
100. floor - 9 uses.
101. someone - 9 uses.
102. does - 9 uses.
103. air - 9 uses.
104. place - 9 uses.
105. pretty - 9 uses.
106. hollow - 9 uses.
107. shut - 9 uses.
108. taste - 9 uses.
109. earth - 9 uses.
110. stole - 9 uses.
111. skin - 8 uses.
112. knees - 8 uses.
113. everythings - 8 uses.
114. last - 8 uses.
115. hard - 8 uses.
116. tried - 8 uses.
117. face - 8 uses.
