Most used words by  Warren Zevon: 
Number of songs scanned: 157

1. down - 252 uses.
2. well - 103 uses.
3. long - 99 uses.
4. let - 91 uses.
5. love - 88 uses.
6. gonna - 88 uses.
7. want - 85 uses.
8. run - 82 uses.
9. night - 81 uses.
10. back - 73 uses.
11. de - 71 uses.
12. never - 63 uses.
13. hold - 59 uses.
14. take - 58 uses.
15. here - 57 uses.
16. heart - 56 uses.
17. little - 55 uses.
18. tell - 54 uses.
19. keep - 53 uses.
20. risky - 51 uses.
21. stand - 50 uses.
22. home - 49 uses.
23. around - 48 uses.
24. pay - 47 uses.
25. going - 47 uses.
26. used - 46 uses.
27. where - 44 uses.
28. feel - 44 uses.
29. through - 44 uses.
30. again - 44 uses.
31. theres - 43 uses.
32.  - 43 uses.
33. right - 42 uses.
34. leave - 41 uses.
35. away - 40 uses.
36. dead - 40 uses.
37. riding - 38 uses.
38. rain - 37 uses.
39. nothing - 37 uses.
40. monkey - 36 uses.
41. looking - 36 uses.
42. fire - 36 uses.
43. life - 35 uses.
44. boy - 35 uses.
45. thing - 34 uses.
46. ride - 34 uses.
47. still - 34 uses.
48. house - 34 uses.
49. poor - 33 uses.
50. id - 33 uses.
51. bad - 33 uses.
52. hard - 32 uses.
53. waiting - 32 uses.
54. alone - 31 uses.
55. old - 31 uses.
56. every - 31 uses.
57. youll - 31 uses.
58. girl - 31 uses.
59. hey - 30 uses.
60. baby - 30 uses.
61. town - 29 uses.
62. always - 29 uses.
63. think - 29 uses.
64. need - 29 uses.
65. came - 28 uses.
66. went - 28 uses.
67. someone - 28 uses.
68. two - 28 uses.
69. trying - 28 uses.
70. might - 28 uses.
71. bo - 28 uses.
72. left - 27 uses.
73. over - 27 uses.
74. took - 27 uses.
75. saw - 27 uses.
76. heard - 27 uses.
77. high - 27 uses.
78. grab - 27 uses.
79. door - 26 uses.
80. good - 26 uses.
81. try - 26 uses.
82. young - 25 uses.
83. change - 25 uses.
84. place - 25 uses.
85. sun - 24 uses.
86. even - 24 uses.
87. name - 24 uses.
88. dirty - 24 uses.
89. stay - 24 uses.
90. free - 24 uses.
91. another - 24 uses.
92. something - 23 uses.
93. put - 23 uses.
94. between - 23 uses.
95. face - 23 uses.
96. friend - 23 uses.
97. done - 23 uses.
98. heres - 23 uses.
99. mama - 23 uses.
100. radio - 23 uses.
101. nobody - 22 uses.
102. wind - 22 uses.
103. head - 22 uses.
104. song - 22 uses.
105. hand - 22 uses.
106. em - 22 uses.
107. rest - 22 uses.
108. sleep - 22 uses.
109. best - 21 uses.
110. knock - 21 uses.
111. walking - 21 uses.
112. wild - 21 uses.
113. whats - 20 uses.
114. hear - 20 uses.
115. boom - 20 uses.
116. mean - 20 uses.
117. party - 20 uses.
118. farm - 20 uses.
119. bed - 20 uses.
120. lord - 20 uses.
121. woman - 20 uses.
122. road - 20 uses.
123. rock - 20 uses.
124. yes - 20 uses.
125. roll - 20 uses.
126. happen - 20 uses.
127. behind - 19 uses.
128. til - 19 uses.
129. line - 19 uses.
130. work - 19 uses.
131. next - 19 uses.
132. stop - 19 uses.
133. better - 19 uses.
134. die - 19 uses.
135. days - 19 uses.
136. lets - 19 uses.
137. de-de-de-de-de - 19 uses.
138. while - 18 uses.
139. - - 18 uses.
140. gun - 18 uses.
141. last - 18 uses.
142. years - 18 uses.
143. blues - 18 uses.
144. pretty - 18 uses.
145. fall - 18 uses.
146. mine - 18 uses.
147. trouble - 18 uses.
148. quit - 18 uses.
149. heartache - 18 uses.
150. mohammeds - 18 uses.
151. workin - 18 uses.
152. chain - 17 uses.
153. maybe - 17 uses.
154. hurry - 17 uses.
155. hell - 17 uses.
156. lightning - 17 uses.
157. live - 17 uses.
158. play - 17 uses.
159. things - 17 uses.
160. couldnt - 17 uses.
161. pain - 17 uses.
162. morning - 17 uses.
163. start - 17 uses.
164. eyes - 17 uses.
165. gets - 16 uses.
166. everything - 16 uses.
167. please - 16 uses.
168. bring - 16 uses.
169. thought - 16 uses.
170. till - 16 uses.
171. shake - 16 uses.
172. sweet - 16 uses.
173. poisonous - 16 uses.
174. lookalike - 16 uses.
175. mans - 16 uses.
176. tied - 15 uses.
177. should - 15 uses.
178. only - 15 uses.
179. honey - 15 uses.
180. light - 15 uses.
181. world - 15 uses.
182. without - 15 uses.
183. mind - 15 uses.
184. money - 15 uses.
185. wanted - 15 uses.
186. met - 15 uses.
187. seen - 15 uses.
188. singing - 15 uses.
189. diddley - 15 uses.
190. battleship - 14 uses.
191. fifty - 14 uses.
192. foot - 14 uses.
193. two-ton - 14 uses.
194. anchor - 14 uses.
195. knew - 14 uses.
196. called - 14 uses.
197. brought - 14 uses.
198. talk - 14 uses.
199. everybodys - 14 uses.
200. against - 14 uses.
201. doing - 14 uses.
202. care - 14 uses.
203. black - 14 uses.
204. charlie - 14 uses.
205. today - 14 uses.
206. comes - 14 uses.
207. swear - 14 uses.
208. running - 14 uses.
209. hang - 14 uses.
210. straight - 14 uses.
211. werewolves - 14 uses.
212. chance - 14 uses.
213. pitiful - 14 uses.
214. somebody - 13 uses.
215. much - 13 uses.
216. told - 13 uses.
217. kill - 13 uses.
218. ask - 13 uses.
219. working - 13 uses.
220. cut - 13 uses.
221. kind - 13 uses.
222. falling - 13 uses.
223. turned - 13 uses.
224. train - 13 uses.
225. true - 13 uses.
226. follow - 13 uses.
227. turn - 13 uses.
228. god - 13 uses.
229. spoken - 13 uses.
230. ever - 13 uses.
