Most used words by Watsky: 
Number of songs scanned: 117

1. never - 168 uses.
2. every - 121 uses.
3. down - 112 uses.
4. love - 111 uses.
5. shit - 107 uses.
6. back - 103 uses.
7. think - 98 uses.
8. fuck - 98 uses.
9. give - 94 uses.
10. because - 84 uses.
11. em - 80 uses.
12. gotta - 78 uses.
13. really - 76 uses.
14. right - 75 uses.
15. need - 71 uses.
16. life - 70 uses.
17. ever - 69 uses.
18. about - 68 uses.
19. take - 68 uses.
20. people - 68 uses.
21. better - 67 uses.
22. through - 66 uses.
23. little - 62 uses.
24. here - 60 uses.
25. much - 59 uses.
26. before - 59 uses.
27. let - 58 uses.
28. good - 57 uses.
29. other - 56 uses.
30. nothing - 56 uses.
31. tell - 54 uses.
32. put - 54 uses.
33. lets - 53 uses.
34. while - 53 uses.
35. again - 53 uses.
36. first - 51 uses.
37. maybe - 51 uses.
38. feel - 50 uses.
39. heart - 50 uses.
40. looking - 50 uses.
41. name - 48 uses.
42. until - 47 uses.
43. over - 47 uses.
44. mean - 46 uses.
45. getting - 46 uses.
46. run - 46 uses.
47. something - 44 uses.
48. new - 44 uses.
49. pick - 43 uses.
50. around - 43 uses.
51. long - 42 uses.
52. even - 42 uses.
53. only - 41 uses.
54. thought - 41 uses.
55. fucking - 39 uses.
56. god - 39 uses.
57. hard - 38 uses.
58. ass - 38 uses.
59. hear - 38 uses.
60. another - 38 uses.
61. undermine - 38 uses.
62. try - 37 uses.
63. pretty - 36 uses.
64. keep - 35 uses.
65. world - 35 uses.
66. 4 - 35 uses.
67. best - 34 uses.
68. same - 34 uses.
69. city - 34 uses.
70. might - 34 uses.
71. going - 34 uses.
72. hit - 34 uses.
73. isnt - 33 uses.
74. thinking - 33 uses.
75. show - 33 uses.
76. women - 33 uses.
77. family - 33 uses.
78. hand - 33 uses.
79. real - 33 uses.
80. till - 32 uses.
81. couldnt - 32 uses.
82. bit - 32 uses.
83. play - 32 uses.
84. damn - 32 uses.
85. mind - 32 uses.
86. away - 31 uses.
87. lot - 31 uses.
88. sun - 31 uses.
89. should - 31 uses.
90. inside - 31 uses.
91. being - 31 uses.
92. baby - 31 uses.
93. years - 31 uses.
94. big - 31 uses.
95. under - 31 uses.
96. thing - 31 uses.
97. black - 31 uses.
98. end - 31 uses.
99. whatever - 31 uses.
100. always - 30 uses.
101. living - 30 uses.
102. went - 30 uses.
103. stop - 30 uses.
104. hold - 30 uses.
105. watch - 30 uses.
106. full - 30 uses.
