Most used words by Weezer: 
Number of songs scanned: 284

1. love - 377 uses.
2. back - 268 uses.
3. never - 243 uses.
4. down - 238 uses.
5. away - 215 uses.
6. good - 199 uses.
7. take - 193 uses.
8. girl - 193 uses.
9. let - 192 uses.
10. feel - 175 uses.
11. ooh - 165 uses.
12. think - 164 uses.
13. give - 138 uses.
14. need - 136 uses.
15. night - 130 uses.
16. here - 126 uses.
17. life - 120 uses.
18. hey - 116 uses.
19. heart - 110 uses.
20. world - 108 uses.
21. whoa - 104 uses.
22. going - 99 uses.
23. right - 98 uses.
24. tell - 97 uses.
25. alone - 96 uses.
26. around - 93 uses.
27. mind - 93 uses.
28. girls - 92 uses.
29. even - 88 uses.
30. friend - 88 uses.
31. about - 88 uses.
32. thought - 87 uses.
33. waiting - 87 uses.
34. baby - 87 uses.
35. keep - 86 uses.
36. much - 85 uses.
37. turn - 84 uses.
38. only - 83 uses.
39. home - 82 uses.
40. over - 77 uses.
41. really - 72 uses.
42. together - 72 uses.
43. care - 70 uses.
44. long - 70 uses.
45. put - 69 uses.
46. die - 69 uses.
47. hurt - 68 uses.
48. always - 67 uses.
49. other - 67 uses.
50. everyone - 66 uses.
51. everybody - 63 uses.
52. summer - 63 uses.
53. true - 62 uses.
54. hold - 61 uses.
55. things - 60 uses.
56. best - 60 uses.
57. friends - 60 uses.
58. hang - 59 uses.
59. truth - 59 uses.
60. something - 59 uses.
61. believe - 58 uses.
62. sing - 58 uses.
63. thing - 57 uses.
64. ever - 57 uses.
65. hear - 57 uses.
66. everything - 56 uses.
67. fall - 56 uses.
68. nobody - 56 uses.
69. walk - 56 uses.
70. gone - 55 uses.
71. little - 55 uses.
72. tonight - 55 uses.
73. sweet - 54 uses.
74. again - 54 uses.
75. please - 54 uses.
76. every - 54 uses.
77. wrong - 53 uses.
78. eyes - 53 uses.
79. face - 53 uses.
80. stop - 51 uses.
81. head - 51 uses.
82. happy - 51 uses.
83. through - 50 uses.
84. lets - 50 uses.
85. without - 50 uses.
86. mine - 50 uses.
87. stay - 49 uses.
88. pain - 47 uses.
89. end - 47 uses.
90. round - 47 uses.
91. words - 47 uses.
92. bad - 47 uses.
93. before - 47 uses.
94. lonely - 47 uses.
95. old - 46 uses.
96. people - 45 uses.
97. found - 45 uses.
98. should - 45 uses.
99. floor - 45 uses.
100. needs - 45 uses.
101. play - 44 uses.
102. dreams - 44 uses.
103. show - 44 uses.
104. because - 44 uses.
105. else - 43 uses.
106. cool - 42 uses.
107. place - 42 uses.
108. lot - 42 uses.
109. whats - 42 uses.
110. married - 42 uses.
111. days - 42 uses.
112. ah - 41 uses.
113. gotta - 41 uses.
114. youd - 40 uses.
115. enough - 39 uses.
116. rock - 39 uses.
117. start - 39 uses.
118. anymore - 39 uses.
119. stand - 39 uses.
120. any - 39 uses.
121. getchoo - 39 uses.
122. sad - 38 uses.
123. turning - 38 uses.
124. weve - 37 uses.
125. maybe - 37 uses.
126. cold - 37 uses.
127. songs - 37 uses.
128. leave - 37 uses.
129. meet - 37 uses.
130. better - 36 uses.
131. god - 36 uses.
132. high - 36 uses.
133. break - 36 uses.
134. feeling - 36 uses.
135. came - 36 uses.
136. getting - 36 uses.
137. singing - 35 uses.
138. hip - 35 uses.
139. sometimes - 35 uses.
140. live - 35 uses.
141. new - 35 uses.
142. track - 35 uses.
143. anything - 35 uses.
144. left - 35 uses.
145. loves - 34 uses.
146. last - 34 uses.
147. might - 34 uses.
148. morning - 34 uses.
149. told - 34 uses.
150. until - 33 uses.
151. door - 33 uses.
152. feels - 33 uses.
153. try - 33 uses.
154. making - 33 uses.
155. fight - 32 uses.
156. went - 32 uses.
157. since - 32 uses.
158. hate - 32 uses.
159. boy - 32 uses.
160. inside - 32 uses.
161. song - 32 uses.
162. king - 32 uses.
163. help - 32 uses.
164. blue - 32 uses.
165. sorry - 31 uses.
166. makes - 31 uses.
167. own - 31 uses.
168. light - 31 uses.
169. hit - 31 uses.
170. stupid - 31 uses.
171. hope - 31 uses.
172. nothing - 30 uses.
173. sun - 30 uses.
174. name - 30 uses.
175. falling - 30 uses.
176. cry - 29 uses.
177. run - 29 uses.
178. sleep - 29 uses.
179. used - 29 uses.
180. mean - 29 uses.
181. wanted - 29 uses.
182. yourself - 29 uses.
183. gimme - 29 uses.
184. coming - 28 uses.
185. straight - 28 uses.
186. dance - 28 uses.
187. alright - 28 uses.
188. far - 28 uses.
189. running - 28 uses.
190. kick - 28 uses.
191. side - 28 uses.
192. partying - 28 uses.
193. dumb - 27 uses.
194. tried - 27 uses.
195. trying - 27 uses.
196. hot - 27 uses.
197. favorite - 27 uses.
198. next - 27 uses.
199. year - 27 uses.
200. peace - 27 uses.
201. mad - 27 uses.
202. miss - 27 uses.
203. chance - 26 uses.
204. bout - 26 uses.
205. hurts - 26 uses.
206. drugs - 26 uses.
207. car - 26 uses.
208. another - 25 uses.
209. ride - 25 uses.
210. such - 25 uses.
211. boys - 25 uses.
212. myself - 25 uses.
213. read - 25 uses.
214. behind - 25 uses.
215. yes - 25 uses.
216. living - 25 uses.
217. scrub - 25 uses.
218. dangerous - 25 uses.
219. ground - 24 uses.
220. real - 24 uses.
221. smile - 24 uses.
222. hand - 24 uses.
223. hair - 24 uses.
224. swear - 24 uses.
225. lost - 24 uses.
226. looking - 24 uses.
227. american - 24 uses.
228. times - 23 uses.
229. broken - 23 uses.
230. insane - 23 uses.
231. hard - 23 uses.
232. minds - 23 uses.
233. pink - 23 uses.
234. control - 23 uses.
235. watch - 23 uses.
236. kiss - 23 uses.
237. reach - 23 uses.
238. bring - 23 uses.
239. work - 23 uses.
240. dream - 23 uses.
241. though - 22 uses.
242. knew - 22 uses.
243. move - 22 uses.
244. beautiful - 22 uses.
245. fun - 22 uses.
246. wish - 22 uses.
247. someone - 22 uses.
248. family - 22 uses.
249. sky - 22 uses.
250. wake - 22 uses.
251. rosanna - 22 uses.
252. jamie - 22 uses.
253. easy - 22 uses.
254. load - 22 uses.
255. game - 21 uses.
256. done - 21 uses.
257. thank - 21 uses.
258. deep - 21 uses.
259. bother - 21 uses.
260. open - 21 uses.
261. big - 21 uses.
262. late - 21 uses.
263. lived - 21 uses.
