Most used words by White Reaper: 
Number of songs scanned: 40

1. only - 40 uses.
2. think - 37 uses.
3. never - 34 uses.
4. tell - 34 uses.
5. shadow - 31 uses.
6. down - 29 uses.
7. gotta - 29 uses.
8. feel - 27 uses.
9. good - 27 uses.
10. real - 27 uses.
11. long - 27 uses.
12. things - 25 uses.
13. keep - 25 uses.
14. slow - 24 uses.
15. take - 24 uses.
16. away - 23 uses.
17. hard - 22 uses.
18. same - 22 uses.
19. anymore - 21 uses.
20. here - 20 uses.
21. eyes - 20 uses.
22. back - 20 uses.
23. conspirator - 20 uses.
24. right - 19 uses.
25. little - 19 uses.
26. another - 19 uses.
27. should - 19 uses.
28. let - 18 uses.
29. nothing - 18 uses.
30. really - 17 uses.
31. night - 16 uses.
32. sheila - 16 uses.
33. alone - 15 uses.
34. mind - 15 uses.
35. wait - 15 uses.
36. em - 14 uses.
37. around - 14 uses.
38. always - 14 uses.
39. girl - 14 uses.
40. lights - 13 uses.
41. heart - 13 uses.
42. dance - 12 uses.
43. cry - 12 uses.
44. alright - 12 uses.
45. told - 12 uses.
46. took - 12 uses.
47. ever - 12 uses.
48. leave - 11 uses.
49. die - 11 uses.
50. love - 11 uses.
51. hands - 11 uses.
52. ya - 11 uses.
53. cool - 10 uses.
54. cares - 10 uses.
55. try - 10 uses.
56. fun - 10 uses.
57. much - 10 uses.
58. myself - 10 uses.
59. blue - 10 uses.
60. hey - 10 uses.
61. looks - 10 uses.
62. head - 10 uses.
63. settle - 10 uses.
64. sad - 10 uses.
65. true - 10 uses.
66. talk - 9 uses.
67. again - 9 uses.
68. life - 9 uses.
69. pain - 9 uses.
70. hate - 9 uses.
71. couldnt - 9 uses.
72. need - 9 uses.
73. going - 9 uses.
74. trying - 9 uses.
75. dream - 9 uses.
76. headwind - 8 uses.
77. short - 8 uses.
78. care - 8 uses.
79. four - 8 uses.
80. believe - 8 uses.
81. over - 8 uses.
82. believes - 8 uses.
83. stop - 8 uses.
84. home - 8 uses.
85. something - 8 uses.
86. name - 8 uses.
87. different - 8 uses.
88. times - 8 uses.
89. kids - 8 uses.
90. even - 7 uses.
91. before - 7 uses.
92. play - 7 uses.
93. quit - 7 uses.
94. house - 7 uses.
95. tried - 7 uses.
96. stay - 7 uses.
97. outside - 7 uses.
98. smile - 7 uses.
99. luck - 7 uses.
100. tired - 7 uses.
101. help - 7 uses.
102. light - 7 uses.
103. forget - 7 uses.
104. every - 7 uses.
105. people - 7 uses.
106. maybe - 7 uses.
107. face - 6 uses.
108. girls - 6 uses.
109. mine - 6 uses.
110. hell - 6 uses.
111. those - 6 uses.
112. onto - 6 uses.
113. golden - 6 uses.
114. straight - 6 uses.
115. screaming - 6 uses.
116. turns - 6 uses.
117. realize - 6 uses.
118. thought - 6 uses.
119. simple - 6 uses.
120. floor - 6 uses.
121. close - 6 uses.
122. listen - 6 uses.
123. else - 6 uses.
124. while - 6 uses.
125. yourself - 6 uses.
126. left - 6 uses.
127. forever - 6 uses.
128. sitting - 6 uses.
129. old - 6 uses.
130. live - 6 uses.
131. walk - 6 uses.
132. sleep - 5 uses.
133. sky - 5 uses.
134. work - 5 uses.
135. boys - 5 uses.
136. might - 5 uses.
137. till - 5 uses.
138. talking - 5 uses.
139. matter - 5 uses.
140. fall - 5 uses.
141. front - 5 uses.
142. shake - 5 uses.
143. guess - 5 uses.
144. getting - 5 uses.
145. bad - 5 uses.
146. next - 5 uses.
147. children - 5 uses.
148. sold - 5 uses.
149. lean - 5 uses.
150. give - 5 uses.
151. other - 5 uses.
152. teeth - 5 uses.
153. both - 5 uses.
154. nobody - 5 uses.
155. ride - 5 uses.
156. bed - 5 uses.
157. better - 5 uses.
158. about - 5 uses.
159. change - 5 uses.
160. cold - 5 uses.
161. living - 5 uses.
162. spend - 5 uses.
163. kicked - 5 uses.
164. high - 4 uses.
165. inside - 4 uses.
166. twice - 4 uses.
167. theyll - 4 uses.
168. hear - 4 uses.
169. running - 4 uses.
170. town - 4 uses.
171. kid - 4 uses.
172. soul - 4 uses.
173. itd - 4 uses.
174. first - 4 uses.
175. pills - 4 uses.
176. mess - 4 uses.
177. through - 4 uses.
178. shirt - 4 uses.
179. years - 4 uses.
180. lose - 4 uses.
181. baby - 4 uses.
182. raindrops - 4 uses.
183. game - 4 uses.
184. ghost - 4 uses.
185. sing - 4 uses.
186. along - 4 uses.
187. ought - 4 uses.
188. control - 4 uses.
189. pay - 4 uses.
190. walking - 4 uses.
191. crack - 4 uses.
192. read - 4 uses.
193. message - 4 uses.
194. playing - 4 uses.
195. tame - 4 uses.
196. tonight - 4 uses.
197. kill - 4 uses.
198. boots - 4 uses.
199. tv - 4 uses.
200. fight - 4 uses.
201. must - 4 uses.
202. dead - 4 uses.
203. stone - 4 uses.
204. throne - 4 uses.
205. roses - 4 uses.
206. babe - 4 uses.
207. sure - 4 uses.
208. candy - 4 uses.
209. black - 4 uses.
210. few - 4 uses.
211. somebody - 4 uses.
212. drive - 4 uses.
213. far - 4 uses.
214. hellride - 4 uses.
215. bullets - 4 uses.
216. curbside - 4 uses.
217. everything - 4 uses.
218. story - 4 uses.
219. brought - 3 uses.
220. knew - 3 uses.
221. used - 3 uses.
222. place - 3 uses.
223. worry - 3 uses.
224. pretty - 3 uses.
225. room - 3 uses.
226. boy - 3 uses.
227. cards - 3 uses.
228. stack - 3 uses.
