Most used words by Wilco: 
Number of songs scanned: 212

1. love - 145 uses.
2. never - 112 uses.
3. back - 79 uses.
4. down - 77 uses.
5. lose - 76 uses.
6. high - 75 uses.
7. every - 71 uses.
8. let - 70 uses.
9. tell - 68 uses.
10. ever - 65 uses.
11. right - 64 uses.
12. again - 64 uses.
13. home - 61 uses.
14. think - 60 uses.
15. away - 57 uses.
16. good - 56 uses.
17. cry - 56 uses.
18. alone - 55 uses.
19. world - 54 uses.
20. take - 53 uses.
21. here - 53 uses.
22. always - 52 uses.
23. heart - 51 uses.
24. long - 50 uses.
25. light - 50 uses.
26. feel - 50 uses.
27. mind - 49 uses.
28. everybody - 49 uses.
29. night - 46 uses.
30. little - 46 uses.
31. over - 45 uses.
32. die - 45 uses.
33. lets - 43 uses.
34. only - 43 uses.
35. myself - 43 uses.
36. about - 42 uses.
37. need - 42 uses.
38. maybe - 42 uses.
39. thing - 41 uses.
40. change - 41 uses.
41. white - 40 uses.
42. old - 39 uses.
43. gone - 38 uses.
44. any - 38 uses.
45. something - 38 uses.
46. things - 37 uses.
47. lies - 36 uses.
48. mine - 36 uses.
49. eyes - 36 uses.
50. honey - 36 uses.
51. black - 36 uses.
52. blue - 35 uses.
53. might - 35 uses.
54. sing - 35 uses.
55. alright - 35 uses.
56. dream - 34 uses.
57. blood - 34 uses.
58. true - 34 uses.
59. sad - 34 uses.
60. sun - 34 uses.
61. against - 34 uses.
62. believe - 33 uses.
63. hear - 33 uses.
64. turn - 33 uses.
65. around - 33 uses.
66. should - 33 uses.
67. people - 32 uses.
68. apart - 31 uses.
69. fight - 31 uses.
70. before - 31 uses.
71. life - 31 uses.
72. try - 31 uses.
73. law - 31 uses.
74. bound - 31 uses.
75. miss - 30 uses.
76. hand - 29 uses.
77. through - 29 uses.
78. care - 29 uses.
79. even - 29 uses.
80. okay - 28 uses.
81. bed - 28 uses.
82. song - 28 uses.
83. hold - 28 uses.
84. baby - 27 uses.
85. last - 27 uses.
86. without - 27 uses.
87. keep - 27 uses.
88. sea - 27 uses.
89. stars - 27 uses.
90. nothing - 27 uses.
91. everything - 27 uses.
92. almost - 26 uses.
93. mean - 26 uses.
94. much - 26 uses.
95. new - 26 uses.
96. behind - 26 uses.
97. thinking - 26 uses.
98. war - 26 uses.
99. morning - 26 uses.
100. forget - 26 uses.
101. stand - 25 uses.
102. wish - 25 uses.
103. end - 25 uses.
104. side - 25 uses.
105. far - 24 uses.
106. inside - 24 uses.
107. head - 24 uses.
108. cold - 24 uses.
109. whats - 24 uses.
110. kiss - 24 uses.
111. help - 24 uses.
112. outta - 24 uses.
113. stay - 24 uses.
114. dreams - 23 uses.
115. understand - 23 uses.
116. tonight - 23 uses.
117. remember - 23 uses.
118. together - 23 uses.
119. done - 23 uses.
120. guess - 23 uses.
121. fascists - 23 uses.
122. those - 22 uses.
123. lost - 22 uses.
124. soul - 22 uses.
125. nobody - 22 uses.
126. sky - 22 uses.
127. leave - 22 uses.
128. left - 22 uses.
129. enough - 22 uses.
130. big - 22 uses.
131. someday - 22 uses.
132. hard - 21 uses.
133. once - 21 uses.
134. shine - 21 uses.
135. days - 21 uses.
136. lonely - 21 uses.
137. sometimes - 21 uses.
138. ahead - 21 uses.
139. past - 21 uses.
140. above - 21 uses.
141. seen - 20 uses.
142. being - 20 uses.
143. anything - 20 uses.
144. wrong - 20 uses.
145. goodbye - 20 uses.
146. union - 20 uses.
147. secret - 20 uses.
148. another - 19 uses.
149. found - 19 uses.
150. singing - 19 uses.
151. anymore - 19 uses.
152. name - 19 uses.
153. bad - 19 uses.
154. half - 19 uses.
155. feeling - 18 uses.
156. give - 18 uses.
157. roll - 18 uses.
158. free - 18 uses.
159. better - 18 uses.
160. hate - 18 uses.
161. skip - 18 uses.
162. watch - 18 uses.
163. known - 18 uses.
164. please - 18 uses.
165. really - 17 uses.
166. thought - 17 uses.
167. fall - 17 uses.
168. used - 17 uses.
169. live - 17 uses.
170. while - 17 uses.
171. wind - 17 uses.
172. must - 17 uses.
173. someone - 17 uses.
174. hope - 17 uses.
175. best - 17 uses.
176. wouldnt - 17 uses.
177. washed - 17 uses.
178. dark - 16 uses.
179. kind - 16 uses.
180. door - 16 uses.
181. phone - 16 uses.
182. wonder - 16 uses.
183. leaves - 16 uses.
184. felt - 16 uses.
185. everyone - 16 uses.
186. friends - 16 uses.
187. words - 16 uses.
188. ah - 16 uses.
189. set - 16 uses.
190. loves - 16 uses.
191. family - 16 uses.
192. along - 16 uses.
193. sure - 15 uses.
194. going - 15 uses.
195. coming - 15 uses.
196. couldnt - 14 uses.
197. boy - 14 uses.
198. hot - 14 uses.
199. show - 14 uses.
200. kill - 14 uses.
201. run - 14 uses.
202. after - 14 uses.
203. sweet - 14 uses.
204. because - 14 uses.
205. face - 14 uses.
206. fly - 14 uses.
207. friend - 14 uses.
208. hearts - 13 uses.
209. stop - 13 uses.
210. tried - 13 uses.
211. yourself - 13 uses.
212. tear - 13 uses.
213. girl - 13 uses.
214. times - 13 uses.
215. california - 13 uses.
216. under - 13 uses.
217. same - 13 uses.
218. today - 13 uses.
219. kids - 13 uses.
220. playing - 13 uses.
221. late - 13 uses.
222. smile - 13 uses.
223. arm - 13 uses.
224. snow - 13 uses.
225. random - 13 uses.
226. slow - 13 uses.
227. joe - 13 uses.
228. rock - 12 uses.
229. trying - 12 uses.
230. play - 12 uses.
231. open - 12 uses.
232. hair - 12 uses.
233. gets - 12 uses.
234. clean - 12 uses.
235. laid - 12 uses.
236. read - 12 uses.
237. listening - 12 uses.
238. tree - 12 uses.
239. listen - 12 uses.
240. lay - 12 uses.
241. hang - 12 uses.
242. lot - 12 uses.
243. makes - 12 uses.
244. trees - 12 uses.
245. sound - 12 uses.
246. japan - 12 uses.
247. tired - 12 uses.
248. fell - 12 uses.
249. wilco - 12 uses.
250. clouds - 12 uses.
251. afraid - 12 uses.
252. below - 12 uses.
253. born - 12 uses.
254. nothings - 12 uses.
255. nora - 12 uses.
256. lee - 12 uses.
257. working - 11 uses.
258. broken - 11 uses.
259. goes - 11 uses.
260. getting - 11 uses.
261. dead - 11 uses.
262. shake - 11 uses.
263. youd - 11 uses.
264. walk - 11 uses.
265. says - 11 uses.
266. somebody - 11 uses.
267. funny - 11 uses.
268. escape - 11 uses.
269. songs - 11 uses.
270. yours - 11 uses.
271. pretty - 11 uses.
272. soon - 11 uses.
273. write - 11 uses.
274. school - 11 uses.
275. move - 11 uses.
276. won - 11 uses.
277. shouldnt - 11 uses.
278. ingrid - 11 uses.
279. bergman - 11 uses.
280. whole - 10 uses.
281. standing - 10 uses.
282. gotta - 10 uses.
283. town - 10 uses.
284. took - 10 uses.
285. place - 10 uses.
286. told - 10 uses.
287. across - 10 uses.
288. sleep - 10 uses.
289. mistake - 10 uses.
290. yes - 10 uses.
291. yonder - 10 uses.
292. minor - 10 uses.
293. walked - 10 uses.
294. skies - 10 uses.
295. tight - 10 uses.
296. machine - 10 uses.
297. bright - 10 uses.
298. american - 10 uses.
299. television - 10 uses.
300. talking - 10 uses.
301. close - 10 uses.
302. city - 10 uses.
303. germany - 10 uses.
304. bout - 10 uses.
305. peace - 10 uses.
306. fast - 10 uses.
307. seem - 10 uses.
308. doesnt - 10 uses.
309. put - 10 uses.
310. impossible - 10 uses.
311. begin - 10 uses.
312. store - 10 uses.
313. somehow - 10 uses.
314. hanging - 10 uses.
315. learned - 10 uses.
316. flowers - 10 uses.
317. eisler - 10 uses.
318. other - 10 uses.
319. taken - 10 uses.
320. excited - 10 uses.
321. isnt - 10 uses.
322. breeze - 10 uses.
323. blues - 10 uses.
324. red - 10 uses.
325. calling - 10 uses.
326. low - 10 uses.
327. mountain - 10 uses.
328. prayers - 10 uses.
329. promise - 10 uses.
330. lamb - 10 uses.
331. passenger - 10 uses.
332. came - 9 uses.
333. own - 9 uses.
334. seems - 9 uses.
335. losing - 9 uses.
336. break - 9 uses.
337. caught - 9 uses.
338. wheels - 9 uses.
339. bring - 9 uses.
340. ready - 9 uses.
341. truth - 9 uses.
342. god - 9 uses.
343. else - 9 uses.
344. falling - 9 uses.
345. deep - 9 uses.
346. awake - 9 uses.
347. key - 9 uses.
348. cut - 9 uses.
349. darling - 9 uses.
350. both - 9 uses.
351. empty - 9 uses.
352. wasnt - 9 uses.
353. talk - 9 uses.
354. wheel - 9 uses.
355. turning - 9 uses.
356. lord - 9 uses.
357. sorry - 9 uses.
358. hey - 9 uses.
359. laugh - 9 uses.
360. blowing - 9 uses.
361. buried - 9 uses.
362. kid - 9 uses.
363. son - 9 uses.
364. keeps - 9 uses.
365. shot - 9 uses.
366. summer - 9 uses.
367. label - 9 uses.
368. ones - 9 uses.
369. work - 9 uses.
370. everywhere - 9 uses.
371. bye - 9 uses.
372. o - 9 uses.
373. normal - 9 uses.
374. learn - 9 uses.
375. dimaggios - 9 uses.
376. promising - 9 uses.
377. kissle - 9 uses.
378. line - 8 uses.
379. fine - 8 uses.
380. start - 8 uses.
381. underneath - 8 uses.
382. upon - 8 uses.
383. anyway - 8 uses.
384. lie - 8 uses.
385. looking - 8 uses.
386. picture - 8 uses.
387. hole - 8 uses.
388. looks - 8 uses.
389. sight - 8 uses.
390. room - 8 uses.
391. tears - 8 uses.
392. speaking - 8 uses.
393. hands - 8 uses.
394. full - 8 uses.
395. held - 8 uses.
396. rest - 8 uses.
397. heavy - 8 uses.
398. warm - 8 uses.
399. glass - 8 uses.
400. flying - 8 uses.
401. climbing - 8 uses.
402. pain - 8 uses.
403. unlikely - 8 uses.
404. means - 8 uses.
405. went - 8 uses.
406. future - 8 uses.
407. rain - 8 uses.
408. four - 8 uses.
409. hiding - 8 uses.
410. glad - 8 uses.
411. dues - 8 uses.
412. arms - 8 uses.
413. em - 8 uses.
414. company - 8 uses.
415. eye - 8 uses.
416. echoes - 8 uses.
417. sidewalk - 8 uses.
418. alive - 8 uses.
419. busy - 8 uses.
420. blow - 8 uses.
421. battled - 8 uses.
422. added - 8 uses.
423. riding - 8 uses.
424. catch - 8 uses.
425. radio - 8 uses.
426. wave - 8 uses.
427. poetry - 8 uses.
428. real - 7 uses.
429. gold - 7 uses.
430. three - 7 uses.
431. thinks - 7 uses.
432. touch - 7 uses.
433. nothin - 7 uses.
434. girls - 7 uses.
435. worse - 7 uses.
436. fire - 7 uses.
437. death - 7 uses.
438. air - 7 uses.
439. steady - 7 uses.
440. body - 7 uses.
441. fear - 7 uses.
442. mama - 7 uses.
443. moon - 7 uses.
444. money - 7 uses.
445. land - 7 uses.
446. blame - 7 uses.
447. dear - 7 uses.
448. wanted - 7 uses.
449. aw - 7 uses.
450. pick - 7 uses.
451. knew - 7 uses.
452. understanding - 7 uses.
453. voices - 7 uses.
454. orbit - 7 uses.
455. gods - 7 uses.
456. such - 7 uses.
457. hell - 7 uses.
458. beginning - 7 uses.
459. folks - 7 uses.
460. heard - 7 uses.
461. started - 7 uses.
462. exactly - 7 uses.
463. knows - 7 uses.
464. birds - 7 uses.
465. wild - 7 uses.
466. forever - 7 uses.
467. grows - 7 uses.
468. sonny - 7 uses.
469. child - 7 uses.
470. arent - 7 uses.
471. fill - 7 uses.
472. cotton - 7 uses.
473. poor - 7 uses.
474. belong - 7 uses.
475. changed - 7 uses.
476. tied - 7 uses.
477. miles - 7 uses.
478. children - 7 uses.
479. filled - 7 uses.
480. waiting - 7 uses.
481. magazine - 7 uses.
482. wing - 7 uses.
483. making - 7 uses.
484. ghost - 7 uses.
485. everlasting - 7 uses.
486. answered - 7 uses.
487. beauty - 7 uses.
488. page - 7 uses.
489. darlin - 7 uses.
490. closer - 6 uses.
491. since - 6 uses.
492. living - 6 uses.
493. running - 6 uses.
494. sail - 6 uses.
495. whoa - 6 uses.
496. cigarettes - 6 uses.
497. hurt - 6 uses.
498. ride - 6 uses.
499. shoes - 6 uses.
500. windows - 6 uses.
501. nor - 6 uses.
502. hill - 6 uses.
503. cross - 6 uses.
504. realize - 6 uses.
505. eat - 6 uses.
506. cherry - 6 uses.
507. men - 6 uses.
508. green - 6 uses.
509. spend - 6 uses.
510. ring - 6 uses.
511. bones - 6 uses.
512. vines - 6 uses.
513. shirt - 6 uses.
514. simple - 6 uses.
515. kickin - 6 uses.
516. honestly - 6 uses.
517. finally - 6 uses.
518. chords - 6 uses.
519. floor - 6 uses.
520. art - 6 uses.
521. falls - 6 uses.
522. ground - 6 uses.
