Most used words by Wolf Alice: 
Number of songs scanned: 57

1. love - 87 uses.
2. feel - 46 uses.
3. here - 44 uses.
4. eyes - 43 uses.
5. better - 40 uses.
6. never - 39 uses.
7. ah - 36 uses.
8. down - 32 uses.
9. give - 31 uses.
10. life - 29 uses.
11. should - 29 uses.
12. nothing - 28 uses.
13. knows - 28 uses.
14. back - 27 uses.
15. wide - 27 uses.
16. really - 26 uses.
17. happy - 26 uses.
18. take - 25 uses.
19. think - 25 uses.
20. waiting - 25 uses.
21. friends - 24 uses.
22. fear - 24 uses.
23. tell - 23 uses.
24. world - 22 uses.
25. believe - 21 uses.
26. head - 21 uses.
27. things - 21 uses.
28. leave - 21 uses.
29. let - 20 uses.
30. death - 20 uses.
31. change - 20 uses.
32. only - 19 uses.
33. hard - 19 uses.
34. girl - 18 uses.
35. mind - 18 uses.
36. long - 18 uses.
37. together - 18 uses.
38. light - 17 uses.
39. wait - 17 uses.
40. die - 16 uses.
41. remember - 16 uses.
42. enough - 16 uses.
43. keep - 15 uses.
44. bore - 15 uses.
45. myself - 15 uses.
46. live - 15 uses.
47. hate - 15 uses.
48. fall - 15 uses.
49. run - 15 uses.
50. thing - 14 uses.
51. meet - 14 uses.
52. hey - 14 uses.
53. another - 14 uses.
54. away - 14 uses.
55. hear - 13 uses.
56. hands - 13 uses.
57. good - 13 uses.
58. ever - 13 uses.
59. baby - 13 uses.
60. blues - 13 uses.
61. end - 12 uses.
62. place - 12 uses.
63. shit - 12 uses.
64. feelings - 12 uses.
65. night - 12 uses.
66. crowd - 12 uses.
67. santa - 12 uses.
68. heart - 12 uses.
69. else - 12 uses.
70. care - 12 uses.
71. coming - 11 uses.
72. tears - 11 uses.
73. over - 11 uses.
74. might - 11 uses.
75. dark - 11 uses.
76. need - 11 uses.
77. same - 11 uses.
78. straight - 11 uses.
79. play - 11 uses.
80. ask - 11 uses.
81. cool - 11 uses.
82. girls - 11 uses.
83. while - 11 uses.
84. beach - 11 uses.
85. makes - 11 uses.
86. shine - 11 uses.
87. always - 10 uses.
88. seems - 10 uses.
89. scared - 10 uses.
90. before - 10 uses.
91. left - 10 uses.
92. thought - 10 uses.
93. leaving - 10 uses.
94. greatest - 10 uses.
95. hits - 10 uses.
96. dead - 10 uses.
97. other - 10 uses.
98. heard - 10 uses.
99. tick - 10 uses.
100. sold - 10 uses.
101. bomb - 10 uses.
102. lovers - 9 uses.
103. face - 9 uses.
104. maybe - 9 uses.
105. again - 9 uses.
106. going - 9 uses.
107. feeling - 9 uses.
108. mean - 9 uses.
109. room - 9 uses.
110. hand - 9 uses.
111. isnt - 9 uses.
112. once - 9 uses.
113. bad - 9 uses.
114. body - 9 uses.
115. town - 9 uses.
116. dancing - 9 uses.
117. high - 8 uses.
118. making - 8 uses.
119. forever - 8 uses.
120. stay - 8 uses.
121. turn - 8 uses.
122. wear - 8 uses.
123. god - 8 uses.
124. youd - 8 uses.
125. knew - 8 uses.
126. planet - 8 uses.
127. behind - 8 uses.
128. ooh - 8 uses.
129. hurry - 8 uses.
130. chimney - 8 uses.
131. tonight - 8 uses.
132. hair - 8 uses.
133. own - 8 uses.
134. about - 8 uses.
135. control - 8 uses.
136. smile - 8 uses.
137. catch - 8 uses.
138. wannawith - 8 uses.
139. join - 8 uses.
140. hurt - 8 uses.
141. much - 8 uses.
142. anything - 8 uses.
143. though - 8 uses.
144. slowly - 8 uses.
145. looking - 8 uses.
146. black - 8 uses.
147. nosedive - 8 uses.
148. pretty - 8 uses.
149. people - 7 uses.
150. old - 7 uses.
151. ground - 7 uses.
152. those - 7 uses.
153. around - 7 uses.
154. sad - 7 uses.
155. drunk - 7 uses.
156. honey - 7 uses.
157. wild - 7 uses.
158. act - 7 uses.
159. touch - 7 uses.
160. wish - 7 uses.
161. space - 7 uses.
162. every - 7 uses.
163. best - 7 uses.
164. blood - 7 uses.
165. lose - 7 uses.
166. sight - 7 uses.
167. safe - 7 uses.
168. sure - 7 uses.
169. dust - 7 uses.
170. close - 7 uses.
171. demons - 7 uses.
172. mad - 7 uses.
173. gets - 7 uses.
174. punch - 6 uses.
175. deplore - 6 uses.
176. fly - 6 uses.
177. strange - 6 uses.
178. swallow - 6 uses.
179. believed - 6 uses.
180. last - 6 uses.
181. mine - 6 uses.
182. likes - 6 uses.
183. dad - 6 uses.
184. meant - 6 uses.
185. hell - 6 uses.
186. work - 6 uses.
187. saw - 6 uses.
188. laugh - 6 uses.
189. having - 6 uses.
190. fast - 6 uses.
191. boy - 6 uses.
192. drink - 6 uses.
193. must - 6 uses.
194. dreams - 6 uses.
195. changing - 6 uses.
196. something - 6 uses.
197. hot - 6 uses.
198. sun - 6 uses.
199. after - 6 uses.
200. rules - 6 uses.
201. kill - 6 uses.
202. moon - 6 uses.
203. doesnt - 6 uses.
204. teach - 6 uses.
205. owe - 6 uses.
206. hope - 6 uses.
207. faced - 6 uses.
208. important - 6 uses.
209. earth - 6 uses.
210. through - 6 uses.
211. battle - 6 uses.
212. right - 5 uses.
213. oooh - 5 uses.
214. bitch - 5 uses.
215. exciting - 5 uses.
216. feet - 5 uses.
217. lives - 5 uses.
218. pass - 5 uses.
219. hit - 5 uses.
220. wed - 5 uses.
221. sink - 5 uses.
222. figured - 5 uses.
223. open - 5 uses.
224. glass - 5 uses.
225. brave - 5 uses.
226. shame - 5 uses.
227. dumb - 5 uses.
228. struck - 5 uses.
229. pot - 5 uses.
