Most used words by Yelawolf: 
Number of songs scanned: 226

1. shit - 424 uses.
2. back - 415 uses.
3. fuck - 393 uses.
4. down - 391 uses.
5. bitch - 359 uses.
6. never - 305 uses.
7. take - 282 uses.
8. em - 265 uses.
9. let - 237 uses.
10. give - 231 uses.
11. put - 221 uses.
12. run - 208 uses.
13. about - 205 uses.
14. love - 191 uses.
15. around - 186 uses.
16. baby - 181 uses.
17. here - 174 uses.
18. tell - 173 uses.
19. money - 173 uses.
20. need - 168 uses.
21. gotta - 164 uses.
22. over - 162 uses.
23. boy - 158 uses.
24. people - 147 uses.
25. hit - 147 uses.
26. new - 146 uses.
27. uh - 144 uses.
28. billy - 137 uses.
29. really - 137 uses.
30. motherfucker - 136 uses.
31. through - 135 uses.
32. again - 128 uses.
33. hold - 127 uses.
34. chevy - 127 uses.
35. white - 124 uses.
36. right - 123 uses.
37. good - 122 uses.
38. runnin - 121 uses.
39. big - 120 uses.
40. box - 120 uses.
41. took - 117 uses.
42. hard - 117 uses.
43. roll - 115 uses.
44. another - 115 uses.
45. trunk - 113 uses.
46. every - 112 uses.
47. yelawolf - 111 uses.
48. life - 111 uses.
49. bad - 110 uses.
50. ya - 110 uses.
51. girl - 108 uses.
52. home - 107 uses.
53. only - 106 uses.
54. better - 104 uses.
55. show - 103 uses.
56. party - 103 uses.
57. ride - 102 uses.
58. rock - 99 uses.
59. keep - 98 uses.
60. think - 98 uses.
61. house - 98 uses.
62. feel - 98 uses.
63. lot - 97 uses.
64. turn - 96 uses.
65. catfish - 95 uses.
66. ima - 94 uses.
67. fucking - 93 uses.
68. fuckin - 92 uses.
69. old - 92 uses.
70. hey - 92 uses.
71. black - 91 uses.
72. much - 90 uses.
73. daddy - 89 uses.
74. real - 88 uses.
75. mind - 87 uses.
76. throw - 86 uses.
77. world - 86 uses.
78. jump - 85 uses.
79. lets - 84 uses.
80. even - 84 uses.
81. seen - 84 uses.
82. full - 83 uses.
83. done - 82 uses.
84. leave - 82 uses.
85. bottle - 81 uses.
86. left - 81 uses.
87. looking - 81 uses.
88. ass - 80 uses.
89. dope - 80 uses.
90. mouth - 80 uses.
91. kick - 80 uses.
92. country - 79 uses.
93. might - 78 uses.
94. little - 77 uses.
95. pack - 77 uses.
96. head - 77 uses.
97. mama - 76 uses.
98. drop - 76 uses.
99. rich - 75 uses.
100. always - 75 uses.
101. walk - 74 uses.
102. alabama - 74 uses.
103. night - 73 uses.
104. gun - 73 uses.
105. god - 73 uses.
106. watch - 73 uses.
107. bout - 73 uses.
108. rowdy - 73 uses.
109. whip - 72 uses.
110. away - 72 uses.
111. light - 71 uses.
112. while - 71 uses.
113. whole - 70 uses.
114. hot - 70 uses.
115. yall - 70 uses.
116. road - 69 uses.
117. shoes - 69 uses.
118. inside - 68 uses.
119. pull - 68 uses.
120. somebody - 68 uses.
121. gon - 68 uses.
122. told - 67 uses.
123. cold - 67 uses.
124. something - 67 uses.
125. went - 66 uses.
126. ready - 66 uses.
127. name - 66 uses.
128. hear - 65 uses.
129. before - 64 uses.
130. son - 64 uses.
131. came - 64 uses.
132. lookin - 63 uses.
133. motherfuckers - 63 uses.
134. believe - 63 uses.
135. thing - 63 uses.
136. boys - 63 uses.
137. used - 62 uses.
138. play - 62 uses.
139. ever - 62 uses.
140. pick - 62 uses.
141. heart - 61 uses.
142. whats - 61 uses.
143. long - 61 uses.
144. high - 61 uses.
145. gettin - 61 uses.
146. everybody - 61 uses.
147. shot - 60 uses.
148. park - 60 uses.
149. town - 60 uses.
150. myself - 60 uses.
151. best - 60 uses.
152. gone - 60 uses.
153. til - 59 uses.
154. smoke - 59 uses.
155. should - 59 uses.
156. south - 58 uses.
157. water - 58 uses.
158. pop - 58 uses.
159. till - 58 uses.
160. going - 58 uses.
161. because - 57 uses.
162. front - 57 uses.
163. top - 57 uses.
164. though - 57 uses.
165. wish - 57 uses.
166. maybe - 56 uses.
167. drink - 56 uses.
168. open - 56 uses.
169. blue - 56 uses.
170. please - 56 uses.
171. getting - 56 uses.
172. game - 55 uses.
173. straight - 55 uses.
174. stop - 55 uses.
175. hand - 54 uses.
176. guess - 54 uses.
177. friend - 54 uses.
178. work - 54 uses.
179. mean - 54 uses.
180. sleep - 54 uses.
181. everything - 54 uses.
182. drunk - 53 uses.
183. same - 53 uses.
184. wrong - 53 uses.
185. under - 53 uses.
186. live - 53 uses.
187. king - 53 uses.
188. enough - 53 uses.
189. gold - 53 uses.
190. rollin - 53 uses.
191. sound - 53 uses.
192. change - 52 uses.
193. trailer - 52 uses.
194. bag - 52 uses.
195. car - 52 uses.
196. deep - 51 uses.
197. face - 51 uses.
198. line - 51 uses.
199. beat - 51 uses.
200. talkin - 51 uses.
201. break - 51 uses.
202. own - 50 uses.
203. coming - 50 uses.
204. clean - 50 uses.
205. check - 50 uses.
206. truth - 50 uses.
207. bar - 50 uses.
208. hop - 50 uses.
209. cut - 49 uses.
210. low - 49 uses.
211. place - 49 uses.
212. feeling - 49 uses.
213. pocket - 49 uses.
214. truck - 49 uses.
