Most used words by You Me At Six: 
Number of songs scanned: 109

1. never - 152 uses.
2. back - 115 uses.
3. love - 108 uses.
4. feel - 104 uses.
5. down - 97 uses.
6. take - 90 uses.
7. need - 89 uses.
8. let - 82 uses.
9. mind - 78 uses.
10. tell - 70 uses.
11. keep - 66 uses.
12. only - 64 uses.
13. again - 62 uses.
14. always - 62 uses.
15. think - 59 uses.
16. right - 52 uses.
17. should - 52 uses.
18. tonight - 52 uses.
19. away - 49 uses.
20. read - 48 uses.
21. things - 45 uses.
22. little - 45 uses.
23. end - 44 uses.
24. woah - 43 uses.
25. something - 42 uses.
26. hate - 42 uses.
27. home - 41 uses.
28. lost - 41 uses.
29. face - 41 uses.
30. breath - 41 uses.
31. okay - 41 uses.
32. someone - 40 uses.
33. through - 40 uses.
34. over - 40 uses.
35. head - 39 uses.
36. hold - 39 uses.
37. here - 38 uses.
38. thing - 38 uses.
39. stay - 38 uses.
40. live - 37 uses.
41. nice - 36 uses.
42. eyes - 35 uses.
43. first - 35 uses.
44. enough - 34 uses.
45. nobody - 34 uses.
46. left - 34 uses.
47. takes - 34 uses.
48. every - 34 uses.
49. hard - 34 uses.
50. room - 33 uses.
51. sleep - 33 uses.
52. good - 32 uses.
53. around - 32 uses.
54. fall - 32 uses.
55. same - 32 uses.
56. better - 31 uses.
57. friends - 31 uses.
58. nothing - 31 uses.
59. believe - 30 uses.
60. best - 30 uses.
61. whats - 30 uses.
62. wait - 30 uses.
63. weve - 29 uses.
64. run - 29 uses.
65. life - 29 uses.
66. change - 29 uses.
67. heart - 29 uses.
68. give - 28 uses.
69. knows - 28 uses.
70. last - 28 uses.
71. ones - 28 uses.
72. hear - 28 uses.
73. lose - 28 uses.
74. gone - 28 uses.
75. about - 27 uses.
76. even - 27 uses.
77. night - 27 uses.
78. gotta - 27 uses.
79. save - 27 uses.
80. song - 27 uses.
81. truth - 27 uses.
82. danger - 27 uses.
83. hope - 26 uses.
84. rise - 26 uses.
85. forever - 26 uses.
86. watch - 26 uses.
87. words - 26 uses.
88. mean - 26 uses.
89. everything - 25 uses.
90. really - 25 uses.
91. start - 25 uses.
92. fire - 25 uses.
93. beautiful - 25 uses.
94. world - 24 uses.
95. place - 24 uses.
96. talk - 24 uses.
97. house - 24 uses.
98. own - 24 uses.
99. old - 24 uses.
100. wants - 24 uses.
101. stop - 23 uses.
102. feeling - 23 uses.
103. lie - 23 uses.
104. side - 22 uses.
105. everyone - 22 uses.
106. bad - 22 uses.
107. play - 22 uses.
108. whoa - 22 uses.
109. together - 22 uses.
110. fucked - 22 uses.
111. losing - 21 uses.
112. wrong - 21 uses.
113. those - 21 uses.
114. move - 21 uses.
115. going - 21 uses.
116. behind - 21 uses.
117. try - 20 uses.
118. name - 20 uses.
119. heard - 20 uses.
120. turn - 20 uses.
121. hurt - 20 uses.
122. cut - 20 uses.
123. young - 20 uses.
124. making - 19 uses.
125. thought - 19 uses.
126. promise - 19 uses.
127. comes - 19 uses.
128. mine - 19 uses.
129. does - 19 uses.
130. yourself - 19 uses.
131. headshot - 19 uses.
132. myself - 18 uses.
133. yet - 18 uses.
134. inside - 18 uses.
135. used - 18 uses.
136. under - 18 uses.
137. alone - 18 uses.
138. long - 18 uses.
139. die - 18 uses.
140. anymore - 18 uses.
141. true - 18 uses.
142. another - 17 uses.
143. trying - 17 uses.
144. line - 17 uses.
145. straight - 17 uses.
146. lets - 17 uses.
147. care - 17 uses.
148. swear - 17 uses.
149. without - 17 uses.
150. before - 17 uses.
151. else - 17 uses.
152. much - 17 uses.
153. learn - 17 uses.
154. trust - 16 uses.
155. please - 16 uses.
156. told - 16 uses.
157. getting - 16 uses.
158. days - 16 uses.
159. anything - 16 uses.
160. people - 16 uses.
161. taste - 16 uses.
162. break - 16 uses.
163. running - 15 uses.
164. seen - 15 uses.
165. shame - 15 uses.
166. leave - 15 uses.
167. dream - 15 uses.
168. keeping - 15 uses.
169. coming - 15 uses.
170. waiting - 15 uses.
171. alive - 15 uses.
172. everybody - 15 uses.
173. wreckage - 15 uses.
174. after - 14 uses.
175. sing - 14 uses.
176. easy - 14 uses.
177. ever - 14 uses.
178. isnt - 14 uses.
179. god - 14 uses.
180. new - 14 uses.
181. winner - 14 uses.
182. girl - 14 uses.
183. real - 14 uses.
184. wasting - 14 uses.
185. skin - 14 uses.
186. wouldnt - 14 uses.
187. times - 14 uses.
188. talking - 14 uses.
189. poker - 14 uses.
190. regret - 13 uses.
191. adrenaline - 13 uses.
192. kicking - 13 uses.
193. next - 13 uses.
194. younger - 13 uses.
195. past - 13 uses.
196. pour - 13 uses.
197. worst - 13 uses.
198. such - 13 uses.
199. space - 13 uses.
200. knees - 13 uses.
201. between - 13 uses.
202. hell - 13 uses.
203. drink - 13 uses.
204. bullet - 13 uses.
205. wanted - 12 uses.
206. makes - 12 uses.
207. breathe - 12 uses.
208. loved - 12 uses.
209. lot - 12 uses.
210. wish - 12 uses.
211. show - 12 uses.
212. older - 12 uses.
213. singin - 12 uses.
214. maybe - 12 uses.
215. different - 12 uses.
216. bed - 12 uses.
217. hey - 12 uses.
218. pray - 12 uses.
219. meant - 12 uses.
220. follow - 12 uses.
221. sad - 12 uses.
222. tongue - 12 uses.
223. though - 11 uses.
224. stand - 11 uses.
225. mouth - 11 uses.
226. control - 11 uses.
227. taking - 11 uses.
228. clouds - 11 uses.
229. goes - 11 uses.
230. walk - 11 uses.
231. ooohhh - 11 uses.
232. guess - 11 uses.
233. cold - 11 uses.
234. lead - 11 uses.
235. yes - 11 uses.
236. put - 11 uses.
237. forget - 11 uses.
238. second - 11 uses.
239. lips - 11 uses.
240. done - 11 uses.
241. fucking - 11 uses.
242. soon - 11 uses.
243. high - 11 uses.
244. desperate - 11 uses.
245. saying - 11 uses.
246. goin - 11 uses.
247. burn - 11 uses.
248. rescue - 11 uses.
249. seat - 10 uses.
250. fuck - 10 uses.
251. minds - 10 uses.
252. owe - 10 uses.
253. big - 10 uses.
254. edge - 10 uses.
255. bright - 10 uses.
256. both - 10 uses.
257. any - 10 uses.
258. blind - 10 uses.
259. other - 10 uses.
260. bones - 10 uses.
261. working - 10 uses.
262. pull - 10 uses.
263. soul - 10 uses.
264. round - 10 uses.
265. once - 10 uses.
266. looked - 10 uses.
267. sick - 10 uses.
268. close - 10 uses.
269. golden - 10 uses.
270. na - 10 uses.
271. alright - 10 uses.
272. must - 10 uses.
273. worse - 10 uses.
274. mood - 10 uses.
275. til - 10 uses.
276. pick - 10 uses.
277. free - 9 uses.
278. friend - 9 uses.
279. forward - 9 uses.
280. while - 9 uses.
281. smile - 9 uses.
282. ya - 9 uses.
283. thoughts - 9 uses.
284. heavy - 9 uses.
285. because - 9 uses.
286. cares - 9 uses.
287. moving - 9 uses.
288. knew - 9 uses.
289. baby - 9 uses.
290. missing - 9 uses.
291. leaving - 9 uses.
292. shit - 9 uses.
293. gasoline - 9 uses.
294. might - 9 uses.
295. saved - 9 uses.
296. very - 9 uses.
297. battle - 9 uses.
298. shoes - 9 uses.
299. kill - 9 uses.
300. bet - 9 uses.
301. carpe - 9 uses.
302. diem - 9 uses.
303. loaded - 9 uses.
304. felt - 8 uses.
305. bottom - 8 uses.
306. ground - 8 uses.
307. air - 8 uses.
308. living - 8 uses.
309. fight - 8 uses.
310. warning - 8 uses.
311. calling - 8 uses.
312. bring - 8 uses.
313. whole - 8 uses.
314. plans - 8 uses.
315. win - 8 uses.
316. count - 8 uses.
317. until - 8 uses.
318. sink - 8 uses.
319. came - 8 uses.
320. called - 8 uses.
321. sound - 8 uses.
322. town - 8 uses.
323. feels - 8 uses.
324. dark - 8 uses.
325. being - 8 uses.
326. lying - 8 uses.
327. luck - 8 uses.
328. decide - 8 uses.
329. dead - 8 uses.
330. sure - 8 uses.
331. wild - 8 uses.
332. bedroom - 8 uses.
333. cowards - 8 uses.
334. ropes - 8 uses.
335. dirt - 8 uses.
336. crash - 8 uses.
337. earlier - 8 uses.
338. mr - 8 uses.
339. reckless - 8 uses.
340. fill - 7 uses.
341. touch - 7 uses.
342. number - 7 uses.
343. cool - 7 uses.
344. couldnt - 7 uses.
345. reason - 7 uses.
346. lovers - 7 uses.
347. lived - 7 uses.
348. top - 7 uses.
349. till - 7 uses.
350. kind - 7 uses.
351. quiet - 7 uses.
352. fault - 7 uses.
353. rest - 7 uses.
354. says - 7 uses.
355. story - 7 uses.
356. youd - 7 uses.
357. moment - 7 uses.
358. ice - 7 uses.
359. chest - 7 uses.
360. enemy - 7 uses.
361. havent - 7 uses.
362. met - 7 uses.
363. streets - 7 uses.
364. hours - 7 uses.
365. honey - 7 uses.
366. ears - 7 uses.
367. game - 7 uses.
368. keeps - 7 uses.
369. went - 7 uses.
370. recover - 7 uses.
371. front - 7 uses.
372. hands - 7 uses.
373. circles - 7 uses.
374. looking - 7 uses.
375. names - 7 uses.
376. tired - 7 uses.
377. advice - 7 uses.
378. clothes - 7 uses.
379. aim - 7 uses.
380. signs - 7 uses.
381. spent - 7 uses.
382. toes - 7 uses.
383. hurts - 7 uses.
384. door - 7 uses.
385. work - 7 uses.
386. kiss - 7 uses.
387. sit - 7 uses.
388. lessons - 7 uses.
389. bite - 7 uses.
390. somebody - 7 uses.
391. hood - 7 uses.
392. fresh - 7 uses.
393. fever - 7 uses.
394. miss - 6 uses.
395. feet - 6 uses.
396. along - 6 uses.
397. set - 6 uses.
398. turned - 6 uses.
399. took - 6 uses.
400. shoulder - 6 uses.
401. blame - 6 uses.
402. champagne - 6 uses.
403. mourning - 6 uses.
404. heres - 6 uses.
405. grow - 6 uses.
406. light - 6 uses.
407. hand - 6 uses.
408. sober - 6 uses.
409. fix - 6 uses.
410. taken - 6 uses.
411. meet - 6 uses.
412. bigger - 6 uses.
413. voice - 6 uses.
414. slipping - 6 uses.
415. gave - 6 uses.
416. star - 6 uses.
417.  - 6 uses.
418. blow - 6 uses.
419. pain - 6 uses.
420. lies - 6 uses.
421. changed - 6 uses.
422. mistakes - 6 uses.
423. late - 6 uses.
424. arms - 6 uses.
425. ghost - 6 uses.
426. hit - 6 uses.
427. wasnt - 6 uses.
428. apart - 6 uses.
429. stitch - 6 uses.
430. rules - 6 uses.
431. itd - 6 uses.
432. safer - 6 uses.
433. future - 6 uses.
434. prove - 6 uses.
435. south - 6 uses.
436. regrets - 6 uses.
437. swinging - 6 uses.
438. visions - 6 uses.
439. ohh - 6 uses.
440. remember - 6 uses.
441. welcome - 6 uses.
442. perfect - 6 uses.
443. sleeping - 6 uses.
444. heartbreakin - 6 uses.
445. complex - 6 uses.
446. cock - 6 uses.
447. heaven - 6 uses.
448. seems - 5 uses.
449. problems - 5 uses.
450. voices - 5 uses.
451. longer - 5 uses.
452. smart - 5 uses.
453. scared - 5 uses.
454. choke - 5 uses.
455. blood - 5 uses.
456. headache - 5 uses.
457. small - 5 uses.
458. seem - 5 uses.
459. tried - 5 uses.
460. shine - 5 uses.
461. proud - 5 uses.
462. loose - 5 uses.
463. morning - 5 uses.
464. thinking - 5 uses.
465. sense - 5 uses.
466. mess - 5 uses.
467. games - 5 uses.
468. contagious - 5 uses.
469. fear - 5 uses.
470. drop - 5 uses.
471. means - 5 uses.
472. dig - 5 uses.
473. fingers - 5 uses.
474. decision - 5 uses.
475. wall - 5 uses.
476. speak - 5 uses.
477. open - 5 uses.
478. choose - 5 uses.
479. yesterday - 5 uses.
480. full - 5 uses.
481. yours - 5 uses.
482. throw - 5 uses.
483. age - 5 uses.
484. nights - 5 uses.
485. ways - 5 uses.
486. size - 5 uses.
487. guy - 5 uses.
488. gets - 5 uses.
489. become - 5 uses.
490. temporary - 5 uses.
491. holding - 5 uses.
492. drowning - 5 uses.
493. view - 5 uses.
494. personal - 5 uses.
495. sell - 5 uses.
496. lean - 5 uses.
497. boy - 5 uses.
498. pretty - 5 uses.
499. broke - 5 uses.
500. distance - 5 uses.
501. lines - 5 uses.
502. storm - 5 uses.
503. far - 5 uses.
504. tie - 5 uses.
505. dreams - 5 uses.
506. waste - 5 uses.
507. doing - 5 uses.
508. comfortable - 5 uses.
509. three - 5 uses.
510. safe - 5 uses.
511. giving - 5 uses.
512. finders - 5 uses.
513. keepers - 5 uses.
514. barely - 5 uses.
515. elses - 5 uses.
516. onto - 5 uses.
517. rust - 5 uses.
518. damn - 5 uses.
519. invincible - 5 uses.
520. standing - 5 uses.
521. sugar - 5 uses.
522. cannot - 5 uses.
523. kings - 5 uses.
524. queens - 5 uses.
525. capital - 5 uses.
526. r - 5 uses.
527. found - 4 uses.
528. permanent - 4 uses.
529. lights - 4 uses.
530. ohhhh - 4 uses.
531. death - 4 uses.
532. playing - 4 uses.
533. clocks - 4 uses.
534. filling - 4 uses.
535. lungs - 4 uses.
536. coursing - 4 uses.
537. haste - 4 uses.
538. miracle - 4 uses.
539. satirical - 4 uses.
540. walked - 4 uses.
541. wounds - 4 uses.
542. wear - 4 uses.
543. carry - 4 uses.
544. pride - 4 uses.
545. calm - 4 uses.
546. stick - 4 uses.
547. deserve - 4 uses.
548. everyones - 4 uses.
549. saw - 4 uses.
550. plan - 4 uses.
551. worth - 4 uses.
552. most - 4 uses.
553. least - 4 uses.
554. kept - 4 uses.
555. disappear - 4 uses.
556. deep - 4 uses.
557. catch - 4 uses.
558. grave - 4 uses.
559. sweet - 4 uses.
560. company - 4 uses.
561. road - 4 uses.
562. sign - 4 uses.
563. fine - 4 uses.
564. news - 4 uses.
565. single - 4 uses.
566. letting - 4 uses.
567. looks - 4 uses.
568. recognize - 4 uses.
569. fast - 4 uses.
570. surface - 4 uses.
571. question - 4 uses.
572. built - 4 uses.
573. woke - 4 uses.
574. honest - 4 uses.
575. forgot - 4 uses.
576. chose - 4 uses.
577. happens - 4 uses.
578. grown - 4 uses.
579. sun - 4 uses.
580. secret - 4 uses.
581. breaks - 4 uses.
582. miles - 4 uses.
583. using - 4 uses.
584. bottle - 4 uses.
585. backs - 4 uses.
586. black - 4 uses.
587. score - 4 uses.
588. rolling - 4 uses.
589. sorry - 4 uses.
590. truths - 4 uses.
591. crawl - 4 uses.
592. sold - 4 uses.
593. wrote - 4 uses.
594. attention - 4 uses.
595. write - 4 uses.
596. singing - 4 uses.
597. hug - 4 uses.
598. bitter - 4 uses.
599. tall - 4 uses.
600. forgive - 4 uses.
601. weekend - 4 uses.
602. promises - 4 uses.
603. eye - 4 uses.
604. sight - 4 uses.
605. hall - 4 uses.
606. fly - 4 uses.
607. drug - 4 uses.
608. whore - 4 uses.
609. spell - 4 uses.
610. shallow - 4 uses.
611. woahoah - 4 uses.
612. crashing - 4 uses.
613. predictable - 4 uses.
614. ghosts - 4 uses.
615. tip - 4 uses.
616. ready - 4 uses.
617. example - 4 uses.
618. settle - 4 uses.
619. debts - 4 uses.
620. sheets - 4 uses.
621. melodies - 4 uses.
622. subtle - 4 uses.
623. hint - 4 uses.
624. jumping - 4 uses.
625. ship - 4 uses.
626. notch - 4 uses.
627. bedpost - 4 uses.
628. race - 4 uses.
629. course - 4 uses.
630. stare - 3 uses.
631. ends - 3 uses.
632. sometimes - 3 uses.
633. comin - 3 uses.
634. folding - 3 uses.
635. terrible - 3 uses.
636. lonely - 3 uses.
