Most used words by Zakk Wylde: 
Number of songs scanned: 28

1. gone - 25 uses.
2. upon - 24 uses.
3. far - 22 uses.
4. away - 22 uses.
5. tears - 20 uses.
6. oh - 19 uses.
7. nothing - 18 uses.
8. back - 18 uses.
9. child - 17 uses.
10. - - 17 uses.
11. take - 15 uses.
12. lay - 15 uses.
13. lost - 14 uses.
14. shall - 14 uses.
15. couldnt - 14 uses.
16. where - 13 uses.
17. inside - 13 uses.
18. forever - 13 uses.
19. leave - 13 uses.
20. oooooh - 12 uses.
21. everything - 11 uses.
22. lord - 11 uses.
23. last - 11 uses.
24. empty - 11 uses.
25. love - 10 uses.
26. thats - 10 uses.
27. much - 10 uses.
28. across - 10 uses.
29. here - 9 uses.
30. knew - 9 uses.
31. end - 9 uses.
32. yet - 9 uses.
33. once - 9 uses.
34. memory - 9 uses.
35. walk - 9 uses.
36. hold - 9 uses.
37. blind - 9 uses.
38. left - 9 uses.
39. right - 8 uses.
40. while - 8 uses.
41. smile - 8 uses.
42. hey - 8 uses.
43. tell - 8 uses.
44. & - 8 uses.
45. yourself - 8 uses.
46. fall - 8 uses.
47. through - 8 uses.
48. things - 8 uses.
49. never - 8 uses.
50. forgotten - 8 uses.
51. youll - 8 uses.
52. stormy - 8 uses.
53. world - 8 uses.
54. darkness - 8 uses.
55. friends - 8 uses.
56. need - 8 uses.
57. ever - 7 uses.
58. ooooooh - 7 uses.
59. whats - 7 uses.
60. broken - 7 uses.
61. same - 7 uses.
62. cold - 7 uses.
63. face - 7 uses.
64. eyes - 7 uses.
65. within - 7 uses.
66. carry - 7 uses.
67. fears - 7 uses.
68. hand - 7 uses.
69. beyond - 7 uses.
70. life - 6 uses.
71. give - 6 uses.
72. falling - 6 uses.
73. touch - 6 uses.
74. oh-oh - 6 uses.
75. light - 6 uses.
76. youve - 6 uses.
77. well - 6 uses.
78. stay - 6 uses.
79. hope - 6 uses.
80. king - 6 uses.
81. so-called - 6 uses.
82. skies - 6 uses.
83. wish - 6 uses.
84. longer - 6 uses.
85. waters - 6 uses.
86. levee - 6 uses.
87. fell - 6 uses.
88. arrive - 6 uses.
89. son - 5 uses.
90. gonna - 5 uses.
91. worth - 5 uses.
92. return - 5 uses.
93. wrong - 5 uses.
94. yesterdays - 5 uses.
95. baby - 5 uses.
96. home - 5 uses.
97. storm - 5 uses.
98. rolling - 5 uses.
99. waited - 5 uses.
100. living - 5 uses.
101. cry - 5 uses.
102. keep - 5 uses.
103. sun - 5 uses.
104. turned - 5 uses.
105. gather - 5 uses.
106. still - 5 uses.
107. darkest - 5 uses.
108. hour - 5 uses.
