Most used words by Zapp: 
Number of songs scanned: 68

1. baby - 360 uses.
2. dance - 207 uses.
3. love - 193 uses.
4. bounce - 173 uses.
5. rock - 158 uses.
6. girl - 154 uses.
7. let - 138 uses.
8. ooh - 116 uses.
9. shake - 116 uses.
10. back - 99 uses.
11. good - 82 uses.
12. ready - 78 uses.
13. ounce - 77 uses.
14. ja - 77 uses.
15. body - 74 uses.
16. watch - 74 uses.
17. thing - 74 uses.
18. roll - 74 uses.
19. night - 73 uses.
20. really - 71 uses.
21. tell - 70 uses.
22. play - 70 uses.
23. funky - 68 uses.
24. about - 66 uses.
25. doo - 65 uses.
26. yes - 60 uses.
27. right - 60 uses.
28. here - 59 uses.
29. feel - 58 uses.
30. give - 56 uses.
31. down - 56 uses.
32. need - 55 uses.
33. keep - 55 uses.
34. floor - 55 uses.
35. stop - 54 uses.
36. radio - 52 uses.
37. work - 52 uses.
38. heart - 50 uses.
39. bout - 48 uses.
40. ya - 48 uses.
41. blow - 46 uses.
42. late - 45 uses.
43. ah - 44 uses.
44. burnin - 44 uses.
45. move - 44 uses.
46. mind - 43 uses.
47. tonight - 43 uses.
48. mama - 42 uses.
49. zapp - 41 uses.
50. life - 41 uses.
51. through - 40 uses.
52. star - 40 uses.
53. – - 37 uses.
54. jesse - 36 uses.
55. computer - 36 uses.
56. much - 35 uses.
57. bop - 35 uses.
58. angel - 35 uses.
59. ruff - 34 uses.
60. better - 33 uses.
61. uh - 32 uses.
62. fantasy - 32 uses.
63. found - 32 uses.
64. walk - 31 uses.
65. thank - 31 uses.
66. groove - 31 uses.
67. mix - 31 uses.
68. spot - 31 uses.
69. free - 31 uses.
70. never - 29 uses.
71. things - 29 uses.
72. lot - 28 uses.
73. people - 28 uses.
74. party - 28 uses.
75. music - 27 uses.
76. hear - 27 uses.
77. morning - 27 uses.
78. step - 25 uses.
79. wa - 25 uses.
80. heartbreaker - 25 uses.
81. broke - 25 uses.
82. rockin - 25 uses.
83. fire - 24 uses.
84. sexy - 24 uses.
85. sure - 24 uses.
86. eyes - 24 uses.
87. enough - 23 uses.
88. hey - 23 uses.
89. song - 23 uses.
90. lovin - 23 uses.
91. movin - 23 uses.
92. tuff - 23 uses.
93. home - 23 uses.
94. bailando - 23 uses.
95. wrong - 23 uses.
96. heard - 22 uses.
97. grapevine - 22 uses.
98. talkbox - 22 uses.
99. everything - 22 uses.
100. god - 22 uses.
101. nobody - 22 uses.
102. rhythm - 22 uses.
103. show - 22 uses.
104. already - 22 uses.
105. bama-lama - 22 uses.
106. wall - 22 uses.
107. every - 21 uses.
108. started - 21 uses.
109. after - 21 uses.
110. gotta - 21 uses.
111. somebody - 21 uses.
112. take - 21 uses.
113. funkin - 21 uses.
114. bounce-bounce - 21 uses.
115. ray - 21 uses.
116. perfect - 21 uses.
117. whole - 20 uses.
118. n - 20 uses.
119. door - 20 uses.
120. player - 20 uses.
121. parking - 20 uses.
122. makes - 19 uses.
123. listen - 19 uses.
124. around - 19 uses.
125. proud - 19 uses.
126. world - 19 uses.
127. shooby - 19 uses.
128. hot - 18 uses.
129. before - 18 uses.
130. miss - 18 uses.
131. mine - 18 uses.
132. money - 18 uses.
133. gettin - 18 uses.
134. only - 18 uses.
135. blues - 18 uses.
136. head - 18 uses.
137. mail - 18 uses.
138. ditty - 17 uses.
139. real - 17 uses.
140. sound - 17 uses.
141. friend - 17 uses.
142. answer - 17 uses.
143. gon - 17 uses.
144. huh - 16 uses.
145. mean - 16 uses.
146. sounds - 16 uses.
147. alright - 16 uses.
148. fine - 16 uses.
149. finally - 16 uses.
150. together - 16 uses.
151. think - 15 uses.
152. please - 15 uses.
153. else - 15 uses.
154. jackson - 15 uses.
155. saturday - 15 uses.
156. soul - 14 uses.
157. itch - 14 uses.
158. new - 14 uses.
159. roger - 14 uses.
160. brother - 14 uses.
161. loving - 14 uses.
162. true - 14 uses.
163. funk - 14 uses.
164. cool - 14 uses.
165. seen - 14 uses.
166. should - 14 uses.
167. bass-iks - 14 uses.
168. ms - 14 uses.
169. perfection - 14 uses.
170. place - 13 uses.
171. lets - 13 uses.
172. start - 13 uses.
173. must - 13 uses.
174. those - 13 uses.
175. matter - 13 uses.
176. told - 13 uses.
177. everybody - 13 uses.
178. happy - 13 uses.
179. ever - 13 uses.
180. took - 13 uses.
181. ooh-wee - 13 uses.
182. lookin - 13 uses.
183. share - 13 uses.
184. freedom - 13 uses.
185. talk - 12 uses.
186. lose - 12 uses.
187. put - 12 uses.
188. because - 12 uses.
189. mmm - 12 uses.
190. best - 12 uses.
191. kinda - 12 uses.
192. till - 12 uses.
193. playin - 12 uses.
194. alone - 12 uses.
195. forgive - 12 uses.
196. black - 12 uses.
197. boy - 12 uses.
198. open - 12 uses.
199. always - 11 uses.
200. other - 11 uses.
201. lady - 11 uses.
202. shining - 11 uses.
203. care - 11 uses.
204. spend - 11 uses.
205. turn - 11 uses.
206. doin - 11 uses.
207. dancin - 11 uses.
208. cmon - 11 uses.
209. side - 11 uses.
210. might - 11 uses.
211. gone - 11 uses.
212. little - 11 uses.
213. shorty - 11 uses.
214. number - 11 uses.
215. lama-lama-lama-ding-dong - 11 uses.
216. lama-lama-lama-ding - 11 uses.
217. forever - 10 uses.
