Most used words by dodie: 
Number of songs scanned: 104

1. love - 107 uses.
2. think - 104 uses.
3. never - 74 uses.
4. feel - 73 uses.
5. here - 69 uses.
6. tell - 49 uses.
7. again - 48 uses.
8. good - 47 uses.
9. little - 46 uses.
10. take - 42 uses.
11. every - 42 uses.
12. girl - 42 uses.
13. let - 42 uses.
14. something - 40 uses.
15. away - 39 uses.
16. only - 37 uses.
17. much - 36 uses.
18. someone - 36 uses.
19. hmm - 36 uses.
20. eyes - 34 uses.
21. words - 34 uses.
22. right - 34 uses.
23. mmm - 34 uses.
24. might - 32 uses.
25. wrong - 32 uses.
26. back - 31 uses.
27. hear - 31 uses.
28. need - 31 uses.
29. down - 31 uses.
30. really - 31 uses.
31. help - 30 uses.
32. night - 30 uses.
33. alone - 30 uses.
34. old - 30 uses.
35. ooh - 30 uses.
36. please - 29 uses.
37. tonight - 29 uses.
38. world - 29 uses.
39. through - 28 uses.
40. maybe - 28 uses.
41. about - 28 uses.
42. pretty - 28 uses.
43. fall - 28 uses.
44. falling - 28 uses.
45. try - 27 uses.
46. end - 27 uses.
47. better - 27 uses.
48. while - 25 uses.
49. skin - 25 uses.
50. quiet - 25 uses.
51. talk - 24 uses.
52. getting - 24 uses.
53. people - 24 uses.
54. mind - 24 uses.
55. yes - 23 uses.
56. myself - 23 uses.
57. give - 23 uses.
58. even - 22 uses.
59. okay - 22 uses.
60. fit - 22 uses.
61. till - 21 uses.
62. close - 21 uses.
63. smile - 21 uses.
64. without - 20 uses.
65. feeling - 20 uses.
66. care - 20 uses.
67. stay - 20 uses.
68. hate - 20 uses.
69. wish - 20 uses.
70. before - 20 uses.
71. new - 20 uses.
72. regret - 20 uses.
73. anything - 20 uses.
74. leave - 19 uses.
75. remember - 19 uses.
76. best - 19 uses.
77. break - 19 uses.
78. believe - 19 uses.
79. sound - 19 uses.
80. heart - 18 uses.
81. friends - 18 uses.
82. dear - 18 uses.
83. put - 18 uses.
84. paint - 18 uses.
85. hope - 17 uses.
86. different - 17 uses.
87. full - 17 uses.
88. doesnt - 17 uses.
89. friend - 17 uses.
90. quite - 17 uses.
91. far - 17 uses.
92. least - 17 uses.
93. rain - 17 uses.
94. because - 17 uses.
95. crazy - 17 uses.
96. hey - 17 uses.
97. enough - 17 uses.
98. over - 16 uses.
99. dark - 16 uses.
100. hand - 16 uses.
101. hold - 16 uses.
102. whats - 16 uses.
103. kind - 16 uses.
104. tired - 16 uses.
105. done - 16 uses.
106. finally - 16 uses.
107. party - 16 uses.
108. life - 16 uses.
109. thing - 15 uses.
110. dream - 15 uses.
111. mouth - 15 uses.
112. hard - 15 uses.
113. youd - 15 uses.
114. show - 15 uses.
115. late - 15 uses.
116. ready - 15 uses.
117. trying - 15 uses.
118. mess - 15 uses.
119. seen - 15 uses.
120. middle - 15 uses.
121. watch - 14 uses.
122. door - 14 uses.
123. bit - 14 uses.
124. sick - 14 uses.
125. guess - 14 uses.
126. play - 14 uses.
127. along - 14 uses.
128. goes - 14 uses.
129. wanted - 14 uses.
130. though - 14 uses.
131. waiting - 14 uses.
132. ask - 14 uses.
