Most used words by gang of youths: 
Number of songs scanned: 48

1. heart - 49 uses.
2. love - 47 uses.
3. let - 41 uses.
4. down - 35 uses.
5. life - 34 uses.
6. tonight - 33 uses.
7. everything - 32 uses.
8. feel - 30 uses.
9. things - 29 uses.
10. only - 28 uses.
11. easy - 27 uses.
12. fire - 26 uses.
13. thing - 26 uses.
14. home - 25 uses.
15. away - 25 uses.
16. try - 24 uses.
17. light - 23 uses.
18. hell - 23 uses.
19. achilles - 23 uses.
20. heaven - 22 uses.
21. hey - 21 uses.
22. never - 21 uses.
23. back - 20 uses.
24. tell - 19 uses.
25. again - 19 uses.
26. ah - 19 uses.
27. take - 18 uses.
28. hold - 17 uses.
29. nothing - 17 uses.
30. through - 17 uses.
31. much - 17 uses.
32. here - 16 uses.
33. fear - 16 uses.
34. car - 16 uses.
35. takes - 16 uses.
36. liar - 16 uses.
37. someone - 16 uses.
38. show - 15 uses.
39. ready - 15 uses.
40. hands - 15 uses.
41. years - 15 uses.
42. god - 15 uses.
43. strange - 15 uses.
44. honey - 15 uses.
45. yes - 15 uses.
46. infinite - 14 uses.
47. blood - 13 uses.
48. keep - 13 uses.
49. soul - 13 uses.
50. face - 13 uses.
51. long - 13 uses.
52. die - 13 uses.
53. leave - 13 uses.
54. enough - 13 uses.
55. ask - 13 uses.
56. myself - 12 uses.
57. ever - 12 uses.
58. days - 12 uses.
59. close - 12 uses.
60. strong - 12 uses.
61. kids - 12 uses.
62. right - 11 uses.
63. those - 11 uses.
64. real - 11 uses.
65. til - 11 uses.
66. dead - 11 uses.
67. fight - 11 uses.
68. think - 11 uses.
69. nor - 11 uses.
70. live - 11 uses.
71. reason - 11 uses.
72. guess - 11 uses.
73. most - 11 uses.
74. ride - 11 uses.
75. alive - 10 uses.
76. terrible - 10 uses.
77. fall - 10 uses.
78. old - 10 uses.
79. same - 10 uses.
80. full - 10 uses.
81. eyes - 10 uses.
82. afraid - 10 uses.
83. clothes - 10 uses.
84. truth - 10 uses.
85. change - 10 uses.
86. dark - 10 uses.
87. summer - 10 uses.
88. kind - 9 uses.
89. shit - 9 uses.
90. goddamn - 9 uses.
91. place - 9 uses.
92. line - 9 uses.
93. deserve - 9 uses.
94. dunno - 9 uses.
95. young - 9 uses.
96. em - 9 uses.
97. white - 9 uses.
98. lungs - 9 uses.
99. pain - 8 uses.
100. mind - 8 uses.
101. waste - 8 uses.
102. until - 8 uses.
103. bones - 8 uses.
104. own - 8 uses.
105. cool - 8 uses.
106. tired - 8 uses.
107. grace - 8 uses.
108. anything - 8 uses.
109. talk - 8 uses.
110. good - 8 uses.
111. lover - 8 uses.
112. human - 8 uses.
113. hummin - 8 uses.
114. give - 8 uses.
115. alone - 8 uses.
116. something - 8 uses.
117. fears - 8 uses.
118. looked - 8 uses.
119. friends - 8 uses.
120. living - 8 uses.
121. deep - 8 uses.
122. last - 7 uses.
123. being - 7 uses.
124. every - 7 uses.
125. forever - 7 uses.
126. heroes - 7 uses.
127. cold - 7 uses.
128. before - 7 uses.
129. stand - 7 uses.
130. name - 7 uses.
131. breath - 7 uses.
132. sky - 7 uses.
133. head - 7 uses.
134. gone - 7 uses.
135. talking - 7 uses.
136. throw - 7 uses.
137. whole - 7 uses.
138. body - 7 uses.
139. kid - 7 uses.
140. since - 7 uses.
141. believe - 7 uses.
142. fuck - 7 uses.
143. better - 7 uses.
144. grow - 7 uses.
145. night - 7 uses.
146. yourself - 7 uses.
147. ways - 7 uses.
148. sleep - 7 uses.
149. sun - 7 uses.
150. today - 7 uses.
151. little - 7 uses.
152. shut - 7 uses.
153. about - 7 uses.
154. roof - 7 uses.
155. drink - 7 uses.
156. air - 6 uses.
157. wine - 6 uses.
158. far - 6 uses.
159. drunk - 6 uses.
160. ass - 6 uses.
161. though - 6 uses.
162. walls - 6 uses.
163. any - 6 uses.
164. left - 6 uses.
165. burn - 6 uses.
166. farther - 6 uses.
167. persevere - 6 uses.
168. words - 6 uses.
169. lightning - 6 uses.
170. men - 6 uses.
171. walk - 6 uses.
172. new - 6 uses.
173. state - 6 uses.
174. rain - 6 uses.
175. means - 6 uses.
176. least - 6 uses.
