Most used words by hole: 
Number of songs scanned: 76

1. down - 100 uses.
2. take - 93 uses.
3. baby - 82 uses.
4. hey - 79 uses.
5. never - 75 uses.
6. girl - 62 uses.
7. away - 60 uses.
8. fuck - 48 uses.
9. watch - 47 uses.
10. world - 45 uses.
11. everything - 44 uses.
12. god - 44 uses.
13. little - 43 uses.
14. tonight - 43 uses.
15. here - 41 uses.
16. eyes - 40 uses.
17. tell - 40 uses.
18. try - 39 uses.
19. love - 35 uses.
20. again - 34 uses.
21. please - 33 uses.
22. back - 32 uses.
23. die - 31 uses.
24. milk - 30 uses.
25. really - 30 uses.
26. people - 30 uses.
27. real - 29 uses.
28. good - 28 uses.
29. ache - 27 uses.
30. cry - 26 uses.
31. mine - 26 uses.
32. life - 26 uses.
33. every - 26 uses.
34. beautiful - 26 uses.
35. asking - 25 uses.
36. bad - 24 uses.
37. let - 23 uses.
38. over - 23 uses.
39. retard - 23 uses.
40. only - 22 uses.
41. while - 22 uses.
42. wait - 22 uses.
43. hungry - 22 uses.
44. old - 21 uses.
45. lies - 21 uses.
46. dress - 21 uses.
47. happy - 21 uses.
48. ever - 20 uses.
49. live - 20 uses.
50. sick - 20 uses.
51. same - 20 uses.
52. story - 20 uses.
53. wants - 20 uses.
54. sleep - 19 uses.
55. forget - 19 uses.
56. girls - 19 uses.
57. right - 19 uses.
58. much - 19 uses.
59. end - 19 uses.
60. ending - 19 uses.
61. walk - 18 uses.
62. whole - 18 uses.
63. heart - 18 uses.
64. void - 18 uses.
65. dying - 17 uses.
66. need - 17 uses.
67. someday - 17 uses.
68. pretty - 17 uses.
69. give - 17 uses.
70. lost - 17 uses.
71. star - 17 uses.
72. fall - 17 uses.
73. better - 17 uses.
74. put - 17 uses.
75. through - 17 uses.
76. sit - 17 uses.
77. mrs - 17 uses.
78. jones - 17 uses.
79. sorry - 16 uses.
80. bed - 16 uses.
81. things - 16 uses.
82. went - 16 uses.
83. soul - 16 uses.
84. hold - 16 uses.
85. comes - 16 uses.
86. might - 16 uses.
87. blue - 16 uses.
88. hit - 16 uses.
89. going - 16 uses.
90. hard - 15 uses.
91. burn - 15 uses.
92. break - 15 uses.
93. feel - 15 uses.
94. straight - 15 uses.
95. body - 15 uses.
96. black - 15 uses.
97. deep - 15 uses.
98. sunday - 15 uses.
99. always - 15 uses.
100. stay - 15 uses.
101. rose - 15 uses.
102. think - 15 uses.
103. watching - 15 uses.
104. burnahh - 15 uses.
105. everyone - 15 uses.
106. alone - 14 uses.
107. clean - 14 uses.
108. friends - 14 uses.
109. cold - 14 uses.
110. sun - 14 uses.
111. light - 14 uses.
112. pale - 14 uses.
113. ahh - 14 uses.
114. awful - 14 uses.
115. care - 14 uses.
116. bitch - 14 uses.
117. ugly - 14 uses.
118. leave - 13 uses.
119. bitter - 13 uses.
120. lie - 13 uses.
121. suck - 13 uses.
122. inside - 13 uses.
123. red - 13 uses.
124. dust - 13 uses.
