Most used words by mewithoutyou: 
Number of songs scanned: 93

1. down - 107 uses.
2. eyes - 57 uses.
3. back - 56 uses.
4. little - 40 uses.
5. thought - 38 uses.
6. never - 37 uses.
7. god - 36 uses.
8. only - 33 uses.
9. must - 31 uses.
10. before - 30 uses.
11. mind - 29 uses.
12. came - 29 uses.
13. long - 29 uses.
14. gone - 28 uses.
15. about - 28 uses.
16. around - 27 uses.
17. love - 27 uses.
18. while - 26 uses.
19. every - 26 uses.
20. knows - 26 uses.
21.  - 25 uses.
22. away - 25 uses.
23. world - 25 uses.
24. through - 25 uses.
25. again - 25 uses.
26. sky - 23 uses.
27. sing - 23 uses.
28. mine - 23 uses.
29. much - 23 uses.
30. ever - 23 uses.
31. words - 22 uses.
32. sun - 22 uses.
33. face - 22 uses.
34. think - 22 uses.
35. end - 22 uses.
36. same - 22 uses.
37. earth - 21 uses.
38. take - 21 uses.
39. let - 21 uses.
40. tell - 21 uses.
41. new - 21 uses.
42. youd - 20 uses.
43. song - 20 uses.
44. inside - 20 uses.
45. need - 20 uses.
46. ground - 20 uses.
47. lets - 20 uses.
48. without - 19 uses.
49. side - 19 uses.
50. first - 19 uses.
51. turned - 19 uses.
52. old - 19 uses.
53. left - 19 uses.
54. wine - 19 uses.
55. heart - 18 uses.
56. head - 18 uses.
57. done - 18 uses.
58. light - 18 uses.
59. please - 18 uses.
60. myself - 18 uses.
61. until - 18 uses.
62. hand - 18 uses.
63. cry - 18 uses.
64. water - 18 uses.
65. hang - 18 uses.
66. sea - 17 uses.
67. glass - 17 uses.
68. fall - 17 uses.
69. found - 17 uses.
70. once - 17 uses.
71. better - 17 uses.
72. hay - 16 uses.
73. run - 16 uses.
74. here - 16 uses.
75. ask - 16 uses.
76. help - 16 uses.
77. songs - 16 uses.
78. vine - 16 uses.
79. thing - 16 uses.
80. days - 15 uses.
81. lord - 15 uses.
82. place - 15 uses.
83. rain - 15 uses.
84. home - 15 uses.
85. held - 15 uses.
86. couldnt - 15 uses.
87. though - 15 uses.
88. another - 15 uses.
89. set - 15 uses.
90. arms - 15 uses.
91. things - 15 uses.
92. past - 15 uses.
93. good - 15 uses.
94. hold - 14 uses.
95. grace - 14 uses.
96. night - 14 uses.
97. nothing - 14 uses.
98. saw - 14 uses.
99. hear - 14 uses.
100. behind - 14 uses.
101. hands - 14 uses.
102. other - 14 uses.
103. outside - 14 uses.
104. rest - 14 uses.
105. beautiful - 14 uses.
106. grape - 14 uses.
107. elephant - 14 uses.
108. deep - 13 uses.
109. best - 13 uses.
110. years - 13 uses.
111. king - 13 uses.
112. far - 13 uses.
113. pain - 13 uses.
114. everyone - 13 uses.
115. david - 13 uses.
116. ring - 13 uses.
117. clouds - 13 uses.
118. soon - 13 uses.
119. alive - 13 uses.
120. shadow - 13 uses.
121. brother - 13 uses.
122. cold - 13 uses.
123. open - 13 uses.
124. passed - 13 uses.
125. timothy - 13 uses.
126. bed - 12 uses.
127. children - 12 uses.
128. below - 12 uses.
129. beneath - 12 uses.
130. low - 12 uses.
131. maybe - 12 uses.
132. sign - 12 uses.
133. heard - 12 uses.
134. last - 12 uses.
135. those - 12 uses.
136. watched - 12 uses.
137. soul - 12 uses.
138. red - 12 uses.
139. along - 12 uses.
140. sound - 12 uses.
141. circles - 12 uses.
142. sad - 12 uses.
143. horse - 12 uses.
144. alone - 12 uses.
145. nest - 12 uses.
146. eloi - 12 uses.
147. begin - 12 uses.
148. everybody - 12 uses.
149. theyll - 12 uses.
150. lay - 11 uses.
151. does - 11 uses.
152. son - 11 uses.
153. friend - 11 uses.
154. meet - 11 uses.
155. between - 11 uses.
156. sounds - 11 uses.
157. fire - 11 uses.
158. smile - 11 uses.
159. bells - 11 uses.
160. feel - 11 uses.
161. quiet - 11 uses.
162. already - 11 uses.
163. leaving - 11 uses.
164. comes - 11 uses.
165. dead - 11 uses.
166. yet - 11 uses.
167. stones - 11 uses.
168. name - 11 uses.
169. darkness - 10 uses.
170. might - 10 uses.
171. talk - 10 uses.
172. crushed - 10 uses.
173. body - 10 uses.
174. fox - 10 uses.
175. hard - 10 uses.
176. such - 10 uses.
177. kept - 10 uses.
178. allah - 10 uses.
179. cut - 10 uses.
180. seen - 10 uses.
181. caught - 10 uses.
182. fell - 10 uses.
183. next - 10 uses.
184. wide - 10 uses.
185. stay - 10 uses.
186. black - 10 uses.
187. show - 10 uses.
188. waters - 10 uses.
189. looked - 10 uses.
190. both - 10 uses.
191. door - 10 uses.
192. grow - 10 uses.
193. finally - 10 uses.
194. even - 10 uses.
195. knew - 10 uses.
196. everything - 10 uses.
197. mystery - 10 uses.
198. lips - 9 uses.
199. cast - 9 uses.
200. blue - 9 uses.
201. neither - 9 uses.
202. nor - 9 uses.
203. morning - 9 uses.
204. ear - 9 uses.
205. right - 9 uses.
206. wrong - 9 uses.
207. anything - 9 uses.
208. pass - 9 uses.
209. sugar - 9 uses.
210. waiting - 9 uses.
211. leave - 9 uses.
212. looking - 9 uses.
213. small - 9 uses.
214. life - 9 uses.
215. -- - 9 uses.
216. feet - 9 uses.
217. nights - 9 uses.
218. die - 9 uses.
219. line - 9 uses.
220. air - 9 uses.
221. wheres - 9 uses.
222. ya - 9 uses.
223. wonder - 9 uses.
224. tree - 9 uses.
225. put - 9 uses.
226. tortoise - 9 uses.
227. stand - 9 uses.
228. died - 9 uses.
229. should - 9 uses.
230. floor - 9 uses.
231. remember - 9 uses.
232. believe - 9 uses.
233. brown - 9 uses.
234. running - 9 uses.
235. reply - 9 uses.
236. angel - 9 uses.
237. sons - 9 uses.
238. nobody - 9 uses.
239. whose - 8 uses.
240. thoughts - 8 uses.
241. near - 8 uses.
242. laid - 8 uses.
243. dry - 8 uses.
244. hell - 8 uses.
245. asked - 8 uses.
246. worn - 8 uses.
247. grass - 8 uses.
248. else - 8 uses.
249. queen - 8 uses.
250. break - 8 uses.
251. afraid - 8 uses.
